date,exchange_rate
2004-08-31,132.85
2004-09-01,133.35
2004-09-02,133.22
2004-09-03,133.36
2004-09-06,132.83
2004-09-07,132.35
2004-09-08,133.21
2004-09-09,133.99
2004-09-10,134.3
2004-09-13,134.83
2004-09-14,134.22
2004-09-15,133.6
2004-09-16,133.47
2004-09-17,133.86
2004-09-20,133.66
2004-09-21,135.32
2004-09-22,135.63
2004-09-23,135.88
2004-09-24,135.75
2004-09-27,136.77
2004-09-28,137.21
2004-09-29,136.61
2004-09-30,136.8
2004-10-01,136.94
2004-10-04,136.13
2004-10-05,136.83
2004-10-06,136.63
2004-10-07,136.5
2004-10-08,135.85
2004-10-11,135.27
2004-10-12,135.16
2004-10-13,135.47
2004-10-14,135.63
2004-10-15,136.16
2004-10-18,136.41
2004-10-19,135.52
2004-10-20,136.16
2004-10-21,135.58
2004-10-22,135.61
2004-10-25,136.63
2004-10-26,136.22
2004-10-27,135.27
2004-10-28,135.38
2004-10-29,135.38
2004-11-01,135.63
2004-11-02,135.08
2004-11-03,136.16
2004-11-04,136.44
2004-11-05,136.85
2004-11-08,136.25
2004-11-09,136.25
2004-11-10,138.0
2004-11-11,137.52
2004-11-12,136.91
2004-11-15,136.25
2004-11-16,136.41
2004-11-17,135.52
2004-11-18,134.97
2004-11-19,134.16
2004-11-22,134.5
2004-11-23,135.13
2004-11-24,135.52
2004-11-25,135.82
2004-11-26,136.27
2004-11-29,136.47
2004-11-30,136.63
2004-12-01,136.88
2004-12-02,136.88
2004-12-03,137.37
2004-12-06,138.37
2004-12-07,138.13
2004-12-08,138.68
2004-12-09,138.63
2004-12-10,139.16
2004-12-13,139.05
2004-12-14,139.44
2004-12-15,140.33
2004-12-16,138.69
2004-12-17,138.63
2004-12-20,139.41
2004-12-21,139.5
2004-12-22,139.5
2004-12-23,139.91
2004-12-24,140.24
2004-12-27,140.24
2004-12-28,140.22
2004-12-29,141.22
2004-12-30,140.52
2004-12-31,138.88
2005-01-03,138.36
2005-01-04,138.86
2005-01-05,138.02
2005-01-06,138.22
2005-01-07,136.91
2005-01-10,136.38
2005-01-11,135.36
2005-01-12,135.72
2005-01-13,135.33
2005-01-14,133.55
2005-01-17,133.27
2005-01-18,133.13
2005-01-19,133.58
2005-01-20,133.96
2005-01-21,134.05
2005-01-24,134.0
2005-01-25,134.88
2005-01-26,134.75
2005-01-27,134.36
2005-01-28,134.72
2005-01-31,135.05
2005-02-01,135.24
2005-02-02,134.94
2005-02-03,135.47
2005-02-04,133.88
2005-02-07,133.66
2005-02-08,134.99
2005-02-09,135.22
2005-02-10,136.32
2005-02-11,136.1
2005-02-14,136.35
2005-02-15,135.97
2005-02-16,137.33
2005-02-17,137.88
2005-02-18,138.02
2005-02-21,137.86
2005-02-22,137.85
2005-02-23,138.46
2005-02-24,139.0
2005-02-25,139.33
2005-02-28,138.33
2005-03-01,137.66
2005-03-02,137.46
2005-03-03,137.99
2005-03-04,138.52
2005-03-07,138.91
2005-03-08,139.63
2005-03-09,139.16
2005-03-10,139.66
2005-03-11,139.85
2005-03-14,140.08
2005-03-15,139.1
2005-03-16,139.71
2005-03-17,139.78
2005-03-18,139.36
2005-03-21,138.36
2005-03-22,138.11
2005-03-23,137.48
2005-03-24,137.53
2005-03-25,137.72
2005-03-28,138.16
2005-03-29,138.96
2005-03-30,139.05
2005-03-31,139.0
2005-04-01,138.89
2005-04-04,139.1
2005-04-05,139.01
2005-04-06,139.74
2005-04-07,139.55
2005-04-08,139.93
2005-04-11,139.83
2005-04-12,139.08
2005-04-13,138.62
2005-04-14,138.57
2005-04-15,139.04
2005-04-18,139.82
2005-04-19,139.44
2005-04-20,139.85
2005-04-21,139.46
2005-04-22,138.27
2005-04-25,137.31
2005-04-26,137.8
2005-04-27,136.85
2005-04-28,136.87
2005-04-29,134.81
2005-05-02,135.07
2005-05-03,135.1
2005-05-04,135.35
2005-05-05,135.38
2005-05-06,134.61
2005-05-09,135.84
2005-05-10,135.87
2005-05-11,135.46
2005-05-12,135.38
2005-05-13,135.49
2005-05-16,135.05
2005-05-17,135.41
2005-05-18,135.66
2005-05-19,136.0
2005-05-20,135.76
2005-05-23,135.36
2005-05-24,135.34
2005-05-25,135.6
2005-05-26,135.02
2005-05-27,135.74
2005-05-30,134.66
2005-05-31,133.46
2005-06-01,132.43
2005-06-02,132.82
2005-06-03,131.7
2005-06-06,131.03
2005-06-07,130.93
2005-06-08,131.19
2005-06-09,131.28
2005-06-10,131.57
2005-06-13,132.64
2005-06-14,131.57
2005-06-15,132.32
2005-06-16,131.78
2005-06-17,133.42
2005-06-20,132.83
2005-06-21,131.82
2005-06-22,131.98
2005-06-23,131.03
2005-06-24,131.95
2005-06-27,132.91
2005-06-28,132.52
2005-06-29,133.24
2005-06-30,133.89
2005-07-01,133.6
2005-07-04,132.84
2005-07-05,133.1
2005-07-06,133.81
2005-07-07,133.83
2005-07-08,134.22
2005-07-11,134.84
2005-07-12,135.64
2005-07-13,135.16
2005-07-14,135.58
2005-07-15,134.99
2005-07-18,134.84
2005-07-19,135.7
2005-07-20,137.06
2005-07-21,134.24
2005-07-22,134.25
2005-07-25,134.41
2005-07-26,135.2
2005-07-27,135.58
2005-07-28,136.02
2005-07-29,136.32
2005-08-01,136.79
2005-08-02,135.84
2005-08-03,137.05
2005-08-04,137.74
2005-08-05,138.37
2005-08-08,138.48
2005-08-09,138.43
2005-08-10,137.02
2005-08-11,136.77
2005-08-12,136.01
2005-08-15,135.17
2005-08-16,135.41
2005-08-17,134.76
2005-08-18,134.57
2005-08-19,134.18
2005-08-22,134.1
2005-08-23,134.4
2005-08-24,135.22
2005-08-25,135.33
2005-08-26,135.34
2005-08-29,135.26
2005-08-30,135.91
2005-08-31,136.51
2005-09-01,137.19
2005-09-02,137.6
2005-09-05,136.88
2005-09-06,136.62
2005-09-07,136.53
2005-09-08,136.98
2005-09-09,136.15
2005-09-12,135.38
2005-09-13,135.71
2005-09-14,135.47
2005-09-15,135.23
2005-09-16,136.23
2005-09-19,135.31
2005-09-20,135.65
2005-09-21,135.99
2005-09-22,135.62
2005-09-23,135.4
2005-09-26,135.33
2005-09-27,136.04
2005-09-28,136.05
2005-09-29,136.12
2005-09-30,136.38
2005-10-03,136.0
2005-10-04,136.18
2005-10-05,136.43
2005-10-06,137.91
2005-10-07,137.91
2005-10-10,137.7
2005-10-11,137.25
2005-10-12,137.43
2005-10-13,137.6
2005-10-14,137.78
2005-10-17,138.12
2005-10-18,138.36
2005-10-19,138.3
2005-10-20,138.57
2005-10-21,138.49
2005-10-24,138.17
2005-10-25,139.21
2005-10-26,139.7
2005-10-27,140.06
2005-10-28,139.51
2005-10-31,139.56
2005-11-01,140.29
2005-11-02,141.11
2005-11-03,139.91
2005-11-04,139.74
2005-11-07,138.87
2005-11-08,138.07
2005-11-09,138.19
2005-11-10,138.09
2005-11-11,138.07
2005-11-14,138.79
2005-11-15,139.32
2005-11-16,139.05
2005-11-17,139.4
2005-11-18,140.13
2005-11-21,139.37
2005-11-22,140.21
2005-11-23,140.3
2005-11-24,140.11
2005-11-25,140.15
2005-11-28,140.74
2005-11-29,140.87
2005-11-30,141.26
2005-12-01,141.35
2005-12-02,141.11
2005-12-05,142.41
2005-12-06,142.38
2005-12-07,141.8
2005-12-08,142.07
2005-12-09,142.52
2005-12-12,143.07
2005-12-13,143.35
2005-12-14,140.86
2005-12-15,139.14
2005-12-16,138.98
2005-12-19,139.22
2005-12-20,138.89
2005-12-21,138.88
2005-12-22,138.46
2005-12-23,137.94
2005-12-26,137.72
2005-12-27,138.84
2005-12-28,139.49
2005-12-29,139.46
2005-12-30,139.61
2006-01-02,139.29
2006-01-03,139.59
2006-01-04,140.62
2006-01-05,140.31
2006-01-06,139.04
2006-01-09,138.34
2006-01-10,137.92
2006-01-11,138.39
2006-01-12,137.62
2006-01-13,138.56
2006-01-16,139.31
2006-01-17,139.76
2006-01-18,139.54
2006-01-19,139.56
2006-01-20,139.86
2006-01-23,140.78
2006-01-24,140.8
2006-01-25,141.74
2006-01-26,142.06
2006-01-27,141.93
2006-01-30,142.14
2006-01-31,142.42
2006-02-01,142.36
2006-02-02,143.34
2006-02-03,143.0
2006-02-06,142.4
2006-02-07,141.22
2006-02-08,141.74
2006-02-09,142.33
2006-02-10,140.4
2006-02-13,140.08
2006-02-14,139.86
2006-02-15,140.12
2006-02-16,139.99
2006-02-17,140.96
2006-02-20,141.14
2006-02-21,141.35
2006-02-22,141.15
2006-02-23,139.6
2006-02-24,138.76
2006-02-27,137.61
2006-02-28,137.96
2006-03-01,138.31
2006-03-02,139.43
2006-03-03,140.09
2006-03-06,141.25
2006-03-07,140.08
2006-03-08,140.48
2006-03-09,140.74
2006-03-10,141.84
2006-03-13,142.05
2006-03-14,141.2
2006-03-15,141.62
2006-03-16,142.24
2006-03-17,141.23
2006-03-20,141.55
2006-03-21,141.8
2006-03-22,141.24
2006-03-23,141.08
2006-03-24,141.36
2006-03-27,140.22
2006-03-28,141.47
2006-03-29,141.62
2006-03-30,142.69
2006-03-31,142.65
2006-04-03,142.84
2006-04-04,144.07
2006-04-05,144.26
2006-04-06,143.9
2006-04-07,143.12
2006-04-10,143.27
2006-04-11,143.6
2006-04-12,143.38
2006-04-13,143.53
2006-04-14,143.67
2006-04-17,144.33
2006-04-18,144.7
2006-04-19,145.08
2006-04-20,144.66
2006-04-21,143.98
2006-04-24,142.08
2006-04-25,142.69
2006-04-26,142.88
2006-04-27,143.07
2006-04-28,143.6
2006-05-01,142.65
2006-05-02,143.02
2006-05-03,143.45
2006-05-04,144.08
2006-05-05,143.13
2006-05-08,141.92
2006-05-09,141.65
2006-05-10,141.26
2006-05-11,141.97
2006-05-12,142.2
2006-05-15,141.34
2006-05-16,141.02
2006-05-17,141.37
2006-05-18,142.34
2006-05-19,142.67
2006-05-22,143.29
2006-05-23,143.34
2006-05-24,144.01
2006-05-25,143.16
2006-05-26,143.38
2006-05-29,143.26
2006-05-30,144.38
2006-05-31,144.29
2006-06-01,144.15
2006-06-02,144.16
2006-06-05,144.73
2006-06-06,145.15
2006-06-07,145.11
2006-06-08,144.36
2006-06-09,144.01
2006-06-12,143.93
2006-06-13,144.63
2006-06-14,144.87
2006-06-15,144.99
2006-06-16,145.47
2006-06-19,145.2
2006-06-20,144.52
2006-06-21,145.39
2006-06-22,145.96
2006-06-23,145.79
2006-06-26,146.29
2006-06-27,146.22
2006-06-28,146.04
2006-06-29,145.66
2006-06-30,146.34
2006-07-03,146.73
2006-07-04,146.91
2006-07-05,147.13
2006-07-06,147.04
2006-07-07,145.96
2006-07-10,145.45
2006-07-11,145.82
2006-07-12,146.63
2006-07-13,146.44
2006-07-14,146.92
2006-07-17,146.62
2006-07-18,146.64
2006-07-19,147.11
2006-07-20,147.77
2006-07-21,147.49
2006-07-24,147.28
2006-07-25,147.38
2006-07-26,147.89
2006-07-27,146.9
2006-07-28,146.31
2006-07-31,146.32
2006-08-01,146.97
2006-08-02,146.61
2006-08-03,147.13
2006-08-04,147.31
2006-08-07,147.64
2006-08-08,147.88
2006-08-09,148.32
2006-08-10,147.42
2006-08-11,147.95
2006-08-14,148.39
2006-08-15,148.39
2006-08-16,148.72
2006-08-17,148.86
2006-08-18,148.48
2006-08-21,149.4
2006-08-22,149.19
2006-08-23,148.81
2006-08-24,148.7
2006-08-25,149.55
2006-08-28,149.85
2006-08-29,149.63
2006-08-30,150.34
2006-08-31,150.31
2006-09-01,150.29
2006-09-04,149.34
2006-09-05,148.82
2006-09-06,149.36
2006-09-07,148.27
2006-09-08,148.13
2006-09-11,149.44
2006-09-12,149.62
2006-09-13,149.33
2006-09-14,149.61
2006-09-15,148.82
2006-09-18,149.78
2006-09-19,149.09
2006-09-20,148.91
2006-09-21,148.77
2006-09-22,148.96
2006-09-25,148.54
2006-09-26,148.53
2006-09-27,149.19
2006-09-28,149.52
2006-09-29,149.78
2006-10-02,149.97
2006-10-03,150.13
2006-10-04,149.8
2006-10-05,149.39
2006-10-06,149.95
2006-10-09,149.98
