date,exchange_rate
2023-10-28,156.086814
2023-10-30,159.815554
2023-10-31,159.537883
2023-11-01,159.654782
2023-11-02,160.129716
2023-11-03,159.724052
2023-11-04,159.724052
2023-11-05,159.605921
2023-11-06,162.200292
2023-11-07,162.016894
2023-11-08,162.302412
2023-11-09,161.865686
2023-11-10,162.59479
2023-11-12,162.596665
2023-11-13,162.605995
2023-11-14,165.40207
2023-11-15,165.101639
2023-11-16,165.28799
2023-11-17,166.261377
2023-11-18,165.443468
2023-11-19,165.335211
2023-11-20,166.837596
2023-11-21,166.509158
2023-11-22,166.348185
2023-11-23,166.686355
2023-11-24,167.469284
2023-11-25,166.201109
2023-11-26,166.131824
2023-11-27,167.606878
2023-11-28,168.340211
2023-11-29,167.982188
2023-11-30,166.89359
2023-12-01,166.930249
2023-12-02,165.851457
2023-12-03,165.893093
2023-12-04,166.044912
2023-12-05,165.512323
2023-12-06,165.09207
2023-12-07,165.550895
2023-12-08,165.044621
2023-12-09,166.819884
2023-12-10,166.737963
2023-12-11,165.097282
2023-12-12,165.58486
2023-12-13,166.752473
2023-12-14,168.801167
2023-12-15,167.275249
2023-12-16,169.648201
2023-12-17,169.578589
2023-12-18,168.376869
2023-12-19,169.652242
2023-12-20,169.554784
2023-12-21,171.44762
2023-12-22,171.773448
2023-12-23,170.527394
2023-12-24,170.527461
2023-12-25,170.586932
2023-12-26,172.248101
2023-12-27,173.757759
2023-12-28,174.62093
2023-12-29,173.316906
2023-12-30,173.885208
2023-12-31,173.885643
2024-01-01,173.91908
2024-01-02,172.17376
2024-01-03,171.832351
2024-01-04,172.562172
2024-01-05,172.548032
2024-01-06,169.931012
2024-01-07,169.931072
2024-01-08,172.807333
2024-01-09,172.915895
2024-01-10,174.369322
2024-01-11,174.400257
2024-01-12,173.24809
2024-01-13,173.231943
2024-01-14,173.232504
2024-01-15,175.20895
2024-01-16,173.40013
2024-01-17,173.435747
2024-01-18,174.903756
2024-01-19,176.171729
2024-01-20,173.365682
2024-01-21,173.365995
2024-01-22,176.846422
2024-01-23,176.780304
2024-01-24,178.01597
2024-01-25,177.068562
2024-01-26,176.992493
2024-01-27,176.695567
2024-01-28,176.695474
2024-01-29,175.273707
2024-01-30,174.882484
2024-01-31,174.324113
2024-02-01,175.050695
2024-02-02,173.247843
2024-02-03,173.451917
2024-02-04,173.446224
2024-02-05,172.364042
2024-02-06,172.562572
2024-02-07,172.914047
2024-02-08,172.404587
2024-02-09,172.052449
2024-02-10,175.089894
2024-02-11,175.089942
2024-02-12,171.829757
2024-02-13,170.752358
2024-02-14,166.827909
2024-02-15,162.069376
2024-02-16,156.320285
2024-02-17,156.275568
2024-02-18,152.511535
2024-02-19,156.833886
2024-02-20,157.813626
2024-02-21,157.905515
2024-02-22,158.012048
2024-02-23,158.002155
2024-02-24,155.329057
2024-02-25,155.329136
2024-02-26,158.886484
2024-02-27,158.393513
2024-02-28,156.238147
2024-02-29,158.841988
2024-03-01,158.837467
2024-03-02,156.274495
2024-03-03,156.275296
2024-03-04,156.875794
2024-03-05,155.190701
2024-03-06,155.886736
2024-03-07,156.477786
2024-03-08,155.294322
2024-03-09,157.935023
2024-03-10,157.936081
2024-03-11,151.822867
2024-03-12,151.814545
2024-03-13,150.595495
2024-03-14,146.979858
2024-03-15,147.014298
2024-03-16,149.901184
2024-03-17,149.901198
2024-03-18,145.640977
2024-03-19,145.582374
2024-03-20,144.630914
2024-03-21,143.887717
2024-03-22,143.468885
2024-03-23,143.290296
2024-03-24,143.290574
2024-03-25,143.026725
2024-03-26,142.970242
2024-03-27,143.36283
2024-03-28,143.045914
2024-03-29,142.409946
2024-03-30,142.906371
2024-03-31,142.906396
2024-04-01,141.783333
2024-04-02,141.593605
2024-04-03,141.878166
2024-04-04,141.185852
2024-04-05,140.855991
2024-04-06,140.827241
2024-04-07,140.827288
2024-04-08,141.137598
2024-04-09,141.088734
2024-04-10,139.664398
2024-04-11,139.326892
2024-04-12,138.399825
2024-04-13,138.718767
2024-04-14,135.726432
2024-04-15,139.319066
2024-04-16,139.659159
2024-04-17,141.148596
2024-04-18,140.626943
2024-04-19,142.226395
2024-04-20,139.959089
2024-04-21,139.959089
2024-04-22,142.162713
2024-04-23,143.371582
2024-04-24,143.740053
2024-04-25,144.180367
2024-04-26,144.334164
2024-04-27,142.154912
2024-04-28,142.154912
2024-04-29,144.718666
2024-04-30,144.166646
2024-05-01,141.478038
2024-05-02,144.524636
2024-05-03,144.807823
2024-05-04,142.327466
2024-05-05,142.327466
2024-05-06,144.34372
2024-05-07,142.20664
2024-05-08,141.938579
2024-05-09,141.105798
2024-05-10,141.686102
2024-05-11,141.83892
2024-05-12,141.720535
2024-05-13,141.178146
2024-05-14,141.712055
2024-05-15,141.138559
2024-05-16,141.333343
2024-05-17,142.422032
2024-05-18,141.425516
2024-05-19,141.425516
2024-05-20,142.850823
2024-05-21,142.745764
2024-05-22,143.032024
2024-05-23,143.704323
2024-05-24,144.335099
2024-05-25,141.4871
2024-05-26,141.4871
2024-05-27,144.425188
2024-05-28,144.099249
2024-05-29,142.159467
2024-05-30,142.617688
2024-05-31,141.622823
2024-06-01,144.28719
2024-06-02,144.28719
2024-06-03,142.114975
2024-06-04,141.968883
2024-06-05,141.858513
2024-06-06,141.748949
2024-06-07,140.466135
2024-06-08,142.057573
2024-06-09,142.057573
2024-06-10,139.066283
2024-06-11,138.958242
2024-06-12,139.937531
2024-06-13,138.307046
2024-06-14,138.006503
2024-06-15,138.502612
2024-06-16,138.502612
2024-06-17,138.830665
2024-06-18,137.967879
2024-06-19,139.152415
2024-06-20,137.674484
2024-06-21,137.323754
2024-06-22,138.323467
2024-06-23,138.323467
2024-06-24,137.860783
2024-06-25,138.027036
2024-06-26,137.272141
2024-06-27,138.490218
2024-06-28,138.388677
2024-06-29,138.554244
2024-06-30,138.694299
2024-07-01,138.504277
2024-07-02,137.871702
2024-07-03,138.92315
2024-07-04,138.864646
2024-07-05,138.728317
2024-07-06,138.034419
2024-07-07,138.034419
2024-07-08,139.009505
2024-07-09,138.720904
2024-07-10,139.118359
2024-07-11,140.276963
2024-07-12,140.562756
2024-07-13,138.838027
2024-07-14,138.838027
2024-07-15,141.078164
2024-07-16,141.460598
2024-07-17,142.431119
2024-07-18,142.88047
2024-07-19,140.644808
2024-07-20,139.874741
2024-07-21,139.874741
2024-07-22,143.015183
2024-07-23,143.816607
2024-07-24,144.511858
2024-07-25,144.209627
2024-07-26,142.608418
2024-07-27,141.130192
2024-07-28,141.130192
2024-07-29,141.681945
2024-07-30,140.514757
2024-07-31,139.844974
2024-08-01,140.34761
2024-08-02,141.712282
2024-08-03,140.687868
2024-08-04,140.687868
2024-08-05,142.498645
2024-08-06,141.454287
2024-08-07,140.898837
2024-08-08,140.784849
2024-08-09,141.193182
2024-08-10,140.899232
2024-08-11,140.899232
2024-08-12,140.938637
2024-08-13,141.393011
2024-08-14,142.393406
2024-08-15,142.681903
2024-08-16,141.924035
2024-08-17,141.806862
2024-08-18,141.806862
2024-08-19,142.330647
2024-08-20,143.220104
2024-08-21,143.568748
2024-08-22,143.79095
2024-08-23,143.333906
2024-08-24,143.428686
2024-08-25,143.428686
2024-08-26,143.758795
2024-08-27,143.904553
2024-08-28,143.0878
2024-08-29,142.735827
2024-08-30,142.446171
2024-08-31,142.683072
2024-09-01,142.883483
2024-09-02,142.518272
2024-09-03,142.356624
2024-09-04,142.311699
2024-09-05,142.90098
2024-09-06,142.643067
2024-09-07,142.98516
2024-09-08,142.98516
2024-09-09,142.487618
2024-09-10,142.14857
2024-09-11,142.101485
2024-09-12,142.287684
2024-09-13,143.111393
2024-09-14,143.032915
2024-09-15,143.032915
2024-09-16,143.578782
2024-09-17,143.759204
2024-09-18,143.563066
2024-09-19,144.153278
2024-09-20,144.050834
2024-09-21,143.922717
2024-09-22,143.922717
2024-09-23,143.367613
2024-09-24,143.262808
2024-09-25,143.125073
2024-09-26,144.499561
2024-09-27,143.753641
2024-09-28,144.069421
2024-09-29,144.069421
2024-09-30,143.89764
2024-10-01,143.679818
2024-10-02,143.069523
2024-10-03,142.345089
