date,exchange_rate
2014-11-10,71.89
2014-11-11,71.46
2014-11-12,71.68
2014-11-13,71.83
2014-11-14,71.75
2014-11-17,71.94
2014-11-18,72.08
2014-11-19,72.21
2014-11-20,72.08
2014-11-21,71.6
2014-11-24,71.37
2014-11-25,71.61
2014-11-26,71.73
2014-11-27,71.8
2014-11-28,71.75
2014-12-01,71.78
2014-12-02,71.58
2014-12-03,71.04
2014-12-04,70.91
2014-12-05,71.21
2014-12-08,70.56
2014-12-09,71.16
2014-12-10,71.33
2014-12-11,71.5
2014-12-12,71.58
2014-12-15,71.56
2014-12-16,71.92
2014-12-17,71.78
2014-12-18,70.97
2014-12-19,72.3
2014-12-22,72.19
2014-12-23,72.03
2014-12-24,71.85
2014-12-25,72.11
2014-12-26,71.8
2014-12-30,71.53
2014-12-31,71.57
2015-01-08,69.3
2015-01-09,69.59
2015-01-12,69.82
2015-01-13,70.67
2015-01-14,70.42
2015-01-15,70.17
2015-01-16,69.63
2015-01-19,69.47
2015-01-20,69.5
2015-01-21,69.3
2015-01-22,69.65
2015-01-23,67.26
2015-01-26,67.33
2015-01-27,67.59
2015-01-30,67.72
2015-02-02,67.97
2015-02-03,68.08
2015-02-04,69.34
2015-02-05,69.4
2015-02-06,69.48
2015-02-09,68.69
2015-02-10,68.5
2015-02-11,68.55
2015-02-12,68.79
2015-02-13,69.27
2015-02-16,69.28
2015-02-17,69.58
2015-02-18,69.6
2015-02-19,69.71
2015-02-20,69.41
2015-02-24,69.3
2015-02-25,69.48
2015-02-26,69.69
2015-02-27,68.78
2015-03-02,68.77
2015-03-04,68.31
2015-03-05,67.83
2015-03-06,67.5
2015-03-10,66.23
2015-03-11,65.18
2015-03-12,65.26
2015-03-13,65.43
2015-03-16,65.12
2015-03-17,66.18
2015-03-18,66.22
2015-03-19,66.47
2015-03-20,66.58
2015-03-23,67.88
2015-03-24,69.01
2015-03-25,69.4
2015-03-26,70.38
2015-03-27,69.18
2015-03-30,69.33
2015-03-31,68.53
2015-04-01,68.68
2015-04-02,69.17
2015-04-03,69.56
2015-04-06,70.18
2015-04-07,69.38
2015-04-08,69.43
2015-04-09,68.63
2015-04-10,67.7
2015-04-13,67.14
2015-04-14,67.29
2015-04-15,67.64
2015-04-16,68.0
2015-04-17,68.15
2015-04-20,65.98
2015-04-21,65.31
2015-04-22,65.88
2015-04-23,65.65
2015-04-24,66.11
2015-04-27,65.88
2015-04-28,65.94
2015-04-29,66.05
2015-04-30,66.64
2015-05-04,66.16
2015-05-06,66.73
2015-05-07,67.24
2015-05-08,66.34
2015-05-12,66.45
2015-05-13,65.85
2015-05-14,67.07
2015-05-15,66.68
2015-05-18,66.78
2015-05-19,65.62
2015-05-20,65.03
2015-05-21,65.29
2015-05-22,65.4
2015-05-25,64.11
2015-05-26,63.37
2015-05-27,63.41
2015-05-28,63.59
2015-05-29,63.76
2015-06-01,63.47
2015-06-02,64.31
2015-06-03,65.51
2015-06-04,66.88
2015-06-05,66.26
2015-06-08,65.85
2015-06-09,66.87
2015-06-10,67.25
2015-06-11,67.28
2015-06-12,67.13
2015-06-15,67.35
2015-06-16,67.63
2015-06-17,67.85
2015-06-18,68.85
2015-06-19,68.55
2015-06-22,68.84
2015-06-23,68.19
2015-06-24,68.13
2015-06-25,68.49
2015-06-26,68.93
2015-06-29,68.95
2015-06-30,69.54
2015-07-01,68.98
2015-07-02,68.79
2015-07-03,69.07
2015-07-06,68.51
2015-07-07,68.14
2015-07-08,68.75
2015-07-09,68.87
2015-07-10,69.97
2015-07-13,69.48
2015-07-14,69.24
2015-07-15,69.3
2015-07-16,68.62
2015-07-20,68.22
2015-07-21,68.16
2015-07-22,68.39
2015-07-23,67.48
2015-07-24,66.8
2015-07-27,67.54
2015-07-28,67.2
2015-07-29,67.39
2015-07-30,66.95
2015-07-31,67.12
2015-08-03,67.27
2015-08-04,67.51
2015-08-05,67.52
2015-08-06,68.37
2015-08-07,68.5
2015-08-10,68.27
2015-08-11,68.55
2015-08-12,69.11
2015-08-13,68.26
2015-08-14,68.19
2015-08-17,67.81
2015-08-18,67.84
2015-08-19,68.49
2015-08-20,69.37
2015-08-21,71.87
2015-08-24,74.61
2015-08-25,75.07
