date,exchange_rate
2014-11-24,5043.5
2014-11-25,5057.3
2014-11-26,5076.3
2014-11-27,5061.5
2014-11-28,5048.4
2014-12-01,5066.5
2014-12-02,5030.5
2014-12-03,4989.7
2014-12-04,5018.3
2014-12-05,4979.4
2014-12-08,4992.4
2014-12-09,5017.4
2014-12-10,5045.9
2014-12-11,5027.8
2014-12-12,5072.2
2014-12-15,5050.2
2014-12-16,5078.6
2014-12-17,5008.4
2014-12-18,4986.9
2014-12-19,4963.6
2014-12-22,4963.0
2014-12-23,4941.9
2014-12-24,4945.7
2014-12-25,4956.3
2014-12-26,4951.1
2014-12-29,4929.1
2014-12-30,4928.2
2014-12-31,4904.5
2015-01-01,4906.1
2015-01-02,4864.4
2015-01-05,4848.2
2015-01-06,4823.9
2015-01-07,4812.4
2015-01-08,4794.4
2015-01-09,4817.5
2015-01-12,4803.1
2015-01-13,4779.8
2015-01-14,4785.3
2015-01-15,4720.8
2015-01-16,4696.1
2015-01-19,4713.3
2015-01-20,4690.7
2015-01-21,4714.9
2015-01-22,4600.1
2015-01-23,4548.3
2015-01-26,4563.6
2015-01-27,4616.2
2015-01-28,4576.1
2015-01-29,4597.5
2015-01-30,4581.3
2015-02-02,4600.5
2015-02-03,4655.2
2015-02-04,4604.2
2015-02-05,4662.9
2015-02-06,4591.9
2015-02-09,4605.0
2015-02-10,4597.4
2015-02-11,4615.7
2015-02-12,4621.1
2015-02-13,4613.8
2015-02-16,4607.4
2015-02-17,4637.6
2015-02-18,4633.8
2015-02-19,4624.4
2015-02-20,4637.3
2015-02-23,4619.4
2015-02-24,4613.7
2015-02-25,4594.5
2015-02-26,4572.3
2015-02-27,4531.4
2015-03-02,4566.7
2015-03-03,4565.0
2015-03-04,4530.8
2015-03-05,4511.0
2015-03-06,4441.5
2015-03-09,4451.0
2015-03-10,4387.2
2015-03-11,4274.7
2015-03-12,4263.7
2015-03-13,4210.6
2015-03-16,4231.6
2015-03-17,4252.0
2015-03-18,4347.0
2015-03-19,4276.8
2015-03-20,4330.3
2015-03-23,4393.8
2015-03-24,4368.8
2015-03-25,4390.3
2015-03-26,4348.2
2015-03-27,4352.2
2015-03-30,4330.2
2015-03-31,4299.7
2015-04-01,4312.4
2015-04-02,4354.6
2015-04-03,4395.0
2015-04-06,4372.3
2015-04-07,4328.1
2015-04-08,4317.9
2015-04-09,4270.4
2015-04-10,4244.3
2015-04-13,4232.8
2015-04-14,4260.7
2015-04-15,4269.6
2015-04-16,4308.0
2015-04-17,4326.6
2015-04-20,4299.5
2015-04-21,4299.4
2015-04-22,4308.6
2015-04-23,4354.4
2015-04-24,4370.5
2015-04-27,4371.6
2015-04-28,4411.2
2015-04-29,4470.6
2015-04-30,4512.9
2015-05-01,4501.1
2015-05-04,4473.7
2015-05-05,4485.5
2015-05-06,4547.3
2015-05-07,4507.5
2015-05-08,4482.7
2015-05-11,4464.4
2015-05-12,4507.5
2015-05-13,4563.7
2015-05-14,4583.7
2015-05-15,4596.3
2015-05-18,4598.5
2015-05-19,4529.5
2015-05-20,4509.7
2015-05-21,4497.3
2015-05-22,4464.4
2015-05-25,4450.1
2015-05-26,4402.5
2015-05-27,4409.8
2015-05-28,4463.5
2015-05-29,4466.9
2015-06-01,4440.2
2015-06-02,4531.1
2015-06-03,4580.1
2015-06-04,4553.3
2015-06-05,4515.3
2015-06-08,4583.9
2015-06-09,4576.7
2015-06-10,4590.6
2015-06-11,4546.1
2015-06-12,4553.9
2015-06-15,4538.3
2015-06-16,4527.9
2015-06-17,4546.5
2015-06-18,4564.4
2015-06-19,4557.4
2015-06-22,4655.1
2015-06-23,4483.4
2015-06-24,4604.7
2015-06-25,4529.0
2015-06-26,4557.7
2015-06-29,4602.6
2015-06-30,4494.5
2015-07-01,4546.4
2015-07-02,4459.4
2015-07-03,4460.2
2015-07-06,4486.9
2015-07-07,4427.6
2015-07-08,4455.7
2015-07-09,4449.1
2015-07-10,4487.6
2015-07-13,4428.8
2015-07-14,4430.0
2015-07-15,4406.9
2015-07-16,4376.9
2015-07-17,4446.0
2015-07-20,4343.5
2015-07-21,4398.6
2015-07-22,4396.9
2015-07-23,4484.2
2015-07-24,4414.7
2015-07-27,4459.3
2015-07-28,4445.0
2015-07-29,4407.5
2015-07-30,4384.7
2015-07-31,4397.6
2015-08-03,4383.2
2015-08-04,4354.7
2015-08-05,4496.7
2015-08-06,4366.0
2015-08-07,4376.8
2015-08-10,4548.7
2015-08-11,4565.1
2015-08-12,4583.9
2015-08-13,4565.3
2015-08-14,4546.7
2015-08-17,4534.8
2015-08-18,4510.9
2015-08-19,4558.5
2015-08-20,4602.5
2015-08-21,4665.3
2015-08-24,4741.9
2015-08-25,4724.8
2015-08-26,4640.0
2015-08-27,4603.2
2015-08-28,4582.6
2015-08-31,4594.9
2015-09-01,4634.1
2015-09-02,4601.1
2015-09-03,4564.1
2015-09-04,4570.5
2015-09-07,4587.3
2015-09-08,4588.2
2015-09-09,4596.5
2015-09-10,4604.6
2015-09-11,4642.5
2015-09-14,4623.7
2015-09-15,4580.6
2015-09-16,4620.1
2015-09-17,4676.1
2015-09-18,4602.3
2015-09-21,4549.3
2015-09-22,4562.3
2015-09-23,4551.6
2015-09-24,4547.1
2015-09-25,4579.8
2015-09-28,4591.4
2015-09-29,4592.9
2015-09-30,4557.1
2015-10-01,4559.1
2015-10-02,4566.8
2015-10-05,4546.3
2015-10-06,4585.8
2015-10-07,4568.8
2015-10-08,4573.9
2015-10-09,4604.4
2015-10-12,4606.0
2015-10-13,4614.6
2015-10-14,4656.2
2015-10-15,4577.5
2015-10-16,4566.5
2015-10-19,4564.1
2015-10-20,4627.3
2015-10-21,4567.1
2015-10-22,4521.0
2015-10-23,4440.1
2015-10-26,4481.4
2015-10-27,4490.8
2015-10-28,4446.9
2015-10-29,4435.8
2015-10-30,4438.4
2015-11-02,4461.2
2015-11-03,4439.7
2015-11-04,4376.9
2015-11-05,4403.6
2015-11-06,4325.3
2015-11-09,4354.1
2015-11-10,4321.1
2015-11-11,4337.6
2015-11-12,4361.9
2015-11-13,4346.1
2015-11-16,4310.9
2015-11-17,4305.6
2015-11-18,4278.0
2015-11-19,4331.8
2015-11-20,4297.2
2015-11-23,4293.3
2015-11-24,4260.5
2015-11-25,4250.8
2015-11-26,4244.5
2015-11-27,4238.1
2015-11-30,4275.6
2015-12-01,4264.7
2015-12-02,4230.4
2015-12-03,4430.5
2015-12-04,4374.4
2015-12-07,4320.0
2015-12-08,4411.3
2015-12-09,4455.9
2015-12-10,4395.4
2015-12-11,4446.2
2015-12-14,4447.6
2015-12-15,4407.9
2015-12-16,4418.4
2015-12-17,4374.0
2015-12-18,4397.5
2015-12-21,4419.4
2015-12-22,4428.3
2015-12-23,4414.6
2015-12-24,4433.4
2015-12-25,4442.9
2015-12-28,4443.2
2015-12-29,4422.2
2015-12-30,4428.9
2015-12-31,4404.2
2016-01-01,4400.9
2016-01-04,4356.7
2016-01-05,4332.6
2016-01-06,4337.7
2016-01-07,4419.6
2016-01-08,4422.3
2016-01-11,4363.2
2016-01-12,4364.9
2016-01-13,4402.7
2016-01-14,4397.5
2016-01-15,4408.8
2016-01-18,4414.9
2016-01-19,4402.6
2016-01-20,4382.0
2016-01-21,4375.7
2016-01-22,4348.4
2016-01-25,4370.2
2016-01-26,4387.5
2016-01-27,4392.2
2016-01-28,4420.9
2016-01-29,4352.0
