date,exchange_rate
2014-11-24,492.44
2014-11-25,493.85
2014-11-26,493.6
2014-11-27,492.16
2014-11-28,493.01
2014-12-01,493.77
2014-12-02,487.91
2014-12-03,489.52
2014-12-04,495.3
2014-12-05,489.13
2014-12-08,493.3
2014-12-09,495.52
2014-12-10,495.35
2014-12-11,491.22
2014-12-12,495.83
2014-12-15,491.3
2014-12-16,494.07
2014-12-17,492.06
2014-12-18,490.18
2014-12-19,489.91
2014-12-22,491.99
2014-12-23,489.77
2014-12-24,492.71
2014-12-25,493.77
2014-12-26,491.92
2014-12-29,491.67
2014-12-30,492.43
2014-12-31,489.45
2015-01-01,489.61
2015-01-02,487.13
2015-01-05,489.09
2015-01-06,486.64
2015-01-07,488.66
2015-01-08,490.55
2015-01-09,494.62
2015-01-12,491.99
2015-01-13,489.79
2015-01-14,493.12
2015-01-15,485.89
2015-01-16,489.83
2015-01-19,494.11
2015-01-20,491.75
2015-01-21,495.27
2015-01-22,492.53
2015-01-23,485.06
2015-01-26,492.48
2015-01-27,496.73
2015-01-28,487.91
2015-01-29,491.72
2015-01-30,491.39
2015-02-02,494.19
2015-02-03,497.89
2015-02-04,486.25
2015-02-05,494.66
2015-02-06,487.45
2015-02-09,487.98
2015-02-10,487.48
2015-02-11,488.11
2015-02-12,491.1
2015-02-13,490.38
2015-02-16,489.09
2015-02-17,491.69
2015-02-18,491.29
2015-02-19,489.63
2015-02-20,492.05
2015-02-23,490.09
2015-02-24,490.03
2015-02-25,492.4
2015-02-26,483.9
2015-02-27,492.48
2015-03-02,485.16
2015-03-03,484.98
2015-03-04,487.41
2015-03-05,485.55
2015-03-06,477.11
2015-03-09,477.07
2015-03-10,470.23
2015-03-11,492.53
2015-03-12,492.2
2015-03-13,488.3
2015-03-16,491.31
2015-03-17,492.97
2015-03-18,503.98
2015-03-19,492.74
2015-03-20,500.65
2015-03-23,504.56
2015-03-24,502.33
2015-03-25,507.58
2015-03-26,489.21
2015-03-27,490.22
2015-03-30,487.19
2015-03-31,483.15
2015-04-01,488.3
2015-04-02,497.43
2015-04-03,492.43
2015-04-06,497.88
2015-04-07,495.02
2015-04-08,489.25
2015-04-09,487.81
2015-04-10,484.82
2015-04-13,484.57
2015-04-14,487.3
2015-04-15,488.33
2015-04-16,489.95
2015-04-17,492.06
2015-04-20,492.05
2015-04-21,492.03
2015-04-22,491.24
2015-04-23,495.79
2015-04-24,497.53
2015-04-27,498.21
2015-04-28,492.3
2015-04-29,499.5
2015-04-30,514.21
2015-05-01,493.2
2015-05-04,490.7
2015-05-05,491.35
2015-05-06,498.48
2015-05-07,494.74
2015-05-08,494.15
2015-05-11,493.24
2015-05-12,491.66
2015-05-13,501.2
2015-05-14,503.39
2015-05-15,504.27
2015-05-18,499.42
2015-05-19,491.93
2015-05-20,489.78
2015-05-21,490.25
2015-05-22,486.06
2015-05-25,484.5
2015-05-26,480.51
2015-05-27,483.48
2015-05-28,484.16
2015-05-29,486.23
2015-06-01,484.42
2015-06-02,492.11
2015-06-03,497.42
2015-06-04,494.51
2015-06-05,493.25
2015-06-08,492.9
2015-06-09,492.49
2015-06-10,494.48
2015-06-11,490.79
2015-06-12,491.56
2015-06-15,492.26
2015-06-16,490.83
2015-06-17,496.33
2015-06-18,497.87
2015-06-19,497.04
2015-06-22,492.56
2015-06-23,488.91
2015-06-24,492.57
2015-06-25,490.23
2015-06-26,488.57
2015-06-29,490.74
2015-06-30,487.23
2015-07-01,484.51
2015-07-02,484.7
2015-07-03,487.35
2015-07-06,493.55
2015-07-07,491.2
2015-07-08,494.27
2015-07-09,493.53
2015-07-10,497.81
2015-07-13,491.29
2015-07-14,491.66
2015-07-15,488.85
2015-07-16,485.53
2015-07-17,492.14
2015-07-20,482.66
2015-07-21,487.52
2015-07-22,487.09
2015-07-23,489.65
2015-07-24,489.19
2015-07-27,494.08
2015-07-28,492.86
2015-07-29,489.5
2015-07-30,487.03
2015-07-31,489.21
2015-08-03,487.86
2015-08-04,492.48
2015-08-05,486.52
2015-08-06,486.62
2015-08-07,488.06
2015-08-10,492.39
2015-08-11,492.4
2015-08-12,496.74
2015-08-13,494.41
2015-08-14,494.57
2015-08-17,493.11
2015-08-18,490.75
2015-08-19,494.68
2015-08-20,499.88
2015-08-21,506.89
2015-08-24,515.16
2015-08-25,513.12
2015-08-26,504.15
2015-08-27,499.97
2015-08-28,497.19
2015-08-31,498.48
2015-09-01,502.49
2015-09-02,498.61
2015-09-03,494.31
2015-09-04,495.54
2015-09-07,492.34
2015-09-08,498.08
2015-09-09,493.79
2015-09-10,494.65
2015-09-11,496.65
2015-09-14,495.31
2015-09-15,493.54
2015-09-16,494.33
2015-09-17,492.43
2015-09-18,495.21
2015-09-21,489.7
2015-09-22,492.4
2015-09-23,489.77
2015-09-24,489.1
2015-09-25,489.8
2015-09-28,491.58
2015-09-29,492.3
2015-09-30,488.87
2015-10-01,489.63
2015-10-02,490.45
2015-10-05,489.9
2015-10-06,493.31
2015-10-07,492.03
2015-10-08,493.56
2015-10-09,497.16
2015-10-12,497.08
2015-10-13,498.2
2015-10-14,502.02
2015-10-15,497.71
2015-10-16,496.4
2015-10-19,495.52
2015-10-20,496.54
2015-10-21,495.86
2015-10-22,485.49
2015-10-23,481.83
2015-10-26,483.5
2015-10-27,482.66
2015-10-28,477.77
2015-10-29,480.64
2015-10-30,492.5
2015-11-02,481.67
2015-11-03,479.4
2015-11-04,475.26
2015-11-05,475.68
2015-11-06,469.66
2015-11-09,470.28
2015-11-10,468.98
2015-11-11,469.9
2015-11-12,472.47
2015-11-13,470.96
2015-11-16,467.15
2015-11-17,465.33
2015-11-18,465.72
2015-11-19,468.84
2015-11-20,465.03
2015-11-23,464.5
2015-11-24,464.88
2015-11-25,463.78
2015-11-26,463.08
2015-11-27,462.38
2015-11-30,461.36
2015-12-01,463.74
2015-12-02,463.01
2015-12-03,492.47
2015-12-04,492.33
2015-12-07,479.21
2015-12-08,492.45
2015-12-09,480.71
2015-12-10,477.19
2015-12-11,485.03
2015-12-14,479.59
2015-12-15,476.79
2015-12-16,475.67
2015-12-17,472.43
2015-12-18,473.79
2015-12-21,475.8
2015-12-22,477.33
2015-12-23,475.3
2015-12-24,492.73
2015-12-28,492.01
2015-12-29,475.89
2015-12-30,476.19
2015-12-31,473.55
2016-01-01,473.19
2016-01-04,486.65
2016-01-05,492.27
2016-01-06,484.25
2016-01-07,475.56
2016-01-08,475.57
2016-01-11,472.72
2016-01-12,472.73
2016-01-13,473.75
2016-01-14,473.15
2016-01-15,475.13
2016-01-18,474.23
2016-01-19,474.87
2016-01-20,473.9
2016-01-21,473.15
2016-01-22,469.74
2016-01-25,472.09
2016-01-26,493.48
2016-01-27,494.37
2016-01-28,492.42
2016-01-29,489.37
2016-02-01,492.16
2016-02-02,493.47
2016-02-03,492.5
2016-02-04,505.94
2016-02-05,493.54
2016-02-08,495.14
2016-02-09,499.09
2016-02-10,498.53
2016-02-11,500.0
2016-02-12,497.36
2016-02-15,493.25
2016-02-16,492.33
2016-02-17,491.59
2016-02-18,490.72
2016-02-19,491.66
2016-02-22,486.99
2016-02-23,486.74
2016-02-24,486.57
2016-02-25,486.8
2016-02-26,492.44
2016-02-29,480.54
2016-03-01,479.73
2016-03-02,479.68
2016-03-03,492.35
2016-03-04,485.73
2016-03-07,486.08
2016-03-08,485.8
2016-03-09,485.47
2016-03-10,493.31
2016-03-11,492.3
2016-03-14,490.11
2016-03-15,490.26
2016-03-16,494.99
2016-03-17,499.46
2016-03-18,497.46
2016-03-21,496.1
2016-03-22,495.02
2016-03-23,493.62
2016-03-24,493.4
2016-03-25,492.8
2016-03-28,494.22
2016-03-29,498.2
2016-03-30,500.16
2016-03-31,492.03
2016-04-01,492.94
2016-04-04,492.58
2016-04-05,492.21
2016-04-06,494.59
2016-04-07,493.61
2016-04-08,494.58
2016-04-11,495.1
2016-04-12,494.06
2016-04-13,489.42
2016-04-14,488.74
2016-04-15,489.63
2016-04-18,490.64
2016-04-19,492.69
2016-04-20,490.22
2016-04-21,489.7
2016-04-22,487.16
2016-04-25,488.76
2016-04-26,489.96
2016-04-27,491.15
2016-04-28,492.33
2016-04-29,492.55
2016-05-02,499.72
2016-05-03,490.97
2016-05-04,490.57
2016-05-05,486.79
2016-05-06,486.94
2016-05-09,486.08
2016-05-10,485.73
2016-05-11,487.69
2016-05-12,485.73
2016-05-13,482.75
2016-05-16,483.03
2016-05-17,482.93
2016-05-18,479.13
2016-05-19,478.18
2016-05-20,478.69
2016-05-23,478.77
2016-05-24,475.47
2016-05-25,476.05
2016-05-26,477.53
2016-05-27,474.15
2016-05-30,475.28
2016-05-31,474.93
2016-06-01,477.14
2016-06-02,475.78
2016-06-03,484.7
2016-06-06,484.35
2016-06-07,492.24
2016-06-08,486.17
2016-06-09,482.57
2016-06-10,479.83
2016-06-13,481.34
2016-06-14,491.43
2016-06-15,480.27
2016-06-16,478.7
2016-06-17,480.72
2016-06-20,492.46
2016-06-21,479.75
2016-06-22,482.44
2016-06-23,493.33
2016-06-24,473.69
2016-06-27,469.38
2016-06-28,471.75
2016-06-29,473.79
2016-06-30,472.73
2016-07-01,474.31
2016-07-04,475.05
2016-07-05,471.18
2016-07-06,472.62
2016-07-07,471.05
2016-07-08,470.5
2016-07-11,470.89
2016-07-12,471.01
2016-07-13,472.49
2016-07-14,473.17
2016-07-15,471.04
2016-07-18,471.38
2016-07-19,468.92
2016-07-20,468.64
2016-07-21,493.15
2016-07-22,490.9
2016-07-25,491.57
2016-07-26,491.18
2016-07-27,495.24
2016-07-28,496.13
2016-07-29,491.96
2016-08-01,492.25
2016-08-02,492.29
2016-08-03,499.26
2016-08-04,498.27
2016-08-05,496.3
2016-08-08,496.23
2016-08-09,497.77
2016-08-10,492.53
2016-08-11,498.52
2016-08-12,499.73
2016-08-15,491.93
2016-08-16,496.39
2016-08-17,496.57
2016-08-18,508.15
2016-08-19,507.06
2016-08-22,506.64
2016-08-23,505.97
2016-08-24,504.17
2016-08-25,505.06
2016-08-26,501.24
2016-08-29,500.79
2016-08-30,498.81
2016-08-31,499.42
2016-09-01,501.13
2016-09-02,491.06
2016-09-05,499.21
2016-09-06,495.02
2016-09-07,494.81
2016-09-08,495.68
2016-09-09,494.16
2016-09-12,494.45
2016-09-13,493.52
2016-09-14,494.89
2016-09-15,494.96
2016-09-16,490.92
2016-09-19,491.74
2016-09-20,490.52
2016-09-21,492.14
2016-09-22,493.0
2016-09-23,493.79
2016-09-26,494.79
2016-09-27,493.09
2016-09-28,493.07
2016-09-29,493.22
2016-09-30,493.98
2016-10-03,492.67
2016-10-04,492.32
2016-10-05,492.39
2016-10-06,489.56
2016-10-07,492.08
2016-10-10,489.18
2016-10-11,485.5
2016-10-12,483.63
2016-10-13,485.33
2016-10-14,481.39
2016-10-17,492.43
2016-10-18,487.77
2016-10-19,481.72
2016-10-20,491.52
2016-10-21,477.59
2016-10-24,477.17
2016-10-25,477.92
2016-10-26,478.55
2016-10-27,478.01
2016-10-28,481.94
2016-10-31,481.34
2016-11-01,492.21
2016-11-02,493.79
2016-11-03,491.99
2016-11-04,493.93
2016-11-07,488.96
2016-11-08,491.18
2016-11-09,486.24
2016-11-10,488.74
2016-11-11,487.16
2016-11-14,480.79
2016-11-15,492.09
2016-11-16,494.39
2016-11-17,478.81
2016-11-21,491.97
2016-11-22,491.97
2016-11-23,491.97
2016-11-24,491.97
2016-11-25,491.97
2016-11-28,491.97
2016-11-29,491.97
2016-11-30,491.97
2016-12-01,491.97
2016-12-02,491.97
2016-12-05,491.97
2016-12-06,491.97
2016-12-07,491.97
2016-12-08,491.97
2016-12-09,491.97
2016-12-12,491.97
2016-12-13,491.97
2016-12-14,491.97
2016-12-15,491.97
2016-12-16,491.97
2016-12-19,491.97
2016-12-20,491.97
2016-12-21,491.97
2016-12-22,491.97
2016-12-23,491.97
2016-12-26,491.97
2016-12-27,491.97
2016-12-28,491.97
2016-12-29,491.97
2016-12-30,491.97
2017-01-02,491.97
2017-01-03,491.97
2017-01-04,491.97
2017-01-05,491.97
2017-01-06,491.97
2017-01-09,491.97
2017-01-10,491.97
2017-01-11,491.97
2017-01-12,491.97
2017-01-13,491.97
2017-01-16,491.97
2017-01-17,491.97
2017-01-18,491.97
2017-01-19,491.97
2017-01-20,491.97
2017-01-24,491.97
2017-01-25,491.97
2017-01-26,491.97
2017-01-27,491.97
2017-01-30,491.97
2017-01-31,491.97
2017-02-01,491.97
2017-02-02,491.97
2017-02-03,491.97
2017-02-06,491.97
2017-02-07,491.97
2017-02-08,491.97
2017-02-09,491.97
2017-02-10,491.97
2017-02-13,491.97
2017-02-14,491.97
2017-02-15,491.97
2017-02-16,491.97
2017-02-17,491.97
2017-02-20,491.97
2017-02-21,491.97
2017-02-22,491.97
2017-02-23,491.97
2017-02-24,491.97
2017-02-27,491.97
2017-02-28,491.97
2017-03-01,491.97
2017-03-02,491.97
2017-03-03,491.97
2017-03-06,491.97
2017-03-07,491.97
2017-03-08,491.97
2017-03-09,491.97
2017-03-10,491.97
2017-03-13,491.97
2017-03-14,491.97
2017-03-15,491.97
2017-03-16,491.97
2017-03-17,491.97
2017-03-20,491.97
2017-03-21,491.97
2017-03-22,491.97
2017-03-23,491.97
2017-03-24,491.97
2017-03-27,491.97
2017-03-28,491.97
2017-03-29,491.97
2017-03-30,491.97
2017-03-31,491.97
2017-04-03,491.97
2017-04-04,491.97
2017-04-05,491.97
2017-04-06,491.97
2017-04-07,491.97
2017-04-10,491.97
2017-04-11,491.97
2017-04-12,491.97
2017-04-13,491.97
2017-04-14,491.97
2017-04-17,491.97
2017-04-18,491.97
2017-04-19,491.97
2017-04-20,491.97
2017-04-21,491.97
2017-04-24,491.97
2017-04-25,491.97
2017-04-26,491.97
2017-04-27,491.97
2017-04-28,491.97
2017-05-01,491.97
2017-05-02,491.97
2017-05-03,491.97
2017-05-04,491.97
2017-05-05,491.97
