date,exchange_rate
2023-10-28,952.020053
2023-10-30,950.444118
2023-10-31,952.080037
2023-11-01,952.489504
2023-11-02,955.295065
2023-11-03,966.188478
2023-11-04,966.218586
2023-11-05,965.520386
2023-11-06,964.833848
2023-11-07,962.791073
2023-11-08,963.861196
2023-11-09,960.002433
2023-11-10,964.291452
2023-11-12,964.319398
2023-11-13,961.778025
2023-11-14,979.35985
2023-11-15,976.490762
2023-11-16,976.783075
2023-11-17,982.433884
2023-11-18,982.491758
2023-11-19,981.756905
2023-11-20,984.580376
2023-11-21,982.09522
2023-11-22,979.857719
2023-11-23,981.458717
2023-11-24,985.450224
2023-11-25,985.432749
2023-11-26,985.052281
2023-11-27,985.923387
2023-11-28,989.628643
2023-11-29,987.557007
2023-11-30,980.177567
2023-12-01,980.276955
2023-12-02,979.737405
2023-12-03,980.050656
2023-12-04,975.139745
2023-12-05,971.642163
2023-12-06,968.831617
2023-12-07,971.582103
2023-12-08,968.714507
2023-12-09,969.574174
2023-12-10,968.35106
2023-12-11,968.627743
2023-12-12,971.462408
2023-12-13,978.654831
2023-12-14,989.380585
2023-12-15,980.4161
2023-12-16,981.675499
2023-12-17,981.268183
2023-12-18,983.06358
2023-12-19,988.288204
2023-12-20,984.528784
2023-12-21,990.462999
2023-12-22,990.994011
2023-12-23,992.240945
2023-12-24,992.227481
2023-12-25,990.69837
2023-12-26,993.7399
2023-12-27,999.489698
2023-12-28,995.857107
2023-12-29,993.400099
2023-12-30,994.940782
2023-12-31,994.912857
2024-01-01,994.200282
2024-01-02,984.799089
2024-01-03,982.881159
2024-01-04,985.085594
2024-01-05,984.493489
2024-01-06,985.916584
2024-01-07,985.923114
2024-01-08,985.907007
2024-01-09,983.38744
2024-01-10,986.677271
2024-01-11,987.151242
2024-01-12,985.809786
2024-01-13,986.650786
2024-01-14,986.575119
2024-01-15,985.548916
2024-01-16,978.424659
2024-01-17,978.648396
2024-01-18,977.730576
2024-01-19,980.201971
2024-01-20,982.309253
2024-01-21,982.31701
2024-01-22,979.479898
2024-01-23,976.094973
2024-01-24,979.888956
2024-01-25,974.517952
2024-01-26,977.309823
2024-01-27,977.714618
2024-01-28,977.72462
2024-01-29,973.741613
2024-01-30,976.077037
2024-01-31,977.513073
2024-02-01,978.532017
2024-02-02,971.457053
2024-02-03,972.59332
2024-02-04,972.605076
2024-02-05,966.505691
2024-02-06,967.659713
2024-02-07,969.588186
2024-02-08,969.792812
2024-02-09,970.796065
2024-02-10,970.625892
2024-02-11,970.562695
2024-02-12,969.587498
2024-02-13,963.536804
2024-02-14,965.565927
2024-02-15,969.214286
2024-02-16,970.294382
2024-02-17,969.99284
2024-02-18,969.984765
2024-02-19,970.110051
2024-02-20,972.829135
2024-02-21,973.437633
2024-02-22,974.026191
2024-02-23,973.97204
2024-02-24,975.027125
2024-02-25,975.047243
2024-02-26,976.106765
2024-02-27,976.392245
2024-02-28,975.217746
2024-02-29,972.557808
2024-03-01,975.672369
2024-03-02,976.521822
2024-03-03,976.693468
2024-03-04,977.108519
2024-03-05,976.716279
2024-03-06,981.124016
2024-03-07,984.796971
2024-03-08,984.311518
2024-03-09,984.962294
2024-03-10,984.968888
2024-03-11,983.026521
2024-03-12,983.014969
2024-03-13,985.824906
2024-03-14,979.868665
2024-03-15,980.06543
2024-03-16,980.846896
2024-03-17,980.87262
2024-03-18,978.186649
2024-03-19,977.771164
2024-03-20,978.668641
2024-03-21,977.361393
2024-03-22,972.587392
2024-03-23,977.703265
2024-03-24,977.727034
2024-03-25,975.181354
2024-03-26,974.838678
2024-03-27,973.681751
2024-03-28,971.654854
2024-03-29,971.047207
2024-03-30,971.96154
2024-03-31,971.937652
2024-04-01,966.707662
2024-04-02,968.996265
2024-04-03,974.689938
2024-04-04,977.38925
2024-04-05,975.106546
2024-04-06,976.249041
2024-04-07,976.249367
2024-04-08,977.05476
2024-04-09,976.720971
2024-04-10,966.859901
2024-04-11,964.59813
2024-04-12,958.103185
2024-04-13,960.358479
2024-04-14,960.358612
2024-04-15,957.152118
2024-04-16,956.063884
2024-04-17,958.737397
2024-04-18,958.819108
2024-04-19,958.567661
2024-04-20,959.996172
2024-04-21,959.996172
2024-04-22,958.47193
2024-04-23,962.943128
2024-04-24,961.826704
2024-04-25,964.749514
2024-04-26,962.22739
2024-04-27,963.236418
2024-04-28,963.236418
2024-04-29,964.790882
2024-04-30,961.112701
2024-05-01,961.056099
2024-05-02,963.495689
2024-05-03,968.987409
2024-05-04,969.461889
2024-05-05,969.461889
2024-05-06,969.472842
2024-05-07,969.592879
2024-05-08,967.763755
2024-05-09,969.431088
2024-05-10,969.786601
2024-05-11,970.832036
2024-05-12,970.832036
2024-05-13,971.780389
2024-05-14,973.593815
2024-05-15,977.113856
2024-05-16,978.462736
2024-05-17,978.47422
2024-05-18,980.494253
2024-05-19,980.494253
2024-05-20,977.626178
2024-05-21,976.959697
2024-05-22,975.218234
2024-05-23,974.267883
2024-05-24,976.705244
2024-05-25,976.932742
2024-05-26,976.932742
2024-05-27,977.314769
2024-05-28,978.781609
2024-05-29,972.878114
2024-05-30,976.053487
2024-05-31,976.700213
2024-06-01,977.087926
2024-06-02,977.087926
2024-06-03,980.103582
2024-06-04,979.007432
2024-06-05,977.888636
2024-06-06,979.452936
2024-06-07,972.457586
2024-06-08,973.283989
2024-06-09,973.283989
2024-06-10,967.247586
2024-06-11,965.773716
2024-06-12,976.307851
2024-06-13,968.627738
2024-06-14,962.834272
2024-06-15,964.785043
2024-06-16,964.785043
2024-06-17,964.992492
2024-06-18,966.323763
2024-06-19,966.786085
2024-06-20,964.227493
2024-06-21,961.759519
2024-06-22,963.339286
2024-06-23,963.339286
2024-06-24,965.572499
2024-06-25,962.981504
2024-06-26,961.456981
2024-06-27,964.340609
2024-06-28,963.638567
2024-06-29,964.785043
2024-06-30,964.785043
2024-07-01,966.307922
2024-07-02,965.623656
2024-07-03,973.025805
2024-07-04,972.6046
2024-07-05,973.530643
2024-07-06,976.82718
2024-07-07,976.82718
2024-07-08,975.505567
2024-07-09,973.478222
2024-07-10,974.384919
2024-07-11,978.675534
2024-07-12,980.670325
2024-07-13,982.850625
2024-07-14,982.850625
2024-07-15,982.361274
2024-07-16,979.3402
2024-07-17,984.166713
2024-07-18,981.622225
2024-07-19,979.570419
2024-07-20,980.338696
2024-07-21,980.338696
2024-07-22,978.80917
2024-07-23,976.86009
2024-07-24,977.89969
2024-07-25,975.853713
2024-07-26,977.8894
2024-07-27,978.526709
2024-07-28,978.526709
2024-07-29,973.389314
2024-07-30,972.794729
2024-07-31,975.663567
2024-08-01,972.463465
2024-08-02,981.087263
2024-08-03,982.850625
2024-08-04,982.850625
2024-08-05,988.430264
2024-08-06,983.081068
2024-08-07,983.015792
2024-08-08,980.317557
2024-08-09,983.165958
2024-08-10,983.015607
2024-08-11,983.015607
2024-08-12,983.294891
2024-08-13,986.463701
2024-08-14,993.442872
2024-08-15,986.052128
2024-08-16,990.012136
2024-08-17,993.102901
2024-08-18,993.102901
2024-08-19,993.004757
2024-08-20,999.36143
2024-08-21,1000.823012
2024-08-22,1002.439024
2024-08-23,999.694448
2024-08-24,1008.685344
2024-08-25,1008.685344
2024-08-26,1003.902718
2024-08-27,1003.987974
2024-08-28,1000.225779
2024-08-29,997.611186
2024-08-30,995.740094
2024-08-31,995.460497
2024-09-01,995.460497
2024-09-02,996.274949
2024-09-03,995.272367
2024-09-04,994.801371
2024-09-05,999.317044
2024-09-06,996.959185
2024-09-07,998.331474
2024-09-08,998.331474
2024-09-09,994.101723
2024-09-10,991.738472
2024-09-11,991.637404
2024-09-12,993.246176
2024-09-13,998.452245
2024-09-14,997.615714
2024-09-15,997.615714
2024-09-16,1001.479907
2024-09-17,1002.740189
2024-09-18,1001.289902
2024-09-19,1004.243648
2024-09-20,1004.850565
2024-09-21,1005.693717
2024-09-22,1005.693717
2024-09-23,1000.160507
2024-09-24,1001.448337
2024-09-25,1006.429454
2024-09-26,1003.545556
2024-09-27,1004.878354
2024-09-28,1005.13213
2024-09-29,1005.13213
2024-09-30,1006.587207
2024-10-01,997.787608
2024-10-02,996.224981
2024-10-03,993.10288
2024-10-04,992.708141
2024-10-05,988.354248
2024-10-06,988.354248
2024-10-07,987.020056
2024-10-08,988.787617
2024-10-09,986.906448
2024-10-10,984.149102
2024-10-11,983.869378
2024-10-12,985.382407
2024-10-13,985.383411
2024-10-14,983.337771
2024-10-15,981.51474
2024-10-16,980.525425
2024-10-17,977.62061
2024-10-18,976.016847
2024-10-19,978.681774
2024-10-20,978.681774
2024-10-21,976.307701
2024-10-22,974.421193
2024-10-23,970.271703
2024-10-24,971.849111
2024-10-25,974.431743
2024-10-26,971.974046
2024-10-27,971.974046
2024-10-28,973.636174
2024-10-29,973.693789
2024-10-30,975.366273
2024-10-31,978.191513
2024-11-01,977.07645
2024-11-02,979.271384
2024-11-03,979.271384
2024-11-04,980.675004
