date,exchange_rate
2014-11-07,1351.80005
2014-11-10,1347.09998
2014-11-11,1365.19995
2014-11-12,1356.90002
2014-11-13,1361.30005
2014-11-14,1381.40002
2014-11-17,1370.30005
2014-11-18,1373.09998
2014-11-19,1389.90002
2014-11-20,1394.40002
2014-11-21,1376.09998
2014-11-24,1387.80005
2014-11-25,1385.09998
2014-11-26,1383.0
2014-11-27,1372.30005
2014-11-28,1381.30005
2014-12-01,1380.30005
2014-12-02,1379.69995
2014-12-03,1369.90002
2014-12-04,1379.19995
2014-12-05,1376.90002
2014-12-08,1370.59998
2014-12-09,1366.69995
2014-12-10,1373.69995
2014-12-11,1364.0
2014-12-12,1370.19995
2014-12-15,1368.0
2014-12-16,1350.69995
2014-12-17,1347.59998
2014-12-18,1346.5
2014-12-19,1340.90002
2014-12-22,1339.5
2014-12-23,1339.5
2014-12-24,1345.59998
2014-12-25,1348.5
2014-12-26,1343.80005
2014-12-30,1334.0
2014-12-31,1319.19995
2015-01-01,1319.69995
2015-01-02,1324.69995
2015-01-05,1322.90002
2015-01-06,1302.90002
2015-01-07,1300.09998
2015-01-08,1291.90002
2015-01-09,1290.69995
2015-01-12,1282.19995
2015-01-13,1268.19995
2015-01-14,1274.30005
2015-01-15,1253.09998
2015-01-16,1244.0
2015-01-19,1250.90002
2015-01-20,1255.5
2015-01-21,1256.19995
2015-01-22,1225.90002
2015-01-23,1205.09998
2015-01-26,1214.69995
2015-01-27,1223.0
2015-01-28,1222.19995
2015-01-29,1245.40002
2015-01-30,1242.59998
2015-02-02,1245.19995
2015-02-03,1256.90002
2015-02-04,1230.19995
2015-02-05,1247.69995
2015-02-06,1234.19995
2015-02-09,1240.90002
2015-02-10,1241.09998
2015-02-11,1250.09998
2015-02-12,1261.19995
2015-02-13,1249.40002
2015-02-16,1249.09998
2015-02-17,1259.69995
2015-02-18,1267.80005
2015-02-19,1263.09998
2015-02-20,1263.0
2015-02-23,1256.0
2015-02-24,1251.69995
2015-02-25,1249.0
2015-02-26,1232.0
2015-02-27,1233.19995
2015-03-02,1230.5
2015-03-03,1224.40002
2015-03-04,1214.0
2015-03-05,1214.80005
2015-03-06,1197.5
2015-03-09,1206.40002
2015-03-10,1200.40002
2015-03-11,1187.69995
2015-03-12,1188.09998
2015-03-13,1192.40002
2015-03-16,1194.59998
2015-03-17,1195.5
2015-03-18,1201.40002
2015-03-19,1195.80005
2015-03-20,1203.0
2015-03-23,1212.59998
2015-03-24,1203.40002
2015-03-25,1205.30005
2015-03-26,1200.80005
2015-03-27,1202.0
2015-03-30,1196.40002
2015-03-31,1189.19995
2015-04-01,1186.40002
2015-04-02,1185.40002
2015-04-03,1190.69995
2015-04-06,1186.69995
2015-04-07,1179.69995
2015-04-08,1177.40002
2015-04-09,1167.69995
2015-04-10,1158.69995
2015-04-13,1162.69995
2015-04-14,1161.59998
2015-04-15,1167.90002
2015-04-16,1170.19995
2015-04-17,1167.5
2015-04-20,1159.59998
2015-04-21,1161.19995
2015-04-22,1157.80005
2015-04-23,1168.80005
2015-04-24,1168.30005
2015-04-27,1166.90002
2015-04-28,1170.90002
2015-04-29,1184.59998
2015-04-30,1206.09998
2015-05-01,1209.59998
2015-05-04,1203.59998
2015-05-05,1207.90002
2015-05-06,1221.90002
2015-05-07,1226.59998
2015-05-08,1217.40002
2015-05-11,1220.80005
2015-05-12,1224.0
2015-05-13,1238.19995
2015-05-14,1241.19995
2015-05-15,1239.19995
2015-05-18,1231.80005
2015-05-19,1218.09998
2015-05-20,1214.40002
2015-05-21,1213.19995
2015-05-22,1203.19995
2015-05-25,1202.59998
2015-05-26,1204.30005
2015-05-27,1207.90002
2015-05-28,1214.0
2015-05-29,1221.0
2015-06-01,1214.19995
2015-06-02,1233.40002
2015-06-03,1244.59998
2015-06-04,1246.40002
2015-06-05,1246.0
2015-06-08,1267.19995
2015-06-09,1263.0
2015-06-10,1258.80005
2015-06-11,1249.90002
2015-06-12,1250.90002
2015-06-15,1256.0
2015-06-16,1256.69995
2015-06-17,1269.90002
2015-06-18,1251.30005
2015-06-19,1250.5
2015-06-22,1249.09998
2015-06-23,1233.80005
2015-06-24,1243.19995
2015-06-25,1243.30005
2015-06-26,1252.19995
2015-06-29,1254.09998
2015-06-30,1245.5
2015-07-01,1239.69995
2015-07-02,1241.59998
2015-07-03,1247.19995
2015-07-06,1242.7
2015-07-07,1248.2
2015-07-08,1255.0
2015-07-09,1249.8
2015-07-10,1254.9
2015-07-13,1246.3
2015-07-14,1257.1
2015-07-15,1253.3
2015-07-16,1247.6
2015-07-17,1244.9
2015-07-20,1249.5
2015-07-21,1258.3
2015-07-22,1263.0
2015-07-23,1273.8
2015-07-24,1284.8
2015-07-27,1294.0
2015-07-28,1282.6
2015-07-29,1271.9
2015-07-30,1280.6
2015-07-31,1273.4
2015-08-03,1278.7
2015-08-04,1263.1
2015-08-05,1279.7
2015-08-06,1270.2
2015-08-07,1275.6
2015-08-10,1277.7
2015-08-11,1305.2
2015-08-12,1306.3
2015-08-13,1310.8
2015-08-14,1307.6
2015-08-17,1307.7
2015-08-18,1305.0
2015-08-19,1313.6
2015-08-20,1331.6
2015-08-21,1359.4
2015-08-24,1373.3
2015-08-25,1370.1
2015-08-26,1343.4
2015-08-27,1315.2
2015-08-28,1321.3
2015-08-31,1324.9
2015-09-01,1332.9
2015-09-02,1324.3
2015-09-03,1320.4
2015-09-04,1336.8
2015-09-07,1339.0
2015-09-08,1338.8
2015-09-09,1330.0
2015-09-10,1333.9
2015-09-11,1339.6
2015-09-14,1335.9
2015-09-15,1327.6
2015-09-16,1321.0
2015-09-17,1329.1
2015-09-18,1325.0
2015-09-21,1318.2
2015-09-22,1317.6
2015-09-23,1335.2
2015-09-24,1335.6
2015-09-25,1331.3
2015-09-28,1342.3
2015-09-29,1343.2
2015-09-30,1322.8
2015-10-01,1319.7
2015-10-02,1313.2
2015-10-05,1295.9
2015-10-06,1308.6
2015-10-07,1300.6
2015-10-08,1304.3
2015-10-09,1301.5
2015-10-12,1296.5
2015-10-13,1305.3
2015-10-14,1305.3
2015-10-15,1275.3
2015-10-16,1281.6
2015-10-19,1281.6
2015-10-20,1280.3
2015-10-21,1288.4
2015-10-22,1254.8
2015-10-23,1243.9
2015-10-26,1247.1
2015-10-27,1252.8
2015-10-28,1250.7
2015-10-29,1254.4
2015-10-30,1254.6
2015-11-02,1251.5
2015-11-03,1238.5
2015-11-04,1234.4
2015-11-05,1239.1
2015-11-06,1236.3
2015-11-09,1246.8
2015-11-10,1241.7
2015-11-11,1241.7
2015-11-12,1251.3
2015-11-13,1259.5
2015-11-16,1251.8
2015-11-17,1243.3
2015-11-18,1246.1
2015-11-19,1240.6
2015-11-20,1224.5
2015-11-23,1231.3
2015-11-24,1219.2
2015-11-25,1213.9
2015-11-26,1212.1
2015-11-27,1210.3
2015-11-30,1223.3
2015-12-01,1228.2
2015-12-02,1231.9
2015-12-03,1275.8
2015-12-04,1259.6
2015-12-07,1269.1
2015-12-08,1284.2
2015-12-09,1300.5
2015-12-10,1285.9
2015-12-11,1302.6
2015-12-14,1302.8
2015-12-15,1282.6
2015-12-16,1284.8
2015-12-17,1285.9
2015-12-18,1282.6
2015-12-21,1281.0
2015-12-22,1280.8
2015-12-23,1278.7
2015-12-24,1280.0
2015-12-25,1281.4
2015-12-28,1280.6
2015-12-29,1277.7
2015-12-30,1285.8
2015-12-31,1278.7
2016-01-01,1272.0
2016-01-04,1288.6
2016-01-05,1278.9
2016-01-06,1292.8
2016-01-07,1301.9
2016-01-08,1317.9
2016-01-11,1309.1
2016-01-12,1309.1
2016-01-13,1311.1
2016-01-14,1315.0
2016-01-15,1330.6
2016-01-18,1315.6
2016-01-19,1315.1
2016-01-20,1314.8
2016-01-21,1311.6
2016-01-22,1290.3
2016-01-25,1294.3
2016-01-26,1300.0
2016-01-27,1315.5
2016-01-28,1316.6
2016-01-29,1306.4
2016-02-01,1309.5
2016-02-02,1322.0
2016-02-03,1332.6
2016-02-04,1333.0
2016-02-05,1344.3
2016-02-08,1350.5
2016-02-09,1350.4
2016-02-10,1341.6
2016-02-11,1355.3
2016-02-12,1356.6
2016-02-15,1349.5
2016-02-16,1356.9
2016-02-17,1360.1
2016-02-18,1366.4
2016-02-19,1369.2
2016-02-22,1347.7
2016-02-23,1354.1
2016-02-24,1359.7
2016-02-25,1361.8
2016-02-26,1357.3
2016-02-29,1346.1
2016-03-01,1337.0
2016-03-02,1332.3
2016-03-03,1323.1
2016-03-04,1317.7
2016-03-07,1320.2
2016-03-08,1326.7
2016-03-09,1330.1
2016-03-10,1340.5
2016-03-11,1320.3
2016-03-14,1319.2
2016-03-15,1324.9
2016-03-16,1324.1
2016-03-17,1304.3
2016-03-18,1308.9
2016-03-21,1302.6
2016-03-22,1295.6
2016-03-23,1302.9
2016-03-24,1303.4
2016-03-25,1300.8
2016-03-28,1303.2
2016-03-29,1304.4
2016-03-30,1293.7
2016-03-31,1295.8
2016-04-01,1307.5
2016-04-04,1310.0
2016-04-05,1319.8
2016-04-06,1319.4
2016-04-07,1316.1
2016-04-08,1310.4
2016-04-11,1301.8
2016-04-12,1300.7
2016-04-13,1292.5
2016-04-14,1292.9
2016-04-15,1294.3
2016-04-18,1294.5
2016-04-19,1279.4
2016-04-20,1277.4
2016-04-21,1281.9
2016-04-22,1288.5
2016-04-25,1292.9
2016-04-26,1294.6
2016-04-27,1303.9
2016-04-28,1293.7
2016-04-29,1310.7
2016-05-02,1308.5
2016-05-03,1319.8
2016-05-04,1337.3
2016-05-05,1328.6
2016-05-06,1332.7
2016-05-09,1335.2
2016-05-10,1331.1
2016-05-11,1327.8
2016-05-12,1329.8
2016-05-13,1328.7
2016-05-16,1331.4
2016-05-17,1326.1
2016-05-18,1329.9
2016-05-19,1329.4
2016-05-20,1332.1
2016-05-23,1325.0
2016-05-24,1320.8
2016-05-25,1316.8
2016-05-26,1317.6
2016-05-27,1311.5
2016-05-30,1326.4
2016-05-31,1322.9
2016-06-01,1333.1
2016-06-02,1322.4
2016-06-03,1325.9
2016-06-06,1319.1
2016-06-07,1310.8
2016-06-08,1312.5
2016-06-09,1311.5
2016-06-10,1316.6
2016-06-13,1321.3
2016-06-14,1317.4
2016-06-15,1314.4
2016-06-16,1320.1
2016-06-17,1320.4
2016-06-20,1307.5
2016-06-21,1297.3
2016-06-22,1297.9
2016-06-23,1301.0
2016-06-24,1295.5
2016-06-27,1300.8
2016-06-28,1293.9
2016-06-29,1283.3
2016-06-30,1277.5
2016-07-01,1278.9
2016-07-04,1280.9
2016-07-05,1278.1
2016-07-06,1287.1
2016-07-07,1277.0
2016-07-08,1269.1
2016-07-11,1271.1
2016-07-12,1266.6
2016-07-13,1270.3
2016-07-14,1255.4
2016-07-15,1252.5
2016-07-18,1256.0
2016-07-19,1255.6
2016-07-20,1256.6
2016-07-21,1253.2
2016-07-22,1247.7
2016-07-25,1254.6
2016-07-26,1247.1
2016-07-27,1255.1
2016-07-28,1245.7
2016-07-29,1242.0
2016-08-01,1234.9
2016-08-02,1241.0
2016-08-03,1242.1
2016-08-04,1237.2
2016-08-05,1234.8
2016-08-08,1226.3
2016-08-09,1223.5
2016-08-10,1224.5
2016-08-11,1222.9
2016-08-12,1229.5
2016-08-15,1232.2
2016-08-16,1234.2
2016-08-17,1256.1
2016-08-18,1260.3
2016-08-19,1264.4
2016-08-22,1269.3
2016-08-23,1261.4
2016-08-24,1261.7
2016-08-25,1257.9
2016-08-26,1255.2
2016-08-29,1254.0
2016-08-30,1246.7
2016-08-31,1244.2
2016-09-01,1250.7
2016-09-02,1241.8
2016-09-05,1230.0
2016-09-06,1229.5
2016-09-07,1224.8
2016-09-08,1233.3
2016-09-09,1240.0
2016-09-12,1246.7
2016-09-13,1263.5
2016-09-14,1263.3
2016-09-15,1265.7
2016-09-16,1256.7
2016-09-19,1249.7
2016-09-20,1245.3
2016-09-21,1232.7
2016-09-22,1234.2
2016-09-23,1237.7
2016-09-26,1239.5
2016-09-27,1229.8
2016-09-28,1225.6
2016-09-29,1230.8
2016-09-30,1234.0
2016-10-03,1236.9
2016-10-04,1243.1
2016-10-05,1247.2
2016-10-06,1244.2
2016-10-07,1250.0
2016-10-10,1235.5
2016-10-11,1243.6
2016-10-12,1240.0
2016-10-13,1251.9
2016-10-14,1243.2
2016-10-17,1251.3
2016-10-18,1234.2
2016-10-19,1229.2
2016-10-20,1232.9
2016-10-21,1236.7
2016-10-24,1232.7
2016-10-25,1228.9
2016-10-26,1238.4
2016-10-27,1247.4
2016-10-28,1258.7
2016-10-31,1255.6
2016-11-01,1266.4
2016-11-02,1269.5
2016-11-03,1268.7
2016-11-04,1271.5
2016-11-07,1260.6
2016-11-08,1240.8
2016-11-09,1261.8
2016-11-10,1265.4
2016-11-11,1268.1
2016-11-14,1257.7
2016-11-15,1252.5
2016-11-16,1253.5
2016-11-17,1248.8
2016-11-18,1248.6
2016-11-21,1252.2
2016-11-22,1249.8
2016-11-23,1243.2
2016-11-24,1242.0
2016-11-25,1244.1
2016-11-28,1241.1
2016-11-29,1242.9
2016-11-30,1245.7
2016-12-01,1246.2
2016-12-02,1244.7
2016-12-05,1255.0
2016-12-06,1253.6
2016-12-07,1244.1
2016-12-08,1232.7
2016-12-09,1236.4
2016-12-12,1239.1
2016-12-13,1234.8
2016-12-14,1240.6
2016-12-15,1232.5
2016-12-16,1237.7
2016-12-19,1233.9
2016-12-20,1236.6
2016-12-21,1242.8
2016-12-22,1256.3
2016-12-23,1252.0
2016-12-26,1253.3
2016-12-27,1260.3
2016-12-28,1259.9
2016-12-29,1263.7
2016-12-30,1267.5
2017-01-02,1258.6
2017-01-03,1254.0
2017-01-04,1251.7
2017-01-05,1249.7
2017-01-06,1263.4
2017-01-09,1271.7
2017-01-10,1266.1
2017-01-11,1254.8
2017-01-12,1245.6
2017-01-13,1248.2
2017-01-16,1251.8
2017-01-17,1241.0
2017-01-18,1249.8
2017-01-19,1250.5
2017-01-20,1255.7
2017-01-23,1250.1
2017-01-24,1253.3
2017-01-25,1247.2
2017-01-26,1249.2
2017-01-27,1258.8
2017-01-30,1250.3
2017-01-31,1240.5
2017-02-01,1239.0
2017-02-02,1228.4
2017-02-03,1225.4
2017-02-06,1216.6
2017-02-07,1218.9
2017-02-08,1223.4
2017-02-09,1224.2
2017-02-10,1217.7
2017-02-13,1215.9
2017-02-14,1202.5
2017-02-15,1200.7
2017-02-16,1216.4
2017-02-17,1218.8
2017-02-20,1212.7
2017-02-21,1201.2
2017-02-22,1199.5
2017-02-23,1196.4
2017-02-24,1191.4
2017-02-27,1199.1
2017-02-28,1200.9
2017-03-01,1200.8
2017-03-02,1206.8
2017-03-03,1221.6
2017-03-06,1220.0
2017-03-07,1213.3
2017-03-08,1214.9
2017-03-09,1224.9
2017-03-10,1223.8
2017-03-13,1220.4
2017-03-14,1217.4
2017-03-15,1209.0
2017-03-16,1212.3
2017-03-17,1209.9
2017-03-20,1194.1
2017-03-21,1213.0
2017-03-22,1203.8
2017-03-23,1207.8
2017-03-24,1204.4
2017-03-27,1205.2
2017-03-28,1205.0
2017-03-29,1193.4
2017-03-30,1192.4
2017-03-31,1189.7
2017-04-03,1189.6
2017-04-04,1199.1
2017-04-05,1201.8
2017-04-06,1201.5
2017-04-07,1203.3
2017-04-10,1209.0
2017-04-11,1212.9
2017-04-12,1208.0
2017-04-13,1203.6
2017-04-14,1203.8
2017-04-17,1203.1
2017-04-18,1223.8
