date,exchange_rate
2014-11-24,0.3625
2014-11-25,0.363
2014-11-26,0.3638
2014-11-27,0.3628
2014-11-28,0.3629
2014-12-01,0.3635
2014-12-02,0.3615
2014-12-03,0.3595
2014-12-04,0.3613
2014-12-05,0.3585
2014-12-08,0.3597
2014-12-09,0.3613
2014-12-10,0.3628
2014-12-11,0.362
2014-12-12,0.3633
2014-12-15,0.3632
2014-12-16,0.3652
2014-12-17,0.3603
2014-12-18,0.3596
2014-12-19,0.3582
2014-12-22,0.3579
2014-12-23,0.3568
2014-12-24,0.357
2014-12-25,0.3581
2014-12-26,0.3568
2014-12-29,0.3564
2014-12-30,0.3559
2014-12-31,0.3543
2015-01-01,0.3545
2015-01-02,0.3512
2015-01-05,0.3504
2015-01-06,0.3482
2015-01-07,0.348
2015-01-08,0.3471
2015-01-09,0.3475
2015-01-12,0.3478
2015-01-13,0.3464
2015-01-14,0.3471
2015-01-15,0.342
2015-01-16,0.3404
2015-01-19,0.3411
2015-01-20,0.3397
2015-01-21,0.3416
2015-01-22,0.3347
2015-01-23,0.3299
2015-01-26,0.3321
2015-01-27,0.3354
2015-01-28,0.333
2015-01-29,0.3342
2015-01-30,0.3328
2015-02-02,0.3342
2015-02-03,0.338
2015-02-04,0.3341
2015-02-05,0.3379
2015-02-06,0.3338
2015-02-09,0.3343
2015-02-10,0.3342
2015-02-11,0.3347
2015-02-12,0.3367
2015-02-13,0.3362
2015-02-16,0.3361
2015-02-17,0.3371
2015-02-18,0.3368
2015-02-19,0.3363
2015-02-20,0.3368
2015-02-23,0.3349
2015-02-24,0.3356
2015-02-25,0.3361
2015-02-26,0.3318
2015-02-27,0.3312
2015-03-02,0.3314
2015-03-03,0.3313
2015-03-04,0.329
2015-03-05,0.3277
2015-03-06,0.3222
2015-03-09,0.3234
2015-03-10,0.3195
2015-03-11,0.3163
2015-03-12,0.3186
2015-03-13,0.3155
2015-03-16,0.3169
2015-03-17,0.3182
2015-03-18,0.3254
2015-03-19,0.3201
2015-03-20,0.3246
2015-03-23,0.3285
2015-03-24,0.3272
2015-03-25,0.3288
2015-03-26,0.3269
2015-03-27,0.327
2015-03-30,0.3253
2015-03-31,0.3231
2015-04-01,0.3239
2015-04-02,0.3267
2015-04-03,0.3296
2015-04-06,0.3282
2015-04-07,0.3257
2015-04-08,0.325
2015-04-09,0.3224
2015-04-10,0.3205
2015-04-13,0.3197
2015-04-14,0.3224
2015-04-15,0.3226
2015-04-16,0.3253
2015-04-17,0.3265
2015-04-20,0.3242
2015-04-21,0.3247
2015-04-22,0.3253
2015-04-23,0.327
2015-04-24,0.3284
2015-04-27,0.3293
2015-04-28,0.3315
2015-04-29,0.3356
2015-04-30,0.3384
2015-05-01,0.3381
2015-05-04,0.3369
2015-05-05,0.3375
2015-05-06,0.3426
2015-05-07,0.3404
2015-05-08,0.3382
2015-05-11,0.3369
2015-05-12,0.3386
2015-05-13,0.3423
2015-05-14,0.343
2015-05-15,0.3449
2015-05-18,0.3414
2015-05-19,0.3372
2015-05-20,0.3349
2015-05-21,0.3359
2015-05-22,0.3328
2015-05-25,0.3323
2015-05-26,0.3303
2015-05-27,0.3304
2015-05-28,0.3328
2015-05-29,0.3329
2015-06-01,0.3315
2015-06-02,0.3375
2015-06-03,0.3407
2015-06-04,0.3394
2015-06-05,0.3357
2015-06-08,0.3413
2015-06-09,0.3412
2015-06-10,0.3414
2015-06-11,0.3405
2015-06-12,0.3403
2015-06-15,0.3406
2015-06-16,0.3401
2015-06-17,0.342
2015-06-18,0.3427
2015-06-19,0.3423
2015-06-22,0.3421
2015-06-23,0.3378
2015-06-24,0.3385
2015-06-25,0.3391
2015-06-26,0.3382
2015-06-29,0.3399
2015-06-30,0.3371
2015-07-01,0.3341
2015-07-02,0.3353
2015-07-03,0.3367
2015-07-06,0.3344
2015-07-07,0.3328
2015-07-08,0.335
2015-07-09,0.3349
2015-07-10,0.3375
2015-07-13,0.3325
2015-07-14,0.3336
2015-07-15,0.3313
2015-07-16,0.3302
2015-07-17,0.3283
2015-07-20,0.3285
2015-07-21,0.3318
2015-07-22,0.3312
2015-07-23,0.3333
2015-07-24,0.333
2015-07-27,0.3361
2015-07-28,0.3346
2015-07-29,0.3337
2015-07-30,0.3317
2015-07-31,0.3323
2015-08-03,0.3318
2015-08-04,0.3304
2015-08-05,0.3302
2015-08-06,0.3315
2015-08-07,0.3328
2015-08-10,0.3335
2015-08-11,0.3346
2015-08-12,0.3376
2015-08-13,0.3373
2015-08-14,0.3368
2015-08-17,0.3356
2015-08-18,0.3339
2015-08-19,0.3369
2015-08-20,0.3374
2015-08-21,0.343
2015-08-24,0.3488
2015-08-25,0.3483
2015-08-26,0.3422
2015-08-27,0.3392
2015-08-28,0.3386
2015-08-31,0.3395
2015-09-01,0.3403
2015-09-02,0.3394
2015-09-03,0.3371
2015-09-04,0.3377
2015-09-07,0.3373
2015-09-08,0.3385
2015-09-09,0.3388
2015-09-10,0.3418
2015-09-11,0.3431
2015-09-14,0.3415
2015-09-15,0.3405
2015-09-16,0.3405
2015-09-17,0.345
2015-09-18,0.3402
2015-09-21,0.3383
2015-09-22,0.3361
2015-09-23,0.3387
2015-09-24,0.3379
2015-09-25,0.3385
2015-09-28,0.3401
2015-09-29,0.3402
2015-09-30,0.3375
2015-10-01,0.3382
2015-10-02,0.3395
2015-10-05,0.3384
2015-10-06,0.3403
2015-10-07,0.3399
2015-10-08,0.3404
2015-10-09,0.3429
2015-10-12,0.3434
2015-10-13,0.3435
2015-10-14,0.3459
2015-10-15,0.3434
2015-10-16,0.3426
2015-10-19,0.3416
2015-10-20,0.3433
2015-10-21,0.3423
2015-10-22,0.3357
2015-10-23,0.3337
2015-10-26,0.3345
2015-10-27,0.3342
2015-10-28,0.3316
2015-10-29,0.3339
2015-10-30,0.3334
2015-11-02,0.333
2015-11-03,0.3329
2015-11-04,0.329
2015-11-05,0.3299
2015-11-06,0.3263
2015-11-09,0.3268
2015-11-10,0.3261
2015-11-11,0.3266
2015-11-12,0.3284
2015-11-13,0.3274
2015-11-16,0.3246
2015-11-17,0.3234
2015-11-18,0.3239
2015-11-19,0.3263
2015-11-20,0.324
2015-11-23,0.3235
2015-11-24,0.3246
2015-11-25,0.3238
2015-11-26,0.3234
2015-11-27,0.3226
2015-11-30,0.3222
2015-12-01,0.3234
2015-12-02,0.3231
2015-12-03,0.3318
2015-12-04,0.3304
2015-12-07,0.3292
2015-12-08,0.3311
2015-12-09,0.3342
2015-12-10,0.3324
2015-12-11,0.334
2015-12-14,0.3333
2015-12-15,0.3317
2015-12-16,0.3309
2015-12-17,0.3293
2015-12-18,0.3297
2015-12-21,0.3311
2015-12-22,0.3323
2015-12-23,0.3314
2015-12-24,0.3325
2015-12-25,0.3333
2015-12-28,0.3326
2015-12-29,0.3322
2015-12-30,0.3313
2015-12-31,0.3297
2016-01-04,0.3289
2016-01-05,0.3268
2016-01-06,0.3276
2016-01-07,0.3319
2016-01-08,0.3319
2016-01-11,0.3305
2016-01-12,0.3308
2016-01-13,0.3316
2016-01-14,0.3312
2016-01-15,0.3317
2016-01-18,0.3313
2016-01-19,0.3323
2016-01-20,0.3309
2016-01-21,0.3313
2016-01-22,0.3292
2016-01-25,0.3297
2016-01-26,0.3296
2016-01-27,0.3305
2016-01-28,0.332
2016-01-29,0.3285
2016-02-01,0.33
2016-02-02,0.3308
2016-02-03,0.3349
2016-02-04,0.3365
2016-02-05,0.3359
2016-02-08,0.3359
2016-02-09,0.3393
2016-02-10,0.3372
2016-02-11,0.3383
2016-02-12,0.3358
2016-02-15,0.3331
2016-02-16,0.3336
2016-02-17,0.3331
2016-02-18,0.3319
2016-02-19,0.3329
2016-02-22,0.3311
2016-02-23,0.3315
2016-02-24,0.3304
2016-02-25,0.3316
2016-02-26,0.3289
2016-02-29,0.3281
2016-03-01,0.3263
2016-03-02,0.3272
2016-03-03,0.3294
2016-03-04,0.3306
2016-03-07,0.3322
2016-03-08,0.3306
2016-03-09,0.3319
2016-03-10,0.3364
2016-03-11,0.3357
2016-03-14,0.3349
2016-03-15,0.3352
2016-03-16,0.3382
2016-03-17,0.3412
2016-03-18,0.3386
2016-03-21,0.3391
2016-03-22,0.338
2016-03-23,0.3381
2016-03-24,0.3385
2016-03-25,0.3381
2016-03-28,0.338
2016-03-29,0.3413
2016-03-30,0.3423
2016-03-31,0.3435
2016-04-01,0.3438
2016-04-04,0.3434
2016-04-05,0.3443
2016-04-06,0.3446
2016-04-07,0.3427
2016-04-08,0.3436
2016-04-11,0.3446
2016-04-12,0.3437
2016-04-13,0.3408
2016-04-14,0.3409
2016-04-15,0.3402
2016-04-18,0.3415
2016-04-19,0.3424
2016-04-20,0.3411
2016-04-21,0.3414
2016-04-22,0.34
2016-04-25,0.3411
2016-04-26,0.3403
2016-04-27,0.3412
2016-04-28,0.3427
2016-04-29,0.3446
2016-05-02,0.3468
2016-05-03,0.3455
2016-05-04,0.3457
2016-05-05,0.3431
2016-05-06,0.3427
2016-05-09,0.3438
2016-05-10,0.3437
2016-05-11,0.3449
2016-05-12,0.3439
2016-05-13,0.3419
2016-05-16,0.3421
2016-05-17,0.3421
2016-05-18,0.3389
2016-05-19,0.3388
2016-05-20,0.3393
2016-05-23,0.3388
2016-05-24,0.3364
2016-05-25,0.3373
2016-05-26,0.3381
2016-05-27,0.3357
2016-05-30,0.3371
2016-05-31,0.3372
2016-06-01,0.338
2016-06-02,0.3367
2016-06-03,0.343
2016-06-06,0.3422
2016-06-07,0.3421
2016-06-08,0.3441
2016-06-09,0.341
2016-06-10,0.3391
2016-06-13,0.3411
2016-06-14,0.3377
2016-06-15,0.3395
2016-06-16,0.3384
2016-06-17,0.3404
2016-06-20,0.3405
2016-06-21,0.3394
2016-06-22,0.3405
2016-06-23,0.3425
2016-06-24,0.3351
2016-06-27,0.3332
2016-06-28,0.3349
2016-06-29,0.3366
2016-06-30,0.3349
2016-07-01,0.3362
2016-07-04,0.3367
2016-07-05,0.334
2016-07-06,0.3351
2016-07-07,0.3335
2016-07-08,0.3334
2016-07-11,0.3339
2016-07-12,0.3345
2016-07-13,0.3356
2016-07-14,0.3361
2016-07-15,0.3339
2016-07-18,0.3354
2016-07-19,0.3337
2016-07-20,0.334
2016-07-21,0.333
2016-07-22,0.3319
2016-07-25,0.333
2016-07-26,0.3322
2016-07-27,0.3344
2016-07-28,0.335
2016-07-29,0.3379
2016-08-01,0.337
2016-08-02,0.3382
2016-08-03,0.3361
2016-08-04,0.3367
2016-08-05,0.3356
2016-08-08,0.3347
2016-08-09,0.3356
2016-08-10,0.3382
2016-08-11,0.3361
2016-08-12,0.337
2016-08-15,0.3383
2016-08-16,0.3397
2016-08-17,0.34
2016-08-18,0.3421
2016-08-19,0.3411
2016-08-22,0.341
2016-08-23,0.3409
2016-08-24,0.3401
2016-08-25,0.3398
2016-08-26,0.3375
2016-08-29,0.3386
2016-08-30,0.337
2016-08-31,0.3374
2016-09-01,0.338
2016-09-02,0.3373
2016-09-05,0.3367
2016-09-06,0.3401
2016-09-07,0.3388
2016-09-08,0.3395
2016-09-09,0.3384
2016-09-12,0.3391
2016-09-13,0.3386
2016-09-14,0.339
2016-09-15,0.339
2016-09-16,0.3362
2016-09-19,0.3375
2016-09-20,0.3364
2016-09-21,0.3373
2016-09-22,0.3373
2016-09-23,0.3385
2016-09-26,0.3391
2016-09-27,0.3382
2016-09-28,0.3381
2016-09-29,0.3388
2016-09-30,0.3399
2016-10-03,0.3379
2016-10-04,0.3383
2016-10-05,0.3388
2016-10-06,0.3372
2016-10-07,0.3384
2016-10-10,0.3371
2016-10-11,0.3343
2016-10-12,0.3334
2016-10-13,0.3343
2016-10-14,0.3322
2016-10-17,0.3333
2016-10-18,0.3325
2016-10-19,0.3322
2016-10-20,0.3307
2016-10-21,0.3299
2016-10-24,0.3282
2016-10-25,0.3308
2016-10-26,0.3309
2016-10-27,0.3311
2016-10-28,0.3327
2016-10-31,0.3323
2016-11-01,0.3348
2016-11-02,0.3356
2016-11-03,0.3358
2016-11-04,0.3371
2016-11-07,0.3345
2016-11-08,0.334
2016-11-09,0.3307
2016-11-10,0.331
2016-11-11,0.3293
2016-11-14,0.327
2016-11-15,0.3261
2016-11-16,0.326
2016-11-17,0.3235
2016-11-18,0.3228
2016-11-21,0.3245
2016-11-22,0.3239
2016-11-23,0.322
2016-11-24,0.3226
2016-11-25,0.3237
2016-11-28,0.3241
2016-11-29,0.3244
2016-11-30,0.3235
2016-12-01,0.3245
2016-12-02,0.325
2016-12-05,0.3284
2016-12-06,0.3276
2016-12-07,0.3288
2016-12-08,0.3243
2016-12-09,0.3225
2016-12-12,0.3247
2016-12-13,0.3246
2016-12-14,0.3216
2016-12-15,0.3186
2016-12-16,0.3201
2016-12-19,0.3186
2016-12-20,0.319
2016-12-21,0.3191
2016-12-22,0.3194
2016-12-23,0.3199
2016-12-27,0.3201
2016-12-28,0.3186
2016-12-29,0.321
2016-12-30,0.322
2017-01-02,0.321
2017-01-03,0.3194
2017-01-04,0.3216
2017-01-05,0.3245
2017-01-06,0.3222
2017-01-09,0.3242
2017-01-10,0.3233
2017-01-11,0.324
2017-01-12,0.325
2017-01-13,0.3256
2017-01-16,0.3246
2017-01-17,0.3273
2017-01-18,0.3254
2017-01-19,0.3253
2017-01-20,0.3267
2017-01-23,0.3288
2017-01-24,0.3271
2017-01-25,0.3279
2017-01-26,0.3258
2017-01-27,0.3264
2017-01-30,0.3268
2017-01-31,0.3295
2017-02-01,0.3279
2017-02-02,0.328
2017-02-03,0.3296
2017-02-06,0.3277
2017-02-07,0.3262
2017-02-08,0.3256
2017-02-09,0.3256
2017-02-10,0.325
2017-02-13,0.3243
2017-02-14,0.3232
2017-02-15,0.3242
2017-02-16,0.3266
2017-02-17,0.3242
2017-02-20,0.3243
2017-02-21,0.3221
2017-02-22,0.3221
2017-02-23,0.3234
2017-02-24,0.3219
2017-02-27,0.3236
2017-02-28,0.3228
2017-03-01,0.3221
2017-03-02,0.3212
2017-03-03,0.3247
2017-03-06,0.3235
2017-03-07,0.3233
2017-03-08,0.3221
2017-03-09,0.3237
2017-03-10,0.3267
2017-03-13,0.3254
2017-03-14,0.3241
2017-03-15,0.328
2017-03-16,0.329
2017-03-17,0.3277
2017-03-20,0.3277
2017-03-21,0.3292
2017-03-22,0.3292
2017-03-23,0.3287
2017-03-24,0.3292
2017-03-27,0.3309
2017-03-28,0.3298
2017-03-29,0.3283
2017-03-30,0.3261
2017-03-31,0.3257
2017-04-03,0.3256
2017-04-04,0.3259
2017-04-05,0.3259
2017-04-06,0.3248
2017-04-07,0.3233
2017-04-10,0.3232
2017-04-11,0.3241
2017-04-12,0.3252
2017-04-13,0.324
2017-04-14,0.3235
2017-04-17,0.3249
2017-04-18,0.3277
2017-04-19,0.3262
2017-04-20,0.3269
2017-04-21,0.3256
2017-04-24,0.3313
2017-04-25,0.3332
2017-04-26,0.3326
2017-04-27,0.3315
2017-04-28,0.3321
2017-05-01,0.3325
2017-05-02,0.3332
2017-05-03,0.3315
2017-05-04,0.3347
2017-05-05,0.3344
2017-05-08,0.3328
2017-05-09,0.3318
2017-05-10,0.3312
2017-05-11,0.3311
2017-05-12,0.333
2017-05-15,0.3351
2017-05-16,0.3378
2017-05-17,0.3399
2017-05-18,0.3378
2017-05-19,0.3405
2017-05-22,0.3414
2017-05-23,0.34
2017-05-24,0.3411
2017-05-25,0.3408
2017-05-26,0.3396
2017-05-29,0.3386
2017-05-30,0.3396
2017-05-31,0.3415
2017-06-01,0.341
2017-06-02,0.3426
2017-06-05,0.3419
2017-06-06,0.3424
2017-06-07,0.3418
2017-06-08,0.3406
2017-06-09,0.3402
2017-06-12,0.3403
2017-06-13,0.3401
2017-06-14,0.341
2017-06-15,0.3382
2017-06-16,0.3396
2017-06-19,0.3389
2017-06-20,0.3385
2017-06-21,0.3395
2017-06-22,0.3392
2017-06-23,0.3404
2017-06-26,0.3401
2017-06-27,0.3441
2017-06-28,0.3448
2017-06-29,0.3477
2017-06-30,0.3469
2017-07-03,0.344
2017-07-04,0.3453
2017-07-05,0.3449
2017-07-06,0.347
2017-07-07,0.3461
2017-07-10,0.3462
2017-07-11,0.3476
2017-07-12,0.3458
2017-07-13,0.3463
2017-07-14,0.3473
2017-07-17,0.3473
2017-07-18,0.3497
2017-07-19,0.3494
2017-07-20,0.3517
2017-07-21,0.3526
2017-07-24,0.352
2017-07-25,0.3525
2017-07-26,0.3554
2017-07-27,0.3529
2017-07-28,0.3556
2017-07-31,0.3571
2017-08-01,0.3568
2017-08-02,0.3583
2017-08-03,0.3584
2017-08-04,0.3558
2017-08-07,0.3567
2017-08-08,0.3558
2017-08-09,0.3558
2017-08-10,0.3561
2017-08-11,0.3575
2017-08-14,0.3563
2017-08-15,0.3551
2017-08-16,0.3564
2017-08-17,0.3548
2017-08-18,0.3558
2017-08-21,0.3572
2017-08-22,0.3559
2017-08-23,0.3563
2017-08-24,0.3562
2017-08-25,0.3594
2017-08-28,0.3623
2017-08-29,0.3609
2017-08-30,0.3592
2017-08-31,0.3598
2017-09-01,0.3576
2017-09-04,0.3593
2017-09-05,0.3588
2017-09-06,0.3599
2017-09-07,0.363
2017-09-08,0.3618
2017-09-11,0.3605
2017-09-12,0.3609
2017-09-13,0.3593
2017-09-14,0.359
2017-09-15,0.3599
2017-09-18,0.3608
2017-09-19,0.3612
2017-09-20,0.3589
2017-09-21,0.3605
2017-09-22,0.3602
2017-09-25,0.3578
2017-09-26,0.356
2017-09-27,0.3544
2017-09-28,0.3557
2017-09-29,0.3575
2017-10-02,0.3555
2017-10-03,0.3554
2017-10-04,0.3558
2017-10-05,0.3544
2017-10-06,0.3552
2017-10-09,0.3553
2017-10-10,0.3577
2017-10-11,0.3591
2017-10-12,0.3584
2017-10-13,0.3576
2017-10-16,0.3569
2017-10-17,0.3561
2017-10-18,0.357
2017-10-19,0.3583
2017-10-20,0.3562
2017-10-23,0.3561
2017-10-24,0.3553
2017-10-25,0.3575
2017-10-26,0.3532
2017-10-27,0.3518
2017-10-30,0.353
2017-10-31,0.3523
2017-11-01,0.3523
2017-11-02,0.3534
2017-11-03,0.3513
2017-11-06,0.3519
2017-11-07,0.3512
2017-11-08,0.351
2017-11-09,0.3531
2017-11-10,0.3529
2017-11-13,0.3535
2017-11-14,0.3573
2017-11-15,0.3573
2017-11-16,0.3563
2017-11-17,0.3567
2017-11-20,0.3547
2017-11-21,0.3546
2017-11-22,0.3571
2017-11-23,0.3585
2017-11-24,0.361
2017-11-27,0.3597
2017-11-28,0.3582
2017-11-29,0.3582
2017-11-30,0.3593
2017-12-01,0.3595
2017-12-04,0.3579
2017-12-05,0.3577
2017-12-06,0.3564
2017-12-07,0.3554
2017-12-08,0.3551
2017-12-11,0.3565
2017-12-12,0.3554
2017-12-13,0.3579
2017-12-14,0.3561
2017-12-15,0.3556
2017-12-18,0.3565
2017-12-19,0.3576
2017-12-20,0.3583
2017-12-21,0.3585
2017-12-22,0.359
2017-12-25,0.3592
2017-12-26,0.358
2017-12-27,0.36
2017-12-28,0.3613
2017-12-29,0.3624
2018-01-01,0.3639
2018-01-02,0.3632
2018-01-03,0.3627
2018-01-04,0.3644
2018-01-05,0.3626
2018-01-08,0.3615
2018-01-09,0.3606
2018-01-10,0.3608
2018-01-11,0.3628
2018-01-12,0.3677
2018-01-15,0.3695
2018-01-16,0.3692
2018-01-17,0.3665
2018-01-18,0.3686
2018-01-19,0.3676
2018-01-22,0.3681
2018-01-23,0.3701
2018-01-24,0.3717
2018-01-25,0.3715
2018-01-26,0.3725
2018-01-29,0.3712
2018-01-30,0.3724
2018-01-31,0.3724
2018-02-01,0.3747
2018-02-02,0.3732
2018-02-05,0.3717
2018-02-06,0.3717
2018-02-07,0.3684
2018-02-08,0.3685
2018-02-09,0.3678
2018-02-12,0.3686
2018-02-13,0.371
2018-02-14,0.3741
2018-02-15,0.375
2018-02-16,0.3723
2018-02-19,0.3725
2018-02-20,0.3706
2018-02-21,0.3689
2018-02-22,0.3705
2018-02-23,0.3694
2018-02-26,0.3699
2018-02-27,0.3675
2018-02-28,0.3669
2018-03-01,0.3693
2018-03-02,0.3697
2018-03-05,0.3706
2018-03-06,0.3726
2018-03-07,0.3727
2018-03-08,0.37
2018-03-09,0.3704
2018-03-12,0.371
2018-03-13,0.3724
2018-03-14,0.3718
2018-03-15,0.3697
2018-03-16,0.3692
2018-03-19,0.3707
2018-03-20,0.3682
2018-03-21,0.3707
2018-03-22,0.3698
2018-03-23,0.3707
2018-03-26,0.3733
2018-03-27,0.3725
2018-03-28,0.3694
2018-03-29,0.3691
2018-03-30,0.3699
2018-04-02,0.369
2018-04-03,0.3687
2018-04-04,0.3689
2018-04-05,0.3679
2018-04-06,0.3694
2018-04-09,0.3704
2018-04-10,0.3715
2018-04-11,0.3717
2018-04-12,0.3705
2018-04-13,0.3704
2018-04-16,0.372
2018-04-17,0.3718
2018-04-18,0.3721
2018-04-19,0.3709
2018-04-20,0.3689
2018-04-23,0.3669
2018-04-24,0.3676
2018-04-25,0.3658
2018-04-26,0.3648
2018-04-27,0.365
2018-04-30,0.3643
2018-05-01,0.3612
2018-05-02,0.3609
2018-05-03,0.362
2018-05-04,0.3612
2018-05-07,0.3601
2018-05-08,0.3584
2018-05-09,0.3582
2018-05-10,0.3603
2018-05-11,0.3602
2018-05-14,0.3605
2018-05-15,0.3576
2018-05-16,0.3575
2018-05-17,0.357
2018-05-18,0.3562
2018-05-21,0.3569
2018-05-22,0.3565
2018-05-23,0.3541
2018-05-24,0.3547
2018-05-25,0.353
2018-05-28,0.3522
2018-05-29,0.3497
2018-05-30,0.3535
2018-05-31,0.3547
2018-06-01,0.3532
2018-06-04,0.3544
2018-06-05,0.3549
2018-06-06,0.3568
2018-06-07,0.3571
2018-06-08,0.3561
2018-06-11,0.3563
2018-06-12,0.3555
2018-06-13,0.3571
2018-06-14,0.3506
2018-06-15,0.352
2018-06-18,0.3525
2018-06-19,0.3515
2018-06-20,0.3512
2018-06-21,0.3521
2018-06-22,0.3532
2018-06-25,0.3547
2018-06-26,0.3531
2018-06-27,0.3505
2018-06-28,0.3505
2018-06-29,0.3544
2018-07-02,0.3528
2018-07-03,0.3538
2018-07-04,0.3537
2018-07-05,0.3546
2018-07-06,0.3561
2018-07-09,0.3563
2018-07-10,0.3558
2018-07-11,0.354
2018-07-12,0.3535
2018-07-13,0.3549
2018-07-16,0.3555
2018-07-17,0.3537
2018-07-18,0.3535
2018-07-19,0.3537
2018-07-20,0.3556
2018-07-23,0.355
2018-07-24,0.3548
2018-07-25,0.3554
2018-07-26,0.3534
2018-07-27,0.3535
2018-07-30,0.3554
2018-07-31,0.3546
2018-08-01,0.3539
2018-08-02,0.3515
2018-08-03,0.3509
2018-08-06,0.35
2018-08-07,0.3521
2018-08-08,0.3526
2018-08-09,0.3498
2018-08-10,0.3466
2018-08-13,0.3465
2018-08-14,0.345
2018-08-15,0.3449
2018-08-16,0.3458
2018-08-17,0.3477
2018-08-20,0.3482
2018-08-21,0.3514
2018-08-22,0.3517
2018-08-23,0.3505
2018-08-24,0.3521
2018-08-27,0.354
2018-08-28,0.3548
2018-08-29,0.3551
2018-08-30,0.3539
2018-08-31,0.352
2018-09-03,0.3524
2018-09-04,0.3515
2018-09-05,0.353
2018-09-06,0.3529
2018-09-07,0.3507
2018-09-10,0.352
2018-09-11,0.3522
2018-09-12,0.3529
2018-09-13,0.3545
2018-09-14,0.3522
2018-09-17,0.3539
2018-09-18,0.3543
2018-09-19,0.3542
2018-09-20,0.3573
2018-09-21,0.3563
2018-09-24,0.3575
2018-09-25,0.3561
