date,exchange_rate
2014-11-24,1.014
2014-11-25,1.018
2014-11-26,1.0219
2014-11-27,1.0243
2014-11-28,1.0199
2014-12-01,1.0181
2014-12-02,1.0216
2014-12-03,1.0146
2014-12-04,1.0085
2014-12-05,1.0144
2014-12-08,1.0064
2014-12-09,1.0079
2014-12-10,1.0143
2014-12-11,1.0226
2014-12-12,1.0155
2014-12-15,1.0206
2014-12-16,1.0191
2014-12-17,1.024
2014-12-18,1.0096
2014-12-19,1.0057
2014-12-22,1.0013
2014-12-23,1.0014
2014-12-24,0.9976
2014-12-25,0.9988
2014-12-26,1.0002
2014-12-29,0.9976
2014-12-30,0.9958
2014-12-31,0.996
2015-01-02,0.9898
2015-01-05,0.9799
2015-01-06,0.9775
2015-01-07,0.9724
2015-01-08,0.9697
2015-01-09,0.9657
2015-01-12,0.972
2015-01-13,0.9686
2015-01-14,0.9649
2015-01-15,0.9647
2015-01-16,0.9514
2015-01-19,0.9466
2015-01-20,0.9492
2015-01-21,0.9457
2015-01-22,0.95
2015-01-23,0.9299
2015-01-26,0.9155
2015-01-27,0.9205
2015-01-28,0.9301
2015-01-29,0.9242
2015-01-30,0.9274
2015-02-02,0.9261
2015-02-03,0.9287
2015-02-04,0.9387
2015-02-05,0.9288
2015-02-06,0.9391
2015-02-09,0.9272
2015-02-10,0.928
2015-02-11,0.9269
2015-02-12,0.9272
2015-02-13,0.9339
2015-02-16,0.9345
2015-02-17,0.9282
2015-02-18,0.9338
2015-02-19,0.9335
2015-02-20,0.9303
2015-02-23,0.9306
2015-02-24,0.9282
2015-02-25,0.9292
2015-02-26,0.9306
2015-02-27,0.9179
2015-03-02,0.9144
2015-03-03,0.9157
2015-03-04,0.9154
2015-03-05,0.9071
2015-03-06,0.9031
2015-03-09,0.8888
2015-03-10,0.8866
2015-03-11,0.8768
2015-03-12,0.8629
2015-03-13,0.8691
2015-03-16,0.8594
2015-03-17,0.8652
2015-03-18,0.8678
2015-03-19,0.8933
2015-03-20,0.8729
2015-03-23,0.8854
2015-03-24,0.8961
2015-03-25,0.8935
2015-03-26,0.8977
2015-03-27,0.8909
2015-03-30,0.8898
2015-03-31,0.8873
2015-04-01,0.8807
2015-04-02,0.8811
2015-04-03,0.8897
2015-04-06,0.9
2015-04-07,0.8956
2015-04-08,0.8869
2015-04-09,0.8819
2015-04-10,0.8737
2015-04-13,0.869
2015-04-14,0.8664
2015-04-15,0.8705
2015-04-16,0.8787
2015-04-17,0.8828
2015-04-20,0.8853
2015-04-21,0.8792
2015-04-22,0.8783
2015-04-23,0.8773
2015-04-24,0.8851
2015-04-27,0.8906
2015-04-28,0.8905
2015-04-29,0.8982
2015-04-30,0.9105
2015-05-01,0.9183
2015-05-04,0.9154
2015-05-05,0.9126
2015-05-06,0.9159
2015-05-07,0.9286
2015-05-08,0.9213
2015-05-11,0.9172
2015-05-12,0.9129
2015-05-13,0.9196
2015-05-14,0.9291
2015-05-15,0.9343
2015-05-18,0.9366
2015-05-19,0.9268
2015-05-20,0.9117
2015-05-21,0.9097
2015-05-22,0.9105
2015-05-25,0.8992
2015-05-26,0.8979
2015-05-27,0.8914
2015-05-28,0.8922
2015-05-29,0.8976
2015-06-01,0.8961
2015-06-02,0.8947
2015-06-03,0.9121
2015-06-04,0.9221
2015-06-05,0.9179
2015-06-08,0.9096
2015-06-09,0.9235
2015-06-10,0.9255
2015-06-11,0.9255
2015-06-12,0.9208
2015-06-15,0.9186
2015-06-16,0.9231
2015-06-17,0.9206
2015-06-18,0.9308
2015-06-19,0.9316
2015-06-22,0.9307
2015-06-23,0.9288
2015-06-24,0.9152
2015-06-25,0.9176
2015-06-26,0.9169
2015-06-29,0.9028
2015-06-30,0.9181
2015-07-01,0.9119
2015-07-02,0.9039
2015-07-03,0.9088
2015-07-06,0.9027
2015-07-07,0.9048
2015-07-08,0.9008
2015-07-09,0.9066
2015-07-10,0.9061
2015-07-13,0.9119
2015-07-14,0.8997
2015-07-15,0.9005
2015-07-16,0.8956
2015-07-17,0.891
2015-07-20,0.8869
2015-07-21,0.887
2015-07-22,0.8964
2015-07-23,0.8947
2015-07-24,0.8997
2015-07-27,0.899
2015-07-28,0.9085
2015-07-30,0.8979
2015-07-31,0.8959
2015-08-03,0.8985
2015-08-04,0.8956
2015-08-05,0.8909
2015-08-07,0.895
2015-08-10,0.8969
2015-08-11,0.9024
2015-08-12,0.9044
2015-08-13,0.9133
2015-08-14,0.9137
2015-08-17,0.9084
2015-08-18,0.9068
2015-08-19,0.9035
2015-08-20,0.9129
2015-08-21,0.9201
2015-08-24,0.9318
2015-08-25,0.9473
2015-08-26,0.9441
2015-08-27,0.9282
2015-08-28,0.9206
2015-08-31,0.9191
2015-09-01,0.9208
2015-09-02,0.9235
2015-09-03,0.9179
2015-09-04,0.9114
2015-09-07,0.9144
2015-09-08,0.914
2015-09-09,0.9163
2015-09-10,0.92
2015-09-11,0.9235
2015-09-14,0.929
2015-09-15,0.9259
2015-09-16,0.9236
2015-09-17,0.9253
2015-09-18,0.9345
2015-09-21,0.9256
2015-09-22,0.9163
2015-09-23,0.9096
2015-09-24,0.9156
2015-09-25,0.9149
2015-09-28,0.9179
2015-09-29,0.921
2015-09-30,0.9217
2015-10-01,0.9148
2015-10-02,0.9158
2015-10-05,0.9188
2015-10-06,0.9162
2015-10-07,0.9228
2015-10-08,0.9207
2015-10-09,0.9239
2015-10-12,0.9315
2015-10-13,0.9291
2015-10-14,0.933
2015-10-15,0.9398
2015-10-16,0.9307
2015-10-19,0.9307
2015-10-20,0.9276
2015-10-21,0.9299
2015-10-22,0.9288
2015-10-23,0.9079
2015-10-26,0.9032
2015-10-27,0.905
2015-10-28,0.9032
2015-10-29,0.8943
2015-10-30,0.8996
2015-11-02,0.9024
2015-11-03,0.9019
2015-11-04,0.8975
2015-11-05,0.8898
2015-11-06,0.8914
2015-11-09,0.8794
2015-11-10,0.8806
2015-11-11,0.8789
2015-11-12,0.881
2015-11-13,0.8847
2015-11-16,0.8779
2015-11-17,0.8749
2015-11-18,0.8717
2015-11-19,0.8742
2015-11-20,0.8779
2015-11-23,0.8706
2015-11-24,0.8706
2015-11-25,0.8724
2015-11-26,0.8699
2015-11-27,0.8684
2015-11-30,0.8663
2015-12-01,0.8653
2015-12-02,0.8701
2015-12-03,0.8688
2015-12-04,0.8954
2015-12-07,0.8906
2015-12-08,0.8872
2015-12-09,0.8916
2015-12-10,0.9021
2015-12-11,0.8955
2015-12-14,0.8986
2015-12-15,0.9003
2015-12-16,0.8949
2015-12-17,0.8914
2015-12-18,0.8871
2015-12-21,0.8898
2015-12-22,0.8934
2015-12-23,0.8967
2015-12-24,0.8935
2015-12-25,0.8977
2015-12-28,0.8983
2015-12-29,0.899
2015-12-30,0.8951
2015-12-31,0.8953
2016-01-01,0.8894
2016-01-04,0.8883
2016-01-05,0.8864
2016-01-06,0.8798
2016-01-07,0.8826
2016-01-08,0.894
2016-01-11,0.8953
2016-01-12,0.8894
2016-01-13,0.8872
2016-01-14,0.8914
2016-01-15,0.8892
2016-01-18,0.8944
2016-01-19,0.8914
2016-01-20,0.8943
2016-01-21,0.8903
2016-01-22,0.8884
2016-01-25,0.8837
2016-01-26,0.8885
2016-01-27,0.8897
2016-01-28,0.8928
2016-01-29,0.8952
2016-02-01,0.8879
2016-02-02,0.8924
2016-02-03,0.8946
2016-02-04,0.9098
2016-02-05,0.9171
2016-02-08,0.9122
2016-02-09,0.9161
2016-02-10,0.9245
2016-02-11,0.924
2016-02-12,0.9267
2016-02-15,0.9197
2016-02-16,0.9145
2016-02-17,0.9114
2016-02-18,0.9111
2016-02-19,0.9098
2016-02-22,0.9103
2016-02-23,0.903
2016-02-24,0.902
2016-02-25,0.9019
2016-02-26,0.904
2016-02-29,0.8943
2016-03-01,0.8909
2016-03-02,0.8903
2016-03-03,0.8901
2016-03-04,0.8962
2016-03-07,0.9001
2016-03-08,0.9024
2016-03-09,0.9007
2016-03-10,0.8996
2016-03-11,0.9151
2016-03-14,0.914
2016-03-15,0.9087
2016-03-16,0.9094
2016-03-17,0.9183
2016-03-18,0.9259
2016-03-21,0.9237
2016-03-22,0.9202
2016-03-23,0.9182
2016-03-24,0.9153
2016-03-25,0.9144
2016-03-28,0.9135
2016-03-29,0.917
2016-03-30,0.9253
2016-03-31,0.9283
2016-04-01,0.9322
2016-04-04,0.9338
2016-04-05,0.9331
2016-04-06,0.932
2016-04-07,0.9338
2016-04-08,0.9305
2016-04-11,0.9339
2016-04-12,0.9339
2016-04-13,0.9326
2016-04-14,0.9229
2016-04-15,0.9216
2016-04-19,0.9257
2016-04-20,0.9302
2016-04-21,0.9253
2016-04-22,0.9251
2016-04-25,0.92
2016-04-26,0.9229
2016-04-27,0.9256
2016-04-28,0.9272
2016-04-29,0.9301
2016-05-02,0.9392
2016-05-03,0.9448
2016-05-04,0.9421
2016-05-05,0.9407
2016-05-06,0.9335
2016-05-09,0.9321
2016-05-10,0.9322
2016-05-11,0.932
2016-05-12,0.9358
2016-05-13,0.9314
2016-05-16,0.926
2016-05-17,0.927
2016-05-18,0.9265
2016-05-19,0.9192
2016-05-20,0.9172
2016-05-23,0.9196
2016-05-24,0.9184
2016-05-25,0.9122
2016-05-26,0.9143
2016-05-27,0.9167
2016-05-30,0.9091
2016-05-31,0.9131
2016-06-01,0.9113
2016-06-02,0.9168
2016-06-03,0.9134
2016-06-06,0.9292
2016-06-07,0.9304
2016-06-08,0.9301
2016-06-09,0.9336
2016-06-10,0.9251
2016-06-13,0.9213
2016-06-14,0.9245
2016-06-15,0.9179
2016-06-16,0.9229
2016-06-17,0.922
2016-06-20,0.9299
2016-06-21,0.9272
2016-06-22,0.9211
2016-06-23,0.9271
2016-06-24,0.9265
2016-06-27,0.9032
2016-06-28,0.9026
2016-06-29,0.9063
2016-06-30,0.9102
2016-07-01,0.9101
2016-07-04,0.9114
2016-07-05,0.9122
2016-07-06,0.9049
2016-07-07,0.908
2016-07-08,0.9062
2016-07-11,0.9041
2016-07-12,0.9055
2016-07-13,0.9054
2016-07-14,0.9089
2016-07-15,0.9101
2016-07-18,0.9054
2016-07-19,0.9063
2016-07-20,0.9024
2016-07-21,0.9022
2016-07-22,0.9032
2016-07-25,0.898
2016-07-26,0.8998
2016-07-27,0.8994
2016-07-28,0.9065
2016-07-29,0.9069
2016-08-01,0.9147
2016-08-02,0.9151
2016-08-03,0.9185
2016-08-04,0.9129
2016-08-05,0.9116
2016-08-08,0.908
2016-08-09,0.908
2016-08-10,0.9125
2016-08-11,0.9163
2016-08-12,0.9122
2016-08-15,0.914
2016-08-16,0.9154
2016-08-17,0.9237
2016-08-18,0.9257
2016-08-19,0.9287
2016-08-22,0.9246
2016-08-23,0.9278
2016-08-24,0.9254
2016-08-25,0.9229
2016-08-26,0.9246
2016-08-29,0.9166
2016-08-30,0.9159
2016-08-31,0.9128
2016-09-01,0.9138
2016-09-02,0.9172
2016-09-05,0.9143
2016-09-06,0.9129
2016-09-07,0.921
2016-09-08,0.9209
2016-09-09,0.923
2016-09-12,0.9202
2016-09-13,0.92
2016-09-14,0.9187
2016-09-15,0.9208
2016-09-16,0.9206
2016-09-19,0.9134
2016-09-20,0.9152
2016-09-21,0.9134
2016-09-22,0.917
2016-09-23,0.9174
2016-09-26,0.9205
2016-09-27,0.9208
2016-09-28,0.9183
2016-09-29,0.9192
2016-09-30,0.9185
2016-10-03,0.9196
2016-10-04,0.9177
2016-10-05,0.918
2016-10-06,0.9177
2016-10-07,0.9126
2016-10-10,0.9166
2016-10-11,0.9117
2016-10-12,0.9043
2016-10-13,0.9018
2016-10-14,0.9043
2016-10-17,0.8981
2016-10-18,0.9022
2016-10-19,0.8991
2016-10-20,0.8985
2016-10-21,0.8943
2016-10-24,0.8908
2016-10-25,0.89
2016-10-26,0.8914
2016-10-27,0.8932
2016-10-28,0.8925
2016-10-31,0.8986
2016-11-01,0.8982
2016-11-02,0.9053
2016-11-03,0.9083
2016-11-04,0.909
2016-11-07,0.9098
2016-11-08,0.9042
2016-11-09,0.9024
2016-11-10,0.8952
2016-11-11,0.8912
2016-11-14,0.8851
2016-11-15,0.8815
2016-11-16,0.8788
2016-11-17,0.8764
2016-11-18,0.8689
2016-11-21,0.8684
2016-11-22,0.8719
2016-11-23,0.8704
2016-11-24,0.8631
2016-11-25,0.8636
2016-11-28,0.8694
2016-11-29,0.8693
2016-11-30,0.8726
2016-12-01,0.868
2016-12-02,0.8732
2016-12-05,0.865
2016-12-06,0.8809
2016-12-07,0.8777
2016-12-08,0.8814
2016-12-09,0.8688
2016-12-12,0.8622
2016-12-13,0.8714
2016-12-14,0.8709
2016-12-15,0.8575
2016-12-16,0.8526
2016-12-19,0.8562
2016-12-20,0.8514
2016-12-21,0.8508
2016-12-22,0.8544
2016-12-23,0.8547
2016-12-26,0.856
2016-12-27,0.8558
2016-12-28,0.8567
2016-12-29,0.854
2016-12-30,0.8644
2017-01-02,0.8618
2017-01-03,0.857
2017-01-04,0.8518
2017-01-05,0.862
2017-01-06,0.8678
2017-01-09,0.8619
2017-01-10,0.8672
2017-01-11,0.8643
2017-01-12,0.8669
2017-01-13,0.8689
2017-01-16,0.8704
2017-01-17,0.869
2017-01-18,0.8766
2017-01-19,0.8706
2017-01-20,0.8724
2017-01-24,0.881
2017-01-25,0.8786
2017-01-26,0.8808
2017-01-27,0.8747
2017-01-30,0.878
2017-01-31,0.8762
2017-02-01,0.8837
2017-02-02,0.8822
2017-02-03,0.881
2017-02-06,0.8829
2017-02-07,0.8794
2017-02-08,0.8737
2017-02-09,0.8754
2017-02-10,0.8724
2017-02-13,0.869
2017-02-14,0.8685
2017-02-15,0.8656
2017-02-16,0.8692
2017-02-17,0.8692
2017-02-20,0.8688
2017-02-21,0.8627
2017-02-22,0.8648
2017-02-23,0.8664
2017-02-24,0.8642
2017-02-27,0.8668
2017-02-28,0.8657
2017-03-01,0.8637
2017-03-02,0.8605
2017-03-03,0.8697
2017-03-06,0.8662
2017-03-07,0.8652
2017-03-08,0.8631
2017-03-09,0.8661
2017-03-10,0.8739
2017-03-13,0.8723
2017-03-14,0.8685
2017-03-15,0.8788
2017-03-16,0.8819
2017-03-17,0.8792
2017-03-20,0.8792
2017-03-21,0.8847
2017-03-22,0.8839
2017-03-23,0.883
2017-03-24,0.8842
2017-03-27,0.8896
2017-03-28,0.8857
2017-03-29,0.8817
2017-03-30,0.8746
2017-03-31,0.8734
2017-04-03,0.8734
2017-04-04,0.8747
2017-04-05,0.8737
2017-04-06,0.8715
2017-04-07,0.8675
2017-04-10,0.8675
2017-04-11,0.8684
2017-04-12,0.8731
2017-04-13,0.8691
2017-04-14,0.869
2017-04-17,0.8715
2017-04-18,0.8786
2017-04-19,0.8772
2017-04-20,0.877
2017-04-21,0.8783
2017-04-24,0.89
2017-04-25,0.895
2017-04-26,0.893
2017-04-27,0.8902
2017-04-28,0.8921
2017-05-01,0.893
2017-05-02,0.8948
2017-05-03,0.8916
2017-05-04,0.899
2017-05-05,0.9005
2017-05-08,0.8944
2017-05-09,0.891
2017-05-10,0.89
2017-05-11,0.8895
2017-05-12,0.8949
2017-05-15,0.8992
