date,exchange_rate
2014-11-24,225.15
2014-11-25,225.58
2014-11-26,226.18
2014-11-27,225.52
2014-11-28,225.93
2014-12-01,226.29
2014-12-02,224.87
2014-12-03,223.76
2014-12-04,225.05
2014-12-05,223.21
2014-12-08,224.26
2014-12-09,225.71
2014-12-10,226.06
2014-12-11,225.25
2014-12-12,226.71
2014-12-15,228.22
2014-12-16,229.5
2014-12-17,226.22
2014-12-18,223.57
2014-12-19,222.47
2014-12-22,223.11
2014-12-23,221.74
2014-12-24,222.85
2014-12-25,223.33
2014-12-26,222.55
2014-12-29,221.74
2014-12-30,221.52
2014-12-31,220.45
2015-01-01,220.52
2015-01-02,219.19
2015-01-05,218.27
2015-01-06,217.18
2015-01-07,216.5
2015-01-08,215.87
2015-01-09,216.98
2015-01-12,216.69
2015-01-13,216.23
2015-01-14,216.52
2015-01-15,213.79
2015-01-16,212.91
2015-01-19,213.38
2015-01-20,212.2
2015-01-21,213.93
2015-01-22,208.49
2015-01-23,206.54
2015-01-26,207.23
2015-01-27,209.85
2015-01-28,208.02
2015-01-29,208.98
2015-01-30,208.03
2015-02-02,209.13
2015-02-03,211.56
2015-02-04,209.64
2015-02-05,211.83
2015-02-06,209.25
2015-02-09,209.65
2015-02-10,209.19
2015-02-11,209.73
2015-02-12,211.28
2015-02-13,210.97
2015-02-16,210.02
2015-02-17,211.19
2015-02-18,211.08
2015-02-19,210.39
2015-02-20,210.89
2015-02-23,209.89
2015-02-24,209.9
2015-02-25,210.32
2015-02-26,207.23
2015-02-27,207.16
2015-03-02,207.0
2015-03-03,206.72
2015-03-04,205.07
2015-03-05,204.39
2015-03-06,201.24
2015-03-09,201.18
2015-03-10,198.05
2015-03-11,195.35
2015-03-12,196.95
2015-03-13,194.74
2015-03-16,195.9
2015-03-17,196.36
2015-03-18,200.78
2015-03-19,198.07
2015-03-20,201.04
2015-03-23,203.71
2015-03-24,202.8
2015-03-25,203.83
2015-03-26,202.13
2015-03-27,202.32
2015-03-30,200.45
2015-03-31,199.38
2015-04-01,199.99
2015-04-02,202.33
2015-04-03,203.91
2015-04-06,202.94
2015-04-07,200.95
2015-04-08,200.17
2015-04-09,197.91
2015-04-10,196.81
2015-04-13,196.29
2015-04-14,197.87
2015-04-15,198.23
2015-04-16,199.79
2015-04-17,200.73
2015-04-20,199.32
2015-04-21,199.36
2015-04-22,199.04
2015-04-23,200.96
2015-04-24,201.71
2015-04-27,201.9
2015-04-28,203.79
2015-04-29,206.32
2015-04-30,208.66
2015-05-01,208.11
2015-05-04,206.82
2015-05-05,207.47
2015-05-06,210.49
2015-05-07,208.9
2015-05-08,207.87
2015-05-11,207.07
2015-05-12,208.18
2015-05-13,210.83
2015-05-14,212.1
2015-05-15,212.78
2015-05-18,209.97
2015-05-19,207.1
2015-05-20,205.97
2015-05-21,206.28
2015-05-22,204.8
2015-05-25,204.14
2015-05-26,202.18
2015-05-27,202.46
2015-05-28,203.89
2015-05-29,204.13
2015-06-01,202.93
2015-06-02,207.07
2015-06-03,209.47
2015-06-04,208.08
2015-06-05,206.45
2015-06-08,209.58
2015-06-09,209.58
2015-06-10,210.42
2015-06-11,208.89
2015-06-12,209.7
2015-06-15,209.62
2015-06-16,208.98
2015-06-17,210.74
2015-06-18,211.3
2015-06-19,210.97
2015-06-22,211.06
2015-06-23,207.72
2015-06-24,208.47
2015-06-25,208.49
2015-06-26,207.81
2015-06-29,208.73
2015-06-30,207.26
2015-07-01,205.73
2015-07-02,206.09
2015-07-03,206.93
2015-07-06,205.57
2015-07-07,204.76
2015-07-08,206.2
2015-07-09,205.78
2015-07-10,207.92
2015-07-13,205.5
2015-07-14,205.66
2015-07-15,204.76
2015-07-16,203.2
2015-07-17,202.6
2015-07-20,201.22
2015-07-21,204.4
2015-07-22,203.04
2015-07-23,205.39
2015-07-24,205.22
2015-07-27,207.68
2015-07-28,207.01
2015-07-29,205.84
2015-07-30,204.82
2015-07-31,206.39
2015-08-03,205.22
2015-08-04,204.19
2015-08-05,204.44
2015-08-06,204.75
2015-08-07,205.49
2015-08-10,206.88
2015-08-11,207.43
2015-08-12,209.36
2015-08-13,209.61
2015-08-14,208.91
2015-08-17,208.37
2015-08-18,207.42
2015-08-19,219.0
2015-08-20,282.67
2015-08-21,266.84
2015-08-24,263.12
2015-08-25,274.74
2015-08-26,275.09
2015-08-27,270.76
2015-08-28,268.67
2015-08-31,268.22
2015-09-01,270.04
2015-09-02,269.45
2015-09-03,265.93
2015-09-04,267.74
2015-09-07,268.19
2015-09-08,274.49
2015-09-09,280.95
2015-09-10,293.49
2015-09-11,299.05
2015-09-14,314.34
2015-09-15,313.59
2015-09-16,319.77
2015-09-17,327.61
2015-09-18,310.96
2015-09-21,302.1
2015-09-22,289.91
2015-09-23,301.79
2015-09-24,300.35
2015-09-25,302.1
2015-09-28,303.35
2015-09-29,305.91
2015-09-30,303.68
2015-10-01,303.63
2015-10-02,305.04
2015-10-05,303.82
2015-10-06,307.34
2015-10-07,308.2
2015-10-08,308.66
2015-10-09,311.79
2015-10-12,312.2
2015-10-13,313.62
2015-10-14,316.98
2015-10-15,314.22
2015-10-16,313.23
2015-10-19,313.47
2015-10-20,314.61
2015-10-21,314.89
2015-10-22,308.62
2015-10-23,305.65
2015-10-26,308.29
2015-10-27,308.35
2015-10-28,305.2
2015-10-29,306.75
2015-10-30,308.21
2015-11-02,309.48
2015-11-03,309.78
2015-11-04,311.77
2015-11-05,325.63
2015-11-06,333.87
2015-11-09,330.16
2015-11-10,328.53
2015-11-11,329.38
2015-11-12,331.86
2015-11-13,331.47
2015-11-16,328.68
2015-11-17,327.45
2015-11-18,327.64
2015-11-19,329.71
2015-11-20,327.02
2015-11-23,326.51
2015-11-24,326.8
2015-11-25,326.06
2015-11-26,325.57
2015-11-27,325.08
2015-11-30,324.87
2015-12-01,326.57
2015-12-02,326.32
2015-12-03,335.98
2015-12-04,333.65
2015-12-07,332.42
2015-12-08,335.47
2015-12-09,339.28
2015-12-10,339.52
2015-12-11,347.17
2015-12-14,367.19
2015-12-15,362.43
2015-12-16,361.73
2015-12-17,359.31
2015-12-18,373.71
2015-12-21,375.38
2015-12-22,368.42
2015-12-23,358.71
2015-12-24,357.33
2015-12-25,357.72
2015-12-28,365.17
2015-12-29,370.6
2015-12-30,370.44
2015-12-31,368.38
2016-01-01,368.1
2016-01-04,367.95
2016-01-05,368.76
2016-01-06,372.35
2016-01-07,376.73
2016-01-08,384.26
2016-01-11,390.75
2016-01-12,396.23
2016-01-13,394.78
2016-01-14,395.76
2016-01-15,393.97
2016-01-18,411.36
2016-01-19,412.9
2016-01-20,410.24
2016-01-21,425.09
2016-01-22,411.23
2016-01-25,407.7
2016-01-26,412.16
2016-01-27,411.55
2016-01-28,405.19
2016-01-29,394.62
2016-02-01,391.96
2016-02-02,404.02
2016-02-03,409.95
2016-02-04,407.04
2016-02-05,407.32
2016-02-08,401.12
2016-02-09,407.39
2016-02-10,405.98
2016-02-11,407.22
2016-02-12,414.84
2016-02-15,405.63
2016-02-16,401.02
2016-02-17,396.18
2016-02-18,388.69
2016-02-19,392.21
2016-02-22,385.78
2016-02-23,384.52
2016-02-24,384.99
2016-02-25,385.72
2016-02-26,380.68
2016-02-29,379.75
2016-03-01,378.07
2016-03-02,376.42
2016-03-03,377.14
2016-03-04,378.93
2016-03-07,380.25
2016-03-08,380.02
2016-03-09,378.17
2016-03-10,384.54
2016-03-11,383.71
2016-03-14,380.94
2016-03-15,382.9
2016-03-16,390.24
2016-03-17,392.47
2016-03-18,389.99
2016-03-21,388.08
2016-03-22,387.24
2016-03-23,386.14
2016-03-24,387.95
2016-03-25,387.48
2016-03-28,380.73
2016-03-29,388.32
2016-03-30,389.27
2016-03-31,392.57
2016-04-01,390.08
2016-04-04,391.62
2016-04-05,393.08
2016-04-06,393.61
2016-04-07,387.87
2016-04-08,387.72
2016-04-11,384.02
2016-04-12,381.99
2016-04-13,376.07
2016-04-14,376.71
2016-04-15,375.31
2016-04-18,384.44
2016-04-19,383.2
2016-04-20,380.72
2016-04-21,376.37
2016-04-22,375.53
2016-04-25,375.63
2016-04-26,376.71
2016-04-27,374.68
2016-04-28,374.6
2016-04-29,374.65
2016-05-02,377.07
2016-05-03,378.24
2016-05-04,382.56
2016-05-05,378.63
2016-05-06,381.36
2016-05-09,379.93
2016-05-10,379.63
2016-05-11,380.54
2016-05-12,375.42
2016-05-13,371.99
2016-05-16,372.21
2016-05-17,372.14
2016-05-18,370.08
2016-05-19,375.81
2016-05-20,375.96
2016-05-23,377.31
2016-05-24,374.82
2016-05-25,374.78
2016-05-26,373.74
2016-05-27,373.53
2016-05-30,374.42
2016-05-31,374.3
2016-06-01,376.87
2016-06-02,375.8
2016-06-03,383.62
2016-06-06,380.36
2016-06-07,378.7
2016-06-08,376.12
2016-06-09,375.07
2016-06-10,376.88
2016-06-13,378.11
2016-06-14,379.92
2016-06-15,380.47
2016-06-16,379.9
2016-06-17,381.94
2016-06-20,379.03
2016-06-21,379.6
2016-06-22,381.42
2016-06-23,381.11
2016-06-24,377.35
2016-06-27,373.13
2016-06-28,375.32
2016-06-29,376.95
2016-06-30,376.22
2016-07-01,375.81
2016-07-04,376.4
2016-07-05,372.88
2016-07-06,373.86
2016-07-07,373.52
2016-07-08,373.64
2016-07-11,372.98
2016-07-12,373.88
2016-07-13,375.09
2016-07-14,375.85
2016-07-15,375.14
2016-07-18,375.47
2016-07-19,373.12
2016-07-20,375.43
2016-07-21,377.2
2016-07-22,376.47
2016-07-25,378.72
2016-07-26,388.81
