date,exchange_rate
2023-10-28,21878.151772
2023-10-30,21874.730924
2023-10-31,21941.27822
2023-11-01,21952.684813
2023-11-02,21980.136649
2023-11-03,22070.941711
2023-11-04,22070.941711
2023-11-05,22054.618226
2023-11-06,22244.779368
2023-11-07,22197.731134
2023-11-08,22222.227498
2023-11-09,22127.882242
2023-11-10,22227.482157
2023-11-12,22158.182717
2023-11-13,22100.032624
2023-11-14,22585.054722
2023-11-15,22490.683015
2023-11-16,22492.823654
2023-11-17,22624.300949
2023-11-18,22526.664279
2023-11-19,22511.923995
2023-11-20,22645.348317
2023-11-21,22581.694976
2023-11-22,22512.622983
2023-11-23,22617.016407
2023-11-24,22670.433898
2023-11-25,22587.4327
2023-11-26,22578.016509
2023-11-27,22670.761176
2023-11-28,22752.766156
2023-11-29,22705.337898
2023-11-30,22523.979363
2023-12-01,22547.78162
2023-12-02,22546.884541
2023-12-03,22552.544804
2023-12-04,22428.205781
2023-12-05,22380.687424
2023-12-06,22317.318879
2023-12-07,22368.574862
2023-12-08,22305.453238
2023-12-09,22345.984516
2023-12-10,22335.010904
2023-12-11,22310.722663
2023-12-12,22376.893119
2023-12-13,22530.923191
2023-12-14,22712.037717
2023-12-15,22506.6626
2023-12-16,22556.771987
2023-12-17,22547.51616
2023-12-18,22510.822494
2023-12-19,22620.700291
2023-12-20,22548.025155
2023-12-21,22683.885649
2023-12-22,22665.914522
2023-12-23,22666.336842
2023-12-24,22666.345695
2023-12-25,22675.007951
2023-12-26,22734.560936
2023-12-27,22873.18484
2023-12-28,22836.32858
2023-12-29,22671.111967
2023-12-30,22746.065022
2023-12-31,22746.122008
2024-01-01,22750.409183
2024-01-02,22499.702618
2024-01-03,22455.132414
2024-01-04,22562.76277
2024-01-05,22565.180816
2024-01-06,22481.196081
2024-01-07,22481.204126
2024-01-08,22599.179591
2024-01-09,22511.977884
2024-01-10,22622.50017
2024-01-11,22633.665795
2024-01-12,22583.170329
2024-01-13,22580.735839
2024-01-14,22580.808908
2024-01-15,22575.720202
2024-01-16,22433.00442
2024-01-17,22470.871112
2024-01-18,22449.633914
2024-01-19,22496.559281
2024-01-20,22512.140695
2024-01-21,22512.18144
2024-01-22,22517.154898
2024-01-23,22449.975827
2024-01-24,22553.934769
2024-01-25,22424.462267
2024-01-26,22514.917122
2024-01-27,22533.159373
