date,exchange_rate
2014-11-07,1883.5
2014-11-10,1881.59998
2014-11-11,1890.40002
2014-11-12,1882.69995
2014-11-13,1890.80005
2014-11-14,1898.19995
2014-11-17,1886.69995
2014-11-18,1897.80005
2014-11-19,1900.30005
2014-11-20,1899.69995
2014-11-21,1874.59998
2014-11-24,1884.19995
2014-11-25,1889.30005
2014-11-26,1892.80005
2014-11-27,1887.30005
2014-11-28,1881.59998
2014-12-01,1889.0
2014-12-02,1873.09998
2014-12-03,1861.59998
2014-12-04,1872.30005
2014-12-05,1857.69995
2014-12-08,1862.59998
2014-12-09,1871.90002
2014-12-10,1881.30005
2014-12-11,1875.80005
2014-12-12,1883.69995
2014-12-15,1881.90002
2014-12-16,1892.40002
2014-12-17,1867.80005
2014-12-18,1860.69995
2014-12-19,1850.80005
2014-12-22,1851.80005
2014-12-23,1843.40002
2014-12-24,1847.59998
2014-12-25,1851.59998
2014-12-26,1842.59998
2014-12-30,1841.09998
2014-12-31,1829.80005
2015-01-01,1830.40002
2015-01-02,1814.80005
2015-01-05,1807.19995
2015-01-06,1798.09998
2015-01-07,1792.5
2015-01-08,1783.0
2015-01-09,1793.0
2015-01-12,1792.09998
2015-01-13,1783.40002
2015-01-14,1785.5
2015-01-15,1755.59998
2015-01-16,1746.40002
2015-01-19,1752.30005
2015-01-20,1744.0
2015-01-21,1752.19995
2015-01-22,1710.30005
2015-01-23,1692.5
2015-01-26,1698.19995
2015-01-27,1717.80005
2015-01-28,1702.80005
2015-01-29,1710.80005
2015-01-30,1704.80005
2015-02-02,1710.80005
2015-02-03,1732.30005
2015-02-04,1713.30005
2015-02-05,1733.0
2015-02-06,1705.40002
2015-02-09,1707.30005
2015-02-10,1704.09998
2015-02-11,1705.59998
2015-02-12,1716.0
2015-02-13,1713.30005
2015-02-16,1707.69995
2015-02-17,1714.5
2015-02-18,1713.09998
2015-02-19,1707.5
2015-02-20,1710.19995
2015-02-23,1703.59998
2015-02-24,1701.30005
2015-02-25,1716.0
2015-02-26,1686.5
2015-02-27,1690.40002
2015-03-02,1683.40002
2015-03-03,1681.59998
2015-03-04,1667.0
2015-03-05,1657.5
2015-03-06,1629.90002
2015-03-09,1629.40002
2015-03-10,1606.09998
2015-03-11,1591.5
2015-03-12,1595.80005
2015-03-13,1577.90002
2015-03-16,1587.80005
2015-03-17,1591.5
2015-03-18,1627.0
2015-03-19,1602.80005
2015-03-20,1624.80005
2015-03-23,1646.59998
2015-03-24,1639.30005
2015-03-25,1647.30005
2015-03-26,1633.59998
2015-03-27,1637.19995
2015-03-30,1626.80005
2015-03-31,1617.59998
2015-04-01,1622.40002
2015-04-02,1647.0
2015-04-03,1657.90002
2015-04-06,1642.59998
2015-04-07,1631.5
2015-04-08,1625.59998
2015-04-09,1607.69995
2015-04-10,1597.80005
2015-04-13,1592.5
2015-04-14,1606.0
2015-04-15,1609.40002
2015-04-16,1619.69995
2015-04-17,1629.90002
2015-04-20,1619.69995
2015-04-21,1618.59998
2015-04-22,1613.90002
2015-04-23,1631.19995
2015-04-24,1635.09998
2015-04-27,1636.40002
2015-04-28,1657.80005
2015-04-29,1675.5
2015-04-30,1692.69995
2015-05-01,1688.19995
2015-05-04,1680.09998
2015-05-05,1685.40002
2015-05-06,1709.80005
2015-05-07,1697.0
2015-05-08,1686.5
2015-05-11,1680.69995
2015-05-12,1689.5
2015-05-13,1711.69995
2015-05-14,1718.09998
2015-05-15,1726.09998
2015-05-18,1705.69995
2015-05-19,1680.09998
2015-05-20,1672.69995
2015-05-21,1674.30005
2015-05-22,1660.0
2015-05-25,1654.69995
2015-05-26,1641.09998
2015-05-27,1642.69995
2015-05-28,1652.40002
2015-05-29,1656.90002
2015-06-01,1646.90002
2015-06-02,1680.69995
2015-06-03,1698.90002
2015-06-04,1688.90002
2015-06-05,1674.80005
2015-06-08,1702.30005
2015-06-09,1699.69995
2015-06-10,1707.0
2015-06-11,1694.59998
2015-06-12,1698.59998
2015-06-15,1700.09998
2015-06-16,1695.30005
2015-06-17,1709.80005
2015-06-18,1717.59998
2015-06-19,1711.5
2015-06-22,1709.90002
2015-06-23,1683.69995
2015-06-24,1690.0
2015-06-25,1688.59998
2015-06-26,1682.0
2015-06-29,1689.40002
2015-06-30,1678.69995
2015-07-01,1663.80005
2015-07-02,1670.5
2015-07-03,1676.90002
2015-07-06,1667.4
2015-07-07,1660.8
2015-07-08,1671.3
2015-07-09,1668.9
2015-07-10,1681.1
2015-07-13,1659.1
2015-07-14,1661.4
2015-07-15,1650.9
2015-07-16,1638.5
2015-07-17,1634.2
2015-07-20,1631.9
2015-07-21,1648.6
2015-07-22,1646.8
2015-07-23,1654.9
2015-07-24,1655.1
2015-07-27,1671.9
2015-07-28,1667.2
2015-07-29,1656.5
2015-07-30,1646.8
2015-07-31,1651.2
2015-08-03,1650.5
2015-08-04,1641.3
2015-08-05,1639.3
2015-08-06,1646.8
2015-08-07,1652.5
2015-08-10,1659.4
2015-08-11,1663.5
2015-08-12,1680.5
2015-08-13,1682.1
2015-08-14,1676.2
2015-08-17,1671.0
2015-08-18,1663.1
2015-08-19,1676.2
2015-08-20,1693.7
2015-08-21,1718.5
2015-08-24,1748.5
2015-08-25,1737.7
2015-08-26,1710.7
2015-08-27,1697.4
2015-08-28,1684.1
2015-08-31,1687.6
2015-09-01,1702.7
2015-09-02,1689.7
2015-09-03,1675.3
2015-09-04,1679.7
2015-09-07,1684.6
2015-09-08,1695.0
2015-09-09,1691.2
2015-09-10,1703.8
2015-09-11,1710.1
2015-09-14,1707.8
2015-09-15,1701.9
2015-09-16,1704.8
2015-09-17,1724.6
2015-09-18,1707.7
2015-09-21,1688.9
2015-09-22,1678.9
2015-09-23,1689.4
2015-09-24,1687.3
2015-09-25,1689.8
2015-09-28,1696.3
2015-09-29,1698.8
2015-09-30,1684.7
2015-10-01,1685.8
2015-10-02,1688.7
2015-10-05,1685.6
2015-10-06,1697.3
2015-10-07,1693.1
2015-10-08,1703.1
2015-10-09,1711.0
2015-10-12,1712.6
2015-10-13,1716.4
2015-10-14,1729.9
2015-10-15,1715.6
2015-10-16,1711.5
2015-10-19,1708.4
2015-10-20,1714.2
2015-10-21,1708.1
2015-10-22,1674.2
2015-10-23,1661.5
2015-10-26,1667.5
2015-10-27,1664.7
2015-10-28,1646.3
2015-10-29,1657.1
2015-10-30,1660.4
2015-11-02,1659.0
2015-11-03,1652.3
2015-11-04,1638.5
2015-11-05,1638.3
2015-11-06,1619.4
2015-11-09,1621.0
2015-11-10,1617.3
2015-11-11,1620.6
2015-11-12,1629.8
2015-11-13,1624.7
2015-11-16,1611.6
2015-11-17,1603.3
2015-11-18,1606.5
2015-11-19,1618.1
2015-11-20,1605.3
2015-11-23,1603.7
2015-11-24,1603.7
2015-11-25,1601.9
2015-11-26,1599.5
2015-11-27,1597.1
2015-11-30,1593.8
2015-12-01,1602.2
2015-12-02,1599.8
2015-12-03,1647.4
2015-12-04,1638.7
2015-12-07,1633.7
2015-12-08,1642.9
2015-12-09,1661.6
2015-12-10,1649.6
2015-12-11,1657.3
2015-12-14,1658.4
2015-12-15,1648.6
2015-12-16,1650.9
2015-12-17,1641.9
2015-12-18,1638.0
2015-12-21,1646.1
2015-12-22,1656.1
2015-12-23,1644.7
2015-12-24,1657.7
2015-12-25,1655.2
2015-12-28,1654.8
2015-12-29,1647.0
2015-12-30,1648.2
2015-12-31,1641.0
2016-01-01,1637.8
2016-01-04,1638.9
2016-01-05,1626.4
2016-01-06,1625.6
2016-01-07,1651.6
2016-01-08,1647.1
2016-01-11,1637.2
2016-01-12,1643.2
2016-01-13,1641.0
2016-01-14,1638.9
2016-01-15,1646.2
2016-01-18,1646.5
2016-01-19,1645.4
2016-01-20,1647.0
2016-01-21,1639.7
2016-01-22,1628.9
2016-01-25,1643.1
2016-01-26,1637.5
2016-01-27,1646.4
2016-01-28,1653.5
2016-01-29,1635.0
2016-02-01,1649.2
2016-02-02,1648.6
2016-02-03,1672.7
2016-02-04,1690.3
2016-02-05,1683.1
2016-02-08,1688.4
2016-02-09,1702.4
2016-02-10,1701.9
2016-02-11,1706.1
2016-02-12,1699.3
2016-02-15,1685.3
2016-02-16,1680.1
2016-02-17,1677.8
2016-02-18,1675.0
2016-02-19,1680.4
2016-02-22,1664.6
2016-02-23,1663.4
2016-02-24,1663.1
2016-02-25,1664.0
2016-02-26,1648.9
2016-02-29,1642.2
2016-03-01,1639.6
2016-03-02,1639.6
2016-03-03,1651.8
2016-03-04,1660.1
2016-03-07,1662.5
2016-03-08,1659.9
2016-03-09,1658.8
2016-03-10,1687.5
2016-03-11,1684.0
2016-03-14,1674.3
2016-03-15,1674.9
2016-03-16,1691.0
2016-03-17,1705.8
2016-03-18,1699.5
2016-03-21,1696.6
2016-03-22,1693.3
2016-03-23,1685.3
2016-03-24,1684.6
2016-03-25,1682.5
2016-03-28,1688.6
2016-03-29,1702.1
2016-03-30,1711.0
2016-03-31,1716.0
2016-04-01,1718.4
2016-04-04,1718.9
2016-04-05,1717.6
2016-04-06,1719.7
2016-04-07,1715.5
2016-04-08,1718.7
2016-04-11,1720.6
2016-04-12,1716.9
2016-04-13,1702.0
2016-04-14,1699.5
2016-04-15,1703.2
2016-04-18,1708.3
2016-04-19,1712.5
2016-04-20,1705.7
2016-04-21,1702.2
2016-04-22,1693.3
2016-04-25,1701.3
2016-04-26,1705.6
2016-04-27,1709.3
2016-04-28,1712.1
2016-04-29,1729.6
2016-05-02,1738.3
2016-05-03,1735.5
2016-05-04,1733.6
2016-05-05,1719.5
2016-05-06,1719.3
2016-05-09,1715.9
2016-05-10,1715.2
2016-05-11,1723.7
2016-05-12,1715.6
2016-05-13,1704.8
2016-05-16,1705.8
2016-05-17,1705.4
2016-05-18,1692.0
2016-05-19,1688.7
2016-05-20,1692.4
2016-05-23,1693.1
2016-05-24,1681.5
2016-05-25,1683.1
2016-05-26,1688.5
2016-05-27,1676.6
2016-05-30,1680.6
2016-05-31,1677.9
2016-06-01,1686.5
2016-06-02,1681.6
2016-06-03,1713.3
2016-06-06,1711.7
2016-06-07,1711.9
2016-06-08,1718.2
2016-06-09,1705.7
2016-06-10,1696.0
2016-06-13,1702.0
2016-06-14,1690.3
2016-06-15,1698.5
2016-06-16,1693.5
2016-06-17,1700.3
2016-06-20,1704.5
2016-06-21,1696.6
2016-06-22,1713.0
2016-06-23,1716.8
2016-06-24,1677.0
2016-06-27,1661.4
2016-06-28,1670.5
2016-06-29,1676.8
2016-06-30,1673.5
2016-07-01,1679.1
2016-07-04,1681.7
2016-07-05,1666.5
2016-07-06,1672.6
2016-07-07,1668.6
2016-07-08,1669.3
2016-07-11,1668.1
2016-07-12,1670.9
2016-07-13,1676.3
2016-07-14,1679.0
2016-07-15,1670.3
2016-07-18,1668.8
2016-07-19,1660.2
2016-07-20,1659.2
2016-07-21,1661.4
2016-07-22,1653.5
2016-07-25,1656.4
