date,exchange_rate
2014-11-10,163.42
2014-11-11,162.526
2014-11-12,163.228
2014-11-13,163.32899
2014-11-14,163.043
2014-11-17,163.724
2014-11-18,163.933
2014-11-19,164.369
2014-11-20,164.33701
2014-11-21,163.01801
2014-11-24,162.56599
2014-11-25,163.078
2014-11-26,163.759
2014-11-27,163.755
2014-11-28,163.871
2014-12-01,163.339
2014-12-02,163.261
2014-12-03,161.698
2014-12-04,161.438
2014-12-05,162.005
2014-12-08,160.929
2014-12-09,162.23
2014-12-10,162.703
2014-12-11,163.508
2014-12-12,163.433
2014-12-15,163.114
2014-12-16,164.645
2014-12-17,163.414
2014-12-18,161.651
2014-12-19,161.067
2014-12-22,160.948
2014-12-23,160.34599
2014-12-24,160.173
2014-12-26,160.00301
2014-12-30,159.535
2014-12-31,159.448
2015-01-01,158.797
2015-01-02,158.222
2015-01-05,156.242
2015-01-06,156.38499
2015-01-07,155.56799
2015-01-08,154.923
2015-01-09,155.362
2015-01-12,155.284
2015-01-13,155.16299
2015-01-14,154.563
2015-01-15,153.86301
2015-01-16,152.315
2015-01-19,152.856
2015-01-20,152.71899
2015-01-21,152.711
2015-01-22,153.545
2015-01-23,147.341
2015-01-26,148.336
2015-01-27,149.12
2015-01-28,150.41499
2015-01-29,149.625
2015-01-30,150.092
2015-02-02,149.78
2015-02-03,150.104
2015-02-04,151.01601
2015-02-05,151.209
2015-02-06,152.287
2015-02-09,149.925
2015-02-10,150.57001
2015-02-11,150.246
2015-02-12,150.757
2015-02-13,151.457
2015-02-16,151.82001
2015-02-17,152.396
2015-02-18,151.089
2015-02-19,151.16701
2015-02-20,150.651
2015-02-23,150.507
2015-02-24,150.69501
2015-02-25,150.98
2015-02-26,151.041
2015-02-27,149.496
2015-03-02,149.287
2015-03-03,148.64999
2015-03-04,148.09801
2015-03-05,147.181
2015-03-06,145.48599
2015-03-09,144.495
2015-03-10,142.84
2015-03-11,141.35899
2015-03-12,141.91
2015-03-13,140.817
2015-03-16,140.41499
2015-03-17,141.495
2015-03-18,141.27901
2015-03-19,141.967
2015-03-20,142.90199
2015-03-23,144.992
2015-03-24,146.125
2015-03-25,146.534
2015-03-26,146.276
2015-03-27,144.616
2015-03-30,144.33701
2015-03-31,143.293
2015-04-01,143.224
2015-04-02,143.84
2015-04-03,145.30499
2015-04-06,146.629
2015-04-07,144.32201
2015-04-08,144.55299
2015-04-09,143.328
2015-04-10,140.98199
2015-04-13,140.405
2015-04-14,141.125
2015-04-15,141.17599
2015-04-16,142.483
2015-04-17,144.097
2015-04-20,143.106
2015-04-21,142.54601
2015-04-22,142.976
2015-04-23,143.35201
2015-04-24,144.55701
2015-04-27,144.215
2015-04-28,145.52499
2015-04-29,146.98599
2015-04-30,148.959
2015-05-01,149.461
2015-05-04,148.341
2015-05-05,148.105
2015-05-06,150.286
2015-05-07,150.605
2015-05-08,149.72701
2015-05-11,148.733
2015-05-12,150.255
2015-05-13,150.64301
2015-05-14,152.564
2015-05-15,151.362
2015-05-18,152.308
2015-05-19,149.218
2015-05-20,148.763
2015-05-21,148.804
2015-05-22,148.576
