date,exchange_rate
2014-11-24,103.869
2014-11-25,104.152
2014-11-26,104.416
2014-11-27,104.112
2014-11-28,103.97
2014-12-01,104.137
2014-12-02,103.396
2014-12-03,102.76
2014-12-04,103.35
2014-12-05,101.32
2014-12-08,101.584
2014-12-09,102.093
2014-12-10,102.673
2014-12-11,102.305
2014-12-12,101.787
2014-12-15,102.634
2014-12-16,103.211
2014-12-17,101.735
2014-12-18,101.347
2014-12-19,100.875
2014-12-22,100.862
2014-12-23,100.408
2014-12-24,100.634
2014-12-25,100.851
2014-12-26,100.497
2014-12-29,100.298
2014-12-30,100.279
2014-12-31,99.796
2015-01-01,99.828
2015-01-02,98.981
2015-01-05,98.432
2015-01-06,97.939
2015-01-07,98.816
2015-01-08,98.423
2015-01-09,98.849
2015-01-12,98.796
2015-01-13,98.317
2015-01-14,98.431
2015-01-15,97.103
2015-01-16,97.754
2015-01-19,98.086
2015-01-20,97.617
2015-01-21,98.144
2015-01-22,95.732
2015-01-23,94.677
2015-01-26,94.994
2015-01-27,96.089
2015-01-28,95.254
2015-01-29,95.7
2015-01-30,95.362
2015-02-02,95.762
2015-02-03,96.901
2015-02-04,95.839
2015-02-05,96.942
2015-02-06,95.584
2015-02-09,95.689
2015-02-10,95.58
2015-02-11,95.726
2015-02-12,96.311
2015-02-13,96.159
2015-02-16,95.907
2015-02-17,96.416
2015-02-18,96.337
2015-02-19,96.023
2015-02-20,96.174
2015-02-23,95.802
2015-02-24,95.801
2015-02-25,95.992
2015-02-26,94.592
2015-02-27,94.575
2015-03-02,94.478
2015-03-03,94.443
2015-03-04,93.621
2015-03-05,93.212
2015-03-06,91.664
2015-03-09,91.635
2015-03-10,90.322
2015-03-11,89.093
2015-03-12,89.747
2015-03-13,88.74
2015-03-16,89.296
2015-03-17,89.502
2015-03-18,91.501
2015-03-19,90.137
2015-03-20,91.376
2015-03-23,92.601
2015-03-24,92.191
2015-03-25,92.642
2015-03-26,91.869
2015-03-27,92.069
2015-03-30,91.49
2015-03-31,90.731
2015-04-01,91.0
2015-04-02,91.869
2015-04-03,92.741
2015-04-06,92.378
2015-04-07,91.445
2015-04-08,91.117
2015-04-09,90.114
2015-04-10,89.562
2015-04-13,89.32
2015-04-14,90.02
2015-04-15,90.21
2015-04-16,90.907
2015-04-17,91.298
2015-04-20,90.728
2015-04-21,90.725
2015-04-22,90.579
2015-04-23,91.429
2015-04-24,91.768
2015-04-27,91.905
2015-04-28,92.736
2015-04-29,93.915
2015-04-30,94.875
2015-05-01,94.626
2015-05-04,94.168
2015-05-05,94.464
2015-05-06,95.836
2015-05-07,95.115
2015-05-08,94.594
2015-05-11,94.206
2015-05-12,93.639
2015-05-13,94.807
2015-05-14,96.363
2015-05-15,96.749
2015-05-18,95.603
2015-05-19,94.169
2015-05-20,93.757
2015-05-21,93.846
2015-05-22,93.046
2015-05-25,92.746
2015-05-26,91.983
2015-05-27,92.133
2015-05-28,92.682
2015-05-29,92.868
2015-06-01,92.313
2015-06-02,91.973
2015-06-03,95.22
2015-06-04,93.543
2015-06-05,93.874
2015-06-08,95.347
2015-06-09,96.396
2015-06-10,94.543
2015-06-11,96.107
2015-06-12,94.018
2015-06-15,96.417
2015-06-16,96.148
2015-06-17,96.905
2015-06-18,97.215
2015-06-19,97.064
2015-06-22,96.971
2015-06-23,95.489
2015-06-24,95.758
2015-06-25,95.768
2015-06-26,93.221
2015-06-29,95.877
2015-06-30,95.204
2015-07-01,94.489
2015-07-02,94.742
2015-07-03,95.042
2015-07-06,94.504
2015-07-07,94.066
2015-07-08,94.664
2015-07-09,95.075
2015-07-10,95.899
2015-07-13,94.643
2015-07-14,94.715
2015-07-15,94.175
2015-07-16,93.534
2015-07-17,93.134
2015-07-20,93.096
2015-07-21,94.59
2015-07-22,94.508
2015-07-23,91.719
2015-07-24,94.936
2015-07-27,92.569
2015-07-28,95.66
