date,exchange_rate
2014-11-24,13.7442
2014-11-25,13.644
2014-11-26,13.714
2014-11-28,13.7487
2014-12-01,13.7096
2014-12-03,13.827
2014-12-04,13.7866
2014-12-05,13.9534
2014-12-08,14.2153
2014-12-09,14.1642
2014-12-10,14.3346
2014-12-11,14.4014
2014-12-12,14.4439
2014-12-15,14.6278
2014-12-16,14.6026
2014-12-17,14.3781
2014-12-18,14.2377
2014-12-19,14.208
2014-12-22,14.1256
2014-12-23,14.1585
2014-12-24,14.199
2014-12-25,14.1984
2014-12-26,14.1203
2014-12-29,14.1273
2014-12-30,14.0516
2014-12-31,13.9737
2015-01-02,14.0481
2015-01-05,13.9733
2015-01-06,13.9677
2015-01-07,13.8273
2015-01-08,13.6535
2015-01-09,13.6176
2015-01-12,13.6285
2015-01-13,13.5626
2015-01-14,13.4862
2015-01-15,13.3658
2015-01-16,13.3557
2015-01-20,13.3917
2015-01-21,13.3827
2015-01-22,12.9806
2015-01-23,12.8298
2015-01-26,12.9144
2015-01-27,13.1701
2015-01-28,13.0895
2015-01-29,13.0747
2015-01-30,13.1516
2015-02-02,13.0454
2015-02-03,13.0794
2015-02-04,13.0107
2015-02-05,12.9551
2015-02-06,13.0454
2015-02-09,13.1244
2015-02-10,13.2265
2015-02-11,13.3812
2015-02-12,13.3926
2015-02-13,13.2632
2015-02-17,13.2643
2015-02-18,13.2462
2015-02-19,13.3877
2015-02-20,13.229
2015-02-23,13.1949
2015-02-24,13.0348
2015-02-25,13.0194
2015-02-26,12.8961
2015-02-27,13.06
2015-03-02,13.1741
2015-03-03,13.1507
2015-03-04,13.0628
2015-03-05,13.0753
2015-03-06,13.0582
2015-03-09,13.1293
2015-03-10,13.2033
2015-03-11,12.9162
2015-03-12,13.0281
2015-03-13,13.0645
2015-03-16,13.1189
2015-03-17,13.0866
2015-03-18,13.1058
2015-03-19,13.122
2015-03-20,13.0094
2015-03-23,13.046
2015-03-24,12.8889
2015-03-25,13.0029
2015-03-26,13.0308
2015-03-27,13.1015
2015-03-30,13.1331
2015-03-31,13.0583
2015-04-01,12.9156
2015-04-02,13.0081
2015-04-03,12.9357
2015-04-06,12.8851
2015-04-07,12.8236
2015-04-08,12.7451
2015-04-09,12.7091
2015-04-10,12.6997
2015-04-13,12.8471
2015-04-14,12.8149
2015-04-15,12.8974
2015-04-16,12.8835
2015-04-17,13.0103
2015-04-20,13.0377
2015-04-21,13.0313
2015-04-22,13.0948
2015-04-23,13.1511
2015-04-24,13.1544
2015-04-27,13.0407
2015-04-28,13.0159
2015-04-29,13.1225
2015-04-30,13.368
2015-05-01,13.5353
2015-05-04,13.4331
2015-05-05,13.4018
2015-05-06,13.6363
2015-05-07,13.5632
2015-05-08,13.387
2015-05-11,13.4599
2015-05-12,13.5224
2015-05-13,13.4838
2015-05-14,13.4538
2015-05-15,13.4897
2015-05-18,13.4412
2015-05-19,13.2689
2015-05-20,13.1336
2015-05-21,13.1542
2015-05-22,13.0903
2015-05-26,13.1337
2015-05-27,13.1137
2015-05-28,13.2863
2015-05-29,13.3542
2015-06-01,13.4216
2015-06-02,13.6005
2015-06-03,13.8072
2015-06-04,13.9276
2015-06-05,13.9879
2015-06-08,14.1217
2015-06-09,14.0154
2015-06-10,13.9128
2015-06-11,13.8845
2015-06-12,13.9485
2015-06-15,13.9902
2015-06-16,13.9186
2015-06-17,13.917
2015-06-18,13.8734
2015-06-19,13.8107
2015-06-22,13.7376
2015-06-23,13.6121
2015-06-24,13.6115
2015-06-25,13.5683
2015-06-26,13.6243
2015-06-29,13.7494
2015-06-30,13.5788
2015-07-01,13.5664
2015-07-02,13.5891
2015-07-03,13.6601
2015-07-06,13.7118
2015-07-07,13.7072
2015-07-08,13.8563
2015-07-09,13.7831
2015-07-10,13.9103
2015-07-13,13.6884
2015-07-14,13.5673
2015-07-15,13.6071
2015-07-16,13.4899
2015-07-17,13.3943
2015-07-20,13.4866
2015-07-21,13.4777
2015-07-22,13.55
2015-07-23,13.678
2015-07-24,13.8755
2015-07-31,13.9239
2015-08-03,13.8956
2015-08-04,13.8647
2015-08-05,13.9345
2015-08-06,13.899
2015-08-07,13.8559
2015-08-10,13.9338
2015-08-11,14.1283
2015-08-12,14.2543
2015-08-13,14.2846
2015-08-14,14.2315
2015-09-07,15.5815
2015-09-08,15.3546
2015-09-09,15.4493
