date,exchange_rate
2014-11-07,3.4538
2014-11-10,3.4383
2014-11-11,3.4647
2014-11-12,3.4514
2014-11-13,3.4514
2014-11-14,3.4853
2014-11-17,3.4401
2014-11-18,3.4542
2014-11-19,3.4517
2014-11-20,3.4513
2014-11-21,3.4524
2014-11-24,3.4617
2014-11-25,3.4693
2014-11-26,3.4516
2014-11-27,3.4515
2014-11-28,3.4439
2014-12-01,3.4506
2014-12-02,3.449
2014-12-03,3.4515
2014-12-04,3.4516
2014-12-05,3.4299
2014-12-08,3.4666
2014-12-09,3.4515
2014-12-10,3.4689
2014-12-11,3.4465
2014-12-12,3.4532
2014-12-15,3.4545
2014-12-16,3.4508
2014-12-17,3.4519
2014-12-18,3.4554
2014-12-19,3.4344
2014-12-22,3.4514
2014-12-23,3.4514
2014-12-24,3.4561
2014-12-25,3.4636
2014-12-26,3.4514
2014-12-30,3.4517
2014-12-31,3.4303
2015-01-01,3.4303
2023-10-28,3.123588
2023-10-30,3.118405
2023-10-31,3.127919
2023-11-01,3.125087
2023-11-02,3.134377
2023-11-03,3.170046
2023-11-04,3.170046
2023-11-05,3.1677
2023-11-06,3.165448
2023-11-07,3.158753
2023-11-08,3.162238
2023-11-09,3.149573
2023-11-10,3.16375
2023-11-12,3.16375
2023-11-13,3.155446
2023-11-14,3.213095
2023-11-15,3.203528
2023-11-16,3.204606
2023-11-17,3.223338
2023-11-18,3.223338
2023-11-19,3.221229
2023-11-20,3.230233
2023-11-21,3.221932
2023-11-22,3.214567
2023-11-23,3.220036
2023-11-24,3.233031
2023-11-25,3.233031
2023-11-26,3.231683
2023-11-27,3.234639
2023-11-28,3.246732
2023-11-29,3.239963
2023-11-30,3.215617
2023-12-01,3.216316
2023-12-02,3.214565
2023-12-03,3.215373
2023-12-04,3.199259
2023-12-05,3.18786
2023-12-06,3.178835
2023-12-07,3.187673
2023-12-08,3.177911
2023-12-09,3.181133
2023-12-10,3.176988
2023-12-11,3.177895
2023-12-12,3.18732
2023-12-13,3.210808
2023-12-14,3.246018
2023-12-15,3.216667
2023-12-16,3.220688
2023-12-17,3.219367
2023-12-18,3.225258
2023-12-19,3.242381
2023-12-20,3.230003
2023-12-21,3.249465
2023-12-22,3.25129
2023-12-23,3.255321
2023-12-24,3.255322
2023-12-25,3.250306
2023-12-26,3.260284
2023-12-27,3.279256
2023-12-28,3.267383
2023-12-29,3.259401
2023-12-30,3.264124
2023-12-31,3.264132
2024-01-01,3.261795
2024-01-02,3.230919
2024-01-03,3.224519
2024-01-04,3.232037
2024-01-05,3.22972
2024-01-06,3.234638
2024-01-07,3.234638
2024-01-08,3.234585
2024-01-09,3.226386
2024-01-10,3.237139
2024-01-11,3.238737
2024-01-12,3.234621
