date,exchange_rate
2023-10-28,0.63989
2023-10-30,0.638827
2023-10-31,0.639926
2023-11-01,0.640196
2023-11-02,0.642099
2023-11-03,0.649407
2023-11-04,0.649407
2023-11-05,0.648926
2023-11-06,0.648465
2023-11-07,0.647094
2023-11-08,0.647808
2023-11-09,0.645213
2023-11-10,0.648117
2023-11-12,0.648117
2023-11-13,0.646415
2023-11-14,0.658226
2023-11-15,0.656266
2023-11-16,0.656487
2023-11-17,0.660324
2023-11-18,0.660324
2023-11-19,0.659892
2023-11-20,0.661736
2023-11-21,0.660036
2023-11-22,0.658527
2023-11-23,0.659648
2023-11-24,0.66231
2023-11-25,0.66231
2023-11-26,0.662034
2023-11-27,0.662639
2023-11-28,0.665116
2023-11-29,0.66373
2023-11-30,0.658742
2023-12-01,0.658886
2023-12-02,0.658527
2023-12-03,0.658692
2023-12-04,0.655391
2023-12-05,0.653056
2023-12-06,0.651207
2023-12-07,0.653017
2023-12-08,0.651018
2023-12-09,0.651678
2023-12-10,0.650829
2023-12-11,0.651014
2023-12-12,0.652946
2023-12-13,0.657758
2023-12-14,0.66497
2023-12-15,0.658958
2023-12-16,0.659782
2023-12-17,0.65951
2023-12-18,0.660717
2023-12-19,0.664225
2023-12-20,0.661689
2023-12-21,0.665676
2023-12-22,0.66605
2023-12-23,0.666876
2023-12-24,0.666876
2023-12-25,0.665849
2023-12-26,0.667892
2023-12-27,0.671779
2023-12-28,0.669347
2023-12-29,0.667712
2023-12-30,0.66868
2023-12-31,0.668681
2024-01-01,0.668202
2024-01-02,0.661877
2024-01-03,0.660566
2024-01-04,0.662106
2024-01-05,0.661632
2024-01-06,0.662639
2024-01-07,0.662639
2024-01-08,0.662628
2024-01-09,0.660948
2024-01-10,0.663151
2024-01-11,0.663478
2024-01-12,0.662636
2024-01-13,0.663109
2024-01-14,0.66311
2024-01-15,0.662387
2024-01-16,0.657596
2024-01-17,0.65775
2024-01-18,0.657128
2024-01-19,0.658821
2024-01-20,0.660214
2024-01-21,0.660214
2024-01-22,0.658309
2024-01-23,0.656027
2024-01-24,0.658588
2024-01-25,0.654965
2024-01-26,0.656815
2024-01-27,0.65713
2024-01-28,0.657129
2024-01-29,0.654452
2024-01-30,0.656028
2024-01-31,0.657004
2024-02-01,0.657682
2024-02-02,0.652919
2024-02-03,0.653688
2024-02-04,0.653688
2024-02-05,0.649588
2024-02-06,0.650353
2024-02-07,0.651663
2024-02-08,0.651786
2024-02-09,0.652479
2024-02-10,0.652348
2024-02-11,0.652349
2024-02-12,0.65166
2024-02-13,0.647592
2024-02-14,0.648933
2024-02-15,0.651396
2024-02-16,0.652113
2024-02-17,0.651927
2024-02-18,0.651927
2024-02-19,0.652011
2024-02-20,0.653836
2024-02-21,0.654214
2024-02-22,0.654657
2024-02-23,0.654615
2024-02-24,0.655317
2024-02-25,0.655317
2024-02-26,0.656041
2024-02-27,0.656237
2024-02-28,0.655434
2024-02-29,0.653617
2024-03-01,0.655814
2024-03-02,0.656345
2024-03-03,0.656348
2024-03-04,0.656714
2024-03-05,0.656454
2024-03-06,0.6594
2024-03-07,0.6619
2024-03-08,0.66152
2024-03-09,0.66202
2024-03-10,0.662024
2024-03-11,0.660693
2024-03-12,0.660656
2024-03-13,0.662596
2024-03-14,0.658567
2024-03-15,0.658721
2024-03-16,0.659245
2024-03-17,0.659245
2024-03-18,0.657439
2024-03-19,0.657175
2024-03-20,0.65779
2024-03-21,0.656882
2024-03-22,0.65373
2024-03-23,0.65713
2024-03-24,0.65713
2024-03-25,0.65542
2024-03-26,0.655161
2024-03-27,0.654465
2024-03-28,0.653052
2024-03-29,0.652592
2024-03-30,0.653264
2024-03-31,0.653264
2024-04-01,0.649724
2024-04-02,0.651294
2024-04-03,0.655121
2024-04-04,0.656936
2024-04-05,0.655402
2024-04-06,0.65617
2024-04-07,0.656169
2024-04-08,0.656711
2024-04-09,0.656486
2024-04-10,0.649859
2024-04-11,0.648338
2024-04-12,0.643973
2024-04-13,0.645457
2024-04-14,0.645457
2024-04-15,0.643301
2024-04-16,0.64257
2024-04-17,0.644367
2024-04-18,0.644422
2024-04-19,0.644253
2024-04-20,0.645214
2024-04-21,0.645214
2024-04-22,0.644188
2024-04-23,0.647194
2024-04-24,0.646443
2024-04-25,0.648408
2024-04-26,0.646713
2024-04-27,0.647391
2024-04-28,0.647391
2024-04-29,0.648436
2024-04-30,0.645964
2024-05-01,0.645926
2024-05-02,0.647565
2024-05-03,0.651256
2024-05-04,0.651576
2024-05-05,0.651576
2024-05-06,0.651582
2024-05-07,0.651664
2024-05-08,0.650434
2024-05-09,0.651555
2024-05-10,0.651793
2024-05-11,0.652496
2024-05-12,0.652496
2024-05-13,0.653134
2024-05-14,0.654353
2024-05-15,0.656719
2024-05-16,0.657625
2024-05-17,0.657632
2024-05-18,0.658991
2024-05-19,0.658991
2024-05-20,0.657063
2024-05-21,0.656615
2024-05-22,0.655444
2024-05-23,0.654806
2024-05-24,0.656444
2024-05-25,0.656597
2024-05-26,0.656597
2024-05-27,0.656853
2024-05-28,0.657839
2024-05-29,0.653872
2024-05-30,0.656006
2024-05-31,0.65644
2024-06-01,0.656701
2024-06-02,0.656701
2024-06-03,0.658728
2024-06-04,0.657991
2024-06-05,0.657239
2024-06-06,0.658291
2024-06-07,0.653589
2024-06-08,0.654145
2024-06-09,0.654145
2024-06-10,0.650088
2024-06-11,0.649097
2024-06-12,0.656177
2024-06-13,0.651014
2024-06-14,0.647121
2024-06-15,0.648432
2024-06-16,0.648432
2024-06-17,0.648571
2024-06-18,0.649466
2024-06-19,0.649777
2024-06-20,0.648057
2024-06-21,0.646399
2024-06-22,0.647461
2024-06-23,0.647461
2024-06-24,0.648961
2024-06-25,0.64722
2024-06-26,0.646195
2024-06-27,0.648133
2024-06-28,0.647661
2024-06-29,0.648432
2024-06-30,0.648432
2024-07-01,0.649456
2024-07-02,0.648995
2024-07-03,0.65397
2024-07-04,0.653688
2024-07-05,0.65431
2024-07-06,0.656526
2024-07-07,0.656526
2024-07-08,0.655637
2024-07-09,0.654275
2024-07-10,0.654885
2024-07-11,0.657768
2024-07-12,0.659109
2024-07-13,0.660574
2024-07-14,0.660574
2024-07-15,0.660245
2024-07-16,0.658214
2024-07-17,0.661458
2024-07-18,0.659748
2024-07-19,0.658369
2024-07-20,0.658886
2024-07-21,0.658886
2024-07-22,0.657858
2024-07-23,0.656547
2024-07-24,0.657245
2024-07-25,0.655871
2024-07-26,0.657239
2024-07-27,0.657668
2024-07-28,0.657668
2024-07-29,0.654215
2024-07-30,0.653815
2024-07-31,0.655744
2024-08-01,0.653593
2024-08-02,0.659389
2024-08-03,0.660574
2024-08-04,0.660574
2024-08-05,0.664323
2024-08-06,0.660728
2024-08-07,0.660684
2024-08-08,0.658871
2024-08-09,0.660786
2024-08-10,0.660685
2024-08-11,0.660685
2024-08-12,0.660873
2024-08-13,0.663002
2024-08-14,0.667693
2024-08-15,0.662726
2024-08-16,0.665387
