date,exchange_rate
2014-11-24,1.4949
2014-11-25,1.499
2014-11-26,1.5034
2014-11-27,1.499
2014-11-28,1.497
2014-12-01,1.4987
2014-12-02,1.4881
2014-12-03,1.4789
2014-12-04,1.4878
2014-12-05,1.4759
2014-12-08,1.4803
2014-12-09,1.4871
2014-12-10,1.4962
2014-12-11,1.4909
2014-12-12,1.4974
2014-12-15,1.4954
2014-12-16,1.5038
2014-12-17,1.4825
2014-12-18,1.4769
2014-12-19,1.4694
2014-12-22,1.4698
2014-12-23,1.4632
2014-12-24,1.4663
2014-12-25,1.4694
2014-12-26,1.4645
2014-12-29,1.461
2014-12-30,1.4611
2014-12-31,1.4543
2015-01-01,1.4548
2015-01-02,1.4422
2015-01-05,1.4357
2015-01-06,1.43
2015-01-07,1.4228
2015-01-08,1.4177
2015-01-09,1.4232
2015-01-12,1.4222
2015-01-13,1.4143
2015-01-14,1.4172
2015-01-15,1.3936
2015-01-16,1.3903
2015-01-19,1.3953
2015-01-20,1.3886
2015-01-21,1.3963
2015-01-22,1.5453
2015-01-23,1.5358
2015-01-26,1.5331
2015-01-27,1.5508
2015-01-28,1.5376
2015-01-29,1.5448
2015-01-30,1.539
2015-02-02,1.5455
2015-02-03,1.5642
2015-02-04,1.5471
2015-02-05,1.5645
2015-02-06,1.5426
2015-02-09,1.5447
2015-02-10,1.5426
2015-02-11,1.5449
2015-02-12,1.5544
2015-02-13,1.5519
2015-02-16,1.5478
2015-02-17,1.5564
2015-02-18,1.5548
2015-02-19,1.5497
2015-02-20,1.5525
2015-02-23,1.5465
2015-02-24,1.5465
2015-02-25,1.5418
2015-02-26,1.5269
2015-02-27,1.5216
2015-03-02,1.5251
2015-03-03,1.5245
2015-03-04,1.5109
2015-03-05,1.5043
2015-03-06,1.4797
2015-03-09,1.4789
2015-03-10,1.458
2015-03-11,1.4337
2015-03-12,1.4487
2015-03-13,1.4379
2015-03-16,1.4414
2015-03-17,1.4448
2015-03-18,1.5374
2015-03-19,1.4958
2015-03-20,1.5123
2015-03-23,1.5317
2015-03-24,1.4933
2015-03-25,1.5017
2015-03-26,1.4895
2015-03-27,1.4928
2015-03-30,1.483
2015-03-31,1.4711
2015-04-01,1.4751
2015-04-02,1.4899
2015-04-03,1.5037
2015-04-06,1.4976
2015-04-07,1.4826
2015-04-08,1.4773
2015-04-09,1.461
2015-04-10,1.4521
2015-04-13,1.4482
2015-04-14,1.4595
2015-04-15,1.4625
2015-04-16,1.4773
2015-04-17,1.4801
2015-04-20,1.471
2015-04-21,1.471
2015-04-22,1.4686
2015-04-23,1.4824
