date,exchange_rate
2014-11-24,11.01
2014-11-25,11.02
2014-11-26,11.027
2014-11-27,11.018
2014-11-28,11.008
2014-12-01,11.018
2014-12-02,11.007
2014-12-03,10.989
2014-12-04,11.006
2014-12-05,10.971
2014-12-08,10.989
2014-12-09,11.008
2014-12-10,11.011
2014-12-11,11.012
2014-12-12,11.017
2014-12-15,11.025
2014-12-16,11.02
2014-12-17,11.002
2014-12-18,10.991
2014-12-19,10.938
2014-12-22,10.973
2014-12-23,10.965
2014-12-24,10.959
2014-12-25,10.982
2014-12-26,10.978
2014-12-29,10.97
2014-12-30,10.966
2014-12-31,10.914
2015-01-01,10.957
2015-01-02,10.949
2015-01-05,10.928
2015-01-06,10.91
2015-01-07,10.915
2015-01-08,10.915
2015-01-09,10.957
2015-01-12,10.924
2015-01-13,10.916
2015-01-14,10.916
2015-01-15,10.865
2015-01-16,10.849
2015-01-19,10.881
2015-01-20,10.878
2015-01-21,10.879
2015-01-22,10.83
2015-01-23,10.747
2015-01-26,10.789
2015-01-27,10.832
2015-01-28,10.814
2015-01-29,10.823
2015-01-30,10.795
2015-02-02,10.825
2015-02-03,10.853
2015-02-04,10.809
2015-02-05,10.851
2015-02-06,10.716
2015-02-09,10.819
2015-02-10,10.805
2015-02-11,10.821
2015-02-12,10.828
2015-02-13,10.81
2015-02-16,10.818
2015-02-17,10.818
2015-02-18,10.811
2015-02-19,10.818
2015-02-20,10.879
2015-02-23,10.813
2015-02-24,10.81
2015-02-25,10.814
2015-02-26,10.779
2015-02-27,10.779
2015-03-02,10.77
2015-03-03,10.776
2015-03-04,10.744
2015-03-05,10.746
2015-03-06,10.672
2015-03-09,10.707
2015-03-10,10.666
2015-03-11,10.585
2015-03-12,10.667
2015-03-13,10.57
2015-03-16,10.646
2015-03-17,10.635
2015-03-18,10.693
2015-03-19,10.657
2015-03-20,10.73
2015-03-23,10.721
2015-03-24,10.72
2015-03-25,10.73
2015-03-26,10.696
2015-03-27,10.722
2015-03-30,10.687
2015-03-31,10.681
2015-04-01,10.683
2015-04-02,10.711
2015-04-03,10.706
2015-04-06,10.723
2015-04-07,10.699
2015-04-08,10.691
2015-04-09,10.666
2015-04-10,10.662
2015-04-13,10.626
2015-04-14,10.66
2015-04-15,10.675
2015-04-16,10.7
2015-04-17,10.716
2015-04-20,10.689
2015-04-21,10.689
2015-04-22,10.674
2015-04-23,10.713
2015-04-24,10.734
2015-04-27,10.738
2015-04-28,10.775
2015-04-29,10.828
2015-04-30,10.866
2015-05-01,10.823
2015-05-04,10.84
2015-05-05,10.853
2015-05-06,10.914
2015-05-07,10.874
2015-05-08,10.814
2015-05-11,10.837
2015-05-12,10.859
2015-05-13,10.911
2015-05-14,10.937
2015-05-15,10.941
2015-05-18,10.894
2015-05-19,10.832
2015-05-20,10.806
2015-05-21,10.819
2015-05-22,10.773
2015-05-25,10.765
2015-05-26,10.731
2015-05-27,10.737
2015-05-28,10.754
2015-05-29,10.795
2015-06-01,10.768
2015-06-02,10.827
2015-06-03,10.894
2015-06-04,10.855
2015-06-05,10.813
2015-06-08,10.885
2015-06-09,10.882
2015-06-10,10.886
2015-06-11,10.87
2015-06-12,10.866
2015-06-15,10.873
2015-06-16,10.871
2015-06-17,10.923
2015-06-18,10.918
2015-06-19,10.915
2015-06-22,10.886
2015-06-23,10.826
2015-06-24,10.856
2015-06-25,10.845
2015-06-26,10.803
2015-06-29,10.86
2015-06-30,10.84
2015-07-01,10.785
2015-07-02,10.803
2015-07-03,10.832
2015-07-06,10.803
2015-07-07,10.783
2015-07-08,10.792
2015-07-09,10.821
2015-07-10,10.804
2015-07-13,10.78
2015-07-14,10.783
2015-07-15,10.761
2015-07-16,10.736
2015-07-17,10.748
2015-07-20,10.715
2015-07-21,10.761
2015-07-22,10.753
2015-07-23,10.786
2015-07-24,10.784
2015-07-27,10.825
2015-07-28,10.813
2015-07-29,10.786
2015-07-30,10.767
2015-07-31,10.731
2015-08-03,10.773
2015-08-04,10.749
2015-08-05,10.757
2015-08-06,10.766
2015-08-07,10.779
2015-08-10,10.789
2015-08-11,10.812
2015-08-12,10.854
2015-08-13,10.854
2015-08-14,10.817
2015-08-17,10.824
2015-08-18,10.823
2015-08-19,10.839
2015-08-20,10.881
2015-08-21,10.947
2015-08-24,11.019
2015-08-25,10.991
2015-08-26,10.92
2015-08-27,10.888
2015-08-28,10.883
2015-08-31,10.878
2015-09-01,10.91
2015-09-02,10.877
2015-09-03,10.84
2015-09-04,10.854
2015-09-07,10.861
2015-09-08,10.878
2015-09-09,10.883
2015-09-10,10.909
2015-09-11,10.947
2015-09-14,10.915
2015-09-15,10.902
2015-09-16,10.909
2015-09-17,10.956
2015-09-18,10.84
2015-09-21,10.87
2015-09-22,10.849
2015-09-23,10.871
2015-09-24,10.866
2015-09-25,10.905
2015-09-28,10.888
2015-09-29,10.897
2015-09-30,10.864
2015-10-01,10.871
2015-10-02,10.805
2015-10-05,10.872
2015-10-06,10.9
2015-10-07,10.89
2015-10-08,10.909
2015-10-09,10.928
2015-10-12,10.933
2015-10-13,10.944
2015-10-14,10.976
2015-10-15,10.942
2015-10-16,10.917
2015-10-19,10.936
2015-10-20,10.946
2015-10-21,10.937
2015-10-22,10.841
2015-10-23,10.791
2015-10-26,10.813
2015-10-27,10.818
2015-10-28,10.775
2015-10-29,10.797
2015-10-30,10.779
2015-11-02,10.8
2015-11-03,10.784
2015-11-04,10.76
2015-11-05,10.75
2015-11-06,10.673
2015-11-09,10.702
2015-11-10,10.689
2015-11-11,10.719
2015-11-12,10.724
2015-11-13,10.714
2015-11-16,10.673
2015-11-17,10.656
2015-11-18,10.665
2015-11-19,10.699
2015-11-20,10.614
2015-11-23,10.638
2015-11-24,10.639
2015-11-25,10.66
2015-11-26,10.644
2015-11-27,10.628
2015-11-30,10.601
2015-12-01,10.647
2015-12-02,10.638
2015-12-03,10.78
2015-12-04,10.753
2015-12-07,10.739
2015-12-08,10.76
2015-12-09,10.819
2015-12-10,10.789
