date,exchange_rate
2014-11-07,18.424
2014-11-10,18.369
2014-11-11,18.586
2014-11-12,18.566
2014-11-13,18.621
2014-11-14,18.756
2014-11-17,18.705
2014-11-18,18.916
2014-11-19,18.915
2014-11-20,18.934
2014-11-21,18.684
2014-11-24,18.73
2014-11-25,18.7
2014-11-26,18.747
2014-11-27,18.692
2014-11-28,18.667
2014-12-01,18.697
2014-12-02,18.644
2014-12-03,18.511
2014-12-04,18.617
2014-12-05,18.43
2014-12-08,18.466
2014-12-09,18.534
2014-12-10,18.602
2014-12-11,18.963
2014-12-12,19.179
2014-12-15,19.148
2014-12-16,19.343
2014-12-17,19.047
2014-12-18,19.154
2014-12-19,19.034
2014-12-22,19.148
2014-12-23,19.043
2014-12-24,19.082
2014-12-25,19.123
2014-12-26,19.056
2014-12-30,18.958
2014-12-31,18.866
2015-01-01,18.873
2015-01-02,18.7
2015-01-05,18.722
2015-01-06,18.603
2015-01-07,18.54
2015-01-08,18.437
2015-01-09,18.517
2015-01-12,19.075
2015-01-13,18.953
2015-01-14,18.963
2015-01-15,18.684
2015-01-16,18.586
2015-01-19,19.648
2015-01-20,19.768
2015-01-21,20.025
2015-01-22,19.363
2015-01-23,19.637
2015-01-26,19.945
2015-01-27,19.947
2015-01-28,20.061
2015-01-29,20.246
2015-01-30,20.231
2015-02-02,20.293
2015-02-03,20.706
2015-02-04,20.593
2015-02-05,20.813
2015-02-06,20.951
2015-02-09,20.974
2015-02-10,20.916
2015-02-11,21.005
2015-02-12,21.11
2015-02-13,21.043
2015-02-16,20.988
2015-02-17,21.099
2015-02-18,21.082
2015-02-19,21.013
2015-02-20,21.638
2015-02-23,20.965
2015-02-24,20.93
2015-02-25,20.949
2015-02-26,20.644
2015-02-27,20.64
2015-03-02,20.373
2015-03-03,20.365
2015-03-04,20.21
2015-03-05,20.089
2015-03-06,19.733
2015-03-09,19.727
2015-03-10,19.765
2015-03-11,19.496
2015-03-12,19.373
2015-03-13,18.998
2015-03-16,19.313
2015-03-17,19.342
2015-03-18,19.698
2015-03-19,19.564
2015-03-20,19.888
2015-03-23,20.406
2015-03-24,20.212
2015-03-25,20.289
2015-03-26,20.087
2015-03-27,20.109
2015-03-30,19.479
2015-03-31,19.318
2015-04-01,18.621
2015-04-02,18.912
2015-04-03,19.087
2015-04-06,19.329
2015-04-07,19.112
2015-04-08,18.952
2015-04-09,18.706
2015-04-10,18.75
2015-04-13,18.7
2015-04-14,18.985
2015-04-15,19.132
2015-04-16,19.409
2015-04-17,19.546
2015-04-20,19.424
2015-04-21,19.853
2015-04-22,19.821
2015-04-23,20.007
2015-04-24,19.919
2015-04-27,19.676
2015-04-28,19.8
2015-04-29,20.029
2015-04-30,20.296
2015-05-01,20.226
2015-05-04,20.105
2015-05-05,20.169
2015-05-06,20.325
2015-05-07,20.139
2015-05-08,20.028
2015-05-11,19.835
2015-05-12,19.839
2015-05-13,20.087
2015-05-14,20.175
2015-05-15,20.141
