date,exchange_rate
2014-11-07,3361.1001
2014-11-10,3334.6001
2014-11-11,3391.69995
2014-11-12,3367.6001
2014-11-13,3367.30005
2014-11-14,3424.30005
2014-11-17,3385.0
2014-11-18,3409.69995
2014-11-19,3405.3999
2014-11-20,3416.80005
2014-11-21,3357.5
2014-11-24,3370.19995
2014-11-25,3364.5
2014-11-26,3369.19995
2014-11-27,3359.3999
2014-11-28,3329.8999
2014-12-01,3235.5
2014-12-02,3299.19995
2014-12-03,3272.69995
2014-12-04,3291.5
2014-12-05,3238.8999
2014-12-08,3219.1001
2014-12-09,3222.80005
2014-12-10,3232.3999
2014-12-11,3217.1001
2014-12-12,3207.69995
2014-12-15,3196.3999
2014-12-16,3220.6001
2014-12-17,3156.0
2014-12-18,3168.5
2014-12-19,3153.80005
2014-12-22,3141.19995
2014-12-23,3120.8999
2014-12-24,3134.0
2014-12-25,3140.80005
2014-12-26,3129.80005
2014-12-30,3141.19995
2014-12-31,3126.1001
2015-01-01,3127.1001
2015-01-02,3100.6001
2015-01-05,3119.19995
2015-01-06,3103.5
2015-01-07,3093.80005
2015-01-08,3081.5
2015-01-09,3100.69995
2015-01-12,3093.19995
2015-01-13,3095.80005
2015-01-14,3105.30005
2015-01-15,3063.3999
2015-01-16,3047.3999
2015-01-19,3057.80005
2015-01-20,3043.19995
2015-01-21,3053.80005
2015-01-22,2944.69995
2015-01-23,2912.30005
2015-01-26,3096.30005
2015-01-27,3149.1001
2015-01-28,3138.6001
2015-01-29,3164.6001
2015-01-30,3159.1001
2015-02-02,3155.30005
2015-02-03,3204.30005
2015-02-04,3191.8999
2015-02-05,3234.3999
2015-02-06,3183.3999
2015-02-09,3175.6001
2015-02-10,3183.30005
2015-02-11,3176.80005
2015-02-12,3213.30005
2015-02-13,3196.8999
2015-02-16,3203.30005
2015-02-17,3216.80005
2015-02-18,3154.8999
2015-02-19,3220.80005
2015-02-20,3208.80005
2015-02-23,3196.30005
2015-02-24,3219.0
2015-02-25,3242.5
2015-02-26,3189.6001
2015-02-27,3189.0
2015-03-02,3185.69995
2015-03-03,3212.5
2015-03-04,3154.6001
2015-03-05,3192.69995
2015-03-06,3150.5
2015-03-09,3200.5
2015-03-10,3167.8999
2015-03-11,3093.69995
2015-03-12,3137.69995
2015-03-13,3123.5
2015-03-16,3167.30005
2015-03-17,3164.1001
2015-03-18,3220.69995
2015-03-19,3151.30005
2015-03-20,3230.30005
2015-03-23,3272.5
2015-03-24,3255.8999
2015-03-25,3277.30005
2015-03-26,3244.5
2015-03-27,3278.80005
2015-03-30,3095.69995
2015-03-31,3231.19995
2015-04-01,3240.69995
2015-04-02,3269.19995
2015-04-03,3297.30005
2015-04-06,3278.8999
2015-04-07,3278.19995
2015-04-08,3298.80005
2015-04-09,3289.1001
2015-04-10,3210.69995
2015-04-13,3239.0
2015-04-14,3253.80005
2015-04-15,3239.30005
2015-04-16,3323.5
2015-04-17,3316.19995
2015-04-20,3295.5
2015-04-21,3279.30005
2015-04-22,3300.80005
2015-04-23,3310.1001
2015-04-24,3317.0
2015-04-27,3262.1001
2015-04-28,3395.8999
2015-04-29,3394.6001
2015-04-30,3429.30005
2015-05-01,3414.69995
2015-05-04,3395.8999
2015-05-05,3403.30005
2015-05-06,3401.69995
2015-05-07,3457.1001
2015-05-08,3458.30005
2015-05-11,3460.8999
2015-05-12,3402.69995
2015-05-13,3445.19995
2015-05-14,3420.3999
2015-05-15,3534.80005
2015-05-18,3529.19995
2015-05-19,3465.1001
2015-05-20,3444.3999
2015-05-21,3442.1001
2015-05-22,3445.80005
2015-05-25,3434.69995
2015-05-26,3371.5
2015-05-27,3264.80005
2015-05-28,3397.19995
2015-05-29,3516.1001
2015-06-01,3484.19995
2015-06-02,3555.5
2015-06-03,3560.1001
2015-06-04,3533.69995
2015-06-05,3476.3999
2015-06-08,3536.69995
2015-06-09,3497.6001
2015-06-10,3611.1001
2015-06-11,3576.0
2015-06-12,3594.3999
2015-06-15,3605.6001
2015-06-16,3498.80005
2015-06-17,3612.5
2015-06-18,3601.30005
2015-06-19,3550.30005
2015-06-22,3628.5
2015-06-23,3472.5
2015-06-24,3356.8999
2015-06-25,3594.69995
2015-06-26,3582.8999
2015-06-29,3585.3999
2015-06-30,3582.5
2015-07-01,3571.0
2015-07-02,3606.1001
2015-07-03,3591.8999
2015-07-06,3547.3
2015-07-07,3533.0
2015-07-08,3553.3
2015-07-09,3481.6
2015-07-10,3526.3
2015-07-13,3526.3
2015-07-14,3551.0
2015-07-15,3560.3
2015-07-16,3550.2
2015-07-17,3527.5
2015-07-20,3517.4
2015-07-21,3622.1
2015-07-22,3582.9
2015-07-23,3599.9
2015-07-24,3593.6
2015-07-27,3699.8
2015-07-28,3681.9
2015-07-29,3651.7
2015-07-30,3600.9
2015-07-31,3650.7
2015-08-03,3640.6
2015-08-04,3586.9
2015-08-05,3588.0
2015-08-06,3571.7
2015-08-07,3576.8
2015-08-10,3585.3
2015-08-11,3622.7
2015-08-12,3618.9
2015-08-13,3662.0
2015-08-14,3645.7
2015-08-17,3621.0
2015-08-18,3604.5
2015-08-19,3658.1
2015-08-20,3678.0
2015-08-21,3775.5
2015-08-24,3837.5
2015-08-25,3817.0
2015-08-26,3748.0
2015-08-27,3680.3
2015-08-28,3665.8
2015-08-31,3681.3
2015-09-01,3694.8
2015-09-02,3677.9
2015-09-03,3641.0
2015-09-04,3600.4
2015-09-07,3606.4
2015-09-08,3484.3
2015-09-09,3463.4
2015-09-10,3525.1
2015-09-11,3474.5
2015-09-14,3440.6
2015-09-15,3456.8
2015-09-16,3485.3
2015-09-17,3524.8
2015-09-18,3454.3
2015-09-21,3520.2
2015-09-22,3509.7
2015-09-23,3481.9
2015-09-24,3572.6
2015-09-25,3572.5
2015-09-28,3584.8
2015-09-29,3498.2
2015-09-30,3579.5
2015-10-01,3588.9
2015-10-02,3583.7
2015-10-05,3596.3
2015-10-06,3503.0
2015-10-07,3492.0
2015-10-08,3501.7
2015-10-09,3528.8
2015-10-12,3527.2
2015-10-13,3533.2
2015-10-14,3438.0
2015-10-15,3409.2
2015-10-16,3399.9
2015-10-19,3392.8
2015-10-20,3442.1
2015-10-21,3436.7
2015-10-22,3362.9
2015-10-23,3335.0
2015-10-26,3601.3
2015-10-27,3592.1
2015-10-28,3550.7
2015-10-29,3575.4
2015-10-30,3577.3
2015-11-02,3572.5
2015-11-03,3605.0
2015-11-04,3570.6
2015-11-05,3571.4
2015-11-06,3526.4
2015-11-09,3499.2
2015-11-10,3484.6
2015-11-11,3543.4
2015-11-12,3554.5
2015-11-13,3518.6
2015-11-16,3522.2
2015-11-17,3509.0
2015-11-18,3513.8
2015-11-19,3534.5
2015-11-20,3500.9
2015-11-23,3481.8
2015-11-24,3488.6
2015-11-25,3481.8
