date,exchange_rate
2014-11-07,61.941
2014-11-10,61.361
2014-11-11,61.921
2014-11-12,61.522
2014-11-13,61.744
2014-11-14,62.212
2014-11-17,61.451
2014-11-18,61.727
2014-11-19,61.62
2014-11-20,61.7
2014-11-21,61.611
2014-11-24,61.856
2014-11-25,61.95
2014-11-26,61.832
2014-11-27,61.651
2014-11-28,61.555
2014-12-01,61.666
2014-12-02,61.451
2014-12-03,61.072
2014-12-04,61.423
2014-12-05,61.254
2014-12-08,61.401
2014-12-09,61.659
2014-12-10,61.947
2014-12-11,61.626
2014-12-12,61.724
2014-12-15,61.7
2014-12-16,61.634
2014-12-17,60.95
2014-12-18,61.639
2014-12-19,61.29
2014-12-22,61.405
2014-12-23,61.396
2014-12-24,61.473
2014-12-25,61.606
2014-12-26,61.39
2014-12-30,61.524
2014-12-31,61.227
2015-01-01,61.247
2015-01-02,60.74
2015-01-05,60.391
2015-01-06,60.097
2015-01-07,59.912
2015-01-08,61.489
2015-01-09,61.648
2015-01-12,61.734
2015-01-13,61.458
2015-01-14,61.683
2015-01-15,61.153
2015-01-16,61.424
2015-01-19,62.039
2015-01-20,61.28
2015-01-21,61.751
2015-01-22,60.811
2015-01-23,60.141
2015-01-26,60.342
2015-01-27,61.799
2015-01-28,61.127
2015-01-29,61.572
2015-01-30,61.264
2015-02-02,61.589
2015-02-03,61.725
2015-02-04,60.936
2015-02-05,61.797
2015-02-06,61.192
2015-02-09,61.712
2015-02-10,61.359
2015-02-11,61.611
2015-02-12,61.657
2015-02-13,61.219
2015-02-16,61.024
2015-02-17,61.303
2015-02-18,61.48
2015-02-19,61.223
2015-02-20,61.718
2015-02-23,61.524
2015-02-24,61.274
2015-02-25,61.419
2015-02-26,60.658
2015-02-27,60.646
2015-03-02,61.133
2015-03-03,61.546
2015-03-04,61.088
2015-03-05,60.942
2015-03-06,61.047
2015-03-09,61.18
2015-03-10,61.009
2015-03-11,60.885
2015-03-12,61.385
2015-03-13,60.906
2015-03-16,61.52
2015-03-17,61.377
2015-03-18,62.91
2015-03-19,61.577
2015-03-20,61.678
2015-03-23,61.77
2015-03-24,60.743
2015-03-25,61.392
2015-03-26,60.792
2015-03-27,61.394
2015-03-30,61.256
2015-03-31,61.253
2015-04-01,61.381
2015-04-02,61.318
2015-04-03,61.106
2015-04-06,60.867
2015-04-07,61.194
2015-04-08,60.952
2015-04-09,60.943
2015-04-10,60.866
2015-04-13,60.702
2015-04-14,61.295
2015-04-15,61.467
2015-04-16,61.425
2015-04-17,61.582
2015-04-20,61.39
2015-04-21,61.56
2015-04-22,61.365
2015-04-23,61.724
2015-04-24,61.41
2015-04-27,61.665
