date,exchange_rate
2014-11-07,1269.70996
2014-11-10,1266.72998
2014-11-11,1271.84998
2014-11-12,1267.47998
2014-11-13,1283.30005
2014-11-14,1288.31995
2014-11-17,1283.05005
2014-11-18,1308.97998
2014-11-19,1310.69995
2014-11-20,1322.80005
2014-11-21,1307.06995
2014-11-24,1290.85999
2014-11-25,1294.39001
2014-11-26,1292.66003
2014-11-27,1288.89001
2014-11-28,1284.65002
2014-12-01,1285.45996
2014-12-02,1284.98999
2014-12-03,1277.07996
2014-12-04,1284.41003
2014-12-05,1263.39001
2014-12-08,1266.68994
2014-12-09,1274.27002
2014-12-10,1281.51001
2014-12-11,1276.92004
2014-12-12,1286.81995
2014-12-15,1281.03003
2014-12-16,1288.22998
2014-12-17,1268.56995
2014-12-18,1263.72998
2014-12-19,1259.06995
2014-12-22,1260.13
2014-12-23,1254.44995
2014-12-24,1257.27002
2014-12-25,1259.98999
2014-12-26,1255.56995
2014-12-30,1251.62
2014-12-31,1245.58997
2015-01-01,1246.0
2015-01-02,1238.42004
2015-01-05,1227.96997
2015-01-06,1226.5
2015-01-07,1214.43994
2015-01-08,1209.60999
2015-01-09,1214.83997
2015-01-12,1215.38
2015-01-13,1211.83997
2015-01-14,1213.23999
2015-01-15,1194.54004
2015-01-16,1190.63
2015-01-19,1190.03003
2015-01-20,1184.33997
2015-01-21,1189.56995
2015-01-22,1160.32996
2015-01-23,1147.54004
2015-01-26,1151.39001
2015-01-27,1165.80005
2015-01-28,1157.92004
2015-01-29,1162.20996
2015-01-30,1159.22998
2015-02-02,1161.82996
2015-02-03,1174.5
2015-02-04,1162.77002
2015-02-05,1177.30005
2015-02-06,1160.81006
2015-02-09,1163.20996
2015-02-10,1163.02002
2015-02-11,1164.79004
2015-02-12,1171.91003
2015-02-13,1172.33997
2015-02-16,1169.27002
2015-02-17,1173.18994
2015-02-18,1174.51001
2015-02-19,1172.95996
2015-02-20,1173.66003
2015-02-23,1167.97998
2015-02-24,1165.69995
2015-02-25,1172.56995
2015-02-26,1158.82996
2015-02-27,1158.60999
2015-03-02,1157.43005
2015-03-03,1157.0
2015-03-04,1146.93005
2015-03-05,1141.92004
2015-03-06,1122.93994
2015-03-09,1121.51001
2015-03-10,1105.43005
2015-03-11,1090.38
2015-03-12,1098.39001
2015-03-13,1088.16003
2015-03-16,1094.97998
2015-03-17,1097.51001
2015-03-18,1122.03003
2015-03-19,1105.30005
2015-03-20,1120.5
2015-03-23,1135.52002
2015-03-24,1130.48999
2015-03-25,1136.03003
2015-03-26,1125.45996
2015-03-27,1125.72998
2015-03-30,1118.64001
2015-03-31,1108.29004
2015-04-01,1109.43005
2015-04-02,1119.19995
2015-04-03,1128.45996
2015-04-06,1124.04004
2015-04-07,1110.52002
2015-04-08,1105.44995
2015-04-09,1135.93994
