date,exchange_rate
2014-11-24,2341.87
2014-11-25,2348.27
2014-11-26,2360.46
2014-11-27,2353.58
2014-11-28,2344.15
2014-12-01,2326.7
2014-12-02,2318.84
2014-12-03,2304.56
2014-12-04,2317.79
2014-12-05,2299.82
2014-12-08,2303.35
2014-12-09,2319.83
2014-12-10,2328.03
2014-12-11,2334.58
2014-12-12,2350.83
2014-12-15,2342.09
2014-12-16,2365.26
2014-12-17,2331.44
2014-12-18,2312.71
2014-12-19,2301.95
2014-12-22,2277.2
2014-12-23,2273.02
2014-12-24,2289.12
2014-12-25,2294.06
2014-12-26,2286.01
2014-12-29,2282.69
2014-12-30,2283.47
2014-12-31,2272.47
2015-01-01,2273.22
2015-01-02,2262.33
2015-01-05,2248.59
2015-01-06,2244.32
2015-01-07,2246.9
2015-01-08,2246.21
2015-01-09,2264.21
2015-01-12,2267.74
2015-01-13,2261.46
2015-01-14,2274.69
2015-01-15,2246.33
2015-01-16,2232.3
2015-01-19,2237.57
2015-01-20,2232.65
2015-01-21,2249.34
2015-01-22,2196.33
2015-01-23,2174.37
2015-01-26,2177.16
2015-01-27,2203.38
2015-01-28,2184.25
2015-01-29,2194.46
2015-01-30,2184.46
2015-02-02,2199.29
2015-02-03,2225.43
2015-02-04,2203.33
2015-02-05,2228.68
2015-02-06,2197.47
2015-02-09,2206.68
2015-02-10,2201.9
2015-02-11,2207.53
2015-02-12,2227.85
2015-02-13,2226.62
2015-02-16,2219.65
2015-02-17,2236.0
2015-02-18,2243.29
2015-02-19,2235.98
2015-02-20,2239.49
2015-02-23,2233.09
2015-02-24,2230.79
2015-02-25,2243.2
2015-02-26,2200.42
2015-02-27,2200.01
2015-03-02,2203.36
2015-03-03,2203.65
2015-03-04,2185.58
2015-03-05,2181.55
2015-03-06,2149.65
2015-03-09,2150.07
2015-03-10,2121.4
2015-03-11,2090.42
2015-03-12,2105.78
2015-03-13,2083.19
2015-03-16,2095.18
2015-03-17,2097.91
2015-03-18,2144.76
