date,exchange_rate
2014-11-24,9.9072
2014-11-25,9.919
2014-11-26,9.9579
2014-11-27,9.995
2014-11-28,9.9502
2014-12-01,9.9368
2014-12-02,9.9494
2014-12-03,9.879
2014-12-04,9.8227
2014-12-05,9.8812
2014-12-09,9.8403
2014-12-10,9.8886
2014-12-11,9.9477
2014-12-12,9.8915
2014-12-15,9.9507
2014-12-16,9.9433
2014-12-17,9.9729
2014-12-18,9.8247
2014-12-19,9.8163
2014-12-22,9.7905
2014-12-23,9.7751
2014-12-29,9.7423
2014-12-30,9.6993
2014-12-31,9.7113
2015-01-02,9.6148
2015-01-05,9.5502
2015-01-06,9.5486
2015-01-08,9.434
2015-01-09,9.4152
2015-01-12,9.4675
2015-01-13,9.4531
2015-01-14,9.4184
2015-01-15,9.4025
2015-01-16,9.2935
2015-01-19,9.2439
2015-01-20,9.2527
2015-01-21,9.236
2015-01-23,9.0555
2015-01-26,8.9405
2015-01-27,8.9808
2015-01-30,9.041
2015-02-02,9.0267
2015-02-03,9.0579
2015-02-04,9.1538
2015-02-05,9.0671
2015-02-06,9.1443
2015-02-09,9.0502
2015-02-10,9.0416
2015-02-11,9.0302
2015-02-12,9.0559
2015-02-13,9.1229
2015-02-16,9.1185
2015-02-17,9.0721
2015-02-18,9.1033
2015-02-24,9.0524
2015-02-25,9.0911
2015-02-26,9.0774
2015-02-27,8.9563
2015-03-02,8.9231
2015-03-04,8.9191
2015-03-05,8.8258
2015-03-06,8.7984
2015-03-09,8.6783
2015-03-10,8.6402
2015-03-11,8.5362
2015-03-12,8.4751
2015-03-13,8.4703
2015-03-16,8.4135
2015-03-17,8.4763
2015-03-18,8.4704
2015-03-19,8.5625
2015-03-20,8.525
2015-03-23,8.6314
2015-03-24,8.7377
2015-03-25,8.7279
2015-03-26,8.7803
2015-03-27,8.6591
2015-03-30,8.6549
2015-03-31,8.5996
2015-04-01,8.5828
2015-04-02,8.6437
2015-04-07,8.7317
2015-04-08,8.675
2015-04-09,8.5785
2015-04-10,8.4762
2015-04-13,8.4659
2015-04-14,8.4251
2015-04-15,8.4684
2015-04-16,8.5077
2015-04-17,8.6179
2015-04-20,8.6056
2015-04-21,8.512
2015-04-22,8.5818
2015-04-23,8.5301
2015-04-24,8.6896
2015-04-27,8.6746
2015-04-28,8.6888
2015-04-29,8.7665
2015-04-30,8.899
2015-05-04,8.9087
2015-05-05,8.8613
2015-05-06,8.9779
2015-05-07,9.0784
2015-05-08,8.9568
2015-05-11,8.9175
2015-05-12,8.9575
2015-05-13,8.9853
2015-05-14,9.1135
2015-05-15,9.0897
2015-05-18,9.0963
2015-05-19,8.9346
2015-05-20,8.8449
2015-05-21,8.8831
2015-05-22,8.9146
2015-05-26,8.7072
2015-05-27,8.7129
2015-05-28,8.7258
2015-05-29,8.7389
2015-06-01,8.716
2015-06-02,8.7646
2015-06-03,8.8993
2015-06-04,8.9748
2015-06-05,8.9744
2015-06-08,8.911
2015-06-09,9.0063
2015-06-10,9.0678
2015-06-11,9.0116
2015-06-12,8.9719
2015-06-15,8.9681
2015-06-16,9.032
2015-06-17,8.9968
2015-06-18,9.0655
2015-06-19,9.047
2015-06-22,9.0779
2015-06-23,8.998
2015-06-24,8.9413
2015-06-25,8.9469
2015-06-26,8.9417
2015-06-29,8.8456
2015-06-30,8.9353
2015-07-01,8.8741
2015-07-02,8.8298
2015-07-03,8.8703
2015-07-06,8.8309
2015-07-07,8.8038
2015-07-08,8.7915
2015-07-09,8.8213
2015-07-10,8.8789
2015-07-13,8.9092
2015-07-14,8.7828
2015-07-15,8.7885
2015-07-16,8.7281
2015-07-17,8.7042
2015-07-20,8.6606
2015-07-21,8.644
2015-07-22,8.7266
2015-07-23,8.7699
2015-07-24,8.7511
2015-07-27,8.838
2015-07-28,8.8316
2015-07-29,8.8098
2015-07-30,8.7441
2015-07-31,8.7319
2015-08-03,8.7654
2015-08-04,8.7597
2015-08-05,8.675
2015-08-06,8.7044
2015-08-07,8.7316
2015-08-10,8.7643
2015-08-11,8.7975
2015-08-12,8.8659
2015-08-13,8.8826
2015-08-14,8.9001
2015-08-17,8.8449
2015-08-18,8.8378
2015-08-19,8.837
2015-08-20,8.8822
2015-08-21,8.9831
2015-08-24,9.1545
2015-08-25,9.2096
2015-08-26,9.184
2015-08-27,9.0379
2015-08-28,9.0075
2015-08-31,8.9552
2015-09-01,9.0258
2015-09-02,8.9843
2015-09-04,8.8915
2015-09-07,8.899
2015-09-08,8.9261
2015-09-09,8.9217
2015-09-10,8.9357
2015-09-11,9.0239
2015-09-14,9.0542
2015-09-15,9.021
2015-09-16,8.9848
2015-09-17,9.0217
2015-09-18,9.1122
2015-09-21,9.0271
2015-09-22,8.9262
2015-09-23,8.8912
2015-09-24,8.9453
2015-09-25,8.896
2015-09-29,8.9774
2015-09-30,8.9518
2015-10-02,8.9109
2015-10-05,8.9764
2015-10-06,8.9484
2015-10-07,8.9702
2015-10-08,9.0224
2015-10-09,9.0279
2015-10-12,9.076
2015-10-13,9.0953
2015-10-14,9.1158
2015-10-15,9.1384
2015-10-16,9.0771
2015-10-19,9.0616
2015-10-20,9.0537
2015-10-23,8.8611
2015-10-26,8.8089
2015-10-28,8.8126
2015-10-29,8.7273
2015-10-30,8.7689
2015-11-03,8.8
2015-11-04,8.7244
2015-11-05,8.6605
2015-11-06,8.6798
2015-11-09,8.5917
2015-11-10,8.5845
2015-11-11,8.5789
2015-11-12,8.5788
2015-11-13,8.5996
2015-11-16,8.576
2015-11-17,8.5098
2015-11-18,8.5007
