date,exchange_rate
2023-10-28,377.656064
2023-10-30,377.029521
2023-10-31,378.179787
2023-11-01,377.837461
2023-11-02,378.960546
2023-11-03,383.273034
2023-11-04,383.273034
2023-11-05,382.989569
2023-11-06,382.717228
2023-11-07,381.907769
2023-11-08,382.329218
2023-11-09,380.797786
2023-11-10,382.511794
2023-11-12,382.511794
2023-11-13,381.507962
2023-11-14,388.477995
2023-11-15,387.321274
2023-11-16,387.451585
2023-11-17,389.716353
2023-11-18,389.716353
2023-11-19,389.461343
2023-11-20,390.550028
2023-11-21,389.54633
2023-11-22,388.655846
2023-11-23,389.317133
2023-11-24,390.888233
2023-11-25,390.888233
2023-11-26,390.725281
2023-11-27,391.082755
2023-11-28,392.544883
2023-11-29,391.726471
2023-11-30,388.782868
2023-12-01,388.867344
2023-12-02,388.65567
2023-12-03,388.753239
2023-12-04,386.805095
2023-12-05,385.426996
