date,exchange_rate
2023-12-06,42.635018
2023-12-07,42.733769
2023-12-08,42.623859
2023-12-09,42.667066
2023-12-10,42.603215
2023-12-11,42.621492
2023-12-12,42.743771
2023-12-13,43.007001
2023-12-14,43.48102
2023-12-15,43.087844
2023-12-16,43.141718
2023-12-17,43.12401
2023-12-18,43.200597
2023-12-19,43.429161
2023-12-20,43.264048
2023-12-21,43.52419
2023-12-22,43.582326
2023-12-23,43.63636
2023-12-24,43.63577
2023-12-25,43.568567
2023-12-26,43.668792
2023-12-27,43.979423
2023-12-28,43.821825
2023-12-29,43.716845
2023-12-30,43.780197
2023-12-31,43.775368
2024-01-01,43.745757
2024-01-02,43.326667
2024-01-03,43.299548
2024-01-04,43.400059
2024-01-05,43.402565
2024-01-06,43.43579
2024-01-07,43.435638
2024-01-08,43.43483
2024-01-09,43.324321
2024-01-10,43.435809
2024-01-11,43.457654
2024-01-12,43.384487
2024-01-13,43.415444
2024-01-14,43.417931
2024-01-15,43.362819
2024-01-16,43.046818
2024-01-17,43.058325
2024-01-18,42.965513
2024-01-19,43.076612
2024-01-20,43.167651
2024-01-21,43.167124
2024-01-22,43.042738
2024-01-23,42.888146
2024-01-24,43.093748
2024-01-25,42.824484
2024-01-26,42.978005
2024-01-27,42.99859
2024-01-28,42.997878
2024-01-29,42.82302
2024-01-30,43.00745
2024-01-31,43.093161
2024-02-01,43.137656
2024-02-02,42.846834
2024-02-03,42.897305
2024-02-04,42.897293
2024-02-05,42.579677
2024-02-06,42.608356
2024-02-07,42.654417
2024-02-08,42.702507
2024-02-09,42.694287
2024-02-10,42.685749
2024-02-11,42.68571
2024-02-12,42.639986
2024-02-13,42.379483
2024-02-14,42.467239
2024-02-15,42.623292
2024-02-16,42.681133
2024-02-17,42.668924
2024-02-18,42.668734
2024-02-19,42.674321
2024-02-20,42.793317
2024-02-21,42.991217
2024-02-22,43.020048
2024-02-23,43.018017
2024-02-24,43.064147
2024-02-25,43.064044
2024-02-26,43.273773
2024-02-27,43.281689
2024-02-28,43.266314
2024-02-29,43.118426
2024-03-01,43.263108
2024-03-02,43.30534
2024-03-03,43.305468
2024-03-04,43.328794
2024-03-05,43.311825
2024-03-06,43.506716
2024-03-07,43.661101
2024-03-08,43.657696
2024-03-09,43.684863
2024-03-10,43.685138
2024-03-11,43.542621
2024-03-12,43.529328
2024-03-13,43.657143
2024-03-14,43.456908
2024-03-15,43.454856
2024-03-16,43.489429
2024-03-17,43.494201
2024-03-18,43.368776
2024-03-19,43.365127
2024-03-20,43.367213
2024-03-21,43.307495
2024-03-22,43.100391
2024-03-23,43.335362
2024-03-24,43.334721
2024-03-25,43.211493
2024-03-26,43.19409
2024-03-27,43.159501
2024-03-28,43.23905
2024-03-29,43.208745
2024-03-30,43.274864
2024-03-31,43.274237
2024-04-01,43.039941
2024-04-02,42.799619
2024-04-03,43.067166
2024-04-04,43.110465
2024-04-05,43.037006
2024-04-06,43.087661
2024-04-07,43.086822
2024-04-08,43.122966
2024-04-09,43.059251
2024-04-10,42.624497
2024-04-11,42.524814
2024-04-12,42.238499
2024-04-13,42.335828
2024-04-14,42.335759
2024-04-15,42.194435
2024-04-16,42.146454
2024-04-17,42.264345
2024-04-18,42.267911
2024-04-19,42.280586
2024-04-20,42.350474
2024-04-21,42.350474
2024-04-22,42.281447
2024-04-23,42.487075
2024-04-24,42.437604
2024-04-25,42.609455
2024-04-26,42.443357
2024-04-27,42.493419
2024-04-28,42.493419
2024-04-29,42.55776
2024-04-30,42.342426
2024-05-01,42.392546
2024-05-02,42.527627
2024-05-03,42.775446
2024-05-04,42.780224
2024-05-05,42.780224
2024-05-06,42.780655
2024-05-07,43.038971
2024-05-08,42.893808
2024-05-09,42.874024
2024-05-10,43.101729
2024-05-11,43.148446
2024-05-12,43.148446
2024-05-13,43.190084
2024-05-14,42.89227
2024-05-15,43.026101
2024-05-16,43.096124
2024-05-17,43.163572
2024-05-18,43.254784
2024-05-19,43.254784
2024-05-20,43.141095
2024-05-21,43.135187
2024-05-22,43.03337
2024-05-23,43.008842
2024-05-24,43.126837
2024-05-25,43.137434
2024-05-26,43.137434
2024-05-27,43.153641
2024-05-28,43.219024
2024-05-29,42.958323
2024-05-30,43.065336
2024-05-31,42.920752
2024-06-01,42.938012
2024-06-02,42.938012
2024-06-03,43.070087
2024-06-04,42.967955
2024-06-05,42.97288
2024-06-06,42.659486
2024-06-07,42.20441
2024-06-08,42.889191
2024-06-09,42.889191
2024-06-10,42.118382
2024-06-11,42.333448
2024-06-12,42.805506
2024-06-13,42.436948
2024-06-14,42.130364
2024-06-15,42.124587
2024-06-16,42.124587
2024-06-17,42.215929
2024-06-18,42.289267
2024-06-19,42.119791
2024-06-20,42.017651
2024-06-21,42.073265
2024-06-22,42.062054
2024-06-23,42.062054
2024-06-24,42.058792
2024-06-25,42.103712
2024-06-26,42.153791
2024-06-27,42.272788
2024-06-28,42.424635
2024-06-29,42.475109
2024-06-30,42.432315
2024-07-01,42.453541
2024-07-02,42.432086
2024-07-03,42.7535
2024-07-04,42.80494
2024-07-05,42.872863
2024-07-06,42.903482
2024-07-07,42.903482
2024-07-08,43.074629
2024-07-09,42.851139
2024-07-10,42.821845
2024-07-11,43.020868
2024-07-12,43.133141
2024-07-13,43.110282
2024-07-14,43.110282
2024-07-15,43.19434
2024-07-16,43.080212
2024-07-17,43.272739
2024-07-18,43.143114
2024-07-19,42.933859
2024-07-20,42.953527
2024-07-21,42.953527
2024-07-22,43.066028
2024-07-23,42.912776
2024-07-24,43.015746
2024-07-25,42.923337
2024-07-26,43.033421
2024-07-27,43.002058
2024-07-28,43.002058
2024-07-29,42.819241
2024-07-30,42.803319
2024-07-31,42.970269
2024-08-01,42.756301
2024-08-02,43.352595
2024-08-03,43.061287
2024-08-04,43.061287
2024-08-05,43.510144
2024-08-06,43.279195
2024-08-07,43.268472
2024-08-08,43.194026
2024-08-09,43.27689
2024-08-10,43.432932
2024-08-11,43.219785
2024-08-12,43.337945
2024-08-13,43.413274
2024-08-14,43.698966
2024-08-15,43.36925
2024-08-16,43.56644
2024-08-17,43.531967
2024-08-18,43.531967
2024-08-19,43.699671
2024-08-20,43.99451
2024-08-21,44.058181
2024-08-22,44.140012
2024-08-23,44.201636
2024-08-24,44.230511
2024-08-25,44.230511
2024-08-26,44.129417
2024-08-27,44.177213
2024-08-28,43.951947
2024-08-29,43.901927
2024-08-30,44.012265
2024-08-31,43.944473
2024-09-01,44.063738
2024-09-02,43.811974
2024-09-03,43.80473
2024-09-04,43.735519
2024-09-05,43.933137
2024-09-06,43.695271
2024-09-07,43.799391
2024-09-08,43.799391
2024-09-09,43.677744
2024-09-10,43.646733
2024-09-11,43.615753
2024-09-12,43.702495
2024-09-13,43.882466
2024-09-14,43.85363
2024-09-15,43.85363
2024-09-16,44.276013
2024-09-17,44.084867
2024-09-18,43.991268
2024-09-19,44.234332
2024-09-20,44.384017
2024-09-21,44.337595
2024-09-22,44.337595
2024-09-23,44.16696
2024-09-24,44.092049
2024-09-25,43.978568
2024-09-26,44.283277
2024-09-27,44.112469
2024-09-28,44.354319
2024-09-29,44.354319
2024-09-30,44.157943
2024-10-01,44.049541
2024-10-02,43.873984
2024-10-03,43.862012
2024-10-04,43.607199
2024-10-05,43.654902
2024-10-06,43.654902
2024-10-07,43.647041
2024-10-08,43.420112
2024-10-09,43.452698
2024-10-10,43.335399
2024-10-11,43.285584
2024-10-12,43.289838
2024-10-13,43.289838
2024-10-14,43.314717
2024-10-15,43.228025
2024-10-16,43.221426
2024-10-17,43.099643
2024-10-18,43.061286
2024-10-19,42.926097
2024-10-20,42.926097
2024-10-21,42.867489
2024-10-22,42.986907
2024-10-23,42.985452
2024-10-24,42.899249
2024-10-25,43.044954
2024-10-26,43.073277
2024-10-27,43.073277
2024-10-28,43.142541
2024-10-29,43.058632
2024-10-30,42.762762
2024-10-31,43.13403
2024-11-01,42.880211
2024-11-02,43.539547
2024-11-03,43.145208
2024-11-04,43.147373
2024-11-05,43.568614
2024-11-06,42.901683
2024-11-07,42.462937
2024-11-08,42.822408
2024-11-09,42.957649
2024-11-10,42.957649
2024-11-11,42.79745
2024-11-12,42.375102
2024-11-13,42.19393
2024-11-14,42.203654
2024-11-15,41.975586
2024-11-16,42.220499
2024-11-17,42.220499
2024-11-18,42.312209
2024-11-19,41.828544
2024-11-20,41.880908
2024-11-21,41.853892
2024-11-22,41.591214
2024-11-23,41.443187
2024-11-24,41.443187
2024-11-25,41.447181
2024-11-26,41.87751
2024-11-27,41.92953
2024-11-28,41.81154
2024-11-29,42.090248
2024-11-30,42.12089
2024-12-01,42.12089
2024-12-02,42.11509
2024-12-03,41.972119
2024-12-04,41.687877
2024-12-05,41.746125
2024-12-06,40.620913
2024-12-07,41.990392
2024-12-08,41.990392
2024-12-09,42.107494
2024-12-10,41.837146
2024-12-11,41.704275
2024-12-12,41.642981
2024-12-13,41.740224
2024-12-14,41.65609
2024-12-15,41.65609
2024-12-16,41.560381
2024-12-17,41.537256
2024-12-18,41.687483
2024-12-19,41.831752
2024-12-20,41.492079
2024-12-21,41.469914
2024-12-22,41.315099
2024-12-23,41.164851
2024-12-24,41.386937
2024-12-25,41.507858
2024-12-26,41.460305
2024-12-27,41.53607
2024-12-28,41.649273
2024-12-29,41.649273
2024-12-30,41.731735
2024-12-31,41.64692
2025-01-01,41.428377
2025-01-02,41.079346
2025-01-03,41.331142
2025-01-04,41.195957
2025-01-05,41.195957
2025-01-06,41.511803
2025-01-07,41.608384
2025-01-08,41.26021
2025-01-09,41.041048
2025-01-10,40.936756
2025-01-11,41.107298
2025-01-12,41.107298
2025-01-13,40.922585
2025-01-14,40.524258
2025-01-15,41.127058
2025-01-16,40.870311
2025-01-17,40.901423
2025-01-18,40.980229
2025-01-19,40.980229
2025-01-20,41.004593
2025-01-21,40.888779
2025-01-22,41.195109
2025-01-23,41.616612
2025-01-24,41.727727
2025-01-25,41.926597
2025-01-26,41.926597
2025-01-27,42.133631
2025-01-28,41.747925
2025-01-29,41.3851
2025-01-30,41.414034
2025-01-31,41.230854
2025-02-01,41.496132
2025-02-02,41.564608
2025-02-03,41.614298
2025-02-04,40.99761
2025-02-05,41.415287
2025-02-06,41.350224
2025-02-07,41.293662
2025-02-08,41.568623
2025-02-09,41.568623
2025-02-10,41.6582
2025-02-11,41.204436
2025-02-12,41.64203
2025-02-13,41.798762
2025-02-14,41.489854
2025-02-15,41.669191
2025-02-16,41.669191
2025-02-17,41.587927
2025-02-18,41.752106
2025-02-19,41.68756
2025-02-20,41.571811
2025-02-21,41.54786
2025-02-22,41.938418
2025-02-23,41.925095
2025-02-24,41.692528
2025-02-25,41.977081
2025-02-26,41.733692
2025-02-27,41.80471
2025-02-28,41.495173
2025-03-01,41.493642
2025-03-02,41.575799
2025-03-03,41.463981
2025-03-04,41.637747
2025-03-05,42.542132
2025-03-06,42.263086
2025-03-07,42.754851
2025-03-08,43.279144
2025-03-09,43.279144
2025-03-10,43.362459
2025-03-11,43.278993
2025-03-12,43.365046
2025-03-13,43.284599
2025-03-14,43.255294
2025-03-15,43.302569
2025-03-16,43.302569
2025-03-17,43.532583
2025-03-18,43.430359
2025-03-19,43.160309
2025-03-20,43.21481
2025-03-21,43.026569
2025-03-22,43.282102
2025-03-23,43.020993
2025-03-24,43.063163
2025-03-25,42.832197
2025-03-26,43.087009
2025-03-27,42.670179
2025-03-28,42.905573
2025-03-29,42.853259
2025-03-30,43.568628
2025-03-31,43.341295
2025-04-01,43.139244
2025-04-02,42.927545
2025-04-03,43.504063
2025-04-04,43.56372
2025-04-05,43.97796
2025-04-06,43.723365
2025-04-07,44.036135
2025-04-08,43.514232
2025-04-09,43.341438
2025-04-10,43.943755
2025-04-11,44.206595
2025-04-12,44.687895
2025-04-13,44.687895
2025-04-14,44.880857
2025-04-15,44.809407
2025-04-16,44.966769
2025-04-17,44.969351
2025-04-18,44.847502
2025-04-19,44.847502
2025-04-20,44.847502
2025-04-21,44.847502
2025-04-22,45.354293
2025-04-23,45.672752
2025-04-24,45.340661
2025-04-25,45.089358
2025-04-26,45.126204
2025-04-27,45.044035
2025-04-28,45.140152
2025-04-29,44.895529
2025-04-30,45.002511
2025-05-01,44.939782
2025-05-02,45.125979
2025-05-03,45.120404
2025-05-04,45.120404
2025-05-05,45.2634
2025-05-06,44.851235
2025-05-07,44.9601
2025-05-08,44.70849
2025-05-09,44.563923
2025-05-10,44.508436
2025-05-11,44.800439
2025-05-12,44.289261
2025-05-13,44.06731
2025-05-14,44.55306
2025-05-15,44.435249
2025-05-16,44.382915
2025-05-17,44.32763
2025-05-18,44.32763
2025-05-19,44.645637
2025-05-20,44.802029
2025-05-21,44.638721
2025-05-22,44.836695
