date,exchange_rate
2014-11-07,39.588
2014-11-10,39.682
2014-11-11,39.967
2014-11-12,39.643
2014-11-13,39.911
2014-11-14,40.193
2014-11-17,39.826
2014-11-18,40.024
2014-11-19,40.202
2014-11-20,40.063
2014-11-21,39.71
2014-11-24,39.798
2014-11-25,39.782
2014-11-26,39.883
2014-11-27,39.767
2014-11-28,39.227
2014-12-01,39.901
2014-12-02,39.555
2014-12-03,39.435
2014-12-04,39.698
2014-12-05,39.354
2014-12-08,39.579
2014-12-09,39.691
2014-12-10,39.755
2014-12-11,39.736
2014-12-12,39.394
2014-12-15,39.678
2014-12-16,39.901
2014-12-17,39.268
2014-12-18,39.303
2014-12-19,39.12
2014-12-22,39.054
2014-12-23,38.999
2014-12-24,38.758
2014-12-25,38.841
2014-12-26,38.669
2014-12-30,39.107
2014-12-31,38.58
2015-01-01,38.593
2015-01-02,38.685
2015-01-05,38.351
2015-01-06,38.159
2015-01-07,38.513
2015-01-08,38.478
2015-01-09,38.466
2015-01-12,38.564
2015-01-13,38.377
2015-01-14,38.481
2015-01-15,38.02
2015-01-16,37.995
2015-01-19,38.182
2015-01-20,38.0
2015-01-21,38.147
2015-01-22,37.209
2015-01-23,37.135
2015-01-26,37.428
2015-01-27,37.859
2015-01-28,37.249
2015-01-29,37.502
2015-01-30,37.347
2015-02-02,37.447
2015-02-03,37.95
2015-02-04,37.67
2015-02-05,38.138
2015-02-06,37.661
2015-02-09,37.363
2015-02-10,37.863
2015-02-11,37.92
2015-02-12,38.403
2015-02-13,38.342
2015-02-16,38.072
2015-02-17,38.388
2015-02-18,38.413
2015-02-19,38.265
2015-02-20,38.462
2015-02-23,38.03
2015-02-24,37.893
2015-02-25,37.85
2015-02-26,37.718
2015-02-27,37.638
2015-03-02,38.119
2015-03-03,38.217
2015-03-04,38.05
2015-03-05,38.215
2015-03-06,37.906
2015-03-09,38.328
2015-03-10,37.992
2015-03-11,37.425
2015-03-12,38.016
2015-03-13,38.167
2015-03-16,38.67
2015-03-17,38.865
2015-03-18,39.896
2015-03-19,38.928
2015-03-20,39.95
2015-03-23,40.485
2015-03-24,40.088
2015-03-25,40.394
2015-03-26,39.839
2015-03-27,40.144
2015-03-30,39.891
2015-03-31,39.56
2015-04-01,39.355
2015-04-02,39.849
2015-04-03,40.327
2015-04-06,39.918
2015-04-07,39.525
2015-04-08,39.189
2015-04-09,39.024
2015-04-10,38.892
2015-04-13,38.628
2015-04-14,39.037
2015-04-15,39.119
2015-04-16,39.368
2015-04-17,39.429
2015-04-20,39.129
2015-04-21,39.075
2015-04-22,38.99
2015-04-23,39.323
2015-04-24,39.469
2015-04-27,39.311
2015-04-28,39.447
2015-04-29,39.559
2015-04-30,39.122
2015-05-01,39.019
2015-05-04,38.942
2015-05-05,39.455
2015-05-06,40.142
2015-05-07,39.615
2015-05-08,39.509
2015-05-11,39.626
2015-05-12,39.635
2015-05-13,40.13
2015-05-14,39.963
2015-05-15,40.272
2015-05-18,39.422
2015-05-19,39.165
2015-05-20,39.326
2015-05-21,39.419
2015-05-22,38.951
2015-05-25,38.825
2015-05-26,39.017
2015-05-27,39.136
2015-05-28,39.314
2015-05-29,39.261
2015-06-01,39.157
2015-06-02,39.703
2015-06-03,40.166
2015-06-04,39.706
2015-06-05,39.32
2015-06-08,40.05
2015-06-09,39.791
2015-06-10,39.961
2015-06-11,39.728
2015-06-12,40.077
2015-06-15,40.082
2015-06-16,39.914
2015-06-17,40.285
2015-06-18,40.072
2015-06-19,40.124
2015-06-22,40.074
2015-06-23,39.473
2015-06-24,39.201
2015-06-25,39.733
2015-06-26,39.626
2015-06-29,39.914
2015-06-30,39.522
2015-07-01,39.313
2015-07-02,39.552
2015-07-03,39.544
2015-07-06,39.452
2015-07-07,39.49
2015-07-08,39.74
2015-07-09,39.736
2015-07-10,40.047
2015-07-13,39.336
2015-07-14,39.398
2015-07-15,39.174
2015-07-16,38.983
2015-07-17,38.492
2015-07-20,38.855
2015-07-21,39.414
2015-07-22,39.325
2015-07-23,39.426
2015-07-24,39.394
2015-07-27,39.737
2015-07-28,39.528
2015-07-29,39.23
2015-07-30,39.179
2015-07-31,39.033
2015-08-03,39.144
2015-08-04,39.006
2015-08-05,38.878
2015-08-06,39.159
2015-08-07,39.22
2015-08-10,39.149
2015-08-11,39.225
2015-08-12,39.814
2015-08-13,39.91
2015-08-14,39.757
2015-08-17,39.644
2015-08-18,39.518
2015-08-19,39.816
2015-08-20,40.206
2015-08-21,40.661
2015-08-24,41.27
2015-08-25,40.765
2015-08-26,40.11
2015-08-27,40.288
2015-08-28,39.677
2015-08-31,39.806
2015-09-01,40.057
2015-09-02,39.752
2015-09-03,39.691
2015-09-04,39.906
2015-09-07,39.621
2015-09-08,39.83
2015-09-09,40.131
2015-09-10,40.355
2015-09-11,40.358
2015-09-14,40.231
2015-09-15,40.091
2015-09-16,40.239
2015-09-17,40.237
2015-09-18,40.515
2015-09-21,40.012
2015-09-22,39.445
2015-09-23,40.101
2015-09-24,39.995
2015-09-25,40.169
2015-09-28,40.376
2015-09-29,40.326
2015-09-30,39.929
2015-10-01,40.029
2015-10-02,40.4
2015-10-05,40.215
2015-10-06,40.382
2015-10-07,40.394
2015-10-08,40.384
2015-10-09,40.706
2015-10-12,40.7
2015-10-13,40.796
2015-10-14,40.872
2015-10-15,40.429
2015-10-16,40.501
2015-10-19,40.396
2015-10-20,40.688
2015-10-21,40.524
2015-10-22,39.847
2015-10-23,39.487
2015-10-26,39.96
2015-10-27,39.785
2015-10-28,39.496
2015-10-29,39.842
2015-10-30,39.957
2015-11-02,39.899
2015-11-03,39.755
2015-11-04,39.4
2015-11-05,39.466
2015-11-06,38.969
2015-11-09,39.347
2015-11-10,39.189
2015-11-11,39.271
2015-11-12,39.425
2015-11-13,39.259
2015-11-16,38.599
2015-11-17,38.531
2015-11-18,38.997
2015-11-19,39.047
2015-11-20,38.735
2015-11-23,38.753
2015-11-24,38.793
2015-11-25,38.812
2015-11-26,38.754
2015-11-27,38.695
2015-11-30,38.751
2015-12-01,39.003
2015-12-02,38.814
2015-12-03,40.098
2015-12-04,39.504
2015-12-07,39.669
2015-12-08,39.809
2015-12-09,40.261
2015-12-10,39.862
2015-12-11,40.121
2015-12-14,40.076
2015-12-15,39.892
2015-12-16,39.803
2015-12-17,39.59
2015-12-18,39.52
2015-12-21,39.773
2015-12-22,39.41
2015-12-23,39.631
2015-12-24,39.405
2015-12-25,39.885
2015-12-28,39.713
2015-12-29,39.526
2015-12-30,39.555
2015-12-31,38.834
2016-01-01,38.918
2016-01-04,39.278
2016-01-05,39.078
2016-01-06,39.334
2016-01-07,39.521
2016-01-08,39.854
2016-01-11,39.615
2016-01-12,39.566
2016-01-13,39.576
2016-01-14,39.66
2016-01-15,39.7
2016-01-18,39.287
2016-01-19,39.683
2016-01-20,39.595
2016-01-21,39.625
2016-01-22,39.339
2016-01-25,39.535
2016-01-26,39.693
2016-01-27,39.789
2016-01-28,39.483
2016-01-29,39.405
2016-02-01,39.608
2016-02-02,39.722
2016-02-03,40.383
2016-02-04,40.533
2016-02-05,40.338
2016-02-08,40.418
2016-02-09,40.778
2016-02-10,40.708
2016-02-11,40.595
2016-02-12,40.392
2016-02-15,40.148
2016-02-16,40.077
2016-02-17,40.099
2016-02-18,40.033
2016-02-19,40.053
2016-02-22,39.656
2016-02-23,39.607
2016-02-24,39.593
2016-02-25,40.057
2016-02-26,39.601
2016-02-29,39.551
2016-03-01,39.435
2016-03-02,39.489
2016-03-03,39.788
2016-03-04,39.772
2016-03-07,39.745
2016-03-08,39.777
2016-03-09,39.751
2016-03-10,40.448
2016-03-11,40.12
2016-03-14,39.93
2016-03-15,39.976
2016-03-16,40.362
2016-03-17,40.443
2016-03-18,40.248
2016-03-21,40.149
2016-03-22,39.972
2016-03-23,39.825
2016-03-24,40.008
2016-03-25,39.96
2016-03-28,39.985
2016-03-29,40.375
2016-03-30,40.67
2016-03-31,40.443
2016-04-01,40.538
2016-04-04,40.395
2016-04-05,40.335
2016-04-06,40.446
2016-04-07,40.28
2016-04-08,40.336
2016-04-11,40.379
2016-04-12,40.26
2016-04-13,39.896
2016-04-14,39.861
2016-04-15,40.073
2016-04-18,40.228
2016-04-19,40.385
2016-04-20,40.047
2016-04-21,40.05
2016-04-22,39.853
2016-04-25,39.989
2016-04-26,40.035
2016-04-27,40.019
2016-04-28,40.176
2016-04-29,40.068
2016-05-02,40.702
2016-05-03,41.092
2016-05-04,40.948
2016-05-05,40.409
2016-05-06,40.408
2016-05-09,40.341
2016-05-10,40.309
2016-05-11,40.484
2016-05-12,40.321
2016-05-13,40.074
2016-05-16,40.097
2016-05-17,40.01
2016-05-18,39.778
2016-05-19,39.701
2016-05-20,39.994
2016-05-23,39.955
2016-05-24,39.679
2016-05-25,39.79
2016-05-26,40.029
2016-05-27,39.545
2016-05-30,39.639
2016-05-31,39.949
2016-06-01,40.229
2016-06-02,40.081
2016-06-03,40.882
2016-06-06,40.753
2016-06-07,40.587
2016-06-08,40.76
2016-06-09,40.407
2016-06-10,40.211
2016-06-13,40.116
2016-06-14,40.057
2016-06-15,40.291
2016-06-16,40.272
2016-06-17,40.39
2016-06-20,40.553
2016-06-21,40.281
2016-06-22,40.442
2016-06-23,40.547
2016-06-24,39.845
2016-06-27,39.597
2016-06-28,39.835
2016-06-29,40.012
2016-06-30,39.889
2016-07-01,40.022
2016-07-04,40.085
2016-07-05,39.648
2016-07-06,39.547
2016-07-07,39.646
2016-07-08,39.222
2016-07-11,39.689
2016-07-12,39.592
2016-07-13,39.699
2016-07-14,39.761
2016-07-15,39.177
2016-07-18,39.615
2016-07-19,39.463
2016-07-20,39.462
2016-07-21,39.631
2016-07-22,39.34
2016-07-25,39.398
2016-07-26,39.301
2016-07-27,39.634
2016-07-28,39.595
2016-07-29,39.948
2016-08-01,39.956
2016-08-02,40.061
