date,exchange_rate
2014-11-24,19.08
2014-11-25,19.14
2014-11-26,19.21
2014-11-27,19.15
2014-11-28,18.97
2014-12-01,19.16
2014-12-02,19.0
2014-12-03,18.88
2014-12-04,19.01
2014-12-05,18.87
2014-12-08,18.92
2014-12-09,19.01
2014-12-10,19.09
2014-12-11,19.03
2014-12-12,19.01
2014-12-15,19.09
2014-12-16,19.19
2014-12-17,18.92
2014-12-18,18.85
2014-12-19,18.78
2014-12-22,18.76
2014-12-23,18.67
2014-12-24,18.74
2014-12-25,18.78
2014-12-26,18.69
2014-12-29,18.68
2014-12-30,18.65
2014-12-31,18.56
2015-01-01,18.56
2015-01-02,18.43
2015-01-05,18.3
2015-01-06,18.21
2015-01-07,18.19
2015-01-08,18.08
2015-01-09,18.16
2015-01-12,18.15
2015-01-13,18.06
2015-01-14,18.09
2015-01-15,17.84
2015-01-16,17.75
2015-01-19,17.81
2015-01-20,17.72
2015-01-21,17.84
2015-01-22,17.39
2015-01-23,17.21
2015-01-26,17.25
2015-01-27,17.35
2015-01-28,17.32
2015-01-29,17.37
2015-01-30,17.34
2015-02-02,17.4
2015-02-03,17.59
2015-02-04,17.4
2015-02-05,17.6
2015-02-06,17.35
2015-02-09,17.4
2015-02-10,17.35
2015-02-11,17.38
2015-02-12,17.49
2015-02-13,17.48
2015-02-16,17.44
2015-02-17,17.5
2015-02-18,17.51
2015-02-19,17.43
2015-02-20,17.48
2015-02-23,17.42
2015-02-24,17.42
2015-02-25,17.29
2015-02-26,17.2
2015-02-27,17.07
2015-03-02,17.15
2015-03-03,17.17
2015-03-04,17.0
2015-03-05,16.92
2015-03-06,16.64
2015-03-09,17.67
2015-03-10,16.42
2015-03-11,16.04
2015-03-12,16.31
2015-03-13,16.13
2015-03-16,16.21
2015-03-17,16.27
2015-03-18,16.61
2015-03-19,16.36
2015-03-20,16.59
2015-03-23,16.81
2015-03-24,16.74
2015-03-25,16.84
2015-03-26,16.68
2015-03-27,16.74
2015-03-30,16.63
2015-03-31,16.49
2015-04-01,16.52
2015-04-02,16.7
2015-04-03,16.86
2015-04-06,16.61
2015-04-07,16.26
2015-04-08,16.24
2015-04-09,15.99
2015-04-10,15.99
2015-04-13,15.93
2015-04-14,16.03
2015-04-15,16.11
2015-04-16,16.24
2015-04-17,16.25
2015-04-20,16.2
2015-04-21,16.2
2015-04-22,16.12
2015-04-23,16.38
2015-04-24,16.56
2015-04-27,16.6
2015-04-28,16.56
2015-04-29,16.74
2015-04-30,17.11
2015-05-01,16.9
2015-05-04,16.76
2015-05-05,16.87
2015-05-06,17.12
2015-05-07,16.96
2015-05-08,16.84
2015-05-11,16.88
2015-05-12,16.89
2015-05-13,17.08
2015-05-14,17.19
2015-05-15,17.34
2015-05-18,17.0
2015-05-19,16.8
2015-05-20,16.74
2015-05-21,16.7
2015-05-22,16.8
2015-05-25,16.53
2015-05-26,16.39
2015-05-27,16.45
2015-05-28,16.7
2015-05-29,16.58
2015-06-01,16.49
2015-06-02,16.85
2015-06-03,17.2
2015-06-04,16.93
2015-06-05,16.96
2015-06-08,17.09
2015-06-09,16.96
2015-06-10,17.05
2015-06-11,16.92
2015-06-12,16.96
2015-06-15,17.21
2015-06-16,16.93
2015-06-17,17.06
2015-06-18,17.16
2015-06-19,17.13
2015-06-22,17.27
2015-06-23,16.82
2015-06-24,17.07
2015-06-25,16.96
2015-06-26,16.79
2015-06-29,16.89
2015-06-30,16.8
2015-07-01,16.7
2015-07-02,16.9
2015-07-03,16.8
2015-07-06,16.87
2015-07-07,16.55
2015-07-08,16.68
2015-07-09,16.68
2015-07-10,16.88
2015-07-13,16.78
2015-07-14,16.8
2015-07-15,16.5
2015-07-16,16.3
2015-07-17,16.51
2015-07-20,16.39
2015-07-21,16.5
2015-07-22,16.65
2015-07-23,16.52
2015-07-24,16.74
2015-07-27,16.69
2015-07-28,16.63
2015-07-29,16.58
2015-07-30,16.5
2015-07-31,16.55
2015-08-03,16.48
2015-08-04,16.39
2015-08-05,16.45
2015-08-06,16.65
2015-08-07,16.7
2015-08-10,16.85
2015-08-11,16.87
2015-08-12,16.95
2015-08-13,16.99
2015-08-14,16.72
2015-08-17,16.66
2015-08-18,16.59
2015-08-19,16.73
2015-08-20,16.9
2015-08-21,17.15
2015-08-24,17.42
2015-08-25,17.35
2015-08-26,17.05
2015-08-27,16.91
2015-08-28,16.83
2015-08-31,16.86
2015-09-01,17.01
2015-09-02,16.87
