date,exchange_rate
2014-11-07,594.867
2014-11-10,595.09003
2014-11-11,597.80402
2014-11-12,596.80902
2014-11-13,600.52698
2014-11-14,604.38098
2014-11-17,601.73901
2014-11-18,607.98901
2014-11-19,612.29797
2014-11-20,613.66101
2014-11-21,608.659
2014-11-24,611.89099
2014-11-25,613.875
2014-11-26,615.11499
2014-11-27,613.32202
2014-11-28,612.92401
2014-12-01,613.90601
2014-12-02,608.36603
2014-12-03,604.005
2014-12-04,606.97699
2014-12-05,601.41199
2014-12-08,601.56299
2014-12-09,603.39899
2014-12-10,604.89697
2014-12-11,600.19
2014-12-12,600.34399
2014-12-15,598.13898
2014-12-16,601.49902
2014-12-17,589.32202
2014-12-18,585.47699
2014-12-19,580.79401
2014-12-22,577.664
2014-12-23,571.28699
2014-12-24,570.92603
2014-12-25,572.15698
2014-12-26,568.93402
2014-12-30,565.81201
2014-12-31,562.23999
2015-01-01,562.42297
2015-01-02,557.17297
2015-01-05,549.66699
2015-01-06,546.91498
2015-01-07,543.25098
2015-01-08,533.78003
2015-01-09,541.06
2015-01-12,541.659
2015-01-13,538.32703
2015-01-14,538.77502
2015-01-15,531.27301
2015-01-16,528.44501
2015-01-19,529.836
2015-01-20,527.30298
2015-01-21,528.11603
2015-01-22,514.79797
2015-01-23,509.013
2015-01-26,510.04401
2015-01-27,514.5
2015-01-28,509.13
2015-01-29,509.302
2015-01-30,507.05399
2015-02-02,507.875
2015-02-03,512.70898
2015-02-04,507.03699
2015-02-05,510.74799
2015-02-06,502.23901
2015-02-09,501.54401
2015-02-10,500.80301
2015-02-11,500.66
2015-02-12,499.67099
2015-02-13,497.57599
2015-02-16,495.59201
2015-02-17,497.25201
2015-02-18,498.26999
2015-02-19,497.67001
2015-02-20,499.134
2015-02-23,495.61499
2015-02-24,495.94901
2015-02-25,496.883
2015-02-26,489.582
2015-02-27,489.48999
2015-03-02,488.992
2015-03-03,488.80801
2015-03-04,484.55499
2015-03-05,482.439
2015-03-06,474.58801
2015-03-09,474.44101
2015-03-10,467.64301
2015-03-11,460.75101
2015-03-12,464.13501
2015-03-13,458.927
2015-03-16,461.64099
2015-03-17,462.70901
2015-03-18,473.04199
2015-03-19,465.883
2015-03-20,472.452
2015-03-23,478.78201
2015-03-24,476.552
2015-03-25,478.88599
2015-03-26,474.89001
2015-03-27,486.005
2015-03-30,473.52399
2015-03-31,469.922
2015-04-01,471.63901
