date,exchange_rate
2013-11-03,17.60965
2013-11-04,17.55195
2013-11-05,17.72515
2013-11-06,17.79975
2013-11-07,17.72865
2013-11-10,17.58956
2013-11-11,17.72145
2013-11-12,17.70075
2013-11-13,17.53435
2013-11-14,17.42205
2013-11-17,17.42515
2013-11-18,17.39935
2013-11-19,17.55985
2013-11-20,17.57565
2013-11-21,17.53915
2013-11-24,17.60545
2013-11-25,17.63955
2013-11-26,17.71215
2013-11-27,17.79995
2013-11-28,17.76715
2013-12-01,17.83522
2013-12-02,17.87415
2013-12-03,17.80135
2013-12-04,17.71005
2013-12-05,17.87315
2013-12-08,17.69116
2013-12-09,17.64555
2013-12-10,17.68195
2013-12-11,17.95615
2013-12-12,17.82015
2013-12-15,17.69275
2013-12-16,17.78915
2013-12-17,17.83555
2013-12-18,17.65505
2013-12-19,17.67865
2013-12-22,17.73965
2013-12-23,17.79015
2013-12-24,17.79195
2013-12-25,17.7952
2013-12-26,17.89645
2013-12-29,17.95475
2013-12-30,18.03955
2013-12-31,17.911
2014-01-01,17.93665
2014-01-02,17.97005
2014-01-05,17.80275
2014-01-06,17.82635
2014-01-07,17.70875
2014-01-08,17.82315
2014-01-09,17.81215
2014-01-12,17.72865
2014-01-13,17.87415
2014-01-14,17.88015
2014-01-15,17.95152
2014-01-16,18.07045
2014-01-19,17.90825
2014-01-20,17.92565
2014-01-21,18.00395
2014-01-22,18.02415
2014-01-23,18.34465
2014-01-26,18.38745
2014-01-27,18.28595
2014-01-28,18.00365
2014-01-29,18.30415
2014-01-30,18.10945
2014-02-02,18.02275
2014-02-03,18.29285
2014-02-04,17.99815
2014-02-05,17.96485
2014-02-06,18.02385
2014-02-09,18.07995
2014-02-10,18.16815
2014-02-11,18.13765
2014-02-12,18.09145
2014-02-13,18.13165
2014-02-16,18.10965
2014-02-17,18.08015
2014-02-18,18.21415
2014-02-19,18.28735
2014-02-20,18.20865
2014-02-23,18.19265
2014-02-24,18.19095
2014-02-25,18.17115
2014-02-26,18.25265
2014-02-27,18.16235
2014-03-02,18.33595
2014-03-03,18.28145
2014-03-04,18.23945
2014-03-05,18.17485
2014-03-06,18.22579
2014-03-09,18.30815
2014-03-10,18.33165
2014-03-11,18.40885
2014-03-12,18.408
2014-03-13,18.41855
2014-03-16,18.39255
2014-03-17,18.322
2014-03-18,18.31475
2014-03-19,18.35755
2014-03-20,18.26125
2014-03-23,18.24845
2014-03-24,18.23915
2014-03-25,18.11715
2014-03-26,18.08265
2014-03-27,17.94515
2014-03-30,17.95515
2014-03-31,17.99015
2014-04-01,18.00165
2014-04-02,18.01865
2014-04-03,18.00215
2014-04-06,17.82015
2014-04-07,17.87215
2014-04-08,18.02365
2014-04-09,18.00365
2014-04-10,18.11515
2014-04-13,18.08295
2014-04-14,17.99165
2014-04-15,18.09045
2014-04-16,18.03753
2014-04-17,18.00616
2014-04-20,18.01916
2014-04-21,17.95935
2014-04-22,18.01885
2014-04-23,18.05715
2014-04-24,18.10718
2014-04-27,18.17075
2014-04-28,18.17515
2014-04-29,18.09275
2014-04-30,18.13435
2014-05-01,18.08365
2014-05-04,18.01725
2014-05-05,18.09475
2014-05-06,18.15085
2014-05-07,18.03065
2014-05-08,17.91635
2014-05-11,17.81505
2014-05-12,17.81045
2014-05-13,17.68945
2014-05-14,17.68465
2014-05-15,17.76765
2014-05-18,17.67315
2014-05-19,17.68215
2014-05-20,17.69245
2014-05-21,17.67555
2014-05-22,17.58265
2014-05-25,17.52395
2014-05-26,17.56175
2014-05-27,17.527
2014-05-28,17.4965
2014-05-29,17.45515
2014-06-01,17.51465
2014-06-02,17.54665
2014-06-03,17.62655
2014-06-04,17.57865
2014-06-05,17.57165
2014-06-08,17.631
2014-06-09,17.69815
2014-06-10,17.62615
2014-06-11,17.606
2014-06-12,17.59215
2014-06-15,17.59565
2014-06-16,17.711
2014-06-17,17.75815
2014-06-18,17.64395
2014-06-19,17.72165
2014-06-22,17.63934
2014-06-23,17.712
2014-06-24,17.7755
2014-06-25,17.72311
2014-06-26,17.72265
2014-06-29,17.69715
2014-06-30,17.76845
2014-07-01,17.69595
2014-07-02,17.73245
2014-07-03,17.63165
2014-07-06,17.62095
2014-07-07,17.71165
2014-07-08,17.68365
2014-07-09,17.68865
2014-07-10,17.67245
2014-07-13,17.66099
2014-07-14,17.6315
2014-07-15,17.55905
2014-07-16,17.47095
2014-07-17,17.55815
2014-07-20,17.53395
2014-07-21,17.54095
2014-07-22,17.416
2014-07-23,17.41695
2014-07-24,17.433
2014-07-27,17.37484
2014-07-28,17.46985
2014-07-29,17.52495
2014-07-30,17.61495
2014-07-31,17.70395
2014-08-03,17.72225
2014-08-04,17.7065
2014-08-05,17.78165
2014-08-06,17.7289
2014-08-07,17.74165
2014-08-10,17.76015
2014-08-11,17.63165
2014-08-12,17.55765
2014-08-13,17.55115
2014-08-14,17.467
2014-08-17,17.47115
2014-08-18,17.42915
2014-08-19,17.37835
2014-08-20,17.41115
2014-08-21,17.40215
2014-08-24,17.34035
2014-08-25,17.35795
2014-08-26,17.23955
2014-08-27,17.25695
2014-08-28,17.24915
2014-08-31,17.16165
2014-09-01,17.18775
2014-09-02,17.20515
2014-09-03,17.22515
2014-09-04,17.00695
2014-09-07,16.87965
2014-09-08,16.93895
2014-09-09,17.08595
2014-09-10,17.03495
2014-09-11,17.09615
2014-09-14,17.16405
2014-09-15,17.13865
2014-09-16,17.06065
2014-09-17,17.04065
2014-09-18,17.09465
2014-09-21,16.96291
2014-09-22,17.05485
2014-09-23,17.08275
2014-09-24,16.97865
2014-09-25,17.06115
2014-09-28,17.06199
2014-09-29,17.12415
2014-09-30,16.95015
2014-10-01,16.978
2014-10-02,16.93965
2014-10-05,16.83955
2014-10-06,16.94965
2014-10-07,17.05665
2014-10-08,16.98665
2014-10-09,17.04565
2014-10-12,17.01345
2014-10-13,17.10895
2014-10-14,17.01095
2014-10-15,17.36115
2014-10-16,17.34595
2014-10-19,17.25385
2014-10-20,17.34295
2014-10-21,17.22695
2014-10-22,17.13195
2014-10-23,17.14295
2014-10-26,17.18985
2014-10-27,17.20895
2014-10-28,17.10675
2014-10-29,17.04795
2014-10-30,16.93595
2014-11-02,16.85175
2014-11-03,17.00015
2014-11-04,17.00745
2014-11-05,16.93765
2014-11-06,16.88
2014-11-09,16.84854
2014-11-10,16.897
2014-11-11,16.96505
2014-11-12,16.841
2014-11-13,16.97395
2014-11-16,16.93855
2014-11-17,16.90695
2014-11-18,17.00165
2014-11-19,17.091
2014-11-20,17.13115
2014-11-23,16.85965
2014-11-24,16.98195
2014-11-25,17.06265
2014-11-26,17.16415
2014-11-27,17.14445
2014-11-30,17.33015
2014-12-01,17.42915
2014-12-02,17.466
2014-12-03,17.362
2014-12-04,17.52365
2014-12-07,17.65365
2014-12-08,17.703
2014-12-09,17.87495
2014-12-10,18.15295
2014-12-11,18.30515
2014-12-14,18.38895
2014-12-15,18.30715
2014-12-16,18.45065
2014-12-17,17.99165
2014-12-18,17.87495
2014-12-21,17.82495
2014-12-22,17.93495
2014-12-23,17.9479
2014-12-24,17.9479
2014-12-25,17.98195
2014-12-28,17.89695
2014-12-29,17.96565
2014-12-30,17.91555
2014-12-31,17.837
2015-01-01,17.84065
2015-01-04,17.72815
2015-01-05,17.83395
2015-01-06,17.68365
2015-01-07,17.40695
2015-01-08,17.28995
2015-01-11,17.29535
2015-01-12,17.326
2015-01-13,17.20315
2015-01-14,17.07015
2015-01-15,17.05715
2015-01-18,16.83695
2015-01-19,16.96895
2015-01-20,16.91655
2015-01-21,17.13795
2015-01-22,16.56595
2015-01-25,16.34095
2015-01-26,16.39565
2015-01-27,16.61515
2015-01-28,16.62183
2015-01-29,16.75943
2015-02-01,16.90573
2015-02-02,16.85033
2015-02-03,16.80765
2015-02-04,16.84353
2015-02-05,16.96683
2015-02-08,16.80578
2015-02-09,16.77383
2015-02-10,16.92063
2015-02-11,17.04207
2015-02-12,17.01705
2015-02-15,16.98173
2015-02-16,16.90193
