date,exchange_rate
2014-11-07,4.1587
2014-11-10,4.1355
2014-11-11,4.1738
2014-11-12,4.1446
2014-11-13,4.1627
2014-11-14,4.1965
2014-11-17,4.1663
2014-11-18,4.2004
2014-11-19,4.2153
2014-11-20,4.2214
2014-11-21,4.1526
2014-11-24,4.1695
2014-11-25,4.1816
2014-11-26,4.1903
2014-11-27,4.1706
2014-11-28,4.211
2014-12-01,4.2801
2014-12-02,4.2561
2014-12-03,4.2346
2014-12-04,4.2651
2014-12-05,4.2972
2014-12-08,4.2984
2014-12-09,4.2944
2014-12-10,4.3296
2014-12-11,4.3252
2014-12-12,4.355
2014-12-15,4.3491
2014-12-16,4.3692
2014-12-17,4.2956
2014-12-18,4.2571
2014-12-19,4.2501
2014-12-22,4.263
2014-12-23,4.2547
2014-12-24,4.2643
2014-12-25,4.2735
2014-12-26,4.2512
2014-12-30,4.2517
2014-12-31,4.23
2015-01-01,4.2302
2015-01-02,4.2193
2015-01-05,4.2154
2015-01-06,4.2293
2015-01-07,4.2377
2015-01-08,4.2032
2015-01-09,4.2166
2015-01-12,4.2203
2015-01-13,4.2305
2015-01-14,4.236
2015-01-15,4.1433
2015-01-16,4.1159
2015-01-19,4.145
2015-01-20,4.1668
2015-01-21,4.1968
2015-01-22,4.0704
2015-01-23,4.0289
2015-01-26,4.0672
2015-01-27,4.0936
2015-01-28,4.0798
2015-01-29,4.1098
2015-01-30,4.0976
2015-02-02,4.1136
2015-02-03,4.1041
2015-02-04,4.0546
2015-02-05,4.0829
2015-02-06,4.0096
2015-02-09,4.0324
2015-02-10,4.0481
2015-02-11,4.0781
2015-02-12,4.1077
2015-02-13,4.0738
2015-02-16,4.0528
2015-02-17,4.0893
2015-02-18,4.1224
2015-02-19,4.1124
2015-02-20,4.1268
2015-02-23,4.1199
2015-02-24,4.1289
2015-02-25,4.094
2015-02-26,4.0068
2015-02-27,4.0414
2015-03-02,4.0596
2015-03-03,4.0514
2015-03-04,4.056
2015-03-05,4.0251
2015-03-06,3.9821
2015-03-09,3.9884
2015-03-10,3.9629
2015-03-11,3.8995
2015-03-12,3.919
2015-03-13,3.8865
2015-03-16,3.9147
2015-03-17,3.9157
2015-03-18,3.9972
2015-03-19,3.9504
2015-03-20,4.0128
2015-03-23,4.0244
2015-03-24,3.9831
2015-03-25,4.0185
2015-03-26,3.9838
2015-03-27,4.0138
2015-03-30,4.0194
2015-03-31,3.9759
2015-04-01,3.9532
2015-04-02,3.9944
2015-04-03,4.0148
2015-04-06,3.9693
2015-04-07,3.9341
2015-04-08,3.9119
2015-04-09,3.8827
2015-04-10,3.886
2015-04-13,3.9172
2015-04-14,3.9415
2015-04-15,3.9402
2015-04-16,3.9448
2015-04-17,3.9075
2015-04-20,3.8877
2015-04-21,3.9042
2015-04-22,3.8813
2015-04-23,3.9091
2015-04-24,3.8888
2015-04-27,3.8729
2015-04-28,3.8974
2015-04-29,3.9242
2015-04-30,3.9981
2015-05-01,4.01
2015-05-04,4.0086
2015-05-05,4.0255
2015-05-06,4.0499
2015-05-07,4.0448
2015-05-08,4.0254
2015-05-11,4.0265
2015-05-12,4.0358
2015-05-13,4.0845
2015-05-14,4.0643
2015-05-15,4.0793
2015-05-18,4.0378
2015-05-19,4.0017
2015-05-20,4.0092
2015-05-21,4.0002
2015-05-22,3.9648
2015-05-25,3.9671
2015-05-26,3.948
2015-05-27,3.9643
2015-05-28,3.9945
2015-05-29,4.0278
2015-06-01,4.0223
2015-06-02,4.1225
2015-06-03,4.1518
2015-06-04,4.146
2015-06-05,4.1783
2015-06-08,4.2504
2015-06-09,4.2255
2015-06-10,4.2271
2015-06-11,4.2106
2015-06-12,4.2324
2015-06-15,4.2397
2015-06-16,4.2169
2015-06-17,4.2591
2015-06-18,4.217
2015-06-19,4.2457
2015-06-22,4.2314
2015-06-23,4.1734
2015-06-24,4.2028
2015-06-25,4.2069
2015-06-26,4.206
2015-06-29,4.2426
2015-06-30,4.2011
2015-07-01,4.1638
2015-07-02,4.1851
2015-07-03,4.1945
2015-07-06,4.2113
2015-07-07,4.1883
2015-07-08,4.2143
2015-07-09,4.1959
2015-07-10,4.23
2015-07-13,4.19
2015-07-14,4.1904
2015-07-15,4.1671
2015-07-16,4.1403
2015-07-17,4.121
2015-07-20,4.1221
2015-07-21,4.1454
2015-07-22,4.1587
2015-07-23,4.1867
2015-07-24,4.1809
2015-07-27,4.2331
2015-07-28,4.2177
2015-07-29,4.1889
2015-07-30,4.1715
2015-07-31,4.1906
2015-08-03,4.2173
2015-08-04,4.2038
2015-08-05,4.2257
2015-08-06,4.2661
2015-08-07,4.303
2015-08-10,4.3268
2015-08-11,4.3729
2015-08-12,4.4623
2015-08-13,4.4694
2015-08-14,4.5343
2015-08-17,4.544
2015-08-18,4.4938
2015-08-19,4.563
2015-08-20,4.6469
2015-08-21,4.7553
2015-08-24,4.9324
2015-08-25,4.8581
2015-08-26,4.8121
2015-08-27,4.7431
2015-08-28,4.6817
2015-08-31,4.7003
2015-09-01,4.693
2015-09-02,4.7206
2015-09-03,4.7109
2015-09-04,4.7319
2015-09-07,4.8361
2015-09-08,4.8639
2015-09-09,4.8678
2015-09-10,4.8909
2015-09-11,4.8948
2015-09-14,4.8754
2015-09-15,4.8483
2015-09-16,4.7543
2015-09-17,4.856
2015-09-18,4.7778
2015-09-21,4.7714
2015-09-22,4.7867
2015-09-23,4.8997
2015-09-24,4.941
2015-09-25,4.9095
2015-09-28,4.9723
2015-09-29,5.0155
2015-09-30,4.9107
2015-10-01,4.9379
2015-10-02,4.9452
2015-10-05,4.8691
2015-10-06,4.903
2015-10-07,4.739
2015-10-08,4.7773
2015-10-09,4.6981
2015-10-12,4.7095
2015-10-13,4.7564
2015-10-14,4.7933
2015-10-15,4.6771
2015-10-16,4.7339
2015-10-19,4.7646
2015-10-20,4.8488
2015-10-21,4.885
2015-10-22,4.7184
2015-10-23,4.6516
2015-10-26,4.6946
2015-10-27,4.738
2015-10-28,4.7087
2015-10-29,4.7193
2015-10-30,4.7274
2015-11-02,4.7338
2015-11-03,4.682
2015-11-04,4.6403
2015-11-05,4.6718
2015-11-06,4.6925
2015-11-09,4.7267
2015-11-10,4.6858
2015-11-11,4.6875
2015-11-12,4.7245
2015-11-13,4.7312
2015-11-16,4.6833
2015-11-17,4.6753
2015-11-18,4.6697
2015-11-19,4.6253
2015-11-20,4.5606
2015-11-23,4.5752
