date,exchange_rate
2014-11-24,39.387
2014-11-25,39.308
2014-11-26,39.383
2014-11-27,39.268
2014-11-28,39.862
2014-12-01,39.489
2014-12-02,39.146
2014-12-03,38.967
2014-12-04,39.19
2014-12-05,38.886
2014-12-08,39.665
2014-12-09,39.802
2014-12-10,40.464
2014-12-11,40.356
2014-12-12,41.824
2014-12-15,41.569
2014-12-16,41.427
2014-12-17,41.673
2014-12-18,41.661
2014-12-19,41.344
2014-12-22,40.972
2014-12-23,40.788
2014-12-24,40.879
2014-12-25,40.968
2014-12-26,40.824
2014-12-29,40.864
2014-12-30,40.249
2014-12-31,40.055
2015-01-01,40.068
2015-01-02,38.408
2015-01-05,38.314
2015-01-06,37.763
2015-01-07,37.884
2015-01-08,37.851
2015-01-09,38.962
2015-01-12,38.704
2015-01-13,39.553
2015-01-14,38.915
2015-01-15,37.342
2015-01-16,37.147
2015-01-19,37.274
2015-01-20,36.807
2015-01-21,37.064
2015-01-22,36.265
2015-01-23,35.977
2015-01-26,36.12
2015-01-27,37.128
2015-01-28,37.144
2015-01-29,37.759
2015-01-30,37.931
2015-02-02,38.09
2015-02-03,38.543
2015-02-04,38.121
2015-02-05,38.33
2015-02-06,37.6
2015-02-09,36.929
2015-02-10,37.486
2015-02-11,38.109
2015-02-12,38.115
2015-02-13,38.419
2015-02-16,38.942
2015-02-17,38.27
2015-02-18,39.345
2015-02-19,39.217
2015-02-20,39.278
2015-02-23,38.106
2015-02-24,39.012
2015-02-25,38.586
2015-02-26,38.072
2015-02-27,38.065
2015-03-02,37.802
2015-03-03,37.922
2015-03-04,37.237
2015-03-05,37.538
2015-03-06,36.913
2015-03-09,36.555
2015-03-10,36.084
2015-03-11,35.35
2015-03-12,36.81
2015-03-13,35.609
2015-03-16,35.863
2015-03-17,36.868
2015-03-18,36.718
2015-03-19,36.17
2015-03-20,37.533
2015-03-23,38.256
2015-03-24,36.995
2015-03-25,39.172
2015-03-26,38.932
2015-03-27,39.017
2015-03-30,40.005
2015-03-31,38.879
2015-04-01,39.963
2015-04-02,40.355
2015-04-03,39.796
2015-04-06,39.476
2015-04-07,38.535
2015-04-08,38.612
2015-04-09,37.974
2015-04-10,37.741
2015-04-13,37.639
2015-04-14,37.615
2015-04-15,37.694
2015-04-16,37.663
2015-04-17,37.717
2015-04-20,37.911
2015-04-21,37.297
2015-04-22,37.634
2015-04-23,38.204
2015-04-24,37.401
2015-04-27,37.946
2015-04-28,38.312
2015-04-29,39.022
2015-04-30,39.646
2015-05-01,39.037
2015-05-04,39.35
2015-05-05,39.25
2015-05-06,40.161
2015-05-07,39.859
2015-05-08,39.617
2015-05-11,39.477
2015-05-12,39.934
2015-05-13,40.092
2015-05-14,40.268
2015-05-15,40.773
2015-05-18,40.063
2015-05-19,40.242
2015-05-20,40.066
2015-05-21,40.659
2015-05-22,39.982
2015-05-25,39.853
2015-05-26,39.198
2015-05-27,39.262
2015-05-28,40.571
2015-05-29,40.675
2015-06-01,40.54
2015-06-02,41.059
2015-06-03,41.706
2015-06-04,41.574
2015-06-05,41.427
2015-06-08,41.818
2015-06-09,41.783
2015-06-10,42.302
2015-06-11,41.658
2015-06-12,42.123
2015-06-15,42.3
2015-06-16,41.732
2015-06-17,42.344
2015-06-18,43.276
2015-06-19,43.266
2015-06-22,42.373
2015-06-23,42.73
2015-06-24,42.851
2015-06-25,42.687
2015-06-26,42.603
2015-06-29,42.736
2015-06-30,42.547
2015-07-01,42.116
2015-07-02,42.23
2015-07-03,42.363
2015-07-06,42.4
2015-07-07,42.093
2015-07-08,42.25
2015-07-09,42.186
2015-07-10,43.612
2015-07-13,43.04
2015-07-14,42.027
2015-07-15,42.006
2015-07-16,41.121
2015-07-17,41.541
2015-07-20,41.037
2015-07-21,41.564
2015-07-22,41.397
2015-07-23,41.641
2015-07-24,41.607
2015-07-27,42.027
2015-07-28,42.145
2015-07-29,41.643
2015-07-30,41.929
2015-07-31,41.632
2015-08-03,41.736
2015-08-04,41.277
2015-08-05,41.642
2015-08-06,41.798
2015-08-07,41.977
2015-08-10,42.096
2015-08-11,42.18
2015-08-12,42.845
2015-08-13,43.218
2015-08-14,43.218
2015-08-17,43.04
2015-08-18,42.733
2015-08-19,43.08
2015-08-20,43.988
2015-08-21,45.237
2015-08-24,46.212
2015-08-25,45.919
2015-08-26,46.022
2015-08-27,45.983
2015-08-28,45.732
2015-08-31,45.901
2015-09-01,46.326
2015-09-02,46.108
2015-09-03,45.715
2015-09-04,46.927
2015-09-07,47.006
2015-09-08,47.47
2015-09-09,47.566
2015-09-10,48.154
2015-09-11,48.36
2015-09-14,48.236
2015-09-15,49.15
2015-09-16,48.67
2015-09-17,49.237
2015-09-18,48.757
2015-09-21,48.219
2015-09-22,47.969
2015-09-23,47.448
2015-09-24,47.255
2015-09-25,47.182
2015-09-28,47.303
2015-09-29,49.628
2015-09-30,47.042
2015-10-01,47.12
2015-10-02,47.2
2015-10-05,47.115
2015-10-06,48.626
2015-10-07,48.516
2015-10-08,47.472
2015-10-09,47.824
2015-10-12,47.817
2015-10-13,48.249
2015-10-14,48.624
2015-10-15,48.24
2015-10-16,49.486
2015-10-19,50.101
2015-10-20,48.143
2015-10-21,48.026
2015-10-22,47.082
2015-10-23,46.391
2015-10-26,46.889
2015-10-27,46.813
2015-10-28,46.398
2015-10-29,47.365
2015-10-30,46.516
2015-11-02,47.119
2015-11-03,47.686
2015-11-04,48.415
2015-11-05,47.857
2015-11-06,47.447
2015-11-09,47.429
2015-11-10,46.928
2015-11-11,48.261
2015-11-12,49.612
2015-11-13,48.379
2015-11-16,48.735
2015-11-17,50.392
2015-11-18,46.633
2015-11-19,47.916
2015-11-20,47.533
2015-11-23,47.256
2015-11-24,57.227
2015-11-25,60.125
2015-11-26,60.035
2015-11-27,59.945
2015-11-30,57.176
2015-12-01,56.369
2015-12-02,55.771
2015-12-03,57.492
2015-12-04,56.644
2015-12-07,55.361
2015-12-08,55.123
2015-12-09,55.749
2015-12-10,56.672
2015-12-11,55.887
2015-12-14,56.206
2015-12-15,55.597
2015-12-16,53.16
2015-12-17,53.639
2015-12-18,52.598
2015-12-21,53.674
2015-12-22,52.594
2015-12-23,52.463
2015-12-24,52.676
2015-12-25,52.734
2015-12-28,51.966
2015-12-29,51.546
2015-12-30,51.355
2015-12-31,51.07
2016-01-01,51.031
2016-01-04,48.684
2016-01-05,48.289
2016-01-06,49.883
2016-01-07,49.083
2016-01-08,50.761
2016-01-11,50.076
2016-01-12,50.973
2016-01-13,50.605
2016-01-14,49.133
2016-01-15,49.454
2016-01-18,48.953
2016-01-19,48.287
2016-01-20,47.976
2016-01-21,50.951
2016-01-22,49.341
2016-01-25,50.89
2016-01-26,48.889
2016-01-27,51.245
2016-01-28,49.73
2016-01-29,48.518
2016-02-01,50.156
2016-02-02,51.72
2016-02-03,52.591
2016-02-04,53.219
2016-02-05,53.662
2016-02-08,54.122
2016-02-09,55.09
2016-02-10,54.894
2016-02-11,55.062
2016-02-12,54.412
2016-02-15,53.951
2016-02-16,54.101
2016-02-17,53.013
2016-02-18,53.347
2016-02-19,54.796
2016-02-22,53.345
2016-02-23,53.113
2016-02-24,53.436
2016-02-25,52.223
2016-02-26,52.794
2016-02-29,51.388
2016-03-01,51.307
2016-03-02,52.742
2016-03-03,52.003
2016-03-04,51.301
2016-03-07,54.102
2016-03-08,54.016
2016-03-09,53.979
2016-03-10,53.867
2016-03-11,55.664
2016-03-14,56.083
2016-03-15,55.378
2016-03-16,54.175
2016-03-17,55.762
2016-03-18,56.621
2016-03-21,56.218
2016-03-22,55.378
2016-03-23,55.658
2016-03-24,56.438
2016-03-25,56.369
2016-03-28,55.691
2016-03-29,57.055
2016-03-30,57.8
2016-03-31,57.419
2016-04-01,57.562
2016-04-04,57.406
2016-04-05,59.123
2016-04-06,57.835
2016-04-07,57.727
2016-04-08,58.707
2016-04-11,59.83
2016-04-12,58.326
2016-04-13,58.433
2016-04-14,57.862
2016-04-15,59.006
2016-04-18,58.389
2016-04-19,59.597
2016-04-20,59.446
2016-04-21,59.552
2016-04-22,59.164
2016-04-25,59.783
2016-04-26,60.162
2016-04-27,59.743
2016-04-28,60.869
2016-04-29,61.185
2016-05-02,61.609
2016-05-03,61.451
2016-05-04,61.661
2016-05-05,61.352
