date,exchange_rate
2014-11-07,14.004
2014-11-10,13.913
2014-11-11,14.031
2014-11-12,13.877
2014-11-13,13.966
2014-11-14,14.01
2014-11-17,13.834
2014-11-18,13.799
2014-11-19,13.856
2014-11-20,13.743
2014-11-21,13.538
2014-11-24,13.643
2014-11-25,13.692
2014-11-26,13.71
2014-11-27,13.67
2014-11-28,13.706
2014-12-01,13.713
2014-12-02,13.766
2014-12-03,13.782
2014-12-04,13.862
2014-12-05,13.907
2014-12-08,14.129
2014-12-09,14.136
2014-12-10,14.347
2014-12-11,14.294
2014-12-12,14.495
2014-12-15,14.466
2014-12-16,14.591
2014-12-17,14.36
2014-12-18,14.168
2014-12-19,14.16
2014-12-22,14.136
2014-12-23,14.1
2014-12-24,14.2
2014-12-25,14.248
2014-12-26,14.198
2014-12-30,14.064
2014-12-31,13.996
2015-01-01,14.0
2015-01-02,14.034
2015-01-05,13.969
2015-01-06,13.901
2015-01-07,13.844
2015-01-08,13.699
2015-01-09,13.666
2015-01-12,13.622
2015-01-13,13.567
2015-01-14,13.542
2015-01-15,13.392
2015-01-16,13.348
2015-01-19,13.517
2015-01-20,13.374
2015-01-21,13.37
2015-01-22,12.898
2015-01-23,12.749
2015-01-26,12.898
2015-01-27,13.158
2015-01-28,12.994
2015-01-29,13.089
2015-01-30,13.127
2015-02-02,13.041
2015-02-03,13.07
2015-02-04,12.926
2015-02-05,12.978
2015-02-06,12.874
2015-02-09,13.113
2015-02-10,13.213
2015-02-11,13.376
2015-02-12,13.44
2015-02-13,13.326
2015-02-16,13.197
2015-02-17,13.23
2015-02-18,13.311
2015-02-19,13.234
2015-02-20,13.25
2015-02-23,13.186
2015-02-24,12.993
2015-02-25,13.027
2015-02-26,12.788
2015-02-27,13.06
2015-03-02,13.085
2015-03-03,13.179
2015-03-04,13.034
2015-03-05,12.936
2015-03-06,12.961
2015-03-09,13.096
2015-03-10,13.084
2015-03-11,12.905
2015-03-12,13.01
2015-03-13,13.052
2015-03-16,13.104
2015-03-17,13.111
2015-03-18,13.401
2015-03-19,13.079
2015-03-20,13.011
2015-03-23,13.141
2015-03-24,12.865
2015-03-25,12.893
2015-03-26,12.888
2015-03-27,13.042
2015-03-30,13.115
2015-03-31,13.083
2015-04-01,12.951
2015-04-02,13.005
2015-04-03,12.889
