date,exchange_rate
2023-10-28,840.999568
2023-10-30,833.193703
2023-10-31,835.481523
2023-11-01,834.521113
2023-11-02,834.446336
2023-11-03,866.1442
2023-11-04,866.1442
2023-11-05,865.502992
2023-11-06,857.630129
2023-11-07,841.470205
2023-11-08,860.298487
2023-11-09,856.53519
2023-11-10,862.527379
2023-11-12,862.527379
2023-11-13,857.388909
2023-11-14,985.345937
2023-11-15,915.228862
2023-11-16,917.623094
2023-11-17,917.024173
2023-11-18,917.024173
2023-11-19,916.424068
2023-11-20,897.259052
2023-11-21,891.044333
2023-11-22,875.716851
2023-11-23,877.807126
2023-11-24,889.63109
2023-11-25,889.63109
2023-11-26,889.256021
2023-11-27,875.828979
2023-11-28,879.103311
2023-11-29,871.234587
2023-11-30,860.872836
2023-12-01,859.430297
2023-12-02,858.962479
2023-12-03,859.178104
2023-12-04,865.707381
2023-12-05,866.403629
2023-12-06,865.026702
2023-12-07,866.348553
2023-12-08,864.777539
2023-12-09,865.65414
2023-12-10,864.520705
2023-12-11,854.009795
2023-12-12,866.168397
2023-12-13,872.644858
2023-12-14,869.565174
2023-12-15,874.764433
2023-12-16,875.858182
2023-12-17,875.498647
2023-12-18,862.813259
2023-12-19,881.195755
2023-12-20,902.467674
2023-12-21,907.905738
2023-12-22,995.282161
2023-12-23,996.516135
2023-12-24,996.516237
2023-12-25,995.728779
2023-12-26,999.371926
2023-12-27,994.52234
2023-12-28,1001.990329
2023-12-29,989.762149
2023-12-30,991.196449
2023-12-31,991.198304
2024-01-01,993.208267
2024-01-02,968.159742
2024-01-03,973.994847
2024-01-04,998.746995
2024-01-05,998.1004
2024-01-06,1001.774616
2024-01-07,1001.774839
2024-01-08,969.263252
2024-01-09,999.247743
2024-01-10,1043.134346
2024-01-11,1050.844777
2024-01-12,1048.918368
2024-01-13,1049.666814
2024-01-14,1049.669889
2024-01-15,1049.116505
2024-01-16,973.523934
2024-01-17,954.727066
2024-01-18,972.857315
2024-01-19,970.483773
2024-01-20,972.534801
2024-01-21,972.536025
2024-01-22,969.696167
2024-01-23,992.888204
2024-01-24,980.189964
2024-01-25,962.061975
2024-01-26,976.39243
2024-01-27,976.860094
2024-01-28,976.849283
2024-01-29,966.70597
2024-01-30,972.291403
2024-01-31,1296.56398
2024-02-01,1298.739057
2024-02-02,1289.347597
2024-02-03,1290.866361
2024-02-04,1290.878791
2024-02-05,1503.973482
2024-02-06,1513.822683
2024-02-07,1527.786744
2024-02-08,1512.849953
2024-02-09,1510.142594
2024-02-10,1590.315138
2024-02-11,1590.315461
2024-02-12,1618.676443
2024-02-13,1623.861269
2024-02-14,1626.920629
2024-02-15,1633.844056
2024-02-16,1610.343394
2024-02-17,1609.882743
2024-02-18,1609.883662
2024-02-19,1650.265182
2024-02-20,1736.278513
2024-02-21,1737.304344
2024-02-22,1739.214898
2024-02-23,1739.102101
2024-02-24,1740.967029
2024-02-25,1740.967559
2024-02-26,1675.102528
2024-02-27,1705.301218
2024-02-28,1766.91566
2024-02-29,1748.10121
2024-03-01,1754.214355
2024-03-02,1712.297469
2024-03-03,1712.305638
2024-03-04,1642.074
2024-03-05,1694.079631
2024-03-06,1734.557692
2024-03-07,1742.596433
2024-03-08,1744.873634
2024-03-09,1744.919791
2024-03-10,1744.93131
2024-03-11,1775.160682
2024-03-12,1762.249254
2024-03-13,1761.521609
2024-03-14,1735.995059
2024-03-15,1745.113685
2024-03-16,1755.893022
2024-03-17,1755.892586
2024-03-18,1709.664077
2024-03-19,1604.939908
2024-03-20,1610.518483
2024-03-21,1488.287507
2024-03-22,1600.578926
2024-03-23,1595.86507
2024-03-24,1595.867676
2024-03-25,1543.853784
2024-03-26,1510.956003
2024-03-27,1516.667129
2024-03-28,1504.4642
2024-03-29,1503.402114
2024-03-30,1534.639778
2024-03-31,1534.639425
2024-04-01,1403.520022
2024-04-02,1394.347016
2024-04-03,1429.182339
2024-04-04,1433.141522
2024-04-05,1351.943271
2024-04-06,1353.528026
2024-04-07,1353.528066
2024-04-08,1350.193738
2024-04-09,1355.093995
2024-04-10,1332.03349
2024-04-11,1331.521688
2024-04-12,1280.192905
2024-04-13,1281.014981
2024-04-14,1280.992413
2024-04-15,1228.344876
2024-04-16,1219.196384
2024-04-17,1226.310005
2024-04-18,1220.650799
2024-04-19,1225.901162
2024-04-20,1227.728327
2024-04-21,1227.728327
2024-04-22,1313.105743
2024-04-23,1319.773121
2024-04-24,1342.28209
2024-04-25,1372.109075
2024-04-26,1396.533728
2024-04-27,1397.998386
2024-04-28,1397.998386
2024-04-29,1374.290546
2024-04-30,1471.040592
2024-05-01,1488.568556
2024-05-02,1469.81223
2024-05-03,1501.617889
2024-05-04,1489.204612
2024-05-05,1489.204612
2024-05-06,1501.970734
2024-05-07,1491.912305
2024-05-08,1493.581324
2024-05-09,1527.800893
2024-05-10,1535.388086
2024-05-11,1537.046274
2024-05-12,1537.046274
2024-05-13,1560.561288
2024-05-14,1615.073796
2024-05-15,1642.637368
2024-05-16,1655.77665
2024-05-17,1598.174925
2024-05-18,1601.474859
2024-05-19,1601.474859
2024-05-20,1664.604533
2024-05-21,1603.299638
2024-05-22,1550.055674
2024-05-23,1563.159441
2024-05-24,1599.07599
2024-05-25,1593.986117
2024-05-26,1593.986117
2024-05-27,1609.996155
2024-05-28,1512.71853
2024-05-29,1513.863381
2024-05-30,1369.728411
2024-05-31,1450.404268
2024-06-01,1614.367301
2024-06-02,1614.367301
2024-06-03,1621.527411
2024-06-04,1617.538319
2024-06-05,1627.131329
2024-06-06,1628.308601
2024-06-07,1589.6657
2024-06-08,1591.017464
2024-06-09,1591.017464
2024-06-10,1614.08933
2024-06-11,1591.176787
2024-06-12,1632.604607
2024-06-13,1619.760776
2024-06-14,1588.675956
2024-06-15,1603.154906
2024-06-16,1603.154906
2024-06-17,1590.136263
2024-06-18,1599.802662
2024-06-19,1623.244542
2024-06-20,1596.332119
2024-06-21,1584.925637
2024-06-22,1592.72109
2024-06-23,1592.72109
2024-06-24,1623.9206
2024-06-25,1643.370475
2024-06-26,1645.415932
2024-06-27,1650.350868
2024-06-28,1643.988542
2024-06-29,1645.944888
2024-06-30,1645.944888
2024-07-01,1645.547065
2024-07-02,1614.199917
2024-07-03,1626.57184
2024-07-04,1649.374925
2024-07-05,1650.945418
2024-07-06,1657.896599
2024-07-07,1657.896599
2024-07-08,1680.817635
2024-07-09,1677.324802
2024-07-10,1684.29983
2024-07-11,1724.894009
2024-07-12,1765.107991
2024-07-13,1747.595508
2024-07-14,1747.595508
2024-07-15,1768.075169
2024-07-16,1761.571349
2024-07-17,1765.856673
2024-07-18,1774.925118
2024-07-19,1773.93576
2024-07-20,1748.818685
2024-07-21,1748.818685
2024-07-22,1789.381814
2024-07-23,1744.236876
2024-07-24,1687.2036
2024-07-25,1717.773062
2024-07-26,1734.123432
2024-07-27,1735.25373
2024-07-28,1735.25373
2024-07-29,1752.099835
2024-07-30,1751.0297
2024-07-31,1800.716773
2024-08-01,1794.810319
2024-08-02,1780.11655
2024-08-03,1786.54914
2024-08-04,1786.54914
2024-08-05,1751.234132
2024-08-06,1741.09044
2024-08-07,1740.975131
2024-08-08,1741.642503
2024-08-09,1743.447239
2024-08-10,1769.42778
2024-08-11,1769.42778
2024-08-12,1737.153559
2024-08-13,1742.752477
2024-08-14,1755.082747
2024-08-15,1741.904821
2024-08-16,1749.129098
2024-08-17,1754.596404
2024-08-18,1754.596404
2024-08-19,1754.352222
2024-08-20,1765.538921
2024-08-21,1752.151893
2024-08-22,1754.914885
2024-08-23,1749.743279
2024-08-24,1765.480122
2024-08-25,1765.480122
2024-08-26,1759.417708
2024-08-27,1773.656162
2024-08-28,1766.821733
2024-08-29,1762.568278
2024-08-30,1759.151877
2024-08-31,1758.658513
2024-09-01,1758.658513
2024-09-02,1760.052451
2024-09-03,1758.127113
2024-09-04,1774.548817
2024-09-05,1781.760017
2024-09-06,1778.088033
2024-09-07,1780.535853
2024-09-08,1780.535853
2024-09-09,1796.872336
2024-09-10,1812.986209
2024-09-11,1823.235915
2024-09-12,1826.955553
2024-09-13,1827.400312
2024-09-14,1816.88518
2024-09-15,1816.88518
2024-09-16,1824.476452
2024-09-17,1826.537212
2024-09-18,1823.939967
2024-09-19,1830.31367
2024-09-20,1830.447911
2024-09-21,1831.984424
2024-09-22,1831.984424
2024-09-23,1821.715863
2024-09-24,1798.213182
2024-09-25,1827.903718
2024-09-26,1839.745294
2024-09-27,1844.701183
2024-09-28,1863.393714
2024-09-29,1863.393714
2024-09-30,1866.090894
2024-10-01,1854.655707
2024-10-02,1849.217563
2024-10-03,1843.928483
2024-10-04,1814.550067
2024-10-05,1798.454863
2024-10-06,1798.454863
2024-10-07,1776.637356
2024-10-08,1778.511053
2024-10-09,1777.288212
2024-10-10,1773.535922
2024-10-11,1771.063927
2024-10-12,1795.587226
2024-10-13,1795.587226
2024-10-14,1779.426948
2024-10-15,1784.187525
2024-10-16,1782.682604
2024-10-17,1778.194324
2024-10-18,1775.993288
2024-10-19,1777.939375
2024-10-20,1777.939375
2024-10-21,1772.020284
2024-10-22,1777.192864
2024-10-23,1769.377207
2024-10-24,1773.484226
2024-10-25,1795.846083
2024-10-26,1776.553379
2024-10-27,1776.553379
2024-10-28,1777.708607
2024-10-29,1820.262325
2024-10-30,1779.036274
2024-10-31,1784.374186
2024-11-01,1783.013303
2024-11-02,1792.615173
2024-11-03,1792.615173
2024-11-04,1788.21795
2024-11-05,1790.455116
2024-11-06,1797.848394
2024-11-07,1801.695794
2024-11-08,1812.140211
2024-11-09,1788.626462
2024-11-10,1788.626462
2024-11-11,1818.36942
2024-11-12,1781.657416
2024-11-13,1781.639874
2024-11-14,1771.337843
2024-11-15,1764.259767
2024-11-16,1756.545202
2024-11-17,1756.545202
2024-11-18,1793.199502
2024-11-19,1758.113169
2024-11-20,1768.748375
2024-11-21,1767.944042
2024-11-22,1760.385955
2024-11-23,1767.675143
2024-11-24,1767.675143
2024-11-25,1769.04878
2024-11-26,1768.26323
2024-11-27,1774.411918
2024-11-28,1779.647115
2024-11-29,1760.017808
2024-11-30,1781.48599
2024-12-01,1781.48599
2024-12-02,1763.768471
2024-12-03,1747.354826
2024-12-04,1740.819062
2024-12-05,1713.53976
2024-12-06,1700.421396
2024-12-07,1670.064702
2024-12-08,1670.064702
2024-12-09,1671.704112
2024-12-10,1658.346091
2024-12-11,1655.230383
2024-12-12,1626.461864
2024-12-13,1627.434785
2024-12-14,1626.25106
2024-12-15,1626.25106
2024-12-16,1623.930883
2024-12-17,1625.197183
2024-12-18,1629.554362
2024-12-19,1619.627736
2024-12-20,1615.964028
2024-12-21,1616.208293
2024-12-22,1616.208293
2024-12-23,1607.519713
2024-12-24,1609.204347
2024-12-25,1605.037403
2024-12-26,1604.155243
2024-12-27,1612.21425
2024-12-28,1615.146262
2024-12-29,1615.146262
2024-12-30,1619.139531
2024-12-31,1613.940786
2025-01-01,1608.715639
2025-01-02,1593.180838
2025-01-03,1597.091969
2025-01-04,1590.549917
2025-01-05,1590.549917
2025-01-06,1604.959869
2025-01-07,1612.074927
2025-01-08,1594.539122
2025-01-09,1590.805259
2025-01-10,1594.184041
2025-01-11,1591.006216
2025-01-12,1591.006216
2025-01-13,1586.277028
2025-01-14,1586.411877
2025-01-15,1601.303954
2025-01-16,1600.454671
2025-01-17,1604.539549
2025-01-18,1602.299971
2025-01-19,1602.299971
2025-01-20,1607.371101
2025-01-21,1605.596572
2025-01-22,1620.721535
2025-01-23,1622.750503
2025-01-24,1620.620319
2025-01-25,1636.468315
2025-01-26,1636.468315
2025-01-27,1599.159106
2025-01-28,1597.457572
2025-01-29,1577.190757
2025-01-30,1596.992653
2025-01-31,1548.00037
2025-02-01,1557.431939
2025-02-02,1557.431939
2025-02-03,1533.50294
2025-02-04,1540.684149
2025-02-05,1556.116871
2025-02-06,1554.418801
2025-02-07,1560.405185
2025-02-08,1548.493805
2025-02-09,1548.493805
2025-02-10,1556.333095
2025-02-11,1550.439075
2025-02-12,1562.225013
2025-02-13,1570.745125
2025-02-14,1577.375534
2025-02-15,1590.377723
2025-02-16,1590.377723
2025-02-17,1581.590105
2025-02-18,1580.99008
2025-02-19,1571.257059
2025-02-20,1570.68756
2025-02-21,1577.966358
2025-02-22,1573.849328
2025-02-23,1569.320164
2025-02-24,1565.920951
2025-02-25,1572.065282
2025-02-26,1572.615409
2025-02-27,1570.74368
2025-02-28,1557.584075
2025-03-01,1556.917462
2025-03-02,1559.341054
2025-03-03,1565.502542
2025-03-04,1573.550291
2025-03-05,1602.053919
2025-03-06,1621.584936
2025-03-07,1634.552514
2025-03-08,1641.735596
2025-03-09,1641.735596
2025-03-10,1642.205057
2025-03-11,1668.157611
2025-03-12,1677.11444
2025-03-13,1682.791182
2025-03-14,1682.20396
2025-03-15,1697.088818
2025-03-16,1697.088818
2025-03-17,1687.526048
2025-03-18,1684.605298
2025-03-19,1674.131535
2025-03-20,1659.844977
2025-03-21,1658.975452
2025-03-22,1667.45682
2025-03-23,1685.973393
2025-03-24,1659.866783
2025-03-25,1647.131884
2025-03-26,1659.300716
2025-03-27,1650.820956
2025-03-28,1654.470589
2025-03-29,1665.966016
2025-03-30,1671.651236
2025-03-31,1662.842085
2025-04-01,1656.060617
2025-04-02,1658.984241
2025-04-03,1696.589148
2025-04-04,1687.296318
2025-04-05,1679.894432
2025-04-06,1676.486674
2025-04-07,1697.830732
2025-04-08,1707.428274
2025-04-09,1731.714206
2025-04-10,1742.246303
2025-04-11,1818.10388
2025-04-12,1814.225757
2025-04-13,1814.225757
2025-04-14,1820.825223
2025-04-15,1820.184151
2025-04-16,1823.317218
2025-04-17,1826.202662
2025-04-18,1824.919214
2025-04-19,1824.926761
2025-04-20,1824.926761
2025-04-21,1824.925426
2025-04-22,1845.613251
2025-04-23,1845.09717
2025-04-24,1835.918646
2025-04-25,1832.576867
2025-04-26,1834.127069
2025-04-27,1830.787374
2025-04-28,1827.623447
2025-04-29,1824.667279
2025-04-30,1822.847462
2025-05-01,1818.712936
2025-05-02,1822.208955
2025-05-03,1812.408452
2025-05-04,1812.408452
2025-05-05,1822.040388
2025-05-06,1816.715628
2025-05-07,1825.695549
2025-05-08,1816.37894
2025-05-09,1811.282296
2025-05-10,1808.578614
2025-05-11,1808.578614
2025-05-12,1787.852654
2025-05-13,1779.86851
2025-05-14,1803.408455
2025-05-15,1794.431632
2025-05-16,1794.942727
2025-05-17,1788.71739
2025-05-18,1788.71739
2025-05-19,1808.802925
2025-05-20,1810.118344
2025-05-21,1805.949713
2025-05-22,1801.246558
2025-05-23,1804.997944
2025-05-24,1807.613767
2025-05-25,1807.613767
2025-05-26,1803.957683
2025-05-27,1796.036012
2025-05-28,1797.38051
2025-05-29,1790.171551
2025-05-30,1801.618784
2025-05-31,1802.291504
2025-06-01,1802.291504
2025-06-02,1811.572545
2025-06-03,1804.300986
2025-06-04,1803.943908
2025-06-05,1795.852969
2025-06-06,1781.882365
2025-06-07,1778.045998
2025-06-08,1778.045998
2025-06-09,1785.761499
2025-06-10,1776.974446
2025-06-11,1767.395268
2025-06-12,1773.308728
2025-06-13,1778.717814
2025-06-14,1782.335411
2025-06-15,1782.335411
2025-06-16,1790.17393
2025-06-17,1783.71192
2025-06-18,1776.559459
2025-06-19,1775.512026
2025-06-20,1785.225927
2025-06-21,1786.450441
2025-06-22,1786.450441
2025-06-23,1780.769018
2025-06-24,1796.94378
2025-06-25,1797.915224
2025-06-26,1809.901335
2025-06-27,1811.82198
2025-06-28,1809.132725
2025-06-29,1809.132725
2025-06-30,1806.930801
2025-07-01,1816.923523
2025-07-02,1806.388138
2025-07-03,1802.50507
2025-07-04,1800.828478
2025-07-05,1802.15516
2025-07-06,1802.15516
2025-07-07,1795.956316
2025-07-08,1796.44563
2025-07-09,1795.213447
2025-07-10,1791.850036
2025-07-11,1787.714346
2025-07-12,1786.89858
2025-07-13,1786.89858
2025-07-14,1788.657558
2025-07-15,1792.308159
2025-07-16,1777.919088
2025-07-17,1772.268679
2025-07-18,1775.471354
2025-07-19,1779.387897
2025-07-20,1779.387897
2025-07-21,1785.253355
2025-07-22,1788.435828
2025-07-23,1790.651058
2025-07-24,1796.803728
2025-07-25,1794.04886
2025-07-26,1799.510154
2025-07-27,1799.510154
2025-07-28,1783.111299
2025-07-29,1770.428156
2025-07-30,1769.765944
2025-07-31,1751.613179
2025-08-01,1748.53429
2025-08-02,1778.424014
2025-08-03,1778.424014
2025-08-04,1752.825394
2025-08-05,1759.947764
2025-08-06,1770.128515
2025-08-07,1784.377893
2025-08-08,1781.806477
2025-08-09,1784.83757
2025-08-10,1784.83757
2025-08-11,1785.069836
2025-08-12,1784.76249
2025-08-13,1797.721722
2025-08-14,1790.832232
2025-08-15,1790.486484
2025-08-16,1794.228419
2025-08-17,1794.228419
2025-08-18,1786.964274
2025-08-19,1791.817981
2025-08-20,1787.494433
2025-08-21,1791.589841
2025-08-22,1784.445138
2025-08-23,1799.745625
2025-08-24,1799.745625
2025-08-25,1786.842604
2025-08-26,1782.0248
2025-08-27,1779.949134
2025-08-28,1791.987548
2025-08-29,1794.704478
2025-08-30,1797.99369
2025-08-31,1797.99369
2025-09-01,1795.732775
2025-09-02,1784.780321
2025-09-03,1789.484302
2025-09-04,1780.122279
2025-09-05,1784.580816
2025-09-06,1793.450927
2025-09-07,1793.450927
2025-09-08,1786.162527
2025-09-09,1773.260608
2025-09-10,1767.725308
2025-09-11,1764.177773
2025-09-12,1760.952718
2025-09-13,1763.051862
2025-09-14,1763.051862
2025-09-15,1763.174149
2025-09-16,1767.754846
2025-09-17,1763.893808
2025-09-18,1764.839432
2025-09-19,1766.718678
2025-09-20,1756.644029
2025-09-21,1756.644029
2025-09-22,1759.663227
2025-09-23,1756.304757
2025-09-24,1754.086228
2025-09-25,1750.232833
2025-09-26,1749.056493
2025-09-27,1740.005005
2025-09-28,1740.005005
2025-09-29,1738.449674
2025-09-30,1742.60019
2025-10-01,1743.908555
2025-10-02,1743.714039
2025-10-03,1724.652734
2025-10-04,1727.807078
2025-10-05,1727.807078
2025-10-06,1717.956996
2025-10-07,1712.774339
2025-10-08,1708.419623
2025-10-09,1707.000646
2025-10-10,1709.995484
2025-10-11,1700.124026
2025-10-12,1700.124026
2025-10-13,1694.599265
2025-10-14,1690.144024
2025-10-15,1696.371509
2025-10-16,1710.230663
2025-10-17,1713.685211
2025-10-18,1715.290741
2025-10-19,1715.290741
2025-10-20,1715.071995
2025-10-21,1706.697819
2025-10-22,1701.602733
2025-10-23,1697.036658
2025-10-24,1695.20655
2025-10-25,1697.736788
2025-10-26,1697.736788
2025-10-27,1697.752941
2025-10-28,1700.987843
2025-10-29,1691.619057
2025-10-30,1686.042222
2025-10-31,1676.89258
2025-11-01,1678.637617
2025-11-02,1678.637617
2025-11-03,1673.595154
2025-11-04,1661.959739
2025-11-05,1657.264488
2025-11-06,1659.064128
2025-11-07,1658.757828
2025-11-08,1661.363625
2025-11-09,1661.363625
2025-11-10,1661.725012
2025-11-11,1662.65526
2025-11-12,1665.540957
2025-11-13,1674.069847
2025-11-14,1679.196164
2025-11-15,1675.227808
2025-11-16,1675.227808
2025-11-17,1676.645047
2025-11-18,1674.413834
2025-11-19,1681.464695
2025-11-20,1681.280109
2025-11-21,1677.375009
2025-11-22,1672.516715
2025-11-23,1672.516715
2025-11-24,1674.585265
2025-11-25,1681.92227
2025-11-26,1677.830887
2025-11-27,1672.489077
2025-11-28,1672.910887
2025-11-29,1678.065274
2025-11-30,1678.065274
2025-12-01,1674.242634
2025-12-02,1681.816989
2025-12-03,1682.779329
2025-12-04,1684.443549
2025-12-05,1692.386973
