date,exchange_rate
2014-11-24,32.95
2014-11-25,33.14
2014-11-26,33.25
2014-11-27,33.02
2014-11-28,33.07
2014-12-01,33.16
2014-12-02,32.95
2014-12-03,32.77
2014-12-04,32.87
2014-12-05,32.62
2014-12-08,32.69
2014-12-09,32.77
2014-12-10,33.01
2014-12-11,32.88
2014-12-12,33.11
2014-12-15,33.16
2014-12-16,33.23
2014-12-17,32.83
2014-12-18,32.66
2014-12-19,32.49
2014-12-22,32.39
2014-12-23,32.24
2014-12-24,32.32
2014-12-25,32.32
2014-12-26,32.31
2014-12-29,32.17
2014-12-30,32.17
2014-12-31,32.01
2015-01-02,31.79
2015-01-05,31.59
2015-01-06,31.53
2015-01-07,31.41
2015-01-08,31.29
2015-01-09,31.44
2015-01-12,31.34
2015-01-13,31.21
2015-01-14,31.33
2015-01-15,30.85
2015-01-16,30.69
2015-01-19,30.81
2015-01-20,30.56
2015-01-21,30.72
2015-01-22,30.25
2015-01-23,29.87
2015-01-26,29.87
2015-01-27,30.19
2015-01-28,29.96
2015-01-29,30.02
2015-01-30,29.94
2015-02-02,30.04
2015-02-03,30.43
2015-02-04,30.02
2015-02-05,30.43
2015-02-06,30.0
2015-02-09,30.08
2015-02-10,30.12
2015-02-11,30.04
2015-02-12,30.36
2015-02-13,30.27
2015-02-16,30.53
2015-02-17,30.36
2015-02-18,30.35
2015-02-19,30.2
2015-02-20,30.25
2015-02-23,30.2
2015-02-24,30.2
2015-02-25,30.28
2015-02-26,29.89
2015-02-27,29.84
2015-03-02,29.77
2015-03-03,29.73
2015-03-04,29.49
2015-03-05,29.37
2015-03-06,28.94
2015-03-09,28.92
2015-03-10,28.46
2015-03-11,28.09
2015-03-12,28.24
2015-03-13,27.89
2015-03-16,28.17
2015-03-17,28.37
2015-03-18,28.73
2015-03-19,28.4
2015-03-20,28.72
2015-03-23,29.05
2015-03-24,28.97
2015-03-25,29.14
2015-03-26,28.95
2015-03-27,29.04
2015-03-30,28.79
2015-03-31,28.54
2015-04-01,28.66
2015-04-02,28.97
2015-04-03,29.2
2015-04-06,29.42
2015-04-07,29.44
2015-04-08,28.84
2015-04-09,28.11
2015-04-10,28.01
2015-04-13,28.23
2015-04-14,28.43
2015-04-15,28.4
2015-04-16,28.72
2015-04-17,28.7
2015-04-20,28.56
2015-04-21,28.55
2015-04-22,28.57
2015-04-23,28.79
2015-04-24,28.9
2015-04-27,29.06
2015-04-28,29.27
2015-04-29,29.76
2015-04-30,29.8
2015-05-01,30.15
2015-05-04,29.53
2015-05-05,29.65
2015-05-06,30.1
2015-05-07,29.82
2015-05-08,29.77
2015-05-11,29.57
2015-05-12,29.75
2015-05-13,30.21
2015-05-14,30.39
2015-05-15,30.47
2015-05-18,30.11
2015-05-19,29.67
2015-05-20,29.56
2015-05-21,29.58
2015-05-22,29.39
2015-05-25,29.82
2015-05-26,28.6
2015-05-27,28.97
2015-05-28,29.07
2015-05-29,29.24
2015-06-01,29.04
2015-06-02,29.63
2015-06-03,29.89
2015-06-04,29.91
2015-06-05,29.62
2015-06-08,30.01
2015-06-09,30.01
2015-06-10,30.17
2015-06-11,30.01
2015-06-12,30.01
2015-06-15,30.08
2015-06-16,29.99
2015-06-17,30.22
2015-06-18,30.36
2015-06-19,30.24
2015-06-22,30.46
2015-06-23,29.72
2015-06-24,29.86
2015-06-25,29.82
2015-06-26,29.74
2015-06-29,30.0
2015-06-30,29.7
2015-07-01,29.5
2015-07-02,29.56
2015-07-03,29.57
2015-07-06,29.46
2015-07-07,29.2
2015-07-08,29.49
2015-07-09,29.39
2015-07-10,29.72
2015-07-13,29.25
2015-07-14,29.29
2015-07-15,29.19
2015-07-16,29.0
2015-07-17,28.87
2015-07-20,28.86
2015-07-21,29.18
2015-07-22,29.14
2015-07-23,29.33
2015-07-24,29.26
2015-07-27,30.13
2015-07-28,30.23
2015-07-29,29.66
2015-07-30,29.34
2015-07-31,29.53
2015-08-03,29.52
2015-08-04,29.26
2015-08-05,29.28
2015-08-06,29.39
2015-08-07,29.46
2015-08-10,29.9
2015-08-11,29.68
2015-08-12,30.03
2015-08-13,30.35
2015-08-14,30.09
2015-08-17,30.46
2015-08-18,30.35
2015-08-19,30.33
2015-08-20,30.51
2015-08-21,30.93
2015-08-24,31.41
2015-08-25,31.72
2015-08-26,31.52
2015-08-27,31.11
2015-08-28,30.91
2015-08-31,30.85
2015-09-01,30.99
2015-09-02,30.98
2015-09-03,30.85
2015-09-04,30.59
