date,exchange_rate
2013-10-30,8.1015
2013-10-31,8.0702
2013-11-03,8.046
2013-11-04,8.0376
2013-11-05,8.06171
2013-11-06,8.04751
2013-11-07,8.1099
2013-11-10,8.2142
2013-11-11,8.2408
2013-11-12,8.3195
2013-11-13,8.3131
2013-11-14,8.2784
2013-11-17,8.24
2013-11-18,8.275
2013-11-19,8.2467
2013-11-20,8.2266
2013-11-21,8.2107
2013-11-24,8.22001
2013-11-25,8.2449
2013-11-26,8.2637
2013-11-27,8.28591
2013-11-28,8.27794
2013-12-01,8.32271
2013-12-02,8.28793
2013-12-03,8.2875
2013-12-04,8.3528
2013-12-05,8.4019
2013-12-08,8.42136
2013-12-09,8.4286
2013-12-10,8.4045
2013-12-11,8.4731
2013-12-12,8.5187
2013-12-15,8.50056
2013-12-16,8.45881
2013-12-17,8.4087
2013-12-18,8.3993
2013-12-19,8.3943
2013-12-22,8.40972
2013-12-23,8.4116
2013-12-24,8.41936
2013-12-25,8.40496
2013-12-26,8.4071
2013-12-29,8.4388
2013-12-30,8.3807
2013-12-31,8.33872
2014-01-01,8.3509
2014-01-02,8.43104
2014-01-05,8.3619
2014-01-06,8.40796
2014-01-07,8.3972
2014-01-08,8.4192
2014-01-09,8.40246
2014-01-12,8.402
2014-01-13,8.35892
2014-01-14,8.3161
2014-01-15,8.34042
2014-01-16,8.4139
2014-01-19,8.32925
2014-01-20,8.36872
2014-01-21,8.3637
2014-01-22,8.3475
2014-01-23,8.33382
2014-01-26,8.3871
2014-01-27,8.40304
2014-01-28,8.36863
2014-01-29,8.4238
2014-01-30,8.4608
2014-02-02,8.46072
2014-02-03,8.4968
2014-02-04,8.4927
2014-02-05,8.431
2014-02-06,8.4361
2014-02-09,8.4123
2014-02-10,8.35922
2014-02-11,8.3521
2014-02-12,8.3103
2014-02-13,8.34779
2014-02-16,8.3213
2014-02-17,8.3308
2014-02-18,8.30612
2014-02-19,8.3397
2014-02-20,8.3604
2014-02-23,8.34092
2014-02-24,8.28392
2014-02-25,8.2944
2014-02-26,8.2788
2014-02-27,8.2762
2014-03-02,8.281
2014-03-03,8.30833
2014-03-04,8.2561
2014-03-05,8.23
2014-03-06,8.2796
2014-03-09,8.30172
2014-03-10,8.26153
2014-03-11,8.24732
2014-03-12,8.26772
2014-03-13,8.274
2014-03-16,8.3031
2014-03-17,8.28911
2014-03-18,8.2892
2014-03-19,8.3429
2014-03-20,8.3526
2014-03-23,8.34692
2014-03-24,8.32822
2014-03-25,8.3311
2014-03-26,8.33281
2014-03-27,8.24492
2014-03-30,8.2527
2014-03-31,8.2437
2014-04-01,8.24748
2014-04-02,8.21943
2014-04-03,8.23563
2014-04-06,8.2086
2014-04-07,8.229
2014-04-08,8.2401
2014-04-09,8.2192
2014-04-10,8.22759
2014-04-13,8.231
2014-04-14,8.23568
2014-04-15,8.21973
2014-04-16,8.2567
2014-04-17,8.27637
2014-04-20,8.26334
2014-04-21,8.2674
2014-04-22,8.2663
2014-04-23,8.2759
2014-04-24,8.28617
2014-04-27,8.31047
2014-04-28,8.3105
2014-04-29,8.2935
2014-04-30,8.2419
2014-05-01,8.24491
2014-05-04,8.22823
2014-05-05,8.25838
2014-05-06,8.2442
2014-05-07,8.21833
2014-05-08,8.16138
2014-05-11,8.12597
2014-05-12,8.1414
2014-05-13,8.1112
2014-05-14,8.1231
2014-05-15,8.15213
2014-05-18,8.12499
2014-05-19,8.1327
2014-05-20,8.15427
2014-05-21,8.13585
2014-05-22,8.117
2014-05-25,8.12689
2014-05-26,8.132
2014-05-27,8.11458
2014-05-28,8.1095
2014-05-29,8.1136
2014-06-01,8.14416
2014-06-02,8.14668
2014-06-03,8.17198
2014-06-04,8.161
2014-06-05,8.16795
2014-06-08,8.1115
2014-06-09,8.1133
2014-06-10,8.09632
2014-06-11,8.11907
2014-06-12,8.10932
2014-06-15,8.1123
2014-06-16,8.1255
2014-06-17,8.126
2014-06-18,8.1628
2014-06-19,8.3321
2014-06-22,8.33122
2014-06-23,8.30852
2014-06-24,8.3122
2014-06-25,8.3572
2014-06-26,8.34762
2014-06-29,8.3596
2014-06-30,8.3932
2014-07-01,8.4333
2014-07-02,8.42942
2014-07-03,8.42467
2014-07-06,8.407
2014-07-07,8.381
2014-07-08,8.422
2014-07-09,8.39252
2014-07-10,8.39402
2014-07-13,8.4001
2014-07-14,8.4175
2014-07-15,8.42672
2014-07-16,8.3795
2014-07-17,8.39988
2014-07-20,8.3713
2014-07-21,8.3791
2014-07-22,8.3314
2014-07-23,8.34075
2014-07-24,8.3489
2014-07-27,8.34963
2014-07-28,8.3671
2014-07-29,8.37753
2014-07-30,8.3743
2014-07-31,8.41198
2014-08-03,8.41053
2014-08-04,8.4043
2014-08-05,8.3954
2014-08-06,8.3808
2014-08-07,8.343
2014-08-10,8.3549
2014-08-11,8.27402
2014-08-12,8.2602
2014-08-13,8.22476
2014-08-14,8.22511
2014-08-17,8.219
2014-08-18,8.22577
2014-08-19,8.2097
2014-08-20,8.2065
2014-08-21,8.16277
2014-08-24,8.15432
2014-08-25,8.145
2014-08-26,8.13462
2014-08-27,8.1496
2014-08-28,8.14092
2014-08-31,8.13368
2014-09-01,8.12478
2014-09-02,8.12622
2014-09-03,8.17482
2014-09-04,8.103
2014-09-07,8.1347
2014-09-08,8.162
2014-09-09,8.20512
2014-09-10,8.1903
2014-09-11,8.24027
2014-09-14,8.24278
2014-09-15,8.2743
2014-09-16,8.29006
2014-09-17,8.2751
2014-09-18,8.1654
2014-09-21,8.15727
2014-09-22,8.1502
2014-09-23,8.1575
2014-09-24,8.1699
2014-09-25,8.1538
2014-09-28,8.1862
2014-09-29,8.1733
2014-09-30,8.11785
2014-10-01,8.1343
2014-10-02,8.1639
2014-10-05,8.16623
2014-10-06,8.19185
2014-10-07,8.1799
2014-10-08,8.2008
2014-10-09,8.2131
2014-10-12,8.2301
2014-10-13,8.2515
2014-10-14,8.3174
2014-10-15,8.39499
2014-10-16,8.3981
2014-10-19,8.3435
2014-10-20,8.38951
2014-10-21,8.3503
2014-10-22,8.3619
2014-10-23,8.30689
2014-10-26,8.34794
2014-10-27,8.3622
2014-10-28,8.4196
2014-10-29,8.4642
2014-10-30,8.4499
2014-11-02,8.4537
2014-11-03,8.4916
2014-11-04,8.6065
2014-11-05,8.5222
2014-11-06,8.50137
2014-11-09,8.47474
2014-11-10,8.4611
2014-11-11,8.4748
2014-11-12,8.4625
2014-11-13,8.4677
2014-11-16,8.447
2014-11-17,8.4454
2014-11-18,8.4416
2014-11-19,8.53697
2014-11-20,8.48706
2014-11-23,8.40558
2014-11-24,8.4502
2014-11-25,8.4812
2014-11-26,8.5417
2014-11-27,8.638
2014-11-30,8.77331
2014-12-01,8.655
2014-12-02,8.7018
2014-12-03,8.65199
2014-12-04,8.7406
2014-12-07,8.7742
2014-12-08,8.8267
2014-12-09,8.8068
2014-12-10,8.90703
2014-12-11,9.0608
2014-12-14,9.1706
2014-12-15,9.27443
2014-12-16,9.31022
2014-12-17,9.17185
2014-12-18,9.06129
2014-12-21,9.0016
2014-12-22,9.0817
2014-12-23,9.0489
2014-12-24,9.07721
2014-12-25,9.0848
2014-12-28,9.0823
2014-12-29,9.05314
2014-12-30,9.02483
2014-12-31,9.02196
2015-01-01,8.996
2015-01-04,9.0894
2015-01-05,9.1127
2015-01-06,9.1943
2015-01-07,9.1153
2015-01-08,8.98328
2015-01-11,9.06838
2015-01-12,9.1582
2015-01-13,9.117
2015-01-14,8.9797
2015-01-15,8.84089
2015-01-18,8.7379
2015-01-19,8.858
2015-01-20,8.8715
2015-01-21,8.797
2015-01-22,8.68338
2015-01-25,8.6842
2015-01-26,8.7569
2015-01-27,8.7933
2015-01-28,8.8315
2015-01-29,8.8631
2015-02-01,8.7302
2015-02-02,8.67262
2015-02-03,8.6311
2015-02-04,8.6322
2015-02-05,8.61775
2015-02-08,8.6128
2015-02-09,8.6054
2015-02-10,8.5732
2015-02-11,8.6755
2015-02-12,8.7141
2015-02-15,8.6317
2015-02-16,8.59011
2015-02-17,8.5738
2015-02-18,8.578
2015-02-19,8.6213
2015-02-22,8.5815
2015-02-23,8.6376
2015-02-24,8.6007
2015-02-25,8.5625
2015-02-26,8.5706
2015-03-01,8.5662
2015-03-02,8.6009
2015-03-03,8.61134
2015-03-04,8.6089
2015-03-05,8.51393
2015-03-08,8.55988
2015-03-09,8.6035
2015-03-10,8.659
2015-03-11,8.65018
2015-03-12,8.6179
2015-03-15,8.6029
2015-03-16,8.7368
2015-03-17,8.80525
2015-03-18,8.88127
2015-03-19,8.6235
2015-03-22,8.6837
