date,exchange_rate
2014-11-24,123.63
2014-11-25,123.75
2014-11-26,123.85
2014-11-27,124.48
2014-11-28,124.38
2014-12-01,124.24
2014-12-02,124.06
2014-12-03,122.7
2014-12-04,122.62
2014-12-05,122.15
2014-12-08,122.34
2014-12-09,123.35
2014-12-10,123.28
2014-12-11,124.62
2014-12-12,124.73
2014-12-15,124.63
2014-12-16,126.59
2014-12-17,125.8
2014-12-18,124.35
2014-12-19,123.46
2014-12-22,123.38
2014-12-23,122.91
2014-12-24,123.16
2014-12-26,123.74
2014-12-29,123.11
2014-12-30,122.74
2014-12-31,122.75
2015-01-01,121.87
2015-01-02,121.73
2015-01-05,121.0
2015-01-06,120.07
2015-01-07,119.56
2015-01-08,119.16
2015-01-09,118.81
2015-01-12,117.91
2015-01-13,117.91
2015-01-14,117.76
2015-01-15,116.96
2015-01-16,115.6
2015-01-19,115.62
2015-01-20,115.53
2015-01-21,115.48
2015-01-22,115.61
2015-01-23,110.84
2015-01-26,109.69
2015-01-27,112.57
2015-01-28,113.35
2015-01-29,112.78
2015-01-30,113.4
2015-02-02,113.19
2015-02-03,113.5
2015-02-04,114.44
2015-02-05,114.21
2015-02-06,114.41
2015-02-09,113.23
2015-02-10,113.26
2015-02-11,112.95
2015-02-12,113.4
2015-02-13,113.98
2015-02-16,114.03
2015-02-17,113.24
2015-02-18,113.66
2015-02-19,114.41
2015-02-20,113.25
2015-02-23,113.02
2015-02-24,113.23
2015-02-25,113.44
2015-02-26,113.49
2015-02-27,112.28
2015-03-02,111.85
2015-03-03,111.65
2015-03-04,111.35
2015-03-05,110.25
2015-03-09,109.43
2015-03-10,108.58
2015-03-11,106.43
2015-03-12,107.39
2015-03-13,106.82
2015-03-16,105.91
2015-03-17,106.87
2015-03-18,106.57
2015-03-19,107.03
2015-03-20,107.74
2015-03-23,109.31
2015-03-24,109.9
2015-03-25,109.81
2015-03-26,110.64
2015-03-27,108.59
2015-03-30,108.95
2015-03-31,108.13
2015-04-01,106.95
2015-04-02,108.78
2015-04-06,110.6
2015-04-07,109.03
2015-04-08,109.22
2015-04-09,108.22
2015-04-10,106.45
2015-04-13,106.07
2015-04-14,106.56
2015-04-15,106.59
2015-04-16,107.48
2015-04-17,106.78
2015-04-20,108.01
2015-04-21,107.84
2015-04-22,108.14
2015-04-23,108.39
2015-04-24,109.55
2015-04-27,109.5
2015-04-28,110.68
2015-04-29,111.52
2015-04-30,113.49
2015-05-05,112.48
2015-05-06,113.62
2015-05-07,114.31
2015-05-08,114.26
2015-05-11,113.0
2015-05-12,114.33
2015-05-13,115.09
2015-05-14,115.26
2015-05-15,114.71
2015-05-18,115.28
2015-05-19,113.19
2015-05-20,112.99
2015-05-21,112.93
2015-05-22,112.75
2015-05-25,111.43
2015-05-26,110.83
2015-05-27,110.1
2015-05-28,110.68
2015-05-29,111.45
2015-06-01,111.29
