date,exchange_rate
2008-09-04,2.1414
2008-09-05,2.1317
2008-09-08,2.1077
2008-09-09,2.1196
2008-09-10,2.1371
2008-09-11,2.1339
2008-09-12,2.127
2008-09-15,2.166
2008-09-16,2.1451
2008-09-17,2.1755
2008-09-18,2.123
2008-09-19,2.1008
2008-09-22,2.1458
2008-09-23,2.1503
2008-09-24,2.1409
2008-09-25,2.1468
2008-09-26,2.1252
2008-09-29,2.1549
2008-09-30,2.1038
2008-10-01,2.0793
2008-10-02,2.1021
2008-10-03,2.0838
2008-10-06,2.148
2008-10-07,2.1745
2008-10-08,2.2509
2008-10-09,2.2461
2008-10-10,2.2506
2008-10-13,2.2097
2008-10-14,2.1957
2008-10-15,2.2603
2008-10-16,2.182
2008-10-17,2.188
2008-10-20,2.1487
2008-10-21,2.1424
2008-10-22,2.1607
2008-10-23,2.17
2008-10-24,2.27
2008-10-27,2.3202
2008-10-28,2.2275
2008-10-29,2.2127
2008-10-30,2.1864
2008-10-31,2.184
2008-11-03,2.1369
2008-11-04,2.1439
2008-11-05,2.1757
2008-11-06,2.1668
2008-11-07,2.1505
2008-11-10,2.1971
2008-11-11,2.1864
2008-11-12,2.2272
2008-11-13,2.2353
2008-11-14,2.2767
2008-11-17,2.2961
2008-11-18,2.2831
2008-11-19,2.307
2008-11-20,2.3847
2008-11-21,2.3482
2008-11-24,2.3578
2008-11-25,2.383
2008-11-26,2.329
2008-11-27,2.3392
2008-11-28,2.3114
2008-12-01,2.3764
2008-12-02,2.3907
2008-12-03,2.3872
2008-12-04,2.3984
2008-12-05,2.3856
2008-12-08,2.3659
2008-12-09,2.3846
2008-12-10,2.3928
2008-12-11,2.4197
2008-12-12,2.4394
2008-12-15,2.4685
2008-12-16,2.4221
2008-12-17,2.433
2008-12-18,2.4395
2008-12-19,2.4146
2008-12-22,2.4353
2008-12-23,2.4546
2008-12-24,2.4319
2008-12-25,2.4375
2008-12-26,2.4374
2008-12-29,2.4162
2008-12-30,2.4311
2008-12-31,2.4132
2009-01-01,2.4079
2009-01-02,2.3744
2009-01-05,2.3072
2009-01-06,2.2583
2009-01-07,2.3043
2009-01-08,2.2956
2009-01-09,2.2717
2009-01-12,2.3147
2009-01-13,2.3827
2009-01-14,2.4316
2009-01-15,2.4404
2009-01-16,2.4223
2009-01-19,2.4332
2009-01-20,2.4704
2009-01-21,2.4484
2009-01-22,2.4683
2009-01-23,2.4507
2009-01-26,2.5033
2009-01-27,2.4845
2009-01-28,2.5089
2009-01-29,2.5202
2009-01-30,2.5136
2009-02-02,2.5506
2009-02-03,2.5348
2009-02-04,2.5292
2009-02-05,2.472
2009-02-06,2.4305
2009-02-09,2.4153
2009-02-10,2.4655
2009-02-11,2.4534
2009-02-12,2.4725
2009-02-13,2.4601
2009-02-16,2.4726
2009-02-17,2.4775
2009-02-18,2.4604
2009-02-19,2.4866
2009-02-20,2.5055
2009-02-23,2.4984
2009-02-24,2.4994
2009-02-25,2.4962
2009-02-26,2.503
2009-02-27,2.5298
2009-03-02,2.5515
2009-03-03,2.5373
2009-03-04,2.5037
2009-03-05,2.5119
2009-03-06,2.5166
2009-03-09,2.5571
2009-03-10,2.5133
2009-03-11,2.4969
2009-03-12,2.4734
2009-03-13,2.4594
2009-03-16,2.4488
2009-03-17,2.4536
2009-03-18,2.4761
2009-03-19,2.4622
2009-03-20,2.4311
2009-03-23,2.3819
2009-03-24,2.3926
2009-03-25,2.3983
2009-03-26,2.3443
2009-03-27,2.3316
2009-03-30,2.3441
2009-03-31,2.369
2009-04-01,2.3347
2009-04-02,2.3213
2009-04-03,2.3012
2009-04-06,2.2809
2009-04-08,2.2895
2009-04-09,2.256
2009-04-10,2.2607
2009-04-13,2.256
2009-04-14,2.278
2009-04-15,2.2762
2009-04-17,2.2961
2009-04-20,2.3363
2009-04-21,2.3018
2009-04-22,2.341
2009-04-23,2.3408
2009-04-24,2.3137
2009-04-27,2.3046
2009-04-28,2.355
2009-04-29,2.3502
2009-04-30,2.3481
2009-05-01,2.3271
2009-05-04,2.3276
2009-05-05,2.2963
2009-05-06,2.2783
2009-05-07,2.2572
2009-05-08,2.2584
2009-05-11,2.2589
2009-05-12,2.2598
2009-05-13,2.2937
2009-05-14,2.2866
2009-05-15,2.306
2009-05-18,2.2792
2009-05-19,2.2684
2009-05-20,2.2678
2009-05-21,2.2721
2009-05-22,2.2563
2009-05-26,2.2389
2009-05-27,2.2493
2009-05-28,2.2342
2009-05-29,2.2113
2009-06-01,2.1779
2009-06-02,2.1814
2009-06-03,2.2341
2009-06-04,2.2337
2009-06-05,2.2306
2009-06-08,2.2387
2009-06-09,2.2444
2009-06-10,2.2177
2009-06-11,2.1902
2009-06-12,2.177
2009-06-15,2.1856
2009-06-16,2.2003
2009-06-17,2.2049
2009-06-18,2.1738
2009-06-19,2.1679
2009-06-23,2.2035
2009-06-24,2.1783
2009-06-25,2.1632
2009-06-26,2.1765
2009-06-29,2.165
2009-06-30,2.1743
2009-07-01,2.2076
2009-07-02,2.2236
2009-07-03,2.2175
2009-07-06,2.1982
2009-07-07,2.2108
2009-07-08,2.2151
