date,exchange_rate
2014-11-24,0.479
2014-11-25,0.4803
2014-11-26,0.4813
2014-11-27,0.4798
2014-11-28,0.4794
2014-12-01,0.48
2014-12-02,0.4767
2014-12-03,0.4736
2014-12-04,0.4763
2014-12-05,0.4726
2014-12-08,0.4741
2014-12-09,0.4765
2014-12-10,0.4792
2014-12-11,0.4772
2014-12-12,0.4795
2014-12-15,0.479
2014-12-16,0.4817
2014-12-17,0.4748
2014-12-18,0.473
2014-12-19,0.4708
2014-12-22,0.4707
2014-12-23,0.4684
2014-12-24,0.4694
2014-12-25,0.4705
2014-12-26,0.4688
2014-12-29,0.4681
2014-12-30,0.4679
2014-12-31,0.4658
2015-01-01,0.4659
2015-01-02,0.4619
2015-01-05,0.4591
2015-01-06,0.4568
2015-01-07,0.4556
2015-01-08,0.4536
2015-01-09,0.4557
2015-01-12,0.4554
2015-01-13,0.4531
2015-01-14,0.4537
2015-01-15,0.4475
2015-01-16,0.4452
2015-01-19,0.4466
2015-01-20,0.4448
2015-01-21,0.4469
2015-01-22,0.436
2015-01-23,0.4312
2015-01-26,0.4326
2015-01-27,0.4376
2015-01-28,0.434
2015-01-29,0.4361
2015-01-30,0.4345
2015-02-02,0.4363
2015-02-03,0.4413
2015-02-04,0.4364
2015-02-05,0.4417
2015-02-06,0.4353
2015-02-09,0.436
2015-02-10,0.4353
2015-02-11,0.436
2015-02-12,0.4386
2015-02-13,0.4379
2015-02-16,0.4368
2015-02-17,0.4391
2015-02-18,0.4388
2015-02-19,0.4373
2015-02-20,0.438
2015-02-23,0.4363
2015-02-24,0.4362
2015-02-25,0.4372
2015-02-26,0.4308
2015-02-27,0.4307
2015-03-02,0.4303
2015-03-03,0.4302
2015-03-04,0.4264
2015-03-05,0.4247
2015-03-06,0.4176
2015-03-09,0.4173
2015-03-10,0.4114
2015-03-11,0.4062
2015-03-12,0.4087
2015-03-13,0.4042
2015-03-16,0.4066
2015-03-17,0.4078
2015-03-18,0.4167
2015-03-19,0.4107
2015-03-20,0.4164
2015-03-23,0.422
2015-03-24,0.4201
2015-03-25,0.4219
2015-03-26,0.4184
2015-03-27,0.4195
2015-03-30,0.4169
2015-03-31,0.4132
2015-04-01,0.4144
2015-04-02,0.4185
2015-04-03,0.4225
2015-04-06,0.4207
2015-04-07,0.4165
2015-04-08,0.415
2015-04-09,0.4104
2015-04-10,0.4079
2015-04-13,0.4068
2015-04-14,0.41
2015-04-15,0.4108
2015-04-16,0.414
2015-04-17,0.4158
2015-04-20,0.4132
2015-04-21,0.4129
2015-04-22,0.4125
2015-04-23,0.4164
2015-04-24,0.4179
2015-04-27,0.4186
2015-04-28,0.4224
2015-04-29,0.4277
2015-04-30,0.4321
2015-05-01,0.431
2015-05-04,0.4289
2015-05-05,0.4303
2015-05-06,0.4365
2015-05-07,0.4332
2015-05-08,0.4308
2015-05-11,0.4284
2015-05-12,0.4316
2015-05-13,0.437
2015-05-14,0.4389
2015-05-15,0.4406
2015-05-18,0.4355
2015-05-19,0.4289
2015-05-20,0.427
