date,exchange_rate
2014-11-24,1.237
2014-11-25,1.242
2014-11-26,1.247
2014-11-27,1.249
2014-11-28,1.244
2014-12-01,1.242
2014-12-02,1.246
2014-12-03,1.238
2014-12-04,1.23
2014-12-05,1.237
2014-12-08,1.228
2014-12-09,1.23
2014-12-10,1.237
2014-12-11,1.247
2014-12-12,1.239
2014-12-15,1.245
2014-12-16,1.243
2014-12-17,1.249
2014-12-18,1.232
2014-12-19,1.227
2014-12-22,1.221
2014-12-23,1.222
2014-12-24,1.217
2014-12-25,1.218
2014-12-26,1.22
2014-12-29,1.217
2014-12-30,1.215
2014-12-31,1.215
2015-01-02,1.207
2015-01-05,1.195
2015-01-06,1.192
2015-01-07,1.186
2015-01-08,1.183
2015-01-09,1.178
2015-01-12,1.186
2015-01-13,1.182
2015-01-14,1.177
2015-01-15,1.177
2015-01-16,1.161
2015-01-19,1.155
2015-01-20,1.158
2015-01-21,1.154
2015-01-22,1.159
2015-01-23,1.134
2015-01-26,1.117
2015-01-27,1.123
2015-01-28,1.135
2015-01-29,1.127
2015-01-30,1.131
2015-02-02,1.13
2015-02-03,1.133
2015-02-04,1.145
2015-02-05,1.133
2015-02-06,1.146
2015-02-09,1.131
2015-02-10,1.132
2015-02-11,1.131
2015-02-12,1.131
2015-02-13,1.139
2015-02-16,1.14
2015-02-17,1.132
2015-02-18,1.139
2015-02-19,1.139
2015-02-20,1.135
2015-02-23,1.135
2015-02-24,1.132
2015-02-25,1.133
2015-02-26,1.135
2015-02-27,1.12
2015-03-02,1.115
2015-03-03,1.117
2015-03-04,1.117
2015-03-05,1.107
2015-03-06,1.102
2015-03-09,1.084
2015-03-10,1.082
2015-03-11,1.07
2015-03-12,1.053
2015-03-13,1.06
2015-03-16,1.048
2015-03-17,1.055
2015-03-18,1.059
2015-03-19,1.09
2015-03-20,1.065
2015-03-23,1.08
2015-03-24,1.093
2015-03-25,1.09
2015-03-26,1.095
2015-03-27,1.087
2015-03-30,1.085
2015-03-31,1.082
2015-04-01,1.074
2015-04-02,1.075
2015-04-03,1.085
2015-04-06,1.098
2015-04-07,1.093
2015-04-08,1.082
2015-04-09,1.076
2015-04-10,1.066
2015-04-13,1.06
2015-04-14,1.057
2015-04-15,1.062
2015-04-16,1.072
2015-04-17,1.077
2015-04-20,1.08
2015-04-21,1.072
2015-04-22,1.071
2015-04-23,1.07
2015-04-24,1.08
2015-04-27,1.086
2015-04-28,1.086
2015-04-29,1.096
2015-04-30,1.111
2015-05-01,1.12
2015-05-04,1.117
2015-05-05,1.113
2015-05-06,1.117
2015-05-07,1.133
2015-05-08,1.124
2015-05-11,1.119
2015-05-12,1.114
2015-05-13,1.122
2015-05-14,1.133
2015-05-15,1.14
2015-05-18,1.142
2015-05-19,1.131
2015-05-20,1.112
2015-05-21,1.11
2015-05-22,1.111
2015-05-25,1.097
2015-05-26,1.095
2015-05-27,1.087
2015-05-28,1.088
2015-05-29,1.095
2015-06-01,1.093
2015-06-02,1.091
2015-06-03,1.113
2015-06-04,1.125
2015-06-05,1.12
2015-06-08,1.11
2015-06-09,1.126
2015-06-10,1.129
2015-06-11,1.129
2015-06-12,1.123
2015-06-15,1.121
2015-06-16,1.126
2015-06-17,1.123
2015-06-18,1.136
2015-06-19,1.136
2015-06-22,1.135
2015-06-23,1.133
2015-06-24,1.116
2015-06-25,1.119
2015-06-26,1.119
