date,exchange_rate
2014-11-24,3.623
2014-11-25,3.641
2014-11-26,3.646
2014-11-27,3.636
2014-11-28,3.636
2014-12-01,3.647
2014-12-02,3.642
2014-12-03,3.622
2014-12-04,3.643
2014-12-05,3.627
2014-12-08,3.642
2014-12-09,3.67
2014-12-10,3.681
2014-12-11,3.684
2014-12-12,3.694
2014-12-15,3.688
2014-12-16,3.718
2014-12-17,3.661
2014-12-18,3.619
2014-12-19,3.591
2014-12-22,3.632
2014-12-23,3.605
2014-12-24,3.637
2014-12-25,3.645
2014-12-26,3.632
2014-12-29,3.625
2014-12-30,3.631
2014-12-31,3.614
2015-01-01,3.615
2015-01-02,3.562
2015-01-05,3.56
2015-01-06,3.543
2015-01-07,3.537
2015-01-08,3.529
2015-01-09,3.535
2015-01-12,3.542
2015-01-13,3.517
2015-01-14,3.53
2015-01-15,3.487
2015-01-16,3.478
2015-01-19,3.501
2015-01-20,3.479
2015-01-21,3.497
2015-01-22,3.407
2015-01-23,3.38
2015-01-26,3.391
2015-01-27,3.473
2015-01-28,3.419
2015-01-29,3.45
2015-01-30,3.453
2015-02-02,3.472
2015-02-03,3.51
2015-02-04,3.466
2015-02-05,3.509
2015-02-06,3.465
2015-02-09,3.476
2015-02-10,3.476
2015-02-11,3.491
2015-02-12,3.507
2015-02-13,3.48
2015-02-16,3.496
2015-02-17,3.517
2015-02-18,3.516
2015-02-19,3.508
2015-02-20,3.512
2015-02-23,3.507
2015-02-24,3.508
2015-02-25,3.507
2015-02-26,3.463
2015-02-27,3.462
2015-03-02,3.462
2015-03-03,3.459
2015-03-04,3.431
2015-03-05,3.414
2015-03-06,3.362
2015-03-09,3.349
2015-03-10,3.314
2015-03-11,3.267
2015-03-12,3.28
2015-03-13,3.245
2015-03-16,3.263
2015-03-17,3.282
2015-03-18,3.34
2015-03-19,3.298
2015-03-20,3.339
2015-03-23,3.369
2015-03-24,3.348
2015-03-25,3.355
2015-03-26,3.326
2015-03-27,3.361
2015-03-30,3.337
2015-03-31,3.312
2015-04-01,3.322
2015-04-02,3.368
2015-04-03,3.393
2015-04-06,3.378
2015-04-07,3.335
2015-04-08,3.333
2015-04-09,3.301
2015-04-10,3.304
2015-04-13,3.287
2015-04-14,3.311
2015-04-15,3.31
2015-04-16,3.35
2015-04-17,3.362
2015-04-20,3.33
2015-04-21,3.337
2015-04-22,3.336
2015-04-23,3.374
2015-04-24,3.387
2015-04-27,3.397
2015-04-28,3.426
2015-04-29,3.466
2015-04-30,3.508
2015-05-01,3.496
2015-05-04,3.478
2015-05-05,3.521
2015-05-06,3.562
2015-05-07,3.547
2015-05-08,3.518
2015-05-11,3.507
2015-05-12,3.528
2015-05-13,3.58
2015-05-14,3.582
2015-05-15,3.596
2015-05-18,3.533
2015-05-19,3.489
2015-05-20,3.492
2015-05-21,3.486
2015-05-22,3.467
2015-05-25,3.456
2015-05-26,3.429
2015-05-27,3.428
2015-05-28,3.44
2015-05-29,3.455
2015-06-01,3.436
2015-06-02,3.494
2015-06-03,3.549
2015-06-04,3.528
2015-06-05,3.504
2015-06-08,3.558
2015-06-09,3.539
2015-06-10,3.562
2015-06-11,3.531
2015-06-12,3.553
2015-06-15,3.542
2015-06-16,3.553
2015-06-17,3.573
