date,exchange_rate
2014-11-10,3.1999
2014-11-11,3.1836
2014-11-12,3.1731
2014-11-13,3.2006
2014-11-14,3.1941
2014-11-17,3.2009
2014-11-18,3.2015
2014-11-19,3.2145
2014-11-20,3.2111
2014-11-21,3.1831
2014-11-24,3.1796
2014-11-25,3.187
2014-11-26,3.1406
2014-11-27,3.1994
2014-11-28,3.1968
2014-12-01,3.1976
2014-12-02,3.1931
2014-12-03,3.1818
2014-12-04,3.1754
2014-12-05,3.1863
2014-12-08,3.1529
2014-12-09,3.1789
2014-12-10,3.1779
2014-12-11,3.2027
2014-12-12,3.2008
2014-12-15,3.1933
2014-12-16,3.2343
2014-12-17,3.2009
2014-12-18,3.1639
2014-12-19,3.1531
2014-12-22,3.1597
2014-12-23,3.2304
2014-12-24,3.0923
2014-12-26,3.1409
2014-12-30,3.1166
2014-12-31,3.1168
2015-01-01,3.137
2015-01-02,3.0972
2015-01-05,3.0594
2015-01-06,3.0567
2015-01-07,3.0569
2015-01-08,3.0361
2015-01-09,3.0475
2015-01-12,3.0458
2015-01-13,3.0424
2015-01-14,3.0304
2015-01-15,3.0197
2015-01-16,2.99
2015-01-19,2.9903
2015-01-20,2.9881
2015-01-21,2.9868
2015-01-22,3.0022
2015-01-23,2.8815
2015-01-27,2.9115
2015-01-28,2.9317
2015-01-29,2.9169
2015-01-30,2.948
2015-02-02,2.9464
2015-02-03,2.9544
2015-02-04,2.979
2015-02-05,2.9729
2015-02-06,2.9782
2015-02-09,2.9375
2015-02-10,2.9484
2015-02-11,2.9401
2015-02-12,2.9557
2015-02-13,2.9707
2015-02-16,2.9754
2015-02-18,2.9624
2015-02-19,2.9821
2015-02-20,2.9518
2015-02-23,2.9488
2015-02-24,2.952
2015-02-25,2.9567
2015-02-26,2.9567
2015-02-27,2.9577
2015-03-02,2.9576
2015-03-03,2.9413
2015-03-04,2.9332
2015-03-05,2.9106
2015-03-09,2.8749
2015-03-10,2.829
2015-03-11,2.7963
2015-03-12,2.8077
2015-03-13,2.7881
2015-03-16,2.776
2015-03-17,2.799
2015-03-18,2.7931
2015-03-19,2.8054
2015-03-20,2.8238
2015-03-23,2.8688
2015-03-24,2.8936
2015-03-25,2.899
2015-03-26,2.9042
2015-03-27,2.8698
2015-03-30,2.8633
2015-03-31,2.8417
2015-04-02,2.8588
2015-04-06,2.9066
2015-04-07,2.8921
2015-04-08,2.8972
2015-04-09,2.8706
2015-04-10,2.8235
