date,exchange_rate
2014-11-24,55.965
2014-11-25,56.081
2014-11-26,56.235
2014-11-27,56.059
2014-11-28,55.976
2014-12-01,55.885
2014-12-02,55.463
2014-12-03,54.888
2014-12-04,55.159
2014-12-05,54.863
2014-12-08,55.01
2014-12-09,55.081
2014-12-10,55.469
2014-12-11,55.14
2014-12-12,55.477
2014-12-15,55.61
2014-12-16,56.085
2014-12-17,55.221
2014-12-18,54.955
2014-12-19,54.681
2014-12-22,54.545
2014-12-23,54.391
2014-12-24,54.483
2014-12-25,54.582
2014-12-26,54.379
2014-12-29,54.368
2014-12-30,54.406
2014-12-31,54.186
2015-01-01,54.204
2015-01-02,53.834
2015-01-05,53.744
2015-01-06,53.451
2015-01-07,53.515
2015-01-08,53.013
2015-01-09,53.148
2015-01-12,53.149
2015-01-13,52.697
2015-01-14,52.616
2015-01-15,51.831
2015-01-16,51.601
2015-01-19,51.736
2015-01-20,51.489
2015-01-21,51.517
2015-01-22,50.184
2015-01-23,49.394
2015-01-26,49.534
2015-01-27,50.088
2015-01-28,49.752
2015-01-29,49.843
2015-01-30,49.895
2015-02-02,50.017
2015-02-03,50.468
2015-02-04,49.996
2015-02-05,50.622
2015-02-06,50.068
2015-02-09,50.286
2015-02-10,50.233
2015-02-11,50.31
2015-02-12,50.463
2015-02-13,50.344
2015-02-16,50.235
2015-02-17,50.422
2015-02-18,50.449
2015-02-19,50.227
2015-02-20,50.34
2015-02-23,50.242
2015-02-24,50.1
2015-02-25,50.035
2015-02-26,49.21
2015-02-27,49.349
2015-03-02,49.335
2015-03-03,49.222
2015-03-04,48.893
2015-03-05,48.657
2015-03-06,48.066
2015-03-09,47.975
2015-03-10,47.395
2015-03-11,46.768
2015-03-12,46.955
2015-03-13,46.596
2015-03-16,46.949
2015-03-17,47.324
2015-03-18,48.576
2015-03-19,47.916
2015-03-20,48.564
2015-03-23,49.062
2015-03-24,48.779
2015-03-25,49.062
2015-03-26,48.706
2015-03-27,48.802
2015-03-30,48.473
2015-03-31,47.985
2015-04-01,47.982
2015-04-02,48.327
2015-04-03,48.697
2015-04-06,48.533
2015-04-07,48.179
2015-04-08,47.952
2015-04-09,47.424
2015-04-10,47.261
2015-04-13,47.186
2015-04-14,47.454
2015-04-15,47.458
2015-04-16,47.776
2015-04-17,47.842
2015-04-20,47.489
2015-04-21,47.493
2015-04-22,47.379
2015-04-23,47.818
2015-04-24,48.045
2015-04-27,48.127
2015-04-28,48.53
2015-04-29,49.191
2015-04-30,50.115
2015-05-01,49.989
2015-05-04,49.703
2015-05-05,49.848
2015-05-06,50.492
2015-05-07,50.309
2015-05-08,49.894
2015-05-11,49.795
2015-05-12,50.228
2015-05-13,50.594
2015-05-14,50.77
2015-05-15,50.865
2015-05-18,50.324
2015-05-19,49.658
2015-05-20,49.491
2015-05-21,49.349
2015-05-22,49.132
2015-05-25,48.925
2015-05-26,48.68
2015-05-27,48.798
2015-05-28,48.885
2015-05-29,48.983
2015-06-01,48.63
2015-06-02,49.699
2015-06-03,50.489
2015-06-04,50.322
2015-06-05,50.119
2015-06-08,50.974
2015-06-09,50.853
2015-06-10,50.951
2015-06-11,50.942
2015-06-12,51.006
2015-06-15,50.96
2015-06-16,50.795
2015-06-17,51.266
2015-06-18,51.052
2015-06-19,51.109
2015-06-22,51.034
2015-06-23,50.385
2015-06-24,50.557
2015-06-25,50.499
2015-06-26,50.373
2015-06-29,50.619
2015-06-30,50.226
2015-07-01,49.924
2015-07-02,50.029
2015-07-03,50.2
2015-07-06,49.811
2015-07-07,49.827
2015-07-08,50.05
2015-07-09,49.93
2015-07-10,50.273
2015-07-13,49.709
2015-07-14,49.752
2015-07-15,49.584
2015-07-16,49.219
2015-07-17,49.021
2015-07-20,49.081
2015-07-21,49.411
2015-07-22,49.368
2015-07-23,49.816
2015-07-24,49.975
2015-07-27,50.507
2015-07-28,50.282
2015-07-29,49.942
2015-07-30,49.961
2015-07-31,50.043
2015-08-03,50.057
2015-08-04,49.705
2015-08-05,49.792
2015-08-06,50.03
2015-08-07,50.201
2015-08-10,50.413
2015-08-11,50.881
2015-08-12,51.424
2015-08-13,51.502
2015-08-14,51.256
2015-08-17,51.302
2015-08-18,51.035
2015-08-19,51.46
2015-08-20,52.26
2015-08-21,53.168
2015-08-24,54.13
2015-08-25,53.76
2015-08-26,52.848
2015-08-27,52.46
2015-08-28,52.338
2015-08-31,52.428
2015-09-01,52.823
2015-09-02,52.394
2015-09-03,52.014
2015-09-04,52.238
2015-09-07,52.384
2015-09-08,52.557
2015-09-09,52.629
2015-09-10,52.767
2015-09-11,53.064
2015-09-14,52.814
2015-09-15,52.641
2015-09-16,52.648
2015-09-17,52.958
2015-09-18,52.567
2015-09-21,52.059
2015-09-22,51.895
2015-09-23,52.459
2015-09-24,52.483
2015-09-25,52.326
2015-09-28,52.604
2015-09-29,52.714
2015-09-30,52.184
2015-10-01,52.323
2015-10-02,52.271
2015-10-05,52.002
2015-10-06,52.298
2015-10-07,51.684
2015-10-08,51.958
2015-10-09,51.877
2015-10-12,52.153
2015-10-13,52.395
2015-10-14,52.687
2015-10-15,52.129
2015-10-16,52.196
2015-10-19,52.297
2015-10-20,52.635
2015-10-21,52.664
2015-10-22,51.64
2015-10-23,51.337
2015-10-26,51.509
2015-10-27,51.625
2015-10-28,51.206
2015-10-29,51.634
2015-10-30,51.469
2015-11-02,51.619
2015-11-03,51.341
2015-11-04,50.879
2015-11-05,51.002
2015-11-06,50.605
2015-11-09,50.759
2015-11-10,50.71
2015-11-11,50.599
2015-11-12,50.811
2015-11-13,50.717
2015-11-16,50.442
2015-11-17,50.228
2015-11-18,50.268
2015-11-19,50.438
2015-11-20,50.006
2015-11-23,50.101
2015-11-24,50.082
2015-11-25,49.979
2015-11-26,49.904
2015-11-27,49.829
2015-11-30,49.821
2015-12-01,50.079
2015-12-02,50.085
2015-12-03,51.491
2015-12-04,51.123
2015-12-07,50.989
2015-12-08,51.374
2015-12-09,52.013
2015-12-10,51.66
2015-12-11,52.16
2015-12-14,52.202
2015-12-15,51.77
2015-12-16,51.537
2015-12-17,51.406
2015-12-18,51.394
2015-12-21,51.665
2015-12-22,51.702
2015-12-23,51.496
2015-12-24,51.778
2015-12-25,51.826
2015-12-28,51.63
2015-12-29,51.261
2015-12-30,51.267
2015-12-31,50.906
2016-01-01,50.917
2016-01-04,51.012
2016-01-05,50.423
2016-01-06,50.772
2016-01-07,51.303
2016-01-08,51.645
2016-01-11,51.305
2016-01-12,51.387
2016-01-13,51.555
2016-01-14,51.978
2016-01-15,52.264
2016-01-18,52.044
2016-01-19,51.986
2016-01-20,52.2
2016-01-21,51.972
2016-01-22,51.56
2016-01-25,52.04
2016-01-26,52.061
2016-01-27,52.281
2016-01-28,52.256
2016-01-29,51.647
2016-02-01,51.925
2016-02-02,52.331
2016-02-03,53.05
2016-02-04,53.217
2016-02-05,53.325
2016-02-08,53.597
2016-02-09,53.79
2016-02-10,53.513
2016-02-11,53.759
2016-02-12,53.509
2016-02-15,52.917
2016-02-16,52.885
2016-02-17,52.947
2016-02-18,52.863
2016-02-19,53.02
2016-02-22,52.439
2016-02-23,52.55
2016-02-24,52.57
2016-02-25,52.508
2016-02-26,51.973
2016-02-29,51.601
2016-03-01,51.321
2016-03-02,51.263
2016-03-03,51.411
2016-03-04,51.454
2016-03-07,51.636
2016-03-08,51.69
2016-03-09,51.54
2016-03-10,52.189
2016-03-11,51.832
2016-03-14,51.71
2016-03-15,52.0
2016-03-16,52.339
2016-03-17,52.184
2016-03-18,52.33
2016-03-21,52.159
2016-03-22,51.912
2016-03-23,51.928
2016-03-24,51.883
2016-03-25,51.82
2016-03-28,51.87
2016-03-29,52.286
2016-03-30,52.01
2016-03-31,52.275
2016-04-01,52.528
2016-04-04,52.615
2016-04-05,52.797
2016-04-06,52.646
2016-04-07,52.635
2016-04-08,52.527
2016-04-11,52.615
2016-04-12,52.483
2016-04-13,51.966
2016-04-14,51.969
2016-04-15,52.081
2016-04-18,52.256
2016-04-19,52.359
2016-04-20,52.334
2016-04-21,52.524
2016-04-22,52.497
2016-04-25,52.845
2016-04-26,52.885
2016-04-27,53.24
2016-04-28,53.186
2016-04-29,53.701
2016-05-02,54.194
2016-05-03,54.117
2016-05-04,54.328
