date,exchange_rate
2014-11-24,126.32
2014-11-25,126.98
2014-11-26,127.3
2014-11-27,126.93
2014-11-28,126.7
2014-12-01,127.09
2014-12-02,125.81
2014-12-03,125.04
2014-12-04,125.76
2014-12-05,124.6
2014-12-08,124.86
2014-12-09,125.18
2014-12-10,125.76
2014-12-11,125.19
2014-12-12,125.3
2014-12-15,124.91
2014-12-16,125.73
2014-12-17,123.94
2014-12-18,123.46
2014-12-19,122.83
2014-12-22,122.99
2014-12-23,122.38
2014-12-24,122.53
2014-12-25,122.86
2014-12-26,122.43
2014-12-29,122.97
2014-12-30,122.83
2014-12-31,122.24
2015-01-01,122.28
2015-01-02,121.12
2015-01-05,120.45
2015-01-06,119.78
2015-01-07,119.41
2015-01-08,118.76
2015-01-09,119.15
2015-01-12,119.09
2015-01-13,118.51
2015-01-14,118.59
2015-01-15,116.93
2015-01-16,116.32
2015-01-19,117.01
2015-01-20,116.33
2015-01-21,117.08
2015-01-22,114.03
2015-01-23,112.72
2015-01-26,113.55
2015-01-27,114.8
2015-01-28,113.74
2015-01-29,114.5
2015-01-30,114.1
2015-02-02,114.8
2015-02-03,116.0
2015-02-04,114.78
2015-02-05,115.93
2015-02-06,114.48
2015-02-09,114.43
2015-02-10,114.36
2015-02-11,114.93
2015-02-12,115.58
2015-02-13,115.39
2015-02-16,115.09
2015-02-17,115.87
2015-02-18,115.72
2015-02-19,115.63
2015-02-20,115.75
2015-02-23,115.25
2015-02-24,115.47
2015-02-25,115.67
2015-02-26,114.02
2015-02-27,114.0
2015-03-02,113.94
2015-03-03,113.95
2015-03-04,112.9
2015-03-05,112.35
2015-03-06,110.43
2015-03-09,111.0
2015-03-10,108.76
2015-03-11,107.34
2015-03-12,108.12
2015-03-13,106.86
2015-03-16,107.56
2015-03-17,107.94
2015-03-18,110.4
2015-03-19,108.86
2015-03-20,110.14
2015-03-23,111.65
2015-03-24,111.34
2015-03-25,111.85
2015-03-26,110.9
2015-03-27,111.09
2015-03-30,110.39
2015-03-31,109.52
2015-04-01,109.85
2015-04-02,110.76
2015-04-03,111.84
2015-04-06,111.51
2015-04-07,110.39
2015-04-08,109.99
2015-04-09,108.78
2015-04-10,108.01
2015-04-13,107.72
2015-04-14,108.4
2015-04-15,108.58
2015-04-16,109.25
2015-04-17,109.78
2015-04-20,109.39
2015-04-21,109.14
2015-04-22,108.91
2015-04-23,109.99
2015-04-24,110.4
2015-04-27,110.83
2015-04-28,111.81
2015-04-29,113.23
2015-04-30,114.25
2015-05-01,113.64
2015-05-04,113.47
2015-05-05,113.81
2015-05-06,115.46
2015-05-07,114.59
2015-05-08,113.91
2015-05-11,113.5
2015-05-12,114.22
2015-05-13,115.65
2015-05-14,116.15
2015-05-15,116.67
2015-05-18,115.41
2015-05-19,113.56
2015-05-20,113.07
2015-05-21,113.23
2015-05-22,112.3
2015-05-25,111.94
2015-05-26,111.07
2015-05-27,111.27
2015-05-28,111.88
2015-05-29,112.13
2015-06-01,111.38
2015-06-02,113.66
2015-06-03,114.83
2015-06-04,114.16
2015-06-05,113.21
2015-06-08,114.95
2015-06-09,114.95
2015-06-10,115.38
2015-06-11,114.49
2015-06-12,114.57
2015-06-15,114.8
2015-06-16,114.48
2015-06-17,115.44
2015-06-18,115.75
2015-06-19,115.55
2015-06-22,115.46
2015-06-23,113.7
2015-06-24,114.04
2015-06-25,114.08
2015-06-26,113.74
2015-06-29,114.16
2015-06-30,113.41
2015-07-01,112.5
2015-07-02,112.81
2015-07-03,113.16
2015-07-06,112.52
2015-07-07,112.11
2015-07-08,112.69
2015-07-09,112.52
2015-07-10,113.46
2015-07-13,111.98
2015-07-14,112.12
2015-07-15,111.64
2015-07-16,110.77
2015-07-17,110.25
2015-07-20,110.31
2015-07-21,111.49
2015-07-22,111.34
2015-07-23,111.91
2015-07-24,111.79
2015-07-27,112.94
2015-07-28,112.64
2015-07-29,111.88
2015-07-30,111.33
2015-07-31,111.85
2015-08-03,111.58
2015-08-04,110.84
2015-08-05,111.08
2015-08-06,111.33
2015-08-07,111.64
2015-08-10,112.24
2015-08-11,112.5
2015-08-12,113.67
2015-08-13,113.62
2015-08-14,113.15
2015-08-17,112.95
2015-08-18,112.46
2015-08-19,113.26
2015-08-20,114.52
2015-08-21,116.3
2015-08-24,120.44
2015-08-25,120.01
2015-08-26,117.89
2015-08-27,116.84
2015-08-28,116.26
2015-08-31,116.8
2015-09-01,117.77
2015-09-02,116.93
2015-09-03,115.93
2015-09-04,116.26
2015-09-07,116.34
2015-09-08,116.83
2015-09-09,117.14
2015-09-10,117.99
2015-09-11,118.43
2015-09-14,118.19
2015-09-15,117.66
2015-09-16,117.85
2015-09-17,119.26
2015-09-18,118.07
2015-09-21,116.77
2015-09-22,116.19
2015-09-23,116.92
2015-09-24,116.77
2015-09-25,116.84
2015-09-28,117.39
2015-09-29,117.52
2015-09-30,116.8
2015-10-01,116.96
2015-10-02,117.19
2015-10-05,117.03
2015-10-06,117.79
2015-10-07,117.5
2015-10-08,117.75
2015-10-09,118.62
2015-10-12,118.66
2015-10-13,118.98
2015-10-14,119.81
2015-10-15,118.75
2015-10-16,118.47
2015-10-19,118.26
2015-10-20,118.65
2015-10-21,118.42
2015-10-22,116.01
2015-10-23,115.12
2015-10-26,115.56
2015-10-27,115.35
2015-10-28,115.13
2015-10-29,115.69
2015-10-30,116.24
2015-11-02,116.18
2015-11-03,115.63
2015-11-04,114.63
2015-11-05,114.75
2015-11-06,113.28
2015-11-09,113.5
2015-11-10,113.2
2015-11-11,113.38
2015-11-12,114.01
2015-11-13,113.6
2015-11-16,112.73
2015-11-17,112.35
2015-11-18,112.43
2015-11-19,113.2
2015-11-20,112.34
2015-11-23,112.24
2015-11-24,112.24
2015-11-25,112.1
2015-11-26,111.93
2015-11-27,111.76
2015-11-30,111.54
2015-12-01,112.14
2015-12-02,111.96
2015-12-03,115.35
2015-12-04,114.61
2015-12-07,113.35
2015-12-08,113.02
2015-12-09,114.31
2015-12-10,113.76
2015-12-11,114.59
2015-12-14,115.2
2015-12-15,114.56
2015-12-16,114.42
2015-12-17,113.47
2015-12-18,113.87
2015-12-21,114.49
2015-12-22,114.87
2015-12-23,114.31
2015-12-24,114.95
2015-12-25,115.02
2015-12-28,115.16
2015-12-29,114.54
2015-12-30,114.65
2015-12-31,114.01
2016-01-01,113.83
2016-01-04,113.48
2016-01-05,112.74
2016-01-06,112.96
2016-01-07,114.55
2016-01-08,114.62
2016-01-11,113.84
2016-01-12,113.84
2016-01-13,114.14
2016-01-14,114.03
2016-01-15,114.61
2016-01-18,114.29
2016-01-19,114.56
2016-01-20,114.12
2016-01-21,114.06
2016-01-22,113.13
2016-01-25,113.69
2016-01-26,113.88
2016-01-27,114.38
2016-01-28,114.74
2016-01-29,113.48
2016-02-01,114.32
2016-02-02,114.65
2016-02-03,116.24
2016-02-04,116.81
2016-02-05,117.19
2016-02-08,116.89
2016-02-09,118.19
2016-02-10,118.09
2016-02-11,118.48
2016-02-12,117.54
2016-02-15,116.91
2016-02-16,116.7
2016-02-17,116.46
2016-02-18,116.36
2016-02-19,116.57
2016-02-22,115.61
2016-02-23,115.44
2016-02-24,115.14
2016-02-25,115.38
2016-02-26,114.41
2016-02-29,114.0
2016-03-01,113.87
2016-03-02,113.85
2016-03-03,114.66
2016-03-04,115.32
2016-03-07,115.22
2016-03-08,115.34
2016-03-09,115.26
2016-03-10,116.95
2016-03-11,116.79
2016-03-14,116.25
2016-03-15,116.29
2016-03-16,117.41
2016-03-17,118.5
2016-03-18,118.03
2016-03-21,117.67
2016-03-22,117.53
2016-03-23,117.14
2016-03-24,117.03
2016-03-25,116.89
2016-03-28,117.34
2016-03-29,118.26
2016-03-30,118.64
2016-03-31,119.25
2016-04-01,119.43
2016-04-04,119.28
2016-04-05,119.15
2016-04-06,119.31
2016-04-07,119.14
2016-04-08,119.38
2016-04-11,119.56
2016-04-12,119.28
2016-04-13,118.12
2016-04-14,117.93
2016-04-15,118.2
2016-04-18,118.51
2016-04-19,119.04
2016-04-20,118.28
2016-04-21,118.18
2016-04-22,117.67
2016-04-25,118.11
2016-04-26,118.44
2016-04-27,118.54
2016-04-28,119.06
2016-04-29,120.0
2016-05-02,120.85
2016-05-03,120.43
2016-05-04,120.34
2016-05-05,119.37
2016-05-06,119.42
2016-05-09,119.11
2016-05-10,119.11
2016-05-11,119.65
2016-05-12,119.06
2016-05-13,118.41
2016-05-16,118.47
2016-05-17,118.52
2016-05-18,117.51
2016-05-19,117.28
2016-05-20,117.56
2016-05-23,117.43
2016-05-24,116.62
2016-05-25,116.78
2016-05-26,117.35
2016-05-27,116.27
2016-05-30,116.55
2016-05-31,116.75
2016-06-01,117.15
2016-06-02,116.7
2016-06-03,118.96
2016-06-06,118.88
2016-06-07,118.78
2016-06-08,119.16
2016-06-09,117.95
2016-06-10,117.17
2016-06-13,118.06
2016-06-14,117.34
2016-06-15,117.76
2016-06-16,117.41
2016-06-17,118.17
2016-06-20,118.57
2016-06-21,117.94
2016-06-22,118.5
2016-06-23,119.42
2016-06-24,116.49
2016-06-27,115.51
2016-06-28,115.89
2016-06-29,116.55
2016-06-30,116.2
2016-07-01,116.58
2016-07-04,116.77
2016-07-05,115.82
2016-07-06,116.17
2016-07-07,115.81
2016-07-08,115.71
2016-07-11,116.05
2016-07-12,115.93
2016-07-13,116.36
2016-07-14,116.58
2016-07-15,115.74
2016-07-18,116.17
2016-07-19,115.56
2016-07-20,115.49
2016-07-21,115.55
2016-07-22,115.03
2016-07-25,115.22
2016-07-26,115.05
2016-07-27,115.97
2016-07-28,116.15
2016-07-29,117.21
2016-08-01,116.98
2016-08-02,117.57
2016-08-03,116.52
2016-08-04,116.22
2016-08-05,115.93
2016-08-08,115.89
2016-08-09,116.27
2016-08-10,117.02
2016-08-11,116.48
2016-08-12,116.87
2016-08-15,117.09
2016-08-16,118.13
2016-08-17,118.2
2016-08-18,118.9
2016-08-19,118.63
2016-08-22,118.67
2016-08-23,118.5
2016-08-24,118.06
2016-08-25,118.31
2016-08-26,117.34
2016-08-29,117.15
2016-08-30,116.72
2016-08-31,116.91
2016-09-01,117.05
2016-09-02,116.54
2016-09-05,116.76
2016-09-06,117.62
2016-09-07,117.42
2016-09-08,117.56
2016-09-09,117.19
2016-09-12,117.18
2016-09-13,116.96
2016-09-14,117.3
2016-09-15,117.68
2016-09-16,116.7
2016-09-19,116.88
2016-09-20,116.68
2016-09-21,117.27
2016-09-22,117.53
2016-09-23,117.67
2016-09-26,117.97
2016-09-27,117.48
2016-09-28,117.47
2016-09-29,117.52
2016-09-30,117.47
