date,exchange_rate
2014-11-07,4.2343
2014-11-10,4.219
2014-11-11,4.2162
2014-11-12,4.2167
2014-11-13,4.2359
2014-11-14,4.2416
2014-11-17,4.2199
2014-11-18,4.2143
2014-11-19,4.2194
2014-11-20,4.2112
2014-11-21,4.1986
2014-11-24,4.1967
2014-11-25,4.1733
2014-11-26,4.1779
2014-11-27,4.1769
2014-11-28,4.1699
2014-12-01,4.1747
2014-12-02,4.161
2014-12-03,4.1511
2014-12-04,4.156
2014-12-05,4.157
2014-12-08,4.159
2014-12-09,4.156
2014-12-10,4.1752
2014-12-11,4.1729
2014-12-12,4.1787
2014-12-15,4.1811
2014-12-16,4.2153
2014-12-17,4.2315
2014-12-18,4.2501
2014-12-19,4.2525
2014-12-22,4.2613
2014-12-23,4.2979
2014-12-24,4.3442
2014-12-25,4.3379
2014-12-26,4.3751
2014-12-30,4.2751
2014-12-31,4.2724
2015-01-01,4.2821
2015-01-02,4.2933
2015-01-05,4.2875
2015-01-06,4.3162
2015-01-07,4.293
2015-01-08,4.2812
2015-01-09,4.2657
2015-01-12,4.2736
2015-01-13,4.2788
2015-01-14,4.2551
2015-01-15,4.3075
2015-01-16,4.3184
2015-01-19,4.3289
2015-01-20,4.3308
2015-01-21,4.2991
2015-01-22,4.2521
2015-01-23,4.1946
2015-01-26,4.2114
2015-01-27,4.2315
2015-01-28,4.2452
2015-01-29,4.21
2015-01-30,4.1916
2015-02-02,4.1852
2015-02-03,4.1693
2015-02-04,4.1631
2015-02-05,4.1657
2015-02-06,4.1592
2015-02-09,4.1831
2015-02-10,4.1998
2015-02-11,4.2009
2015-02-12,4.1641
2015-02-13,4.1757
2015-02-16,4.1741
2015-02-17,4.1903
2015-02-18,4.1818
2015-02-19,4.1697
2015-02-20,4.1629
2015-02-23,4.1798
2015-02-24,4.1588
2015-02-25,4.1556
2015-02-26,4.1477
2015-02-27,4.1452
2015-03-02,4.1562
2015-03-03,4.163
2015-03-04,4.1469
2015-03-05,4.1409
2015-03-06,4.1331
2015-03-09,4.1161
2015-03-10,4.1574
2015-03-11,4.1213
2015-03-12,4.1388
2015-03-13,4.1579
2015-03-16,4.1248
2015-03-17,4.1356
2015-03-18,4.1338
2015-03-19,4.1274
2015-03-20,4.1421
2015-03-23,4.1056
2015-03-24,4.0906
2015-03-25,4.0824
2015-03-26,4.0812
2015-03-27,4.0991
2015-03-30,4.0892
2015-03-31,4.0732
2015-04-01,4.055
2015-04-02,4.0695
2015-04-03,4.0581
2015-04-06,4.0774
2015-04-07,4.0418
2015-04-08,4.0032
2015-04-09,4.0241
2015-04-10,4.0125
2015-04-13,4.0047
2015-04-14,4.0148
2015-04-15,4.0171
2015-04-16,4.024
2015-04-17,4.0258
2015-04-20,3.9858
2015-04-21,3.9857
2015-04-22,3.987
2015-04-23,3.9977
2015-04-24,4.0343
2015-04-27,3.9864
2015-04-28,3.9957
2015-04-29,4.0057
2015-04-30,4.0377
2015-05-01,4.0671
2015-05-04,4.0275
2015-05-05,4.0282
2015-05-06,4.0431
2015-05-07,4.0418
2015-05-08,4.0348
2015-05-11,4.0772
2015-05-12,4.0927
2015-05-13,4.0937
2015-05-14,4.0666
2015-05-15,4.0394
2015-05-18,4.073
2015-05-19,4.0498
2015-05-20,4.0782
2015-05-21,4.0887
2015-05-22,4.0949
2015-05-25,4.1015
2015-05-26,4.1439
2015-05-27,4.1268
2015-05-28,4.1418
2015-05-29,4.1098
2015-06-01,4.1142
2015-06-02,4.1175
2015-06-03,4.1621
2015-06-04,4.1689
2015-06-05,4.1447
2015-06-08,4.1754
2015-06-09,4.1729
2015-06-10,4.1386
2015-06-11,4.1299
2015-06-12,4.1344
2015-06-15,4.1498
2015-06-16,4.1392
2015-06-17,4.149
2015-06-18,4.1666
2015-06-19,4.1776
2015-06-22,4.1716
2015-06-23,4.1579
2015-06-24,4.1678
2015-06-25,4.1701
2015-06-26,4.1656
2015-06-29,4.1899
2015-06-30,4.1899
2015-07-01,4.1845
2015-07-02,4.1871
2015-07-03,4.2051
2015-07-06,4.1994
2015-07-07,4.2065
2015-07-08,4.2314
2015-07-09,4.2125
2015-07-10,4.1631
2015-07-13,4.1334
2015-07-14,4.1275
2015-07-15,4.1272
2015-07-16,4.1087
2015-07-17,4.0934
2015-07-20,4.1213
2015-07-21,4.1313
2015-07-22,4.1141
2015-07-23,4.1118
2015-07-24,4.1457
2015-07-27,4.117
2015-07-28,4.1172
2015-07-29,4.1225
2015-07-30,4.1377
2015-07-31,4.1137
2015-08-03,4.1429
2015-08-04,4.1799
2015-08-05,4.1687
2015-08-06,4.1875
2015-08-07,4.1829
2015-08-10,4.1981
2015-08-11,4.1918
2015-08-12,4.1833
2015-08-13,4.1784
2015-08-14,4.1803
2015-08-17,4.1595
2015-08-18,4.162
2015-08-19,4.1748
2015-08-20,4.1915
2015-08-21,4.2285
2015-08-24,4.2271
2015-08-25,4.2465
2015-08-26,4.2273
2015-08-27,4.2306
2015-08-28,4.2161
2015-08-31,4.2245
2015-09-01,4.2381
2015-09-02,4.2312
2015-09-03,4.213
2015-09-04,4.227
2015-09-07,4.2293
2015-09-08,4.2234
2015-09-09,4.2081
2015-09-10,4.2091
2015-09-11,4.2126
2015-09-14,4.2072
2015-09-15,4.1972
2015-09-16,4.2023
2015-09-17,4.1955
2015-09-18,4.2036
2015-09-21,4.1844
2015-09-22,4.2024
2015-09-23,4.2203
2015-09-24,4.2204
2015-09-25,4.2287
2015-09-28,4.2368
2015-09-29,4.2302
2015-09-30,4.2441
2015-10-01,4.245
2015-10-02,4.2438
2015-10-05,4.2401
2015-10-06,4.237
2015-10-07,4.2305
2015-10-08,4.2185
2015-10-09,4.2207
2015-10-12,4.2206
2015-10-13,4.2298
2015-10-14,4.2253
2015-10-15,4.2299
2015-10-16,4.2272
2015-10-19,4.2451
2015-10-20,4.2552
2015-10-21,4.2882
2015-10-22,4.2535
2015-10-23,4.2511
2015-10-26,4.2735
2015-10-27,4.2793
2015-10-28,4.2812
2015-10-29,4.2773
2015-10-30,4.2473
2015-11-02,4.2516
2015-11-03,4.2487
2015-11-04,4.242
2015-11-05,4.2496
2015-11-06,4.2804
2015-11-09,4.2517
2015-11-10,4.2334
2015-11-11,4.2126
2015-11-12,4.2321
2015-11-13,4.2491
2015-11-16,4.2436
2015-11-17,4.2433
2015-11-18,4.2448
2015-11-19,4.2497
2015-11-20,4.2399
2015-11-23,4.2492
2015-11-24,4.2604
2015-11-25,4.2655
2015-11-26,4.2711
2015-11-27,4.264
2015-11-30,4.2683
2015-12-01,4.2802
2015-12-02,4.276
2015-12-03,4.3172
2015-12-04,4.3165
2015-12-07,4.3214
2015-12-08,4.341
2015-12-09,4.3456
2015-12-10,4.3432
2015-12-11,4.3569
2015-12-14,4.3646
2015-12-15,4.3088
2015-12-16,4.292
2015-12-17,4.2997
2015-12-18,4.2659
2015-12-21,4.2492
2015-12-22,4.2461
2015-12-23,4.2374
2015-12-24,4.2353
2015-12-25,4.252
2015-12-28,4.242
2015-12-29,4.2337
2015-12-30,4.2544
2015-12-31,4.2544
2016-01-04,4.2946
2016-01-05,4.3046
2016-01-06,4.3461
2016-01-07,4.3443
2016-01-08,4.3707
2016-01-11,4.3497
2016-01-12,4.3576
2016-01-13,4.3529
2016-01-14,4.3922
2016-01-15,4.4821
2016-01-18,4.4564
2016-01-19,4.4478
2016-01-20,4.4902
2016-01-21,4.4879
2016-01-22,4.4568
2016-01-25,4.4735
2016-01-26,4.4436
2016-01-27,4.4833
2016-01-28,4.451
2016-01-29,4.4174
2016-02-01,4.3961
2016-02-02,4.4222
2016-02-03,4.4202
2016-02-04,4.4208
2016-02-05,4.4116
2016-02-08,4.4394
2016-02-09,4.4414
2016-02-10,4.4024
2016-02-11,4.4189
2016-02-12,4.3991
2016-02-15,4.393
2016-02-16,4.4009
2016-02-17,4.3953
2016-02-18,4.3919
2016-02-19,4.3765
2016-02-22,4.356
2016-02-23,4.3792
2016-02-24,4.3729
2016-02-25,4.3514
2016-02-26,4.3739
2016-02-29,4.3465
2016-03-01,4.3272
2016-03-02,4.3161
2016-03-03,4.3341
2016-03-04,4.3057
2016-03-07,4.3288
2016-03-08,4.3223
2016-03-09,4.3164
2016-03-10,4.3316
2016-03-11,4.2847
2016-03-14,4.2762
2016-03-15,4.2893
2016-03-16,4.2857
2016-03-17,4.274
2016-03-18,4.2622
2016-03-21,4.2576
2016-03-22,4.2541
2016-03-23,4.2608
2016-03-24,4.2653
2016-03-25,4.2638
2016-03-28,4.2513
2016-03-29,4.2431
2016-03-30,4.2695
2016-03-31,4.238
2016-04-01,4.2517
2016-04-04,4.2362
2016-04-05,4.2624
2016-04-06,4.2665
2016-04-07,4.2931
2016-04-08,4.3058
2016-04-11,4.2742
2016-04-12,4.2838
2016-04-13,4.2914
2016-04-14,4.3002
2016-04-15,4.2919
2016-04-18,4.3065
2016-04-19,4.2941
2016-04-20,4.2688
2016-04-21,4.3227
2016-04-22,4.365
2016-04-25,4.4079
2016-04-26,4.3719
2016-04-27,4.3835
2016-04-28,4.394
2016-04-29,4.3698
2016-05-02,4.3788
2016-05-03,4.3887
2016-05-04,4.3994
2016-05-05,4.4017
2016-05-06,4.4245
2016-05-09,4.4305
2016-05-10,4.4126
2016-05-11,4.4249
2016-05-12,4.4096
2016-05-13,4.4145
2016-05-16,4.3709
2016-05-17,4.3704
2016-05-18,4.3945
2016-05-19,4.4104
2016-05-20,4.4259
2016-05-23,4.4429
2016-05-24,4.4226
2016-05-25,4.4062
2016-05-26,4.4019
2016-05-27,4.3784
2016-05-30,4.3897
2016-05-31,4.3842
2016-06-01,4.3838
2016-06-02,4.3832
2016-06-03,4.3876
2016-06-06,4.3549
2016-06-07,4.3534
2016-06-08,4.32
2016-06-09,4.3335
2016-06-10,4.374
2016-06-13,4.4131
2016-06-14,4.4261
2016-06-15,4.4257
2016-06-16,4.4225
2016-06-17,4.4166
2016-06-20,4.3846
2016-06-21,4.3928
2016-06-22,4.3704
2016-06-23,4.3426
2016-06-24,4.4336
2016-06-27,4.4564
2016-06-28,4.4255
2016-06-29,4.4192
2016-06-30,4.3754
2016-07-01,4.4136
2016-07-04,4.435
2016-07-05,4.438
2016-07-06,4.4378
2016-07-07,4.4243
2016-07-08,4.408
2016-07-11,4.4262
2016-07-12,4.3966
2016-07-13,4.4028
2016-07-14,4.4078
2016-07-15,4.4216
2016-07-18,4.3693
2016-07-19,4.3807
2016-07-20,4.3694
2016-07-21,4.3598
2016-07-22,4.3655
2016-07-25,4.3578
2016-07-26,4.36
2016-07-27,4.3704
2016-07-28,4.3618
2016-07-29,4.3556
2016-08-01,4.3575
2016-08-02,4.3244
2016-08-03,4.2806
2016-08-04,4.2881
2016-08-05,4.2766
2016-08-08,4.2697
2016-08-09,4.2606
2016-08-10,4.265
2016-08-11,4.26
2016-08-12,4.2716
2016-08-15,4.2674
2016-08-16,4.2714
2016-08-17,4.287
2016-08-18,4.2878
2016-08-19,4.306
2016-08-22,4.3086
2016-08-23,4.3057
2016-08-24,4.3076
2016-08-25,4.3312
2016-08-26,4.3369
2016-08-29,4.3411
2016-08-30,4.3575
2016-08-31,4.3629
2016-09-01,4.3597
2016-09-02,4.3792
2016-09-05,4.3399
2016-09-06,4.3313
2016-09-07,4.3191
2016-09-08,4.3247
2016-09-09,4.3374
2016-09-12,4.3503
2016-09-13,4.3513
2016-09-14,4.3365
2016-09-15,4.3281
2016-09-16,4.3136
2016-09-19,4.2958
2016-09-20,4.3007
2016-09-21,4.2886
2016-09-22,4.2794
2016-09-23,4.3003
2016-09-26,4.2961
2016-09-27,4.2809
2016-09-28,4.2953
