date,exchange_rate
2014-11-07,5802.97021
2014-11-10,5780.68994
2014-11-11,5784.06982
2014-11-12,5784.10986
2014-11-13,5812.50977
2014-11-14,5877.85986
2014-11-17,5837.49023
2014-11-18,5851.83008
2014-11-19,5855.72021
2014-11-20,5856.27002
2014-11-21,5796.56982
2014-11-24,5803.52979
2014-11-25,5824.37988
2014-11-26,5830.35986
2014-11-27,5813.37012
2014-11-28,5794.25977
2014-12-01,5793.56006
2014-12-02,5761.0498
2014-12-03,5747.72998
2014-12-04,5780.72998
2014-12-05,5717.5
2014-12-08,5734.8501
2014-12-09,5770.99023
2014-12-10,5761.4502
2014-12-11,5758.18994
2014-12-12,5788.47021
2014-12-15,5779.20996
2014-12-16,5804.16992
2014-12-17,5738.43994
2014-12-18,5731.29004
2014-12-19,5686.27002
2014-12-22,5681.87988
2014-12-23,5647.75
2014-12-24,5662.91016
2014-12-25,5675.10986
2014-12-26,5655.22021
2014-12-30,5658.72998
2014-12-31,5631.47021
2015-01-01,5633.31006
2015-01-02,5597.52979
2015-01-05,5647.62012
2015-01-06,5645.12988
2015-01-07,5618.33008
2015-01-08,5570.04004
2015-01-09,5605.9502
2015-01-12,5607.7002
2015-01-13,5578.16992
2015-01-14,5590.52979
2015-01-15,5536.04004
2015-01-16,5500.22998
2015-01-19,5520.1001
2015-01-20,5499.47998
2015-01-21,5554.72021
2015-01-22,5455.60986
2015-01-23,5420.14014
2015-01-26,5428.18994
2015-01-27,5495.27979
2015-01-28,5439.68018
2015-01-29,5486.62988
2015-01-30,5463.89014
2015-02-02,5484.52002
2015-02-03,5524.49023
2015-02-04,5452.6499
2015-02-05,5509.64014
2015-02-06,5401.9502
2015-02-09,5428.25977
2015-02-10,5403.97998
2015-02-11,5387.29004
2015-02-12,5414.5
2015-02-13,5440.10986
2015-02-16,5424.72998
2015-02-17,5445.54004
2015-02-18,5438.7998
2015-02-19,5426.75977
2015-02-20,5433.0
2015-02-23,5414.25
2015-02-24,5402.83984
2015-02-25,5402.27002
2015-02-26,5303.3501
2015-02-27,5302.3501
2015-03-02,5289.12988
2015-03-03,5256.95996
2015-03-04,5185.74023
2015-03-05,5133.2998
2015-03-06,5082.75
2015-03-09,5089.85986
2015-03-10,5053.27002
2015-03-11,5026.68018
2015-03-12,5108.20996
2015-03-13,5067.68994
2015-03-16,5075.10986
2015-03-17,5097.43994
2015-03-18,5187.4502
2015-03-19,5142.12012
2015-03-20,5245.27002
2015-03-23,5315.5498
2015-03-24,5270.18018
2015-03-25,5276.25977
2015-03-26,5238.75
2015-03-27,5263.25
2015-03-30,5230.10986
2015-03-31,5176.02002
2015-04-01,5190.2998
2015-04-02,5288.9502
2015-04-03,5338.99023
2015-04-06,5316.95996
2015-04-07,5292.52002
2015-04-08,5230.35986
2015-04-09,5202.6499
2015-04-10,5210.0498
2015-04-13,5257.25977
2015-04-14,5282.5
2015-04-15,5305.37988
2015-04-16,5379.7002
2015-04-17,5386.66992
2015-04-20,5363.75977
2015-04-21,5374.33984
2015-04-22,5391.41992
2015-04-23,5464.70996
2015-04-24,5449.14014
2015-04-27,5479.02002
2015-04-28,5532.97998
2015-04-29,5624.39014
2015-04-30,5679.6499
2015-05-01,5636.72998
2015-05-04,5609.47998
2015-05-05,5628.20996
2015-05-06,5711.08008
2015-05-07,5685.00977
2015-05-08,5670.6499
2015-05-11,5652.97998
2015-05-12,5689.6001
2015-05-13,5779.8999
2015-05-14,5793.79004
2015-05-15,5817.00977
2015-05-18,5748.1001
2015-05-19,5648.52002
2015-05-20,5620.50977
2015-05-21,5646.9502
2015-05-22,5624.10986
2015-05-25,5606.00977
2015-05-26,5583.81982
2015-05-27,5607.1499
2015-05-28,5631.77002
2015-05-29,5632.06982
2015-06-01,5610.3999
2015-06-02,5656.16992
2015-06-03,5746.52002
2015-06-04,5730.81982
2015-06-05,5671.93994
2015-06-08,5799.33984
2015-06-09,5784.39014
2015-06-10,5841.93018
2015-06-11,5782.75977
2015-06-12,5808.3501
2015-06-15,5818.37988
2015-06-16,5814.5
2015-06-17,5860.25
2015-06-18,5884.68018
2015-06-19,5875.56982
2015-06-22,5869.93018
2015-06-23,5780.22021
2015-06-24,5798.74023
2015-06-25,5797.08984
2015-06-26,5809.39014
