date,exchange_rate
2014-11-07,4.5342
2014-11-10,4.5231
2014-11-11,4.541
2014-11-12,4.5256
2014-11-13,4.5422
2014-11-14,4.5602
2014-11-17,4.5328
2014-11-18,4.5624
2014-11-19,4.5681
2014-11-20,4.5666
2014-11-21,4.512
2014-11-24,4.5297
2014-11-25,4.5421
2014-11-26,4.5523
2014-11-27,4.5391
2014-11-28,4.5331
2014-12-01,4.541
2014-12-02,4.5089
2014-12-03,4.481
2014-12-04,4.5067
2014-12-05,4.4721
2014-12-08,4.4837
2014-12-09,4.5061
2014-12-10,4.5312
2014-12-11,4.5152
2014-12-12,4.5368
2014-12-15,4.5298
2014-12-16,4.5555
2014-12-17,4.4903
2014-12-18,4.4731
2014-12-19,4.4524
2014-12-22,4.4495
2014-12-23,4.4312
2014-12-24,4.4413
2014-12-25,4.4478
2014-12-26,4.4356
2014-12-30,4.4237
2014-12-31,4.4047
2015-01-01,4.4061
2015-01-02,4.3668
2015-01-05,4.3428
2015-01-06,4.3214
2015-01-07,4.307
2015-01-08,4.2908
2015-01-09,4.3093
2015-01-12,4.3054
2015-01-13,4.286
2015-01-14,4.2914
2015-01-15,4.2337
2015-01-16,4.2117
2015-01-19,4.2224
2015-01-20,4.2056
2015-01-21,4.229
2015-01-22,4.1253
2015-01-23,4.0799
2015-01-26,4.0893
2015-01-27,4.1406
2015-01-28,4.1045
2015-01-29,4.1238
2015-01-30,4.1095
2015-02-02,4.1244
2015-02-03,4.1756
2015-02-04,4.1251
2015-02-05,4.1761
2015-02-06,4.119
2015-02-09,4.1214
2015-02-10,4.1187
2015-02-11,4.1249
2015-02-12,4.15
2015-02-13,4.1435
2015-02-16,4.1326
2015-02-17,4.1545
2015-02-18,4.1511
2015-02-19,4.1376
2015-02-20,4.1441
2015-02-23,4.128
2015-02-24,4.128
2015-02-25,4.1364
2015-02-26,4.0757
2015-02-27,4.072
2015-03-02,4.0706
2015-03-03,4.0693
2015-03-04,4.034
2015-03-05,4.0146
2015-03-06,3.9479
2015-03-09,3.9485
2015-03-10,3.8919
2015-03-11,3.8414
2015-03-12,3.8671
2015-03-13,3.8239
2015-03-16,3.8477
2015-03-17,3.8567
2015-03-18,3.9429
2015-03-19,3.8841
2015-03-20,3.9376
2015-03-23,3.9901
2015-03-24,3.9724
2015-03-25,3.9916
2015-03-26,3.9586
2015-03-27,3.9667
2015-03-30,3.9415
2015-03-31,3.9088
2015-04-01,3.9204
2015-04-02,3.958
2015-04-03,3.9937
2015-04-06,3.979
2015-04-07,3.9393
2015-04-08,3.9253
2015-04-09,3.8822
2015-04-10,3.8584
2015-04-13,3.8474
2015-04-14,3.8778
2015-04-15,3.8858
2015-04-16,3.916
2015-04-17,3.933
2015-04-20,3.9083
2015-04-21,3.9079
2015-04-22,3.9019
2015-04-23,3.9385
2015-04-24,3.9531
2015-04-27,3.9588
2015-04-28,3.995
2015-04-29,4.0454
