date,exchange_rate
2023-10-28,4.970928
2023-10-30,4.964043
2023-10-31,4.969297
2023-11-01,4.969575
2023-11-02,4.967994
2023-11-03,4.97225
2023-11-04,4.97225
2023-11-05,4.967897
2023-11-06,4.968037
2023-11-07,4.967795
2023-11-08,4.968034
2023-11-09,4.968084
2023-11-10,4.983482
2023-11-12,4.983482
2023-11-13,4.972455
2023-11-14,4.971756
2023-11-15,4.968021
2023-11-16,4.971208
2023-11-17,4.977678
2023-11-18,4.977678
2023-11-19,4.98153
2023-11-20,4.972172
2023-11-21,4.969714
2023-11-22,4.971424
2023-11-23,4.96963
2023-11-24,4.96582
2023-11-25,4.96582
2023-11-26,4.971719
2023-11-27,4.972447
2023-11-28,4.972013
2023-11-29,4.972517
2023-11-30,4.972394
2023-12-01,4.957286
2023-12-02,4.954587
2023-12-03,4.993745
2023-12-04,4.968337
2023-12-05,4.964999
2023-12-06,4.96741
2023-12-07,4.969024
2023-12-08,4.969412
2023-12-09,4.972833
2023-12-10,4.964053
2023-12-11,4.971856
2023-12-12,4.973761
2023-12-13,4.969366
2023-12-14,4.972277
2023-12-15,4.966286
2023-12-16,4.975876
2023-12-17,4.963844
2023-12-18,4.971246
2023-12-19,4.971173
2023-12-20,4.970462
2023-12-21,4.970262
2023-12-22,4.970302
2023-12-23,4.976612
2023-12-24,4.977299
2023-12-25,4.968921
2023-12-26,4.968273
2023-12-27,4.974847
2023-12-28,4.965794
2023-12-29,4.973429
2023-12-30,4.981852
2023-12-31,4.978406
2024-01-01,4.974871
2024-01-02,4.971439
2024-01-03,4.971746
2024-01-04,4.97436
2024-01-05,4.974079
2024-01-06,4.978695
2024-01-07,4.962726
2024-01-08,4.972368
2024-01-09,4.972006
2024-01-10,4.972232
2024-01-11,4.971838
2024-01-12,4.973817
2024-01-13,4.974878
2024-01-14,4.971409
2024-01-15,4.974067
2024-01-16,4.976357
2024-01-17,4.97621
2024-01-18,4.976514
2024-01-19,4.976149
2024-01-20,4.988379
2024-01-21,4.991124
2024-01-22,4.97695
2024-01-23,4.976088
2024-01-24,4.976997
2024-01-25,4.977022
2024-01-26,4.976306
2024-01-27,4.98184
2024-01-28,4.976532
2024-01-29,4.977658
2024-01-30,4.975815
2024-01-31,4.976108
2024-02-01,4.973307
2024-02-02,4.974096
2024-02-03,4.978767
2024-02-04,4.97541
2024-02-05,4.974708
2024-02-06,4.975937
2024-02-07,4.976488
2024-02-08,4.977316
2024-02-09,4.976786
2024-02-10,4.976222
2024-02-11,4.976278
2024-02-12,4.975173
2024-02-13,4.976974
2024-02-14,4.97581
2024-02-15,4.976929
2024-02-16,4.976583
2024-02-17,4.987446
2024-02-18,4.9803
2024-02-19,4.976772
2024-02-20,4.973841
2024-02-21,4.976719
2024-02-22,4.976727
2024-02-23,4.974246
2024-02-24,4.981206
2024-02-25,4.981101
2024-02-26,4.972614
2024-02-27,4.966716
2024-02-28,4.967901
2024-02-29,4.970233
2024-03-01,4.969265
2024-03-02,4.974049
2024-03-03,4.975796
2024-03-04,4.972291
2024-03-05,4.971942
2024-03-06,4.970703
2024-03-07,4.969192
2024-03-08,4.966895
2024-03-09,4.969195
2024-03-10,4.969066
2024-03-11,4.966793
2024-03-12,4.966851
2024-03-13,4.969384
2024-03-14,4.971504
2024-03-15,4.971688
2024-03-16,4.975862
2024-03-17,4.976435
2024-03-18,4.972993
2024-03-19,4.974255
2024-03-20,4.972814
2024-03-21,4.972687
2024-03-22,4.971957
2024-03-23,4.997375
2024-03-24,4.994007
2024-03-25,4.970607
2024-03-26,4.970808
2024-03-27,4.973548
2024-03-28,4.968959
2024-03-29,4.967508
2024-03-30,4.974677
2024-03-31,4.974675
2024-04-01,4.94772
2024-04-02,4.970553
2024-04-03,4.969215
2024-04-04,4.969183
2024-04-05,4.966759
2024-04-06,4.973045
2024-04-07,4.973039
2024-04-08,4.968354
2024-04-09,4.968931
2024-04-10,4.969364
2024-04-11,4.971888
2024-04-12,4.972372
2024-04-13,4.986717
2024-04-14,4.986714
2024-04-15,4.97549
2024-04-16,4.975138
2024-04-17,4.97446
2024-04-18,4.975307
2024-04-19,4.976985
2024-04-20,4.980676
2024-04-21,4.980676
2024-04-22,4.975535
2024-04-23,4.976915
2024-04-24,4.976381
2024-04-25,4.990978
2024-04-26,4.976741
2024-04-27,4.984252
2024-04-28,4.984252
2024-04-29,4.974671
2024-04-30,4.974933
2024-05-01,4.974851
2024-05-02,4.976451
2024-05-03,4.975103
2024-05-04,4.977435
2024-05-05,4.977435
2024-05-06,4.970052
2024-05-07,4.977781
2024-05-08,4.972583
2024-05-09,4.975438
2024-05-10,4.977048
2024-05-11,4.985009
2024-05-12,4.985009
2024-05-13,4.975626
2024-05-14,4.97561
2024-05-15,4.975031
2024-05-16,4.975376
2024-05-17,4.973803
2024-05-18,4.985492
2024-05-19,4.985492
2024-05-20,4.975253
2024-05-21,4.973599
2024-05-22,4.974803
2024-05-23,4.975264
2024-05-24,4.976099
2024-05-25,4.978238
2024-05-26,4.978238
2024-05-27,4.976492
2024-05-28,4.974497
2024-05-29,4.975623
2024-05-30,4.989369
2024-05-31,4.976398
2024-06-01,4.983589
2024-06-02,4.983589
2024-06-03,4.97577
2024-06-04,4.974494
2024-06-05,4.975713
2024-06-06,4.976164
2024-06-07,4.976178
2024-06-08,4.978931
2024-06-09,4.978931
2024-06-10,4.977037
2024-06-11,4.978073
2024-06-12,4.976889
2024-06-13,4.977881
2024-06-14,4.976889
2024-06-15,4.987979
2024-06-16,4.987979
2024-06-17,4.976892
2024-06-18,4.975814
2024-06-19,4.976263
2024-06-20,4.975438
2024-06-21,4.977854
2024-06-22,4.979932
2024-06-23,4.979932
2024-06-24,4.976672
2024-06-25,4.976577
2024-06-26,4.977473
2024-06-27,4.977605
2024-06-28,4.977769
2024-06-29,4.978331
2024-06-30,4.978331
2024-07-01,4.976165
2024-07-02,4.976933
2024-07-03,4.977247
2024-07-04,4.977678
2024-07-05,4.976262
2024-07-06,4.984427
2024-07-07,4.984427
2024-07-08,4.974431
2024-07-09,4.972955
2024-07-10,4.97304
2024-07-11,4.973625
2024-07-12,4.972977
2024-07-13,4.976721
2024-07-14,4.976721
2024-07-15,4.968129
2024-07-16,4.968189
2024-07-17,4.96884
2024-07-18,4.968425
2024-07-19,4.970886
2024-07-20,4.974023
2024-07-21,4.974023
2024-07-22,4.971475
2024-07-23,4.972539
2024-07-24,4.971747
2024-07-25,4.970564
2024-07-26,4.970968
2024-07-27,4.980377
2024-07-28,4.980377
2024-07-29,4.973583
2024-07-30,4.975395
2024-07-31,4.97404
2024-08-01,4.975879
2024-08-02,4.976179
2024-08-03,4.980216
2024-08-04,4.980216
2024-08-05,4.976852
2024-08-06,4.977558
2024-08-07,4.976678
2024-08-08,4.976728
2024-08-09,4.977225
2024-08-10,4.979959
2024-08-11,4.979959
2024-08-12,4.976674
2024-08-13,4.976484
2024-08-14,4.97439
2024-08-15,4.976171
2024-08-16,4.976241
2024-08-17,4.978981
2024-08-18,4.978981
2024-08-19,4.977607
2024-08-20,4.976839
2024-08-21,4.976872
2024-08-22,4.976748
2024-08-23,4.976811
2024-08-24,4.983023
2024-08-25,4.983023
2024-08-26,4.975233
2024-08-27,4.977581
2024-08-28,4.976122
2024-08-29,4.977749
2024-08-30,4.975487
2024-08-31,4.982063
2024-09-01,4.9814
2024-09-02,4.975175
2024-09-03,4.973709
2024-09-04,4.9708
2024-09-05,4.97182
2024-09-06,4.974386
2024-09-07,4.974801
2024-09-08,4.974801
2024-09-09,4.97471
2024-09-10,4.974343
2024-09-11,4.971082
2024-09-12,4.97407
2024-09-13,4.974495
2024-09-14,4.97944
2024-09-15,4.97944
2024-09-16,4.974577
2024-09-17,4.973823
2024-09-18,4.975323
2024-09-19,4.974689
2024-09-20,4.975238
2024-09-21,4.972492
2024-09-22,4.972492
2024-09-23,4.973799
2024-09-24,4.975418
2024-09-25,4.976682
2024-09-26,4.976584
2024-09-27,4.977384
2024-09-28,4.979097
2024-09-29,4.979097
2024-09-30,4.975564
2024-10-01,4.976307
2024-10-02,4.976484
2024-10-03,4.976666
2024-10-04,4.976447
2024-10-05,4.98296
2024-10-06,4.98296
2024-10-07,4.977328
2024-10-08,4.977114
2024-10-09,4.976531
2024-10-10,4.974983
2024-10-11,4.975093
2024-10-12,4.980021
2024-10-13,4.980021
2024-10-14,4.974638
2024-10-15,4.975077
2024-10-16,4.97573
2024-10-17,4.973961
2024-10-18,4.973026
2024-10-19,4.976096
2024-10-20,4.976096
2024-10-21,4.972769
2024-10-22,4.973986
2024-10-23,4.973819
