date,exchange_rate
2014-11-24,120.4762
2014-11-25,120.637
2014-11-26,120.2413
2014-11-27,120.4738
2014-11-28,120.5203
2014-12-01,120.706
2014-12-02,120.648
2014-12-03,120.981
2014-12-04,121.2484
2014-12-05,121.1247
2014-12-08,121.7734
2014-12-09,121.9746
2014-12-10,122.2166
2014-12-11,121.8811
2014-12-12,122.0411
2014-12-15,122.2359
2014-12-16,122.3784
2014-12-17,122.6573
2014-12-18,122.1182
2014-12-19,121.5883
2014-12-22,121.1649
2014-12-23,122.1283
2014-12-24,121.5004
2014-12-25,120.1146
2014-12-26,120.2533
2014-12-29,121.2222
2014-12-30,120.5976
2014-12-31,121.3888
2015-01-05,121.8856
2015-01-06,122.4435
2015-01-07,122.4167
2015-01-08,122.8314
2015-01-09,122.7327
2015-01-12,122.8686
2015-01-13,122.8933
2015-01-14,122.6349
2015-01-15,122.5564
2015-01-16,122.0089
2015-01-19,121.9692
2015-01-20,122.3365
2015-01-21,122.5842
2015-01-22,122.6481
2015-01-23,122.8303
2015-01-26,123.2715
2015-01-27,123.5377
2015-01-28,123.5811
2015-01-29,123.5528
2015-01-30,123.2322
2015-02-02,122.2162
2015-02-03,121.4156
2015-02-04,122.0389
2015-02-05,122.3176
2015-02-06,121.8324
2015-02-09,122.2068
2015-02-10,122.0283
2015-02-11,121.9948
2015-02-12,121.4803
2015-02-13,121.0153
2015-02-16,121.2262
2015-02-17,121.2768
2015-02-18,121.588
2015-02-19,121.0725
2015-02-20,120.2295
2015-02-23,120.2321
2015-02-24,120.3222
2015-02-25,120.6169
2015-02-26,120.4216
2015-02-27,120.2273
2015-03-02,120.5181
2015-03-03,120.9828
2015-03-04,120.9415
2015-03-05,120.7276
2015-03-06,120.4925
2015-03-09,120.9254
2015-03-10,120.9457
2015-03-11,120.9394
2015-03-12,120.277
2015-03-13,120.0617
2015-03-16,120.2848
2015-03-17,120.0016
2015-03-18,120.1156
2015-03-19,119.8655
2015-03-20,119.832
2015-03-23,120.188
2015-03-24,120.4499
2015-03-25,121.0312
2015-03-26,120.6351
2015-03-27,120.2719
2015-03-30,120.0129
2015-03-31,119.7722
2015-04-01,119.5969
2015-04-02,119.5809
2015-04-03,119.5598
2015-04-06,119.6352
2015-04-07,119.5882
2015-04-08,119.6666
2015-04-09,119.5902
2015-04-10,119.5762
2015-04-14,119.5564
2015-04-15,119.7719
2015-04-16,119.6992
2015-04-17,119.7033
2015-04-20,119.5598
2015-04-21,119.6718
2015-04-22,119.9207
2015-04-23,120.3694
2015-04-24,120.1626
2015-04-27,119.9248
2015-04-28,120.0364
2015-04-29,119.7379
2015-04-30,119.6389
2015-05-01,119.7298
2015-05-04,120.303
2015-05-05,120.0589
2015-05-06,120.1874
2015-05-07,120.4482
2015-05-08,120.168
2015-05-11,120.2441
2015-05-12,120.079
2015-05-13,119.8166
2015-05-14,119.9712
2015-05-15,119.9661
2015-05-18,120.1344
2015-05-19,120.2292
2015-05-20,120.291
2015-05-21,120.2058
2015-05-22,120.1872
2015-05-25,120.6769
2015-05-26,120.4838
2015-05-27,120.3712
2015-05-28,120.2239
2015-05-29,120.1965
2015-06-01,120.2775
2015-06-02,120.2854
2015-06-03,120.1164
2015-06-04,119.9779
2015-06-05,120.2188
2015-06-08,120.2388
2015-06-09,120.3276
2015-06-10,120.2176
2015-06-11,120.1817
2015-06-12,119.8348
2015-06-15,119.9927
2015-06-16,120.2112
2015-06-17,120.1584
2015-06-18,120.1162
2015-06-19,120.2576
2015-06-22,120.3308
2015-06-23,120.1775
2015-06-24,120.0664
2015-06-25,119.8684
2015-06-26,120.1561
2015-06-29,120.0793
2015-06-30,119.7623
2015-07-01,119.7411
2015-07-02,119.7312
2015-07-03,119.8469
2015-07-06,119.8188
2015-07-07,119.9711
2015-07-08,119.9331
2015-07-09,119.8592
2015-07-10,119.7013
2015-07-13,119.1434
2015-07-14,119.6197
2015-07-15,119.7434
2015-07-16,119.709
2015-07-17,119.6067
2015-07-20,119.6114
2015-07-21,119.6418
2015-07-22,119.5588
2015-07-23,119.827
2015-07-24,119.8748
2015-07-27,119.7428
2015-07-28,119.8265
2015-07-29,119.839
2015-07-30,119.7067
2015-07-31,119.7035
2015-08-03,119.7265
2015-08-04,119.7495
2015-08-05,119.7467
2015-08-06,119.8177
2015-08-07,119.8225
2015-08-10,120.1121
2015-08-11,120.0178
2015-08-12,120.029
2015-08-13,119.5997
2015-08-14,119.6406
2015-08-17,119.8454
2015-08-18,119.8566
2015-08-19,119.8084
2015-08-20,119.6006
2015-08-21,119.7742
2015-08-24,120.0474
2015-08-25,120.3506
2015-08-26,120.476
2015-08-27,120.1169
2015-08-28,119.8375
2015-08-31,119.8725
2015-09-01,119.8118
2015-09-02,120.0823
2015-09-03,119.8731
2015-09-04,119.808
2015-09-07,119.7264
2015-09-08,120.0139
2015-09-09,119.7675
2015-09-10,120.2405
2015-09-11,119.9741
2015-09-14,119.9124
2015-09-15,120.0811
2015-09-16,119.9755
2015-09-17,119.7428
2015-09-18,119.7454
2015-09-21,119.6325
2015-09-22,119.6207
2015-09-23,119.8056
2015-09-24,119.7898
2015-09-25,119.2758
2015-09-28,119.5283
2015-09-29,119.5219
2015-09-30,119.5033
2015-10-01,119.5014
2015-10-02,119.3732
2015-10-05,119.648
2015-10-06,119.7357
2015-10-07,119.899
2015-10-08,119.9052
2015-10-09,119.4058
2015-10-12,119.8064
2015-10-13,119.4557
2015-10-14,119.6336
2015-10-15,119.729
2015-10-16,119.5689
2015-10-19,119.3407
2015-10-20,119.5888
2015-10-21,119.491
2015-10-22,119.8891
2015-10-23,119.6392
2015-10-26,119.9266
2015-10-27,120.0862
2015-10-28,120.278
2015-10-29,120.257
2015-10-30,119.892
2015-11-02,120.0222
2015-11-03,119.7298
2015-11-04,119.8813
2015-11-05,120.2643
2015-11-06,120.0231
2015-11-09,120.2163
2015-11-10,119.949
2015-11-11,120.0569
2015-11-12,120.161
2015-11-13,120.1361
2015-11-16,119.9249
2015-11-17,120.2132
2015-11-18,120.3854
2015-11-19,120.2351
2015-11-20,120.2067
2015-11-23,120.4233
2015-11-24,120.3554
2015-11-25,120.4713
2015-11-26,120.8325
2015-11-27,120.9272
2015-11-30,120.7892
2015-12-01,121.0983
2015-12-02,121.2666
2015-12-03,121.3513
2015-12-04,121.1375
2015-12-07,121.4436
2015-12-08,121.3255
2015-12-09,121.9974
2015-12-10,121.9151
2015-12-11,122.0782
2015-12-14,122.0361
2015-12-15,122.1993
2015-12-16,121.7409
2015-12-17,122.0167
2015-12-18,121.056
2015-12-21,121.5267
2015-12-22,121.4265
2015-12-23,121.5193
2015-12-24,121.5036
2015-12-25,121.1702
2015-12-28,120.8391
2015-12-29,120.8572
2015-12-30,121.3116
2015-12-31,121.0908
2016-01-01,121.063
2016-01-04,122.0952
2016-01-05,121.5348
2016-01-06,121.6932
2016-01-07,121.6962
2016-01-08,121.673
2016-01-11,121.6825
2016-01-12,121.9531
2016-01-13,122.3261
