date,exchange_rate
2014-11-24,55.903
2014-11-25,57.764
2014-11-26,59.267
2014-11-27,61.423
2014-11-28,62.568
2014-12-01,63.833
2014-12-02,66.801
2014-12-03,65.81
2014-12-04,67.299
2014-12-05,65.059
2014-12-08,66.186
2014-12-09,66.902
2014-12-10,68.285
2014-12-11,69.959
2014-12-12,72.535
2014-12-15,81.426
2014-12-16,85.478
2014-12-17,75.864
2014-12-18,75.548
2014-12-19,72.877
2014-12-22,68.443
2014-12-23,66.576
2014-12-24,65.938
2014-12-25,62.599
2014-12-26,65.873
2014-12-29,71.05
2014-12-30,67.33
2014-12-31,72.011
2015-01-01,70.266
2015-01-02,70.225
2015-01-05,72.105
2015-01-06,75.099
2015-01-07,74.168
2015-01-08,70.557
2015-01-09,73.393
2015-01-12,74.339
2015-01-13,77.199
2015-01-14,75.853
2015-01-15,75.325
2015-01-16,75.368
2015-01-19,75.288
2015-01-20,75.201
2015-01-21,75.826
2015-01-22,73.849
2015-01-23,71.533
2015-01-26,76.262
2015-01-27,77.46
2015-01-28,76.455
2015-01-29,78.029
2015-01-30,77.988
2015-02-02,77.504
2015-02-03,75.941
2015-02-04,77.41
2015-02-05,77.052
2015-02-06,75.73
2015-02-09,74.354
2015-02-10,73.765
2015-02-11,74.269
2015-02-12,75.177
2015-02-13,72.458
2015-02-16,71.578
2015-02-17,73.09
2015-02-18,70.31
2015-02-19,70.48
2015-02-20,70.505
2015-02-23,72.387
2015-02-24,71.281
2015-02-25,68.265
2015-02-26,68.295
2015-02-27,68.519
2015-03-02,69.763
2015-03-03,69.532
2015-03-04,68.407
2015-03-05,66.982
2015-03-06,64.81
2015-03-09,66.093
2015-03-10,65.513
2015-03-11,65.505
2015-03-12,64.554
2015-03-13,65.249
2015-03-16,65.838
2015-03-17,64.862
2015-03-18,66.294
2015-03-19,63.725
2015-03-20,63.825
2015-03-23,64.476
2015-03-24,62.794
2015-03-25,62.414
2015-03-26,61.944
2015-03-27,62.837
2015-03-30,62.182
2015-03-31,62.48
2015-04-01,61.956
2015-04-02,61.212
2015-04-03,62.024
2015-04-06,60.918
2015-04-07,59.624
2015-04-08,56.768
2015-04-09,56.01
2015-04-10,56.717
2015-04-13,55.28
2015-04-14,54.316
2015-04-15,53.375
2015-04-16,53.428
2015-04-17,56.275
2015-04-20,57.399
2015-04-21,57.302
2015-04-22,55.618
2015-04-23,55.188
2015-04-24,55.229
2015-04-27,56.128
2015-04-28,56.312
2015-04-29,56.195
2015-04-30,57.476
2015-05-01,57.999
2015-05-04,58.051
2015-05-05,56.45
2015-05-06,57.431
2015-05-07,56.644
2015-05-08,56.917
2015-05-11,56.846
2015-05-12,56.208
2015-05-13,55.829
2015-05-14,56.957
2015-05-15,56.689
2015-05-18,55.719
2015-05-19,55.132
2015-05-20,55.6
2015-05-21,55.503
2015-05-22,55.122
2015-05-25,55.344
2015-05-26,55.55
2015-05-27,56.909
2015-05-28,57.686
2015-05-29,57.805
2015-06-01,57.938
2015-06-02,58.778
2015-06-03,61.118
2015-06-04,62.647
2015-06-05,62.902
2015-06-08,63.416
2015-06-09,62.328
2015-06-10,61.48
2015-06-11,61.554
2015-06-12,62.092
2015-06-15,61.566
2015-06-16,60.33
2015-06-17,61.227
2015-06-18,60.911
2015-06-19,61.431
2015-06-22,61.004
2015-06-23,60.304
2015-06-24,60.689
2015-06-25,61.149
2015-06-26,61.473
2015-06-29,62.316
2015-06-30,61.87
2015-07-01,61.531
2015-07-02,61.124
2015-07-03,62.099
2015-07-06,62.419
2015-07-07,62.034
2015-07-08,63.328
2015-07-09,63.024
2015-07-10,62.86
2015-07-13,62.089
2015-07-14,62.007
2015-07-15,62.347
2015-07-16,61.918
2015-07-17,61.67
2015-07-20,62.174
2015-07-21,62.74
2015-07-22,62.825
2015-07-23,63.409
2015-07-24,64.264
2015-07-27,65.952
2015-07-28,66.329
2015-07-29,64.29
2015-07-30,65.331
2015-07-31,66.552
2015-08-03,69.915
2015-08-04,68.448
2015-08-05,69.155
2015-08-06,70.318
2015-08-07,70.25
2015-08-10,69.438
2015-08-11,70.861
2015-08-12,72.014
2015-08-13,72.071
2015-08-14,71.711
2015-08-17,72.47
2015-08-18,72.484
2015-08-19,73.939
2015-08-20,76.525
2015-08-21,78.39
2015-08-24,82.143
2015-08-25,79.829
2015-08-26,78.053
2015-08-27,74.626
2015-08-28,72.871
2015-08-31,72.3
2015-09-01,75.923
2015-09-02,74.755
2015-09-03,74.386
2015-09-04,76.302
2015-09-07,76.663
2015-09-08,76.679
2015-09-09,76.772
2015-09-10,76.428
2015-09-11,76.885
2015-09-14,76.581
2015-09-15,75.14
2015-09-16,73.748
2015-09-17,74.763
2015-09-18,75.121
2015-09-21,73.89
2015-09-22,72.971
2015-09-23,74.47
2015-09-24,73.856
2015-09-25,73.287
2015-09-28,73.75
2015-09-29,74.088
2015-09-30,72.996
2015-10-01,74.24
2015-10-02,74.069
2015-10-05,72.209
2015-10-06,70.536
2015-10-07,69.519
2015-10-08,69.273
2015-10-09,70.021
2015-10-12,70.759
2015-10-13,71.694
2015-10-14,72.666
2015-10-15,70.215
2015-10-16,69.709
2015-10-19,70.541
2015-10-20,70.382
2015-10-21,71.248
2015-10-22,69.399
2015-10-23,68.734
2015-10-26,69.666
2015-10-27,72.684
2015-10-28,69.8
2015-10-29,70.494
2015-10-30,70.106
2015-11-02,69.975
2015-11-03,68.725
2015-11-04,68.55
2015-11-05,68.563
2015-11-06,69.294
2015-11-09,69.411
2015-11-10,69.202
2015-11-11,70.331
2015-11-12,72.15
2015-11-13,72.012
2015-11-16,69.742
2015-11-17,69.279
2015-11-18,69.016
2015-11-19,69.224
2015-11-20,68.764
2015-11-23,69.939
2015-11-24,69.67
2015-11-25,69.661
2015-11-26,69.746
2015-11-27,69.773
2015-11-30,70.231
2015-12-01,70.903
2015-12-02,71.506
2015-12-03,73.754
2015-12-04,74.707
2015-12-07,75.003
2015-12-08,75.779
2015-12-09,76.308
2015-12-10,75.69
2015-12-11,76.807
2015-12-14,77.493
2015-12-15,76.549
2015-12-16,76.511
2015-12-17,77.167
2015-12-18,76.866
2015-12-21,77.712
2015-12-22,77.914
2015-12-23,76.125
2015-12-24,77.023
2015-12-25,77.579
2015-12-28,79.477
2015-12-29,78.908
2015-12-30,80.106
2015-12-31,78.164
2016-01-01,79.258
2016-01-04,79.099
2016-01-05,78.823
2016-01-06,80.255
2016-01-07,81.644
2016-01-08,81.626
2016-01-11,81.475
2016-01-12,83.331
2016-01-13,83.366
2016-01-14,82.834
2016-01-15,84.949
2016-01-18,86.409
2016-01-19,85.902
2016-01-20,89.001
2016-01-21,89.499
2016-01-22,84.32
2016-01-25,86.916
2016-01-26,85.545
2016-01-27,85.049
2016-01-28,83.71
2016-01-29,81.732
2016-02-01,84.299
2016-02-02,87.139
2016-02-03,84.989
2016-02-04,86.037
2016-02-05,86.53
2016-02-08,87.637
2016-02-09,89.685
2016-02-10,88.44
2016-02-11,90.559
2016-02-12,88.392
2016-02-15,86.486
2016-02-16,86.965
2016-02-17,83.484
2016-02-18,85.084
2016-02-19,86.176
2016-02-22,81.415
2016-02-23,85.606
2016-02-24,83.739
2016-02-25,82.917
2016-02-26,82.914
2016-02-29,80.946
2016-03-01,79.461
2016-03-02,79.78
2016-03-03,79.96
2016-03-04,79.659
2016-03-07,78.714
2016-03-08,80.326
2016-03-09,78.114
2016-03-10,79.877
2016-03-11,77.883
2016-03-14,77.586
2016-03-15,78.561
2016-03-16,77.525
2016-03-17,77.076
2016-03-18,77.029
2016-03-21,76.059
2016-03-22,75.783
2016-03-23,76.799
2016-03-24,76.322
2016-03-25,76.462
2016-03-28,76.895
2016-03-29,76.909
2016-03-30,77.236
2016-03-31,76.075
2016-04-01,76.688
2016-04-04,78.085
2016-04-05,78.557
2016-04-06,77.069
2016-04-07,77.982
2016-04-08,76.813
2016-04-11,76.1
2016-04-12,74.7
2016-04-13,74.722
2016-04-14,74.355
