date,exchange_rate
2014-11-24,855.81
2014-11-25,858.14
2014-11-26,860.32
2014-11-27,857.81
2014-11-28,856.64
2014-12-01,858.01
2014-12-02,851.91
2014-12-03,846.67
2014-12-04,851.53
2014-12-05,844.93
2014-12-08,847.13
2014-12-09,851.37
2014-12-10,856.21
2014-12-11,853.14
2014-12-12,864.15
2014-12-15,855.89
2014-12-16,860.7
2014-12-17,848.39
2014-12-18,845.15
2014-12-19,841.22
2014-12-22,841.11
2014-12-23,837.32
2014-12-24,845.91
2014-12-25,839.79
2014-12-26,836.85
2014-12-29,836.4
2014-12-30,836.24
2014-12-31,832.21
2015-01-01,832.49
2015-01-02,825.42
2015-01-05,820.84
2015-01-06,816.73
2015-01-07,812.99
2015-01-08,810.94
2015-01-09,813.26
2015-01-12,814.01
2015-01-13,808.89
2015-01-14,811.0
2015-01-15,800.06
2015-01-16,795.89
2015-01-19,798.59
2015-01-20,794.41
2015-01-21,795.44
2015-01-22,779.43
2015-01-23,779.8
2015-01-26,773.42
2015-01-27,782.33
2015-01-28,774.41
2015-01-29,779.17
2015-01-30,776.42
2015-02-02,779.67
2015-02-03,788.94
2015-02-04,780.3
2015-02-05,789.28
2015-02-06,778.23
2015-02-09,779.08
2015-02-10,778.19
2015-02-11,779.38
2015-02-12,784.14
2015-02-13,782.91
2015-02-16,780.85
2015-02-17,785.0
2015-02-18,784.36
2015-02-19,781.8
2015-02-20,783.03
2015-02-23,780.0
2015-02-24,779.99
2015-02-25,781.55
2015-02-26,770.15
2015-02-27,770.01
2015-03-02,769.22
2015-03-03,768.93
2015-03-04,762.24
2015-03-05,758.91
2015-03-06,746.3
2015-03-09,746.07
2015-03-10,766.38
2015-03-11,755.95
2015-03-12,761.5
2015-03-13,752.96
2015-03-16,728.08
2015-03-17,728.7
2015-03-18,744.98
2015-03-19,733.87
2015-03-20,743.96
2015-03-23,753.93
2015-03-24,750.59
2015-03-25,754.27
2015-03-26,747.98
2015-03-27,749.61
2015-03-30,744.89
2015-03-31,738.71
2015-04-01,740.9
2015-04-02,749.59
2015-04-03,755.08
2015-04-06,752.12
2015-04-07,744.52
2015-04-08,741.85
2015-04-09,733.68
2015-04-10,730.25
2015-04-13,727.22
2015-04-14,732.92
2015-04-15,734.47
2015-04-16,740.14
2015-04-17,743.33
2015-04-20,738.68
2015-04-21,738.66
2015-04-22,737.47
2015-04-23,744.39
2015-04-24,747.15
2015-04-27,748.27
2015-04-28,755.04
2015-04-29,764.63
2015-04-30,772.45
2015-05-01,770.42
2015-05-04,766.7
2015-05-05,769.1
2015-05-06,810.11
2015-05-07,777.8
2015-05-08,775.01
2015-05-11,772.18
2015-05-13,789.15
2015-05-14,792.48
2015-05-15,795.82
2015-05-18,785.62
2015-05-19,773.72
2015-05-20,773.52
2015-05-21,772.28
2015-05-22,766.53
2015-05-28,758.35
2015-06-01,756.81
2015-06-02,769.33
2015-06-03,781.38
2015-06-04,783.42
2015-06-05,772.43
2015-06-08,778.06
2015-06-09,777.92
2015-06-10,780.72
2015-06-11,785.78
2015-06-12,778.41
2015-06-15,789.72
2015-06-16,795.38
2015-06-17,793.33
2015-06-18,806.53
2015-06-19,803.71
2015-06-22,803.23
2015-06-23,790.7
2015-06-24,778.55
2015-06-25,778.75
2015-06-26,801.57
2015-06-29,810.17
2015-06-30,805.04
2015-07-01,798.93
2015-07-02,801.52
2015-07-03,803.61
2015-07-06,799.12
2015-07-07,796.24
2015-07-08,801.78
2015-07-09,800.54
2015-07-10,807.51
2015-07-13,796.91
2015-07-14,797.51
2015-07-15,794.22
2015-07-16,788.82
2015-07-17,766.71
2015-07-20,785.4
2015-07-21,773.84
2015-07-22,757.76
2015-07-23,796.95
2015-07-24,796.29
2015-07-27,804.34
2015-07-28,803.25
2015-07-29,797.86
2015-07-30,793.92
2015-07-31,797.65
2015-08-03,794.51
2015-08-04,750.67
2015-08-05,791.96
2015-08-06,794.88
2015-08-07,797.18
2015-08-10,801.52
2015-08-11,803.55
2015-08-12,811.86
2015-08-13,811.53
2015-08-14,808.42
2015-08-17,806.13
2015-08-18,802.45
2015-08-19,808.95
2015-08-20,817.56
2015-08-21,829.11
2015-08-24,844.15
2015-08-25,840.89
2015-08-26,826.57
2015-08-27,819.91
2015-08-28,815.43
2015-08-31,818.0
2015-09-01,824.94
2015-09-02,818.7
2015-09-03,811.97
2015-09-04,814.16
2015-09-07,773.15
2015-09-08,818.81
2015-09-09,778.78
2015-09-10,825.3
2015-09-11,828.83
2015-09-14,826.69
2015-09-15,824.27
2015-09-16,826.0
2015-09-17,835.85
2015-09-18,827.72
2015-09-21,818.99
2015-09-22,814.75
2015-09-23,818.9
2015-09-24,818.18
2015-09-25,797.18
2015-09-28,823.84
2015-09-29,825.13
2015-09-30,819.29
2015-10-01,820.65
2015-10-02,823.14
2015-10-05,821.65
2015-10-06,827.37
2015-10-07,826.29
2015-10-08,829.25
2015-10-09,835.39
2015-10-12,835.73
2015-10-13,838.21
2015-10-14,844.98
2015-10-15,838.1
2015-10-16,836.08
2015-10-19,843.41
2015-10-20,845.29
2015-10-21,836.67
2015-10-22,819.52
2015-10-23,813.7
2015-10-26,816.85
2015-10-27,816.0
2015-10-28,807.82
2015-10-29,817.34
2015-10-30,814.12
2015-11-02,814.35
2015-11-03,810.52
2015-11-04,804.34
2015-11-05,805.33
2015-11-06,795.5
2015-11-09,796.26
2015-11-10,794.16
2015-11-11,796.18
2015-11-12,802.35
2015-11-13,799.84
2015-11-16,793.37
2015-11-17,794.02
2015-11-18,791.25
2015-11-19,794.92
2015-11-20,788.56
2015-11-23,791.06
2015-11-24,792.25
2015-11-25,790.46
2015-11-26,789.28
2015-11-27,788.09
2015-11-30,787.16
2015-12-01,791.41
2015-12-02,790.16
2015-12-03,814.07
2015-12-04,809.75
2015-12-07,806.39
2015-12-08,811.02
2015-12-09,820.23
2015-12-10,814.32
2015-12-11,820.52
2015-12-14,821.17
2015-12-15,816.88
2015-12-16,815.05
2015-12-17,809.59
2015-12-18,811.93
2015-12-21,815.56
2015-12-22,815.7
2015-12-23,816.44
2015-12-24,817.27
2015-12-25,821.67
2015-12-28,822.37
2015-12-29,816.76
2015-12-30,817.37
2015-12-31,808.59
2016-01-01,812.22
2016-01-04,809.86
2016-01-05,807.72
2016-01-06,809.66
2016-01-07,820.91
2016-01-08,821.01
2016-01-11,816.94
2016-01-12,817.05
2016-01-13,814.39
2016-01-14,819.13
2016-01-15,823.11
2016-01-18,817.78
2016-01-19,823.19
2016-01-20,821.59
2016-01-21,820.4
2016-01-22,816.09
2016-01-25,820.17
2016-01-26,821.18
2016-01-27,824.31
2016-01-28,826.91
2016-01-29,818.59
2016-02-01,810.68
2016-02-02,818.48
2016-02-03,830.5
2016-02-04,850.48
2016-02-05,847.56
2016-02-08,850.97
2016-02-09,859.09
2016-02-10,858.95
2016-02-11,861.92
2016-02-12,857.94
2016-02-15,850.96
2016-02-16,849.78
2016-02-17,849.03
2016-02-18,848.06
2016-02-19,849.89
2016-02-22,842.34
2016-02-23,832.13
2016-02-24,842.12
2016-02-25,843.4
2016-02-26,836.88
2016-02-29,833.37
2016-03-01,832.45
2016-03-02,832.83
2016-03-03,817.66
2016-03-04,843.97
2016-03-07,844.97
2016-03-08,844.83
2016-03-09,844.63
2016-03-10,858.26
2016-03-11,857.31
2016-03-14,853.28
2016-03-15,854.52
2016-03-16,848.18
2016-03-17,856.15
2016-03-18,853.01
2016-03-21,850.9
2016-03-22,849.23
2016-03-23,841.88
2016-03-24,846.83
2016-03-25,845.81
2016-03-28,863.53
2016-03-29,855.41
2016-03-30,858.77
2016-03-31,863.08
2016-04-01,879.8
2016-04-04,879.4
2016-04-05,878.96
2016-04-06,880.49
2016-04-07,878.85
2016-04-08,881.31
