date,exchange_rate
2014-11-24,4.6662
2014-11-25,4.6789
2014-11-26,4.6918
2014-11-27,4.6782
2014-11-28,4.6724
2014-12-01,4.6802
2014-12-02,4.6463
2014-12-03,4.6183
2014-12-04,4.6448
2014-12-05,4.609
2014-12-08,4.6202
2014-12-09,4.6429
2014-12-10,4.6693
2014-12-11,4.6536
2014-12-12,4.6762
2014-12-15,4.6686
2014-12-16,4.6952
2014-12-17,4.6283
2014-12-18,4.6106
2014-12-19,4.5895
2014-12-22,4.5886
2014-12-23,4.567
2014-12-24,4.5773
2014-12-25,4.5871
2014-12-26,4.571
2014-12-29,4.562
2014-12-30,4.5607
2014-12-31,4.5387
2015-01-01,4.5402
2015-01-02,4.5036
2015-01-05,4.478
2015-01-06,4.4556
2015-01-07,4.4422
2015-01-08,4.4251
2015-01-09,4.4442
2015-01-12,4.4401
2015-01-13,4.4186
2015-01-14,4.4235
2015-01-15,4.3638
2015-01-16,4.3429
2015-01-19,4.3583
2015-01-20,4.3381
2015-01-21,4.3625
2015-01-22,4.2554
2015-01-23,4.2119
2015-01-26,4.2243
2015-01-27,4.2747
2015-01-28,4.2364
2015-01-29,4.2551
2015-01-30,4.2418
2015-02-02,4.255
2015-02-03,4.3028
2015-02-04,4.2545
2015-02-05,4.3048
2015-02-06,4.244
2015-02-09,4.2482
2015-02-10,4.2429
2015-02-11,4.2491
2015-02-12,4.2754
2015-02-13,4.2687
2015-02-16,4.2573
2015-02-17,4.2798
2015-02-18,4.2763
2015-02-19,4.2626
2015-02-20,4.269
2015-02-23,4.2517
2015-02-24,4.2514
2015-02-25,4.2607
2015-02-26,4.1976
2015-02-27,4.196
2015-03-02,4.1926
2015-03-03,4.1911
2015-03-04,4.1546
2015-03-05,4.1363
2015-03-06,4.0677
2015-03-09,4.0662
2015-03-10,4.0081
2015-03-11,3.9538
2015-03-12,3.9828
2015-03-13,3.9375
2015-03-16,3.9629
2015-03-17,3.9722
2015-03-18,4.0608
2015-03-19,4.0005
2015-03-20,4.0551
2015-03-23,4.1095
2015-03-24,4.0912
2015-03-25,4.1115
2015-03-26,4.0764
2015-03-27,4.0866
2015-03-30,4.0608
2015-03-31,4.0271
2015-04-01,4.0391
2015-04-02,4.0786
2015-04-03,4.1151
2015-04-06,4.1003
2015-04-07,4.059
2015-04-08,4.0437
2015-04-09,3.9995
2015-04-10,3.975
2015-04-13,3.9637
2015-04-14,3.9951
2015-04-15,4.003
2015-04-16,4.0342
2015-04-17,4.0515
2015-04-20,4.0257
2015-04-21,4.0256
2015-04-22,4.0188
2015-04-23,4.0565
2015-04-24,4.0721
2015-04-27,4.0781
2015-04-28,4.1151
2015-04-29,4.1674
2015-04-30,4.2098
2015-05-01,4.199
2015-05-04,4.1784
2015-05-05,4.192
2015-05-06,4.2529
2015-05-07,4.2204
2015-05-08,4.1973
2015-05-11,4.1803
2015-05-12,4.2049
2015-05-13,4.2574
2015-05-14,4.276
2015-05-15,4.2912
2015-05-18,4.2423
2015-05-19,4.1787
2015-05-20,4.1604
2015-05-21,4.1644
2015-05-22,4.1288
2015-05-25,4.1155
2015-05-26,4.0816
2015-05-27,4.0881
2015-05-28,4.1127
2015-05-29,4.1211
2015-06-01,4.0963
2015-06-02,4.1804
2015-06-03,4.2253
2015-06-04,4.2006
2015-06-05,4.1656
2015-06-08,4.231
2015-06-09,4.2275
2015-06-10,4.2458
2015-06-11,4.2137
2015-06-12,4.2219
2015-06-15,4.2284
2015-06-16,4.2168
2015-06-17,4.2496
2015-06-18,4.2634
2015-06-19,4.2568
2015-06-22,4.2527
2015-06-23,4.1877
2015-06-24,4.2005
2015-06-25,4.1999
2015-06-26,4.1866
2015-06-29,4.2041
2015-06-30,4.175
2015-07-01,4.1454
2015-07-02,4.1549
2015-07-03,4.1681
2015-07-06,4.1445
2015-07-07,4.1198
2015-07-08,4.1516
2015-07-09,4.1453
2015-07-10,4.1816
2015-07-13,4.1264
2015-07-14,4.1298
2015-07-15,4.1062
2015-07-16,4.0781
2015-07-17,4.0606
2015-07-20,4.0588
2015-07-21,4.1005
2015-07-22,4.0969
2015-07-23,4.1188
2015-07-24,4.1155
2015-07-27,4.1569
2015-07-28,4.1466
2015-07-29,4.1189
2015-07-30,4.0985
2015-07-31,4.1179
2015-08-03,4.1066
2015-08-04,4.0825
2015-08-05,4.0868
2015-08-06,4.0965
2015-08-07,4.1086
2015-08-10,4.1299
2015-08-11,4.1403
2015-08-12,4.183
2015-08-13,4.1816
2015-08-14,4.164
2015-08-17,4.1537
2015-08-18,4.1344
2015-08-19,4.1686
2015-08-20,4.2127
2015-08-21,4.2723
2015-08-24,4.3419
2015-08-25,4.326
2015-08-26,4.2492
2015-08-27,4.2156
2015-08-28,4.192
2015-08-31,4.2038
2015-09-01,4.2384
2015-09-02,4.2058
2015-09-03,4.1698
2015-09-04,4.1788
2015-09-07,4.1867
2015-09-08,4.2022
2015-09-09,4.2044
2015-09-10,4.2338
2015-09-11,4.2493
2015-09-14,4.2405
2015-09-15,4.2249
2015-09-16,4.2331
2015-09-17,4.2811
2015-09-18,4.2393
2015-09-21,4.1925
2015-09-22,4.1731
2015-09-23,4.1952
2015-09-24,4.1897
2015-09-25,4.1962
2015-09-28,4.212
2015-09-29,4.2189
2015-09-30,4.1889
2015-10-01,4.1958
2015-10-02,4.203
2015-10-05,4.1946
2015-10-06,4.2242
2015-10-07,4.2139
2015-10-08,4.2256
2015-10-09,4.2583
2015-10-12,4.2551
2015-10-13,4.2672
2015-10-14,4.2992
2015-10-15,4.2638
2015-10-16,4.2526
2015-10-19,4.2432
2015-10-20,4.2552
2015-10-21,4.2508
2015-10-22,4.1615
2015-10-23,4.1269
2015-10-26,4.1456
2015-10-27,4.1392
2015-10-28,4.0963
2015-10-29,4.1191
2015-10-30,4.1279
2015-11-02,4.1289
2015-11-03,4.1095
2015-11-04,4.0716
2015-11-05,4.0774
2015-11-06,4.0249
2015-11-09,4.0318
2015-11-10,4.0211
2015-11-11,4.0282
2015-11-12,4.0517
2015-11-13,4.0393
2015-11-16,4.0065
2015-11-17,3.9909
2015-11-18,3.9958
2015-11-19,4.023
2015-11-20,3.9909
2015-11-23,3.9878
2015-11-24,3.9988
2015-11-25,3.9887
2015-11-26,3.9828
2015-11-27,3.9768
2015-11-30,3.9641
2015-12-01,3.9853
2015-12-02,3.9792
2015-12-03,4.0997
2015-12-04,4.0779
2015-12-07,4.063
2015-12-08,4.0863
2015-12-09,4.1327
2015-12-10,4.1024
2015-12-11,4.1217
2015-12-14,4.125
