date,exchange_rate
2014-11-24,9.2821
2014-11-25,9.2319
2014-11-26,9.3513
2014-11-27,9.2268
2014-11-28,9.3103
2014-12-01,9.3356
2014-12-03,9.1405
2014-12-04,9.1987
2014-12-05,9.2225
2014-12-08,9.2828
2014-12-09,9.3357
2014-12-10,9.4253
2014-12-11,9.4066
2014-12-12,9.4785
2014-12-15,9.4566
2014-12-16,9.5121
2014-12-17,9.3768
2014-12-19,9.3283
2014-12-22,9.3295
2014-12-23,9.2831
2014-12-24,9.3049
2014-12-25,9.3076
2014-12-26,9.2926
2014-12-29,9.2767
2014-12-30,9.2828
2014-12-31,9.2419
2015-01-02,9.1585
2015-01-05,9.1407
2015-01-06,9.1165
2015-01-07,9.0504
2015-01-08,9.0304
2015-01-09,9.055
2015-01-12,8.9887
2015-01-13,8.9652
2015-01-14,9.0057
2015-01-15,8.8674
2015-01-16,8.7985
2015-01-20,8.7949
2015-01-21,8.8326
2015-01-22,8.6804
2015-01-23,8.5713
2015-01-26,8.7118
2015-01-27,8.7993
2015-01-28,8.7071
2015-01-29,8.6976
2015-01-30,8.7784
2015-02-02,8.8182
2015-02-03,8.9085
2015-02-04,8.8365
2015-02-05,8.8976
2015-02-06,8.7895
2015-02-09,8.8086
2015-02-10,8.7921
2015-02-11,8.7679
2015-02-12,8.8751
2015-02-13,8.8748
2015-02-17,8.8805
2015-02-18,8.8523
2015-02-19,8.8059
2015-02-20,8.8236
2015-02-23,8.7977
2015-02-25,8.8053
2015-02-26,8.6623
2015-02-27,8.6547
2015-03-02,8.6553
2015-03-03,8.6842
2015-03-04,8.602
2015-03-05,8.5514
2015-03-06,8.4109
2015-03-09,8.4766
2015-03-10,8.3481
2015-03-11,8.2566
2015-03-12,8.3075
2015-03-13,8.1991
2015-03-16,8.2946
2015-03-17,8.2879
2015-03-18,8.4395
2015-03-19,8.3171
2015-03-20,8.442
2015-03-23,8.5313
2015-03-24,8.4429
2015-03-25,8.473
2015-03-26,8.4116
2015-03-27,8.4467
2015-03-30,8.4333
2015-03-31,8.393
2015-04-01,8.4249
2015-04-02,8.5309
2015-04-03,8.591
2015-04-06,8.5551
2015-04-07,8.4804
2015-04-08,8.4414
2015-04-09,8.3018
2015-04-10,8.2597
2015-04-13,8.2531
2015-04-14,8.3512
2015-04-15,8.3581
2015-04-16,8.4554
2015-04-17,8.3648
2015-04-20,8.3297
2015-04-21,8.3202
2015-04-22,8.3449
2015-04-23,8.4054
2015-04-24,8.4495
2015-04-27,8.4361
2015-04-28,8.4849
2015-04-29,8.5747
2015-04-30,8.6118
2015-05-01,8.6212
2015-05-04,8.6362
2015-05-05,8.6679
2015-05-06,8.77
2015-05-07,8.6703
2015-05-08,8.6586
2015-05-11,8.602
2015-05-12,8.6535
2015-05-13,8.7581
2015-05-14,8.7545
2015-05-15,8.767
2015-05-18,8.6592
2015-05-19,8.564
2015-05-20,8.5752
2015-05-21,8.5919
2015-05-22,8.5235
2015-05-26,8.4436
2015-05-27,8.469
2015-05-28,8.518
2015-05-29,8.6001
2015-06-01,8.5582
2015-06-02,8.738
2015-06-03,8.785
2015-06-04,8.7947
2015-06-05,8.7119
2015-06-08,8.8646
2015-06-09,8.8578
2015-06-10,8.8672
2015-06-11,8.7775
2015-06-12,8.7926
2015-06-15,8.8347
2015-06-16,8.7855
2015-06-17,8.8508
2015-06-18,8.8974
2015-06-19,8.8177
2015-06-22,8.8399
2015-06-23,8.7157
2015-06-24,8.7514
2015-06-25,8.7536
2015-06-26,8.7315
2015-06-29,8.8298
2015-06-30,8.753
2015-07-01,8.6713
2015-07-02,8.6941
2015-07-03,8.7188
2015-07-06,8.7698
2015-07-07,8.6736
2015-07-08,8.7953
2015-07-09,8.7671
2015-07-10,8.8464
2015-07-13,8.7283
2015-07-14,8.7456
2015-07-15,8.6889
2015-07-16,8.6711
2015-07-17,8.6222
2015-07-20,8.6271
2015-07-21,8.7218
2015-07-22,8.6987
2015-07-23,8.7612
2015-07-24,8.7421
2015-07-29,8.8169
2015-07-30,8.7055
2015-07-31,8.7748
2015-08-03,8.7488
2015-08-04,8.7386
2015-08-05,8.6861
2015-08-06,8.7205
2015-08-07,8.7538
2015-08-10,8.7737
2015-08-11,8.7983
2015-08-12,8.9036
2015-08-13,8.9198
2015-08-14,8.8687
2015-09-07,9.0963
2015-09-08,9.1011
2015-09-09,9.1427
2015-09-10,9.175
2015-09-11,9.2045
2015-09-15,9.1234
2015-09-16,9.1169
2015-09-17,9.1523
2015-09-18,9.1687
2015-09-21,9.0095
2015-09-22,9.0087
2015-09-23,9.0695
2015-09-24,9.1013
2015-09-25,9.1093
2015-09-28,9.134
2015-09-29,9.1795
2015-09-30,9.0812
2015-10-01,9.0974
2015-10-02,9.1035
2015-10-05,9.0688
2015-10-06,9.1195
2015-10-07,9.0464
2015-10-08,9.0501
2015-10-09,9.1144
2015-10-13,9.0619
2015-10-14,9.1863
2015-10-15,9.1184
2015-10-16,9.0451
2015-10-19,9.0789
2015-10-20,9.0746
2015-10-21,9.0737
2015-10-22,8.8971
2015-10-23,8.8224
2015-10-26,8.8607
2015-10-27,8.8258
2015-10-28,8.7633
2015-10-29,8.8502
2015-10-30,8.8624
2015-11-02,8.881
2015-11-03,8.8138
2015-11-04,8.7188
2015-11-05,8.7612
2015-11-06,8.6516
2015-11-09,8.7592
2015-11-12,8.7407
2015-11-13,8.6834
2015-11-16,8.6678
2015-11-17,8.6185
2015-11-18,8.6297
2015-11-27,8.5273
2015-11-30,8.5208
2015-12-01,8.5401
2015-12-02,8.5404
2015-12-03,8.7853
2015-12-04,8.7123
2015-12-07,8.6628
2015-12-08,8.7177
2015-12-09,8.8664
2015-12-10,8.8048
2015-12-11,8.8613
2015-12-15,8.7766
2015-12-16,8.7569
2015-12-17,8.681
2015-12-18,8.7606
2015-12-21,8.8149
2015-12-22,8.83
2015-12-23,8.8002
2015-12-24,8.8018
2015-12-29,8.7505
2015-12-30,8.803
2015-12-31,8.7593
2016-01-04,8.7002
2016-01-05,8.6365
2016-01-06,8.704
2016-01-07,8.8106
2016-01-08,8.8456
2016-01-18,8.9619
2016-01-19,8.9916
2016-01-20,8.9275
2016-01-21,8.9563
2016-01-22,8.8213
2016-01-25,8.8549
2016-01-26,8.8482
2016-01-27,8.8875
2016-01-28,8.9109
2016-01-29,8.7602
2016-02-01,8.8894
2016-02-02,8.8928
2016-02-03,9.0347
2016-02-04,9.0619
2016-02-05,8.9523
2016-02-08,9.0973
2016-02-09,9.1782
2016-02-10,9.1932
2016-02-11,9.1857
2016-02-12,9.1125
2016-02-16,8.9837
2016-02-17,9.0034
2016-02-18,8.9489
2016-02-19,8.9717
2016-02-22,8.8963
2016-02-23,8.8434
2016-02-24,8.8414
2016-02-25,8.8811
2016-02-26,8.7769
2016-02-29,8.7757
2016-03-01,8.7677
2016-03-02,8.7625
2016-03-03,8.8383
2016-03-04,8.8171
2016-03-07,8.9479
2016-03-08,8.8041
2016-03-10,8.9048
2016-03-14,8.7721
2016-03-15,8.7887
2016-03-16,8.8853
2016-03-17,8.9818
2016-03-18,8.8523
2016-03-21,8.8558
2016-03-22,8.8675
2016-03-23,8.8034
2016-03-24,8.8016
2016-03-25,9.0921
2016-03-28,8.8872
2016-03-29,8.9404
2016-03-30,8.9562
2016-03-31,8.9333
2016-04-01,8.932
2016-04-04,8.9518
2016-04-05,8.9534
2016-04-06,9.0214
2016-04-07,9.0062
2016-04-08,9.0112
2016-04-11,9.013
2016-04-12,9.0121
2016-04-14,8.8475
2016-04-15,8.8492
2016-04-18,8.9092
2016-04-19,8.8738
2016-04-20,8.895
2016-04-21,8.8161
2016-04-22,8.7331
2016-04-25,8.8265
2016-04-26,8.8258
2016-04-27,8.892
2016-04-28,8.9385
2016-04-29,8.9944
2016-05-02,9.0368
2016-05-03,9.0113
2016-05-04,9.0896
2016-05-05,9.0089
2016-05-06,9.0259
2016-05-09,8.9965
2016-05-10,9.0497
2016-05-11,9.1118
2016-05-12,9.059
2016-05-13,8.9963
2016-05-17,9.0343
2016-05-18,8.9715
2016-05-19,8.9531
2016-05-20,9.005
2016-05-23,8.9993
2016-05-24,8.9495
2016-05-25,8.9632
2016-05-26,8.9823
2016-05-27,8.9215
2016-05-31,8.976
2016-06-01,9.0234
2016-06-02,8.9479
2016-06-03,9.0728
2016-06-06,9.05
2016-06-07,9.0139
2016-06-08,9.0412
2016-06-09,8.9538
2016-06-10,8.9103
2016-06-13,8.9202
2016-06-14,8.8547
2016-06-15,8.938
2016-06-16,8.8681
2016-06-17,8.9527
2016-06-20,8.9805
2016-06-21,8.8985
2016-06-22,8.9373
2016-06-23,8.968
2016-06-24,8.6927
2016-06-27,8.6432
2016-06-28,8.7195
2016-06-29,8.8306
2016-06-30,8.8099
2016-07-01,8.7959
2016-07-05,8.7124
2016-07-06,8.8082
2016-07-07,8.7045
2016-07-08,8.7355
2016-07-11,8.6708
2016-07-12,8.7042
2016-07-13,8.7642
2016-07-14,8.7531
2016-07-15,8.6999
2016-07-20,8.7072
2016-07-21,8.6989
2016-07-22,8.6722
2016-07-25,8.6881
2016-07-26,8.6854
2016-07-27,8.7384
2016-07-28,8.7541
2016-07-29,8.8275
