date,exchange_rate
2014-11-07,17.564
2014-11-10,17.531
2014-11-11,17.544
2014-11-12,17.543
2014-11-13,17.379
2014-11-14,17.714
2014-11-17,17.622
2014-11-18,17.739
2014-11-19,17.539
2014-11-20,17.757
2014-11-21,17.547
2014-11-24,17.616
2014-11-25,17.665
2014-11-26,17.711
2014-11-27,17.659
2014-11-28,17.636
2014-12-01,17.656
2014-12-02,17.461
2014-12-03,17.341
2014-12-04,17.428
2014-12-05,17.244
2014-12-08,17.276
2014-12-09,17.521
2014-12-10,17.611
2014-12-11,17.498
2014-12-12,17.677
2014-12-15,17.604
2014-12-16,17.703
2014-12-17,17.111
2014-12-18,17.383
2014-12-19,17.302
2014-12-22,16.958
2014-12-23,16.857
2014-12-24,17.237
2014-12-25,16.919
2014-12-26,16.848
2014-12-30,16.28
2014-12-31,17.1
2015-01-02,15.845
2015-01-05,16.492
2015-01-06,16.409
2015-01-07,15.99
2015-01-08,15.971
2015-01-12,16.678
2015-01-13,16.579
2015-01-14,16.593
2015-01-15,16.369
2015-01-16,16.168
2015-01-19,16.364
2015-01-20,16.286
2015-01-21,16.374
2015-01-22,15.89
2015-01-23,15.801
2015-01-26,15.863
2015-01-27,15.671
2015-01-28,15.895
2015-01-29,15.619
2015-01-30,15.411
2015-02-02,15.98
2015-02-03,16.147
2015-02-04,15.979
2015-02-05,16.155
2015-02-06,15.883
2015-02-09,15.886
2015-02-10,15.865
2015-02-11,15.419
2015-02-12,15.935
2015-02-13,15.87
2015-02-16,15.862
2015-02-17,15.947
2015-02-18,15.916
2015-02-19,15.853
2015-02-20,15.878
2015-02-23,15.817
2015-02-24,15.578
2015-02-25,15.851
2015-02-26,15.589
2015-02-27,15.734
2015-03-02,15.514
2015-03-03,15.458
2015-03-04,14.875
2015-03-05,14.893
2015-03-06,14.982
2015-03-09,14.587
2015-03-10,14.725
2015-03-11,14.509
2015-03-12,14.623
2015-03-13,14.449
2015-03-16,14.389
2015-03-17,14.242
2015-03-18,14.565
2015-03-19,14.161
2015-03-20,14.486
2015-03-23,14.861
2015-03-24,14.762
2015-03-25,14.999
2015-03-26,14.868
2015-03-27,14.868
2015-03-30,14.807
2015-03-31,14.684
2015-04-01,14.275
2015-04-02,14.426
2015-04-03,14.538
2015-04-06,14.459
2015-04-07,14.426
2015-04-08,14.396
2015-04-09,14.579
2015-04-10,14.488
2015-04-13,14.44
2015-04-14,14.553
2015-04-15,14.584
2015-04-16,14.358
2015-04-17,14.419
2015-04-20,14.662
2015-04-21,14.624
2015-04-22,14.595
2015-04-23,14.727
2015-04-24,14.771
2015-04-27,14.782
2015-04-28,14.904
2015-04-29,14.955
2015-04-30,15.211
2015-05-01,15.147
2015-05-04,15.073
2015-05-05,15.121
2015-05-06,15.312
2015-05-07,15.174
2015-05-08,15.141
2015-05-11,14.996
2015-05-12,15.056
2015-05-13,15.221
2015-05-14,15.06
2015-05-15,15.023
2015-05-18,14.853
2015-05-19,14.6
2015-05-20,14.713
2015-05-21,14.716
2015-05-22,14.752
2015-05-25,14.705
2015-05-26,14.342
2015-05-27,14.573
2015-05-28,14.484
2015-05-29,14.651
2015-06-01,14.563
2015-06-02,14.839
2015-06-03,14.988
2015-06-04,14.872
2015-06-05,14.726
2015-06-08,14.99
2015-06-09,14.967
2015-06-10,15.031
2015-06-11,14.9
2015-06-12,14.779
2015-06-15,14.892
2015-06-16,14.839
2015-06-17,15.007
2015-06-18,15.032
2015-06-19,14.68
2015-06-22,14.665
2015-06-23,14.743
2015-06-24,14.754
2015-06-25,14.758
2015-06-26,14.704
2015-06-29,14.708
2015-06-30,14.627
2015-07-01,14.503
2015-07-02,14.542
2015-07-03,14.588
2015-07-06,14.486
2015-07-07,14.276
2015-07-08,14.582
2015-07-09,14.483
2015-07-10,14.26
2015-07-13,14.489
2015-07-14,14.494
2015-07-15,14.412
2015-07-16,14.205
2015-07-17,14.361
2015-07-20,14.225
2015-07-21,14.353
2015-07-22,14.294
2015-07-23,14.341
2015-07-24,14.323
2015-07-27,14.457
2015-07-28,14.405
2015-07-29,14.275
2015-07-30,14.292
2015-07-31,14.36
2015-08-03,14.837
2015-08-04,14.21
2015-08-05,14.212
2015-08-06,14.285
2015-08-07,14.314
2015-08-10,14.43
2015-08-11,14.411
2015-08-12,14.58
2015-08-13,14.551
2015-08-14,14.515
2015-08-17,14.454
2015-08-18,14.361
2015-08-19,14.505
2015-08-20,14.659
2015-08-21,14.844
2015-08-24,15.254
2015-08-25,15.053
2015-08-26,14.767
2015-08-27,14.801
2015-08-28,14.589
2015-08-31,14.264
2015-09-01,14.738
2015-09-02,14.634
2015-09-03,14.507
2015-09-04,14.55
2015-09-07,14.526
2015-09-08,14.754
2015-09-09,14.64
2015-09-10,14.847
2015-09-11,14.803
2015-09-14,14.397
2015-09-15,14.598
2015-09-16,14.733
2015-09-17,14.905
2015-09-18,14.771
2015-09-21,14.513
2015-09-22,14.466
2015-09-23,14.78
2015-09-24,14.75
2015-09-25,14.258
2015-09-28,14.3
2015-09-29,14.86
2015-09-30,14.59
2015-10-01,14.614
2015-10-02,14.639
2015-10-05,14.613
2015-10-06,14.895
2015-10-07,14.857
2015-10-08,14.881
2015-10-09,14.98
2015-10-12,14.978
2015-10-13,15.021
2015-10-14,14.978
2015-10-15,14.514
2015-10-16,14.474
2015-10-19,14.414
2015-10-20,14.949
2015-10-21,15.031
2015-10-22,14.162
2015-10-23,14.025
2015-10-26,14.064
2015-10-27,14.025
2015-10-28,14.272
2015-10-29,13.959
2015-10-30,13.955
2015-11-02,13.947
2015-11-03,13.865
2015-11-04,13.718
2015-11-05,14.198
2015-11-06,13.814
2015-11-09,14.086
2015-11-10,14.028
2015-11-11,13.713
2015-11-12,13.752
2015-11-13,13.763
2015-11-16,13.437
2015-11-17,13.806
2015-11-18,13.593
2015-11-19,13.675
2015-11-20,13.544
2015-11-23,13.91
2015-11-24,13.275
2015-11-25,13.893
2015-11-26,13.872
2015-11-27,13.851
2015-11-30,13.426
2015-12-01,13.491
2015-12-02,13.445
2015-12-03,13.229
2015-12-04,13.245
2015-12-07,14.281
2015-12-08,14.135
2015-12-09,14.442
2015-12-10,14.073
2015-12-11,14.406
2015-12-14,14.396
2015-12-15,14.332
2015-12-16,14.294
2015-12-17,14.15
2015-12-18,13.805
2015-12-21,14.314
2015-12-22,14.311
2015-12-23,13.855
2015-12-24,14.34
2015-12-28,14.117
2015-12-29,14.474
2015-12-30,14.039
2015-12-31,13.961
2016-01-04,13.858
2016-01-05,14.108
2016-01-06,14.126
2016-01-07,13.999
2016-01-08,14.001
2016-01-11,13.916
2016-01-12,14.211
2016-01-13,14.24
2016-01-14,14.216
2016-01-15,13.99
2016-01-18,14.004
2016-01-19,13.993
2016-01-20,14.229
2016-01-21,13.836
2016-01-22,14.114
2016-01-25,14.527
2016-01-26,14.175
2016-01-27,14.529
2016-01-28,14.864
2016-01-29,14.47
2016-02-01,14.98
2016-02-02,15.082
2016-02-03,16.318
2016-02-04,14.909
2016-02-05,14.915
2016-02-08,14.734
2016-02-09,14.743
2016-02-10,14.956
2016-02-11,15.613
2016-02-12,16.348
2016-02-15,14.384
2016-02-16,14.358
2016-02-17,14.657
2016-02-18,14.75
2016-02-19,13.534
2016-02-22,13.511
2016-02-23,15.423
2016-02-24,15.392
2016-02-26,14.537
2016-02-29,14.315
2016-03-01,14.459
2016-03-02,14.609
2016-03-03,14.723
2016-03-04,14.372
2016-03-07,14.317
2016-03-08,14.414
2016-03-09,13.941
2016-03-10,14.542
2016-03-11,14.527
2016-03-14,14.945
2016-03-15,14.713
2016-03-16,14.912
2016-03-17,15.078
2016-03-18,14.984
2016-03-21,14.92
2016-03-22,15.011
2016-03-23,14.918
2016-03-24,15.065
2016-03-25,15.047
2016-03-28,15.205
2016-03-29,14.718
2016-03-30,14.973
2016-03-31,15.35
2016-04-01,15.214
2016-04-04,15.197
2016-04-05,15.116
2016-04-06,15.299
2016-04-07,15.144
2016-04-08,15.17
2016-04-11,15.419
2016-04-12,15.205
2016-04-13,15.046
2016-04-14,15.486
2016-04-15,15.881
2016-04-18,14.77
2016-04-19,14.825
2016-04-20,14.751
2016-04-21,15.052
2016-04-22,14.266
2016-04-25,15.182
2016-04-26,14.874
2016-04-27,15.392
2016-04-28,16.136
2016-04-29,14.983
2016-05-02,15.053
2016-05-03,15.423
2016-05-04,15.004
2016-05-05,14.89
2016-05-06,15.177
2016-05-09,15.182
2016-05-10,15.141
2016-05-11,15.249
2016-05-12,15.162
2016-05-13,15.053
2016-05-16,15.061
2016-05-17,15.355
2016-05-18,14.874
2016-05-19,15.368
2016-05-20,15.036
2016-05-23,14.858
2016-05-24,14.756
2016-05-25,14.84
2016-05-26,14.883
2016-05-27,14.486
2016-05-30,14.521
2016-05-31,14.813
2016-06-01,14.848
2016-06-02,14.873
2016-06-03,15.151
2016-06-06,14.8
2016-06-07,14.796
2016-06-08,14.808
2016-06-09,14.7
2016-06-10,14.617
2016-06-13,14.713
2016-06-14,14.919
2016-06-15,14.626
2016-06-16,14.924
2016-06-17,14.833
2016-06-20,14.824
2016-06-21,14.614
2016-06-22,14.835
2016-06-23,14.854
2016-06-24,14.576
2016-06-27,14.416
2016-06-28,14.099
2016-06-29,14.499
2016-06-30,14.461
2016-07-01,14.509
2016-07-04,14.532
2016-07-05,14.345
2016-07-06,14.431
2016-07-07,14.649
2016-07-08,14.422
2016-07-11,14.672
2016-07-12,14.656
2016-07-13,14.433
2016-07-14,14.794
2016-07-15,14.547
2016-07-18,14.747
2016-07-19,14.36
2016-07-20,14.533
2016-07-21,14.445
2016-07-22,14.269
2016-07-25,14.317
2016-07-26,14.675
2016-07-27,14.735
2016-07-28,14.824
2016-07-29,14.952
2016-08-01,14.853
2016-08-02,14.824
2016-08-03,14.721
2016-08-04,14.688
2016-08-05,14.63
2016-08-08,14.571
2016-08-09,14.493
2016-08-10,14.654
2016-08-11,14.721
2016-08-12,15.054
2016-08-15,15.082
2016-08-16,14.927
2016-08-17,15.129
2016-08-18,14.963
2016-08-19,15.132
2016-08-22,14.907
2016-08-23,14.886
2016-08-24,14.835
2016-08-25,14.849
2016-08-26,14.834
2016-08-29,14.82
2016-08-30,14.621
2016-08-31,14.665
2016-09-01,14.715
2016-09-02,14.83
2016-09-05,14.722
2016-09-06,14.872
2016-09-07,15.024
2016-09-08,14.941
2016-09-09,14.768
2016-09-12,15.05
2016-09-13,15.049
2016-09-14,15.092
2016-09-15,15.078
2016-09-16,14.835
2016-09-19,14.94
2016-09-20,14.832
2016-09-21,14.882
2016-09-22,14.908
2016-09-23,14.845
2016-09-26,14.991
2016-09-27,14.862
2016-09-28,15.03
2016-09-29,14.97
2016-09-30,14.994
2016-10-03,14.795
2016-10-04,14.94
2016-10-05,14.821
2016-10-06,14.831
2016-10-07,14.693
2016-10-10,14.981
2016-10-11,14.737
2016-10-12,14.766
2016-10-13,14.696
2016-10-14,14.467
2016-10-17,14.82
2016-10-18,14.631
2016-10-19,14.758
2016-10-20,14.616
2016-10-21,14.563
2016-10-24,14.249
2016-10-25,14.535
2016-10-26,14.514
2016-10-27,14.644
2016-10-28,14.588
2016-10-31,14.571
2016-11-01,14.643
2016-11-02,14.609
2016-11-03,14.892
2016-11-04,14.937
2016-11-07,14.916
2016-11-08,14.812
2016-11-09,14.417
2016-11-10,14.655
2016-11-11,14.561
2016-11-14,14.155
2016-11-15,14.197
2016-11-16,14.283
2016-11-17,13.898
2016-11-18,14.327
2016-11-21,14.301
2016-11-22,14.196
2016-11-23,14.245
2016-11-24,13.966
2016-11-25,14.161
2016-11-28,14.216
2016-11-29,14.153
2016-11-30,14.071
2016-12-01,14.362
2016-12-02,14.374
2016-12-05,14.309
2016-12-06,14.203
2016-12-07,14.446
2016-12-08,14.249
2016-12-09,14.15
2016-12-12,14.23
2016-12-13,14.24
2016-12-14,14.112
2016-12-15,14.077
2016-12-16,14.107
2016-12-19,14.072
2016-12-20,14.051
2016-12-21,13.925
2016-12-22,13.755
2016-12-23,13.865
2016-12-26,13.887
2016-12-27,14.092
2016-12-28,13.739
2016-12-29,13.969
2016-12-30,14.154
2017-01-02,13.68
2017-01-03,13.578
2017-01-04,13.792
2017-01-05,14.049
2017-01-06,13.941
2017-01-09,14.051
2017-01-10,14.346
2017-01-11,14.232
2017-01-12,14.283
2017-01-13,14.111
2017-01-16,14.265
2017-01-17,14.56
2017-01-18,14.369
2017-01-19,14.201
2017-01-20,14.365
2017-01-23,14.516
2017-01-24,14.333
2017-01-25,14.52
2017-01-26,14.532
2017-01-27,14.076
2017-01-30,14.368
2017-01-31,14.452
2017-02-01,14.328
2017-02-02,14.676
2017-02-03,14.417
2017-02-06,14.327
2017-02-07,14.29
2017-02-08,14.262
2017-02-09,14.225
2017-02-10,14.447
2017-02-13,14.479
2017-02-14,14.159
2017-02-15,14.415
2017-02-16,14.284
2017-02-17,14.213
2017-02-20,14.334
2017-02-21,14.092
2017-02-22,14.119
2017-02-23,14.001
2017-02-24,14.247
2017-02-27,14.318
2017-02-28,14.101
2017-03-01,14.292
2017-03-02,14.0
2017-03-03,14.161
2017-03-06,14.187
2017-03-07,14.167
2017-03-08,14.092
2017-03-09,14.26
2017-03-10,14.548
2017-03-13,14.385
2017-03-14,14.373
2017-03-15,14.495
2017-03-16,14.452
2017-03-17,14.403
2017-03-20,14.225
2017-03-21,14.531
2017-03-22,14.559
2017-03-23,14.714
2017-03-24,14.736
2017-03-27,14.82
2017-03-28,14.494
2017-03-29,14.606
2017-03-30,14.399
2017-03-31,14.513
2017-04-03,14.476
2017-04-04,14.378
2017-04-05,14.436
2017-04-06,14.447
2017-04-07,14.382
2017-04-10,14.146
2017-04-11,14.5
2017-04-12,14.585
2017-04-13,13.944
2017-04-14,14.337
2017-04-17,14.18
2017-04-18,14.293
2017-04-19,14.449
2017-04-20,14.445
2017-04-21,14.562
2017-04-24,14.746
2017-04-25,14.831
2017-04-26,14.875
2017-04-27,14.834
2017-04-28,14.635
2017-05-01,14.829
2017-05-02,14.858
2017-05-03,14.727
2017-05-04,14.932
2017-05-05,14.764
2017-05-08,14.85
2017-05-09,14.655
2017-05-10,14.621
2017-05-11,14.754
2017-05-12,14.594
2017-05-15,14.768
2017-05-16,14.904
2017-05-17,15.149
2017-05-18,15.21
2017-05-19,15.345
2017-05-22,15.184
2017-05-23,15.198
2017-05-24,15.238
2017-05-25,15.373
2017-05-26,15.052
2017-05-29,15.024
2017-05-30,15.221
2017-05-31,15.178
2017-06-01,15.152
2017-06-02,15.048
2017-06-05,15.265
2017-06-06,15.247
2017-06-07,15.219
2017-06-08,15.162
2017-06-09,15.18
2017-06-12,14.968
2017-06-13,14.975
2017-06-14,15.011
2017-06-15,15.501
2017-06-16,15.1
2017-06-19,14.665
2017-06-20,14.741
2017-06-21,15.192
2017-06-22,14.739
2017-06-23,14.847
2017-06-26,14.743
2017-06-27,15.429
2017-06-28,15.498
2017-06-29,15.583
2017-06-30,15.465
2017-07-03,15.504
2017-07-04,15.606
2017-07-05,15.243
2017-07-06,15.465
2017-07-07,15.439
2017-07-10,15.449
2017-07-11,15.325
2017-07-12,15.6
2017-07-13,15.338
2017-07-14,15.318
2017-07-17,15.803
2017-07-18,15.315
2017-07-19,15.472
2017-07-20,15.611
2017-07-21,15.747
2017-07-24,15.778
2017-07-25,15.786
2017-07-26,16.092
2017-07-27,15.909
2017-07-28,16.006
2017-07-31,15.871
2017-08-01,16.026
2017-08-02,16.001
2017-08-03,16.023
2017-08-04,16.058
2017-08-07,16.14
2017-08-08,16.155
2017-08-09,15.852
2017-08-10,15.572
2017-08-11,15.648
2017-08-14,15.267
2017-08-15,16.129
2017-08-16,15.127
2017-08-17,15.756
2017-08-18,15.879
2017-08-21,15.583
2017-08-22,16.081
2017-08-23,16.191
2017-08-24,16.163
2017-08-25,16.265
2017-08-28,16.333
2017-08-29,16.321
2017-08-30,16.209
2017-08-31,16.17
2017-09-01,16.094
2017-09-04,16.298
2017-09-05,16.233
2017-09-06,16.112
2017-09-07,16.162
2017-09-08,16.558
2017-09-11,16.459
2017-09-12,16.313
2017-09-13,15.925
2017-09-14,15.957
2017-09-15,16.246
2017-09-18,16.265
2017-09-19,16.251
2017-09-20,16.106
2017-09-21,16.364
2017-09-22,16.366
2017-09-25,16.119
2017-09-26,16.221
2017-09-27,16.109
2017-09-28,16.168
2017-09-29,16.283
2017-10-02,16.16
2017-10-03,16.169
2017-10-04,15.912
2017-10-05,15.843
2017-10-06,15.99
2017-10-09,16.086
2017-10-10,15.977
2017-10-11,16.015
2017-10-12,16.106
2017-10-13,16.136
2017-10-16,16.226
2017-10-17,16.19
2017-10-18,15.947
2017-10-19,15.68
2017-10-20,16.087
2017-10-23,15.96
2017-10-24,16.273
2017-10-25,16.351
2017-10-26,16.107
2017-10-27,16.322
2017-10-30,16.148
2017-10-31,16.196
2017-11-01,15.728
2017-11-02,16.254
2017-11-03,16.183
2017-11-06,16.136
2017-11-07,15.786
2017-11-08,16.292
2017-11-09,15.584
2017-11-10,16.224
2017-11-13,16.271
2017-11-14,16.409
2017-11-15,16.162
2017-11-16,15.622
2017-11-17,16.294
2017-11-20,16.418
2017-11-21,16.152
2017-11-22,16.122
2017-11-23,16.124
2017-11-24,16.282
2017-11-27,16.661
2017-11-28,16.526
2017-11-29,16.528
2017-11-30,15.867
2017-12-01,15.827
2017-12-04,16.664
2017-12-05,16.263
2017-12-06,16.606
2017-12-07,16.499
2017-12-08,16.494
2017-12-11,16.013
2017-12-12,16.411
2017-12-13,16.556
2017-12-14,16.357
2017-12-15,16.364
2017-12-18,16.199
2017-12-19,16.735
2017-12-20,16.567
2017-12-21,16.479
2017-12-22,16.464
2017-12-25,16.473
