date,exchange_rate
2014-11-07,7.0714
2014-11-10,7.0549
2014-11-11,7.0834
2014-11-12,7.0715
2014-11-13,7.097
2014-11-14,7.1123
2014-11-17,7.0695
2014-11-18,7.1157
2014-11-19,7.125
2014-11-20,7.1352
2014-11-21,7.0503
2014-11-24,7.077
2014-11-25,7.0963
2014-11-26,7.1018
2014-11-27,7.081
2014-11-28,7.0714
2014-12-01,7.0952
2014-12-02,7.0448
2014-12-03,7.0014
2014-12-04,7.0416
2014-12-05,6.987
2014-12-08,6.9929
2014-12-09,7.0403
2014-12-10,7.0803
2014-12-11,7.0549
2014-12-12,7.0986
2014-12-15,7.0776
2014-12-16,7.1049
2014-12-17,7.0033
2014-12-18,6.9888
2014-12-19,6.9562
2014-12-22,6.9548
2014-12-23,6.924
2014-12-24,6.9548
2014-12-25,6.9423
2014-12-26,6.918
2014-12-30,6.9029
2014-12-31,6.8697
2015-01-01,6.8719
2015-01-02,6.8256
2015-01-05,7.1135
2015-01-06,7.0738
2015-01-07,7.0521
2015-01-08,7.024
2015-01-09,7.0544
2015-01-12,7.0506
2015-01-13,7.0282
2015-01-14,7.0246
2015-01-15,6.9356
2015-01-16,6.893
2015-01-19,6.9159
2015-01-20,6.884
2015-01-21,6.9211
2015-01-22,6.7623
2015-01-23,6.6877
2015-01-26,6.709
2015-01-27,6.7869
2015-01-28,6.7172
2015-01-29,6.7373
2015-01-30,6.7023
2015-02-02,6.7304
2015-02-03,6.8219
2015-02-04,6.7472
2015-02-05,6.8248
2015-02-06,6.7292
2015-02-09,6.736
2015-02-10,6.7289
2015-02-11,6.7392
2015-02-12,6.7804
2015-02-13,6.7697
2015-02-16,6.752
2015-02-17,6.7878
2015-02-18,6.7822
2015-02-19,6.7715
2015-02-20,6.7821
2015-02-23,6.7559
2015-02-24,6.7558
2015-02-25,6.7483
2015-02-26,6.6593
2015-02-27,6.6877
2015-03-02,6.6625
2015-03-03,6.6488
2015-03-04,6.5909
2015-03-05,6.5731
2015-03-06,6.4639
2015-03-09,6.451
2015-03-10,6.3692
2015-03-11,6.3013
2015-03-12,6.3286
2015-03-13,6.2576
2015-03-16,6.2862
2015-03-17,6.3008
2015-03-18,6.4524
2015-03-19,6.3455
2015-03-20,6.4436
2015-03-23,6.53
2015-03-24,6.4896
2015-03-25,6.5219
2015-03-26,6.4566
2015-03-27,6.4707
2015-03-30,6.4408
2015-03-31,6.3873
2015-04-01,6.4063
2015-04-02,6.4799
2015-04-03,6.5289
2015-04-06,6.5033
2015-04-07,6.4485
2015-04-08,6.4253
2015-04-09,6.3438
2015-04-10,6.305
2015-04-13,6.2879
2015-04-14,6.3372
2015-04-15,6.3506
2015-04-16,6.3997
2015-04-17,6.4273
2015-04-20,6.3973
2015-04-21,6.3869
2015-04-22,6.3766
2015-04-23,6.4365
2015-04-24,6.4598
2015-04-27,6.4591
2015-04-28,6.5171
2015-04-29,6.6225
2015-04-30,6.6905
2015-05-01,6.6729
2015-05-04,6.6294
2015-05-05,6.6503
2015-05-06,6.7577
2015-05-07,6.6961
2015-05-08,6.6594
2015-05-11,6.6321
2015-05-12,6.6711
2015-05-13,6.7542
2015-05-14,6.7954
2015-05-15,6.8112
2015-05-18,6.7305
2015-05-19,6.6295
2015-05-20,6.6116
2015-05-21,6.6068
2015-05-22,6.5608
2015-05-25,6.5397
2015-05-26,6.4864
2015-05-27,6.4861
2015-05-28,6.5357
2015-05-29,6.5379
2015-06-01,6.5097
2015-06-02,6.6431
2015-06-03,6.7036
2015-06-04,6.6643
