date,exchange_rate
2014-11-07,9.21501
2014-11-10,9.23199
2014-11-11,9.2139
2014-11-12,9.24188
2014-11-13,9.26995
2014-11-14,9.22807
2014-11-17,9.25765
2014-11-18,9.24304
2014-11-19,9.27438
2014-11-20,9.27196
2014-11-21,9.25563
2014-11-24,9.2593
2014-11-25,9.2613
2014-11-26,9.2522
2014-11-27,9.26204
2014-11-28,9.26507
2014-12-01,9.27121
2014-12-02,9.3151
2014-12-03,9.2608
2014-12-04,9.2737
2014-12-05,9.26671
2014-12-08,9.29036
2014-12-09,9.31723
2014-12-10,9.37064
2014-12-11,9.32653
2014-12-12,9.4167
2014-12-15,9.49638
2014-12-16,9.52061
2014-12-17,9.45783
2014-12-18,9.4429
2014-12-19,9.45345
2014-12-22,9.5304
2014-12-23,9.4951
2014-12-24,9.48839
2014-12-25,9.50515
2014-12-26,9.565
2014-12-30,9.40248
2014-12-31,9.4677
2015-01-01,9.43101
2015-01-02,9.50511
2015-01-05,9.4651
2015-01-06,9.41067
2015-01-07,9.43118
2015-01-08,9.4636
2015-01-09,9.53348
2015-01-12,9.5589
2015-01-13,9.4945
2015-01-14,9.52968
2015-01-15,9.42427
2015-01-16,9.36066
2015-01-19,9.43865
2015-01-20,9.4331
2015-01-21,9.48057
2015-01-22,9.3601
2015-01-23,9.34027
2015-01-26,9.34478
2015-01-27,9.29735
2015-01-28,9.3647
2015-01-29,9.3613
2015-01-30,9.35
2015-02-02,9.42456
2015-02-03,9.4325
2015-02-04,9.39032
2015-02-05,9.46046
2015-02-06,9.49463
2015-02-09,9.4639
2015-02-10,9.4221
2015-02-11,9.4978
2015-02-12,9.6227
2015-02-13,9.57164
2015-02-16,9.54998
2015-02-17,9.49116
2015-02-18,9.52038
2015-02-19,9.56961
2015-02-20,9.52823
2015-02-23,9.53384
2015-02-24,9.52422
2015-02-25,9.4093
2015-02-26,9.40254
2015-02-27,9.3299
2015-03-02,9.31962
2015-03-03,9.24574
2015-03-04,9.224
2015-03-05,9.19811
2015-03-06,9.174
2015-03-09,9.20147
2015-03-10,9.158
2015-03-11,9.0969
2015-03-12,9.1277
2015-03-13,9.15214
2015-03-16,9.14985
2015-03-17,9.20295
2015-03-18,9.3263
2015-03-19,9.25281
2015-03-20,9.33566
2015-03-23,9.30492
2015-03-24,9.279
2015-03-25,9.3019
2015-03-26,9.349
2015-03-27,9.3505
2015-03-30,9.3169
2015-03-31,9.2647
2015-04-01,9.32227
2015-04-02,9.384
2015-04-03,9.38778
2015-04-06,9.36268
2015-04-07,9.38278
2015-04-08,9.355
2015-04-09,9.34
2015-04-10,9.35582
2015-04-13,9.315
2015-04-14,9.33221
2015-04-15,9.3116
2015-04-16,9.24296
2015-04-17,9.3276
2015-04-20,9.35056
2015-04-21,9.30192
2015-04-22,9.36292
2015-04-23,9.34081
2015-04-24,9.37175
2015-04-27,9.35988
2015-04-28,9.3361
2015-04-29,9.26773
2015-04-30,9.3503
2015-05-01,9.40991
2015-05-04,9.33302
2015-05-05,9.33594
2015-05-06,9.32789
2015-05-07,9.30477
2015-05-08,9.2475
2015-05-11,9.25586
2015-05-12,9.34208
2015-05-13,9.3495
2015-05-14,9.3996
2015-05-15,9.375
2015-05-18,9.3165
2015-05-19,9.2978
2015-05-20,9.25676
2015-05-21,9.263
2015-05-22,9.22053
2015-05-25,9.2275
2015-05-26,9.2198
2015-05-27,9.2721
2015-05-28,9.26977
2015-05-29,9.35775
2015-06-01,9.375
2015-06-02,9.414
2015-06-03,9.35716
2015-06-04,9.2998
2015-06-05,9.29956
2015-06-08,9.3631
2015-06-09,9.35459
2015-06-10,9.35096
2015-06-11,9.23478
2015-06-12,9.21344
2015-06-15,9.20413
2015-06-16,9.1905
2015-06-17,9.1921
2015-06-18,9.2344
2015-06-19,9.205
2015-06-22,9.23526
2015-06-23,9.2245
2015-06-24,9.2302
2015-06-25,9.23848
2015-06-26,9.27426
2015-06-29,9.2391
2015-06-30,9.23799
2015-07-01,9.2592
2015-07-02,9.3701
2015-07-03,9.3908
2015-07-06,9.357
2015-07-07,9.36205
2015-07-08,9.368
2015-07-09,9.36531
2015-07-10,9.38963
2015-07-13,9.33659
2015-07-14,9.3591
2015-07-15,9.31184
2015-07-16,9.29864
2015-07-17,9.36134
2015-07-20,9.33334
2015-07-21,9.33931
2015-07-22,9.39077
2015-07-23,9.40705
2015-07-24,9.4195
2015-07-27,9.43448
2015-07-28,9.46514
2015-07-29,9.48515
2015-07-30,9.42484
2015-07-31,9.46723
2015-08-03,9.4725
2015-08-04,9.47653
2015-08-05,9.48196
2015-08-06,9.5472
2015-08-07,9.60998
