date,exchange_rate
2014-11-07,1.6049
2014-11-10,1.603
2014-11-11,1.6115
2014-11-12,1.6028
2014-11-13,1.6112
2014-11-14,1.6247
2014-11-17,1.6158
2014-11-18,1.6259
2014-11-19,1.6427
2014-11-20,1.6296
2014-11-21,1.6093
2014-11-24,1.6203
2014-11-25,1.6215
2014-11-26,1.6226
2014-11-27,1.6185
2014-11-28,1.6227
2014-12-01,1.6273
2014-12-02,1.6233
2014-12-03,1.6151
2014-12-04,1.6231
2014-12-05,1.6237
2014-12-08,1.624
2014-12-09,1.6286
2014-12-10,1.6318
2014-12-11,1.6287
2014-12-12,1.6367
2014-12-15,1.632
2014-12-16,1.6288
2014-12-17,1.6171
2014-12-18,1.6147
2014-12-19,1.61
2014-12-22,1.6124
2014-12-23,1.613
2014-12-24,1.6126
2014-12-25,1.6154
2014-12-26,1.6125
2014-12-30,1.6059
2014-12-31,1.6031
2015-01-01,1.6003
2015-01-02,1.5974
2015-01-05,1.5919
2015-01-06,1.5839
2015-01-07,1.5842
2015-01-08,1.5766
2015-01-09,1.5782
2015-01-12,1.5786
2015-01-13,1.57
2015-01-14,1.5723
2015-01-15,1.5414
2015-01-16,1.5337
2015-01-19,1.5449
2015-01-20,1.5445
2015-01-21,1.5503
2015-01-22,1.5224
2015-01-23,1.5049
2015-01-26,1.5103
2015-01-27,1.5216
2015-01-28,1.5255
2015-01-29,1.5326
2015-01-30,1.5267
2015-02-02,1.5321
2015-02-03,1.5437
2015-02-04,1.5285
2015-02-05,1.5425
2015-02-06,1.5285
2015-02-09,1.533
2015-02-10,1.5329
2015-02-11,1.5412
2015-02-12,1.5455
2015-02-13,1.5385
2015-02-16,1.5383
2015-02-17,1.5461
2015-02-18,1.5455
2015-02-19,1.5433
2015-02-20,1.546
2015-02-23,1.5407
2015-02-24,1.5392
2015-02-25,1.5381
2015-02-26,1.5192
2015-02-27,1.5248
2015-03-02,1.5269
2015-03-03,1.5231
2015-03-04,1.5155
2015-03-05,1.5121
2015-03-06,1.4911
2015-03-09,1.4969
2015-03-10,1.4858
2015-03-11,1.4641
2015-03-12,1.4668
2015-03-13,1.461
2015-03-16,1.4693
2015-03-17,1.4707
2015-03-18,1.4919
2015-03-19,1.4795
2015-03-20,1.4903
2015-03-23,1.4965
2015-03-24,1.4912
2015-03-25,1.5016
2015-03-26,1.4901
2015-03-27,1.4899
2015-03-30,1.4903
2015-03-31,1.4742
2015-04-01,1.4673
2015-04-02,1.4762
2015-04-03,1.4796
2015-04-06,1.4802
2015-04-07,1.4721
2015-04-08,1.4636
2015-04-09,1.4492
2015-04-10,1.4491
2015-04-13,1.4505
2015-04-14,1.4484
2015-04-15,1.448
2015-04-16,1.4527
2015-04-17,1.4511
2015-04-20,1.4475
2015-04-21,1.4509
2015-04-22,1.4446
2015-04-23,1.4515
2015-04-24,1.4459
2015-04-27,1.4439
2015-04-28,1.4457
2015-04-29,1.4692
2015-04-30,1.4842
2015-05-01,1.4874
2015-05-04,1.4838
2015-05-05,1.4893
2015-05-06,1.5018
2015-05-07,1.4974
2015-05-08,1.486
2015-05-11,1.4908
2015-05-12,1.4972
2015-05-13,1.5031
2015-05-14,1.5059
2015-05-15,1.5102
2015-05-18,1.5027
2015-05-19,1.4886
2015-05-20,1.4828
2015-05-21,1.4839
2015-05-22,1.4693
2015-05-25,1.4721
2015-05-26,1.4687
2015-05-27,1.4726
2015-05-28,1.4779
2015-05-29,1.4789
2015-06-01,1.4821
2015-06-02,1.5031
2015-06-03,1.5131
2015-06-04,1.5106
2015-06-05,1.5052
2015-06-08,1.5263
2015-06-09,1.5232
2015-06-10,1.5193
2015-06-11,1.5114
2015-06-12,1.5108
2015-06-15,1.5167
2015-06-16,1.5093
2015-06-17,1.5159
2015-06-18,1.5164
2015-06-19,1.5122
2015-06-22,1.5144
2015-06-23,1.4972
2015-06-24,1.5053
2015-06-25,1.5034
2015-06-26,1.5047
2015-06-29,1.5096
2015-06-30,1.4991
2015-07-01,1.4939
2015-07-02,1.4944
2015-07-03,1.4934
2015-07-06,1.49
2015-07-07,1.4906
2015-07-08,1.495
2015-07-09,1.494
2015-07-10,1.5042
2015-07-13,1.4932
2015-07-14,1.4986
2015-07-15,1.4957
2015-07-16,1.4855
2015-07-17,1.4786
2015-07-20,1.4845
2015-07-21,1.4909
2015-07-22,1.4914
2015-07-23,1.5035
2015-07-24,1.5032
2015-07-27,1.5179
2015-07-28,1.5075
2015-07-29,1.5039
2015-07-30,1.5029
2015-07-31,1.5046
2015-08-03,1.5087
2015-08-04,1.5034
2015-08-05,1.5082
2015-08-06,1.5115
2015-08-07,1.5136
2015-08-10,1.5209
2015-08-11,1.5482
2015-08-12,1.5607
2015-08-13,1.5581
2015-08-14,1.5599
2015-08-17,1.5585
2015-08-18,1.5479
2015-08-19,1.5591
2015-08-20,1.5761
2015-08-21,1.6009
2015-08-24,1.6357
2015-08-25,1.6191
2015-08-26,1.5941
2015-08-27,1.5723
2015-08-28,1.575
2015-08-31,1.5822
2015-09-01,1.597
2015-09-02,1.588
2015-09-03,1.5751
2015-09-04,1.5857
2015-09-07,1.5941
2015-09-08,1.5884
2015-09-09,1.5917
2015-09-10,1.5943
2015-09-11,1.5992
2015-09-14,1.589
2015-09-15,1.5795
2015-09-16,1.5774
2015-09-17,1.5942
2015-09-18,1.581
2015-09-21,1.5769
2015-09-22,1.5775
2015-09-23,1.5951
2015-09-24,1.5921
2015-09-25,1.5928
2015-09-28,1.6047
2015-09-29,1.607
2015-09-30,1.5901
2015-10-01,1.6004
2015-10-02,1.6046
2015-10-05,1.589
2015-10-06,1.5999
2015-10-07,1.586
2015-10-08,1.5857
2015-10-09,1.5805
2015-10-12,1.588
2015-10-13,1.596
2015-10-14,1.582
2015-10-15,1.5692
2015-10-16,1.5683
2015-10-19,1.5731
2015-10-20,1.5785
2015-10-21,1.5807
2015-10-22,1.5482
2015-10-23,1.534
2015-10-26,1.5396
2015-10-27,1.5415
2015-10-28,1.5324
2015-10-29,1.5415
2015-10-30,1.54
2015-11-02,1.54
2015-11-03,1.5299
2015-11-04,1.5244
2015-11-05,1.5307
2015-11-06,1.5246
2015-11-09,1.5302
2015-11-10,1.5238
2015-11-11,1.5266
2015-11-12,1.5327
2015-11-13,1.5318
2015-11-16,1.5185
2015-11-17,1.5159
2015-11-18,1.5151
2015-11-19,1.5163
2015-11-20,1.5008
2015-11-23,1.5066
2015-11-24,1.5004
2015-11-25,1.4913
2015-11-26,1.4937
2015-11-27,1.4926
2015-11-30,1.4912
2015-12-01,1.4941
2015-12-02,1.4974
2015-12-03,1.525
2015-12-04,1.5182
2015-12-07,1.5227
2015-12-08,1.5334
2015-12-09,1.5471
2015-12-10,1.5356
2015-12-11,1.5484
2015-12-14,1.5477
2015-12-15,1.5366
2015-12-16,1.5321
2015-12-17,1.5366
2015-12-18,1.535
2015-12-21,1.535
2015-12-22,1.5371
2015-12-23,1.532
2015-12-24,1.5388
2015-12-25,1.5396
2015-12-28,1.5444
2015-12-29,1.5425
2015-12-30,1.5462
2015-12-31,1.5365
2016-01-01,1.5367
2016-01-04,1.5424
2016-01-05,1.5329
2016-01-06,1.5469
2016-01-07,1.5641
2016-01-08,1.5717
2016-01-11,1.5564
2016-01-12,1.5596
2016-01-13,1.5635
2016-01-14,1.56
2016-01-15,1.5679
2016-01-18,1.5666
2016-01-19,1.5683
2016-01-20,1.565
2016-01-21,1.5586
2016-01-22,1.5416
2016-01-25,1.5507
2016-01-26,1.5492
2016-01-27,1.5603
2016-01-28,1.5604
2016-01-29,1.5397
2016-02-01,1.5486
2016-02-02,1.5611
2016-02-03,1.5677
2016-02-04,1.5655
2016-02-05,1.5698
2016-02-08,1.5737
2016-02-09,1.5759
2016-02-10,1.5691
2016-02-11,1.5709
2016-02-12,1.5711
2016-02-15,1.5619
2016-02-16,1.5643
2016-02-17,1.562
2016-02-18,1.5579
2016-02-19,1.5622
2016-02-22,1.5425
2016-02-23,1.5518
2016-02-24,1.5473
2016-02-25,1.5442
2016-02-26,1.5346
2016-02-29,1.5283
2016-03-01,1.5214
2016-03-02,1.5184
2016-03-03,1.5196
2016-03-04,1.5083
2016-03-07,1.5179
2016-03-08,1.522
2016-03-09,1.517
2016-03-10,1.5425
2016-03-11,1.5264
2016-03-14,1.528
2016-03-15,1.5336
2016-03-16,1.5313
2016-03-17,1.5276
2016-03-18,1.5278
2016-03-21,1.529
2016-03-22,1.5257
2016-03-23,1.5278
2016-03-24,1.5297
2016-03-25,1.53
2016-03-28,1.5333
2016-03-29,1.53
2016-03-30,1.531
2016-03-31,1.5336
2016-04-01,1.5342
2016-04-04,1.5402
2016-04-05,1.5416
2016-04-06,1.534
2016-04-07,1.5378
2016-04-08,1.536
2016-04-11,1.5316
2016-04-12,1.5286
2016-04-13,1.5251
2016-04-14,1.5349
2016-04-15,1.5319
2016-04-18,1.5275
2016-04-19,1.5181
2016-04-20,1.5192
2016-04-21,1.5231
2016-04-22,1.5174
2016-04-25,1.5232
2016-04-26,1.5265
2016-04-27,1.527
2016-04-28,1.5261
2016-04-29,1.5368
2016-05-02,1.5454
2016-05-03,1.5542
2016-05-04,1.5586
2016-05-05,1.5478
2016-05-06,1.5496
2016-05-09,1.5618
2016-05-10,1.5547
2016-05-11,1.5607
2016-05-12,1.5613
2016-05-13,1.549
2016-05-16,1.5496
2016-05-17,1.5486
2016-05-18,1.5501
2016-05-19,1.5452
2016-05-20,1.5487
2016-05-23,1.5454
2016-05-24,1.5384
2016-05-25,1.5373
2016-05-26,1.5371
2016-05-27,1.5306
2016-05-30,1.5382
2016-05-31,1.5332
2016-06-01,1.5403
2016-06-02,1.5344
2016-06-03,1.5411
2016-06-06,1.54
2016-06-07,1.5352
2016-06-08,1.534
2016-06-09,1.5309
2016-06-10,1.528
2016-06-13,1.5306
2016-06-14,1.5194
2016-06-15,1.5219
2016-06-16,1.5148
2016-06-17,1.519
2016-06-20,1.5195
2016-06-21,1.5115
2016-06-22,1.5147
2016-06-23,1.5248
2016-06-24,1.5019
2016-06-27,1.4998
2016-06-28,1.4978
2016-06-29,1.4978
2016-06-30,1.4959
2016-07-01,1.4961
2016-07-04,1.5003
2016-07-05,1.4956
2016-07-06,1.4984
2016-07-07,1.4929
2016-07-08,1.4832
2016-07-11,1.4932
2016-07-12,1.4897
2016-07-13,1.4944
2016-07-14,1.4925
2016-07-15,1.4839
2016-07-18,1.4933
2016-07-19,1.4907
2016-07-20,1.4951
2016-07-21,1.4933
2016-07-22,1.489
2016-07-25,1.4974
2016-07-26,1.4923
2016-07-27,1.4961
2016-07-28,1.4985
2016-07-29,1.4946
2016-08-01,1.4984
2016-08-02,1.5034
2016-08-03,1.4956
2016-08-04,1.4938
