date,exchange_rate
2014-11-24,0.7872
2014-11-25,0.7892
2014-11-26,0.7868
2014-11-27,0.7876
2014-11-28,0.7908
2014-12-01,0.7877
2014-12-02,0.7867
2014-12-03,0.7797
2014-12-04,0.7849
2014-12-05,0.7834
2014-12-08,0.7814
2014-12-09,0.7847
2014-12-10,0.7869
2014-12-11,0.7834
2014-12-12,0.7879
2014-12-15,0.7903
2014-12-16,0.7895
2014-12-17,0.7871
2014-12-18,0.7792
2014-12-19,0.7775
2014-12-22,0.7795
2014-12-23,0.7794
2014-12-24,0.7792
2014-12-25,0.7801
2014-12-26,0.7778
2014-12-29,0.7786
2014-12-30,0.7763
2014-12-31,0.7717
2015-01-01,0.7717
2015-01-02,0.778
2015-01-05,0.7773
2015-01-06,0.7791
2015-01-07,0.7784
2015-01-08,0.7767
2015-01-09,0.7764
2015-01-12,0.7751
2015-01-13,0.7717
2015-01-14,0.7689
2015-01-15,0.7613
2015-01-16,0.7584
2015-01-19,0.7632
2015-01-20,0.7577
2015-01-21,0.7621
2015-01-22,0.7519
2015-01-23,0.7426
2015-01-26,0.7404
2015-01-27,0.7437
2015-01-28,0.7397
2015-01-29,0.7465
2015-01-30,0.745
2015-02-02,0.7494
2015-02-03,0.7522
2015-02-04,0.7415
2015-02-05,0.7437
2015-02-06,0.7373
2015-02-09,0.7394
2015-02-10,0.7368
2015-02-11,0.7385
2015-02-12,0.7362
2015-02-13,0.734
2015-02-16,0.7337
2015-02-17,0.7386
2015-02-18,0.7334
2015-02-19,0.7322
2015-02-20,0.734
2015-02-23,0.7286
2015-02-24,0.729
2015-02-25,0.7268
2015-02-26,0.7219
2015-02-27,0.7206
2015-03-02,0.7229
2015-03-03,0.7228
2015-03-04,0.7209
2015-03-05,0.7184
2015-03-06,0.7158
2015-03-09,0.7124
2015-03-10,0.7044
2015-03-11,0.7014
2015-03-12,0.7085
2015-03-13,0.7074
2015-03-16,0.7082
2015-03-17,0.7134
2015-03-18,0.7197
2015-03-19,0.718
2015-03-20,0.7184
2015-03-23,0.7272
2015-03-24,0.7302
2015-03-25,0.7317
2015-03-26,0.7276
2015-03-27,0.7268
2015-03-30,0.7265
2015-03-31,0.7192
2015-04-01,0.7213
2015-04-02,0.7281
2015-04-03,0.7302
2015-04-06,0.7293
2015-04-07,0.7252
2015-04-08,0.7199
2015-04-09,0.7197
2015-04-10,0.7202
2015-04-13,0.7156
2015-04-14,0.7159
2015-04-15,0.7151
2015-04-16,0.7156
2015-04-17,0.7174
2015-04-20,0.7157
2015-04-21,0.7143
2015-04-22,0.7081
2015-04-23,0.7137
2015-04-24,0.711
2015-04-27,0.7093
2015-04-28,0.7106
2015-04-29,0.7155
2015-04-30,0.7254
2015-05-01,0.7346
2015-05-04,0.7324
2015-05-05,0.732
2015-05-06,0.7392
2015-05-07,0.7254
2015-05-08,0.7213
2015-05-11,0.7108
2015-05-12,0.7109
2015-05-13,0.7164
2015-05-14,0.718
2015-05-15,0.7231
2015-05-18,0.7177
2015-05-19,0.7133
2015-05-20,0.7091
2015-05-21,0.7043
2015-05-22,0.706
2015-05-25,0.7044
2015-05-26,0.7023
2015-05-27,0.7053
2015-05-28,0.7113
2015-05-29,0.7141
2015-06-01,0.7139
2015-06-02,0.7219
2015-06-03,0.7296
2015-06-04,0.7248
2015-06-05,0.7228
2015-06-08,0.7306
2015-06-09,0.728
2015-06-10,0.725
2015-06-11,0.7197
2015-06-12,0.7185
2015-06-15,0.7182
2015-06-16,0.7137
2015-06-17,0.7113
2015-06-18,0.7112
2015-06-19,0.7099
2015-06-22,0.7118
2015-06-23,0.7051
2015-06-24,0.7085
2015-06-25,0.7063
2015-06-26,0.7039
2015-06-29,0.708
2015-06-30,0.7048
2015-07-01,0.7025
2015-07-02,0.7055
2015-07-03,0.7091
2015-07-06,0.7035
2015-07-07,0.7067
2015-07-08,0.7155
2015-07-09,0.7149
2015-07-10,0.7141
2015-07-13,0.7057
2015-07-14,0.6994
2015-07-15,0.6955
2015-07-16,0.6922
2015-07-17,0.6892
2015-07-20,0.6907
2015-07-21,0.698
2015-07-22,0.6948
2015-07-23,0.7029
2015-07-24,0.7031
2015-07-27,0.7076
2015-07-28,0.7035
2015-07-29,0.699
2015-07-30,0.696
2015-07-31,0.6981
2015-08-03,0.6976
2015-08-04,0.6947
2015-08-05,0.6938
2015-08-06,0.6994
2015-08-07,0.7026
2015-08-10,0.7018
2015-08-11,0.7038
2015-08-12,0.7094
2015-08-13,0.7095
2015-08-14,0.7052
2015-08-17,0.7057
2015-08-18,0.699
2015-08-19,0.704
2015-08-20,0.7109
2015-08-21,0.7205
2015-08-24,0.7313
2015-08-25,0.7293
2015-08-26,0.7273
2015-08-27,0.7248
2015-08-28,0.7214
2015-08-31,0.7258
2015-09-01,0.7336
2015-09-02,0.7278
2015-09-03,0.724
2015-09-04,0.7296
2015-09-07,0.7263
2015-09-08,0.723
2015-09-09,0.7256
2015-09-10,0.7263
2015-09-11,0.73
2015-09-14,0.7284
2015-09-15,0.7295
2015-09-16,0.7236
2015-09-17,0.7281
2015-09-18,0.7234
2015-09-21,0.7161
2015-09-22,0.72
2015-09-23,0.7288
2015-09-24,0.729
2015-09-25,0.7326
2015-09-28,0.7358
2015-09-29,0.7377
2015-09-30,0.7336
2015-10-01,0.7344
2015-10-02,0.7332
2015-10-05,0.7339
2015-10-06,0.7348
2015-10-07,0.7289
2015-10-08,0.7305
2015-10-09,0.7362
2015-10-12,0.7352
2015-10-13,0.7414
2015-10-14,0.7363
2015-10-15,0.7301
2015-10-16,0.7302
2015-10-19,0.7274
2015-10-20,0.73
2015-10-21,0.7306
2015-10-22,0.7165
2015-10-23,0.7146
2015-10-26,0.7155
2015-10-27,0.7158
2015-10-28,0.7107
2015-10-29,0.7124
2015-10-30,0.7084
2015-11-02,0.7094
2015-11-03,0.7058
2015-11-04,0.7011
2015-11-05,0.7104
2015-11-06,0.7086
2015-11-09,0.7064
2015-11-10,0.7041
2015-11-11,0.7022
2015-11-12,0.7048
