date,exchange_rate
2022-08-01,14.2936
2022-08-02,14.136
2022-08-03,14.0788
2022-08-04,14.2195
2022-08-05,14.1291
2022-08-08,14.2732
2022-08-09,14.2749
2022-08-10,14.3944
2022-08-11,14.421
2022-08-12,14.3422
2022-08-15,14.2588
2022-08-16,14.2117
2022-08-17,14.2431
2022-08-18,14.1435
2022-08-19,14.0892
2022-08-22,13.9606
2022-08-23,13.9968
2022-08-24,14.0243
2022-08-25,14.077
2022-08-26,14.0519
2022-08-29,14.166
2022-08-30,14.1918
2022-08-31,14.2431
2022-09-01,14.1305
2022-09-02,14.1665
2022-09-05,14.1299
2022-09-06,14.0894
2022-09-07,14.3529
2022-09-08,14.3544
2022-09-09,14.4327
2022-09-12,14.5726
2022-09-13,14.4418
2022-09-14,14.4971
2022-09-15,14.6486
2022-09-16,14.7174
2022-09-19,14.7427
2022-09-20,14.9029
2022-09-21,14.7393
2022-09-22,14.7796
2022-09-23,14.8469
2022-09-26,14.6171
2022-09-27,14.6361
2022-09-28,15.1174
2022-09-29,15.215
2022-09-30,15.5041
2022-10-03,15.5947
2022-10-04,15.8627
2022-10-05,15.825
2022-10-06,15.8034
2022-10-07,15.9963
2022-10-10,15.9458
2022-10-11,15.9874
2022-10-12,15.9806
2022-10-13,16.3399
2022-10-14,16.0676
2022-10-17,16.5095
2022-10-18,16.6598
2022-10-19,16.4644
2022-10-20,16.4761
2022-10-21,16.7244
2022-10-24,16.9196
2022-10-25,16.9095
2022-10-26,17.3162
2022-10-27,17.1586
2022-10-28,17.2266
2022-10-31,17.1694
2022-11-01,17.1915
2022-11-02,17.1786
2022-11-03,17.1568
2022-11-04,17.5968
2022-11-07,17.7012
2022-11-08,17.784
2022-11-09,17.8543
2022-11-10,18.2098
2022-11-11,18.5868
2022-11-14,18.5038
2022-11-15,18.6615
2022-11-16,18.7365
2022-11-17,19.7343
2022-11-18,18.668
2022-11-21,18.6366
2022-11-22,18.6557
2022-11-23,18.9541
2022-11-24,18.9671
2022-11-25,19.007
2022-11-28,18.8356
2022-11-29,18.9191
2022-11-30,19.0542
2022-12-01,19.3523
2022-12-02,19.4273
2022-12-05,19.3479
2022-12-06,19.2978
2022-12-07,19.3693
2022-12-08,19.4638
2022-12-09,19.5281
2022-12-12,19.4896
2022-12-13,19.8243
2022-12-14,19.8181
2022-12-15,19.8551
2022-12-16,19.8566
2022-12-19,19.8841
2022-12-20,19.9072
2022-12-21,19.9891
2022-12-22,19.9445
2022-12-23,20.0249
2022-12-26,20.0513
2022-12-27,19.886
2022-12-28,20.0139
2022-12-29,20.1965
2022-12-30,20.173
2023-01-02,20.0859
2023-01-03,20.0512
2023-01-04,20.062
2023-01-05,19.9169
2023-01-06,20.1426
2023-01-09,20.5035
2023-01-10,20.4951
2023-01-11,20.5242
2023-01-12,20.7422
2023-01-13,20.6918
2023-01-16,20.6796
2023-01-17,20.6935
2023-01-18,20.7208
2023-01-19,20.7928
2023-01-20,20.8445
2023-01-23,20.9212
2023-01-24,21.006
2023-01-25,21.1246
2023-01-26,21.1459
2023-01-27,21.0768
2023-01-30,21.0723
2023-01-31,21.0829
2023-02-01,21.4216
2023-02-02,21.2418
2023-02-03,21.1517
2023-02-06,21.0245
2023-02-07,21.0617
2023-02-08,21.0852
2023-02-09,21.1538
2023-02-10,21.0712
2023-02-13,21.1642
2023-02-14,21.2573
2023-02-15,21.1608
2023-02-16,21.1324
2023-02-17,21.2149
2023-02-20,21.2021
2023-02-21,21.2867
2023-02-22,21.2049
2023-02-23,21.2492
2023-02-24,21.1638
2023-02-27,21.418
2023-02-28,21.3466
2023-03-01,21.6554
2023-03-02,21.4853
2023-03-03,21.7249
2023-03-06,21.6911
2023-03-07,21.4186
2023-03-08,21.4713
2023-03-09,21.5276
2023-03-10,21.7134
2023-03-13,21.9108
2023-03-14,22.0617
2023-03-15,21.6529
2023-03-16,21.8535
2023-03-17,21.8621
2023-03-20,22.046
2023-03-21,21.6986
2023-03-22,22.5978
2023-03-23,22.5415
2023-03-24,22.3534
2023-03-27,22.5796
2023-03-28,22.6004
2023-03-29,22.9183
2023-03-30,22.9495
2023-03-31,22.8137
2023-04-03,23.2658
2023-04-04,23.2863
2023-04-05,23.4038
2023-04-06,23.4291
2023-04-07,23.3984
2023-04-10,23.1742
2023-04-11,23.2755
2023-04-12,23.4541
2023-04-13,23.8532
2023-04-14,23.8822
2023-04-17,23.7049
2023-04-18,24.0772
2023-04-19,24.0534
2023-04-20,24.0603
2023-04-21,24.1565
2023-04-24,24.5249
2023-04-25,24.1751
2023-04-26,24.3331
2023-04-27,24.4646
2023-04-28,24.5072
2023-05-01,24.4096
2023-05-02,24.4723
2023-05-03,24.8063
2023-05-04,24.7135
2023-05-05,24.8609
2023-05-08,24.8403
2023-05-09,24.75
2023-05-10,25.0206
2023-05-11,24.8951
2023-05-12,24.7835
2023-05-15,24.8636
2023-05-16,24.8076
2023-05-17,24.98
2023-05-18,24.6389
2023-05-19,24.755
2023-05-22,24.5923
2023-05-23,24.4019
2023-05-24,24.2624
2023-05-25,24.2272
2023-05-26,24.2409
2023-05-29,24.2466
