date,exchange_rate
2014-11-24,5467.63
2014-11-25,5482.57
2014-11-26,5490.18
2014-11-27,5474.18
2014-11-28,5444.33
2014-12-01,5463.03
2014-12-02,5411.81
2014-12-03,5372.34
2014-12-04,5403.18
2014-12-05,5336.73
2014-12-08,5344.48
2014-12-09,5358.86
2014-12-10,5376.85
2014-12-11,5351.4
2014-12-12,5406.11
2014-12-15,5349.96
2014-12-16,5373.76
2014-12-17,5288.29
2014-12-18,5258.28
2014-12-19,5221.57
2014-12-22,5214.8
2014-12-23,5182.78
2014-12-24,5253.0
2014-12-25,5195.86
2014-12-26,5177.65
2014-12-29,5163.72
2014-12-30,5154.23
2014-12-31,5129.41
2015-01-01,5131.08
2015-01-02,5081.56
2015-01-05,5047.41
2015-01-06,5015.9
2015-01-07,5000.5
2015-01-08,4980.6
2015-01-09,5002.13
2015-01-12,4993.55
2015-01-13,4963.46
2015-01-14,4975.11
2015-01-15,4907.99
2015-01-16,4882.39
2015-01-19,4893.19
2015-01-20,4840.92
2015-01-21,4832.19
2015-01-22,4747.44
2015-01-23,4650.3
2015-01-26,4705.24
2015-01-27,4753.77
2015-01-28,4729.4
2015-01-29,4864.78
2015-01-30,4853.26
2015-02-02,4867.94
2015-02-03,4931.55
2015-02-04,4871.87
2015-02-05,4950.86
2015-02-06,4892.86
2015-02-09,4909.54
2015-02-10,4920.92
2015-02-11,4928.43
2015-02-12,4958.53
2015-02-13,4950.72
2015-02-16,4988.84
2015-02-17,5015.32
2015-02-18,5016.91
2015-02-19,5000.56
2015-02-20,4979.96
2015-02-23,4960.69
2015-02-24,4967.63
2015-02-25,4971.41
2015-02-26,4898.06
2015-02-27,4896.46
2015-03-02,4920.11
2015-03-03,4918.26
2015-03-04,4869.93
2015-03-05,4854.18
2015-03-06,4768.12
2015-03-09,4766.65
2015-03-10,4703.7
2015-03-11,4635.22
2015-03-12,4657.82
2015-03-13,4610.8
2015-03-16,4639.67
2015-03-17,4648.28
2015-03-18,4748.83
2015-03-19,4667.37
2015-03-20,4731.55
2015-03-23,4789.46
2015-03-24,4757.33
2015-03-25,4778.44
2015-03-26,4729.87
2015-03-27,4740.18
2015-03-30,4704.92
2015-03-31,4671.3
2015-04-01,4683.0
2015-04-02,4731.0
2015-04-03,4769.29
2015-04-06,4750.59
2015-04-07,4708.05
2015-04-08,4739.66
2015-04-09,4682.16
2015-04-10,4653.52
2015-04-13,4640.92
2015-04-14,4682.64
2015-04-15,4687.17
2015-04-16,4723.36
2015-04-17,4743.71
2015-04-20,4701.19
2015-04-21,4697.84
2015-04-22,4695.63
2015-04-23,4734.26
2015-04-24,4751.83
2015-04-27,4753.47
2015-04-28,4794.28
2015-04-29,4851.86
2015-04-30,4895.85
2015-05-01,4871.79
2015-05-04,4846.0
2015-05-05,4863.46
2015-05-06,4939.75
2015-05-07,4896.97
2015-05-08,4870.14
