date,exchange_rate
2014-11-24,957.57
2014-11-25,952.33
2014-11-26,905.24
2014-11-28,940.08
2014-12-01,948.17
2014-12-02,949.47
2014-12-03,929.35
2014-12-04,920.91
2014-12-05,915.09
2014-12-08,908.13
2014-12-09,912.71
2014-12-10,915.83
2014-12-11,910.55
2014-12-12,909.64
2014-12-15,908.01
2014-12-16,913.08
2014-12-17,857.31
2014-12-18,890.5
2014-12-19,894.3
2014-12-22,892.41
2014-12-23,894.59
2014-12-24,894.1
2014-12-25,894.06
2014-12-26,888.46
2014-12-29,888.68
2014-12-30,887.29
2014-12-31,877.59
2015-01-02,870.15
2015-01-05,859.18
2015-01-06,867.8
2015-01-07,864.14
2015-01-08,860.25
2015-01-09,864.23
2015-01-12,857.33
2015-01-13,849.91
2015-01-14,848.74
2015-01-15,836.85
2015-01-16,826.94
2015-01-20,826.1
2015-01-21,826.14
2015-01-22,806.18
2015-01-23,793.08
2015-01-26,801.06
2015-01-27,807.79
2015-01-28,801.18
2015-01-29,797.33
2015-01-30,796.89
2015-02-02,800.61
2015-02-03,809.61
2015-02-04,793.29
2015-02-05,807.78
2015-02-06,798.17
2015-02-09,799.42
2015-02-10,795.92
2015-02-11,794.76
2015-02-12,798.61
2015-02-13,791.65
2015-02-17,794.0
2015-02-18,792.32
2015-02-19,792.22
2015-02-20,791.18
2015-02-23,789.57
2015-02-24,790.75
2015-02-25,793.05
2015-02-26,783.77
2015-02-27,782.21
2015-03-02,783.89
2015-03-03,785.42
2015-03-04,778.31
2015-03-05,771.88
2015-03-06,759.14
2015-03-09,756.77
2015-03-10,748.75
2015-03-11,739.13
2015-03-12,749.46
2015-03-13,738.48
2015-03-16,745.86
2015-03-17,747.45
2015-03-18,757.58
2015-03-19,746.08
2015-03-20,755.56
2015-03-23,771.75
2015-03-24,769.41
2015-03-25,768.06
2015-03-26,761.81
2015-03-27,764.79
2015-03-30,758.81
2015-03-31,753.37
2015-04-01,753.09
2015-04-02,763.92
2015-04-03,770.94
2015-04-06,764.88
2015-04-07,757.46
2015-04-08,755.94
2015-04-09,751.61
2015-04-10,731.54
2015-04-13,737.55
2015-04-14,745.91
2015-04-15,747.93
2015-04-16,752.14
2015-04-17,752.15
2015-04-20,751.58
2015-04-21,752.43
2015-04-22,751.49
2015-04-23,757.53
2015-04-24,760.32
2015-04-27,767.21
2015-04-28,768.25
2015-04-29,779.17
2015-04-30,783.06
2015-05-01,779.32
2015-05-04,776.12
2015-05-05,777.66
2015-05-06,789.71
2015-05-07,782.87
2015-05-08,780.19
2015-05-11,776.09
2015-05-12,781.59
2015-05-13,789.54
2015-05-14,795.53
2015-05-15,795.43
2015-05-18,786.11
2015-05-19,779.28
2015-05-20,776.43
2015-05-21,777.65
2015-05-22,765.11
2015-05-26,761.24
2015-05-27,768.44
2015-05-28,766.63
2015-05-29,768.75
2015-06-01,765.01
2015-06-02,780.31
2015-06-03,781.81
2015-06-04,782.52
2015-06-05,772.43
2015-06-08,791.17
2015-06-09,789.2
2015-06-10,792.08
2015-06-11,788.49
2015-06-12,793.6
2015-06-15,795.36
2015-06-16,786.86
2015-06-17,794.46
2015-06-18,797.98
2015-06-19,795.2
2015-06-22,793.59
2015-06-23,775.63
2015-06-24,778.51
2015-06-25,781.17
2015-06-26,775.23
2015-06-29,780.73
2015-06-30,774.7
2015-07-01,769.15
2015-07-02,770.29
2015-07-03,771.17
2015-07-06,768.57
2015-07-07,759.62
2015-07-08,764.58
2015-07-09,761.68
2015-07-10,771.63
2015-07-13,750.87
2015-07-14,750.61
2015-07-15,744.28
2015-07-16,743.58
2015-07-17,737.47
2015-07-20,737.68
2015-07-21,747.14
2015-07-22,750.66
2015-07-23,717.4
2015-07-24,746.48
2015-07-29,739.33
2015-07-30,730.94
2015-07-31,734.52
2015-08-03,735.76
2015-08-04,734.34
2015-08-05,730.29
2015-08-06,732.07
2015-08-07,734.75
2015-08-10,737.94
2015-08-11,740.89
2015-08-12,748.4
2015-08-13,747.01
2015-08-14,744.81
2015-09-07,725.7
2015-09-08,733.7
2015-09-09,728.34
2015-09-10,733.49
2015-09-11,742.88
2015-09-15,733.76
2015-09-16,727.73
2015-09-17,738.15
2015-09-18,722.52
2015-09-21,710.73
2015-09-22,706.66
2015-09-23,710.12
2015-09-24,717.68
2015-09-25,723.78
2015-09-28,729.58
2015-09-29,725.27
2015-09-30,720.08
2015-10-01,715.59
2015-10-02,718.06
2015-10-05,715.48
2015-10-06,722.2
2015-10-07,719.08
2015-10-08,721.33
2015-10-09,728.31
2015-10-13,728.26
2015-10-14,734.22
2015-10-15,733.74
2015-10-16,728.25
2015-10-19,725.98
2015-10-20,726.76
2015-10-21,727.09
2015-10-22,712.33
2015-10-23,704.05
2015-10-26,708.24
2015-10-27,695.57
2015-10-28,682.9
2015-10-29,680.19
2015-10-30,681.59
2015-11-02,688.25
2015-11-03,684.42
2015-11-04,679.49
2015-11-05,674.92
2015-11-06,661.8
2015-11-09,661.54
2015-11-10,658.03
2015-11-12,662.45
2015-11-13,651.97
2015-11-16,647.36
2015-11-17,649.24
2015-11-18,654.01
2015-11-27,648.89
2015-11-30,644.48
2015-12-01,642.01
2015-12-02,636.92
2015-12-03,667.52
2015-12-04,657.54
2015-12-07,661.47
2015-12-08,658.98
2015-12-09,667.61
2015-12-10,661.3
2015-12-11,670.23
2015-12-15,666.42
2015-12-16,665.28
2015-12-17,660.28
2015-12-18,663.01
2015-12-21,665.7
2015-12-22,668.96
2015-12-23,665.08
2015-12-24,665.41
2015-12-28,678.04
2015-12-29,674.42
2015-12-30,673.54
2015-12-31,670.82
2016-01-04,668.66
2016-01-05,659.91
2016-01-06,659.42
2016-01-07,668.24
2016-01-08,668.34
2016-01-18,670.75
2016-01-19,672.04
2016-01-20,670.73
2016-01-21,668.89
2016-01-22,661.1
2016-01-25,662.9
2016-01-26,662.5
2016-01-27,664.39
2016-01-28,673.97
2016-01-29,660.58
2016-02-01,666.98
2016-02-02,672.38
2016-02-03,683.08
