date,exchange_rate
2014-11-24,4.0731
2014-11-25,4.0843
2014-11-26,4.1258
2014-11-27,4.1107
2014-11-28,4.0771
2014-12-01,4.0836
2014-12-02,4.0852
2014-12-03,4.0296
2014-12-04,4.0528
2014-12-05,4.0214
2014-12-08,4.0318
2014-12-09,4.052
2014-12-10,4.0626
2014-12-11,4.0605
2014-12-12,4.0801
2014-12-15,4.0735
2014-12-16,4.0964
2014-12-17,4.0378
2014-12-18,4.0532
2014-12-19,4.0344
2014-12-22,4.0032
2014-12-23,3.9851
2014-12-24,3.9941
2014-12-25,4.0027
2014-12-26,3.9887
2014-12-29,3.9808
2014-12-30,3.98
2014-12-31,3.9608
2015-01-01,3.9621
2015-01-02,3.9588
2015-01-05,3.9067
2015-01-06,3.9166
2015-01-07,3.875
2015-01-08,3.8595
2015-01-09,3.9058
2015-01-12,3.9031
2015-01-13,3.8554
2015-01-14,3.8599
2015-01-15,3.8078
2015-01-16,3.7879
2015-01-19,3.8008
2015-01-20,3.8119
2015-01-21,3.803
2015-01-22,3.7474
2015-01-23,3.6967
2015-01-26,3.681
2015-01-27,3.7234
2015-01-28,3.6911
2015-01-29,3.7083
2015-01-30,3.6839
2015-02-02,3.6994
2015-02-03,3.7434
2015-02-04,3.7387
2015-02-05,3.7852
2015-02-06,3.7321
2015-02-09,3.7363
2015-02-10,3.7331
2015-02-11,3.698
2015-02-12,3.7206
2015-02-13,3.7546
2015-02-16,3.705
2015-02-17,3.7247
2015-02-18,3.7216
2015-02-19,3.7095
2015-02-20,3.7153
2015-02-23,3.7009
2015-02-24,3.7009
2015-02-25,3.7083
2015-02-26,3.6542
2015-02-27,3.6535
2015-03-02,3.6498
2015-03-03,3.6484
2015-03-04,3.6167
2015-03-05,3.6009
2015-03-06,3.541
2015-03-09,3.5399
2015-03-10,3.4892
2015-03-11,3.4417
2015-03-12,3.467
2015-03-13,3.4281
2015-03-16,3.4495
2015-03-17,3.4575
2015-03-18,3.5347
2015-03-19,3.482
2015-03-20,3.5299
2015-03-23,3.5772
2015-03-24,3.5614
2015-03-25,3.5788
2015-03-26,3.549
2015-03-27,3.5567
2015-03-30,3.5343
2015-03-31,3.505
2015-04-01,3.5154
2015-04-02,3.5498
2015-04-03,3.5827
2015-04-06,3.5686
2015-04-07,3.5326
2015-04-08,3.5199
2015-04-09,3.4811
2015-04-10,3.4598
2015-04-13,3.4505
2015-04-14,3.4775
2015-04-15,3.4849
2015-04-16,3.5118
2015-04-17,3.5269
2015-04-20,3.5049
2015-04-21,3.5048
2015-04-22,3.4991
2015-04-23,3.532
2015-04-24,3.5451
2015-04-27,3.5504
2015-04-28,3.5825
2015-04-29,3.628
2015-04-30,3.6763
2015-05-01,3.6667
2015-05-04,3.649
2015-05-05,3.6604
2015-05-06,3.7022
2015-05-07,3.6744
2015-05-08,3.6542
2015-05-11,3.6393
2015-05-12,3.6607
2015-05-13,3.7064
2015-05-14,3.7226
2015-05-15,3.7375
2015-05-18,3.6932
2015-05-19,3.6378
2015-05-20,3.6219
2015-05-21,3.6254
2015-05-22,3.5944
2015-05-25,3.5829
2015-05-26,3.5534
2015-05-27,3.5592
2015-05-28,3.5804
2015-05-29,3.5876
2015-06-01,3.5661
2015-06-02,3.6392
2015-06-03,3.6785
2015-06-04,3.6569
2015-06-05,3.6264
2015-06-08,3.6834
2015-06-09,3.6803
2015-06-10,3.696
2015-06-11,3.6693
2015-06-12,3.6755
2015-06-15,3.6811
2015-06-16,3.6708
2015-06-17,3.6997
2015-06-18,3.7116
2015-06-19,3.7058
2015-06-22,3.7023
2015-06-23,3.6457
2015-06-24,3.6559
2015-06-25,3.6563
2015-06-26,3.6444
2015-06-29,3.6605
2015-06-30,3.6348
2015-07-01,3.6075
2015-07-02,3.6172
2015-07-03,3.6286
2015-07-06,3.6191
2015-07-07,3.6023
2015-07-08,3.6252
2015-07-09,3.6087
2015-07-10,3.64
2015-07-13,3.5924
2015-07-14,3.6061
2015-07-15,3.5855
2015-07-16,3.5502
2015-07-17,3.5351
2015-07-20,3.5336
2015-07-21,3.5805
2015-07-22,3.5665
2015-07-23,3.5966
2015-07-24,3.5936
2015-07-27,3.6189
2015-07-28,3.61
2015-07-29,3.5858
2015-07-30,3.5681
2015-07-31,3.5848
2015-08-03,3.5749
2015-08-04,3.5543
2015-08-05,3.5575
2015-08-06,3.5662
2015-08-07,3.5768
2015-08-10,3.5963
2015-08-11,3.6039
2015-08-12,3.6412
2015-08-13,3.6397
