date,exchange_rate
2023-10-28,21895.579307
2023-10-30,21970.163315
2023-10-31,21896.82484
2023-11-01,21906.096225
2023-11-02,21971.209989
2023-11-03,22221.237546
2023-11-04,22221.237546
2023-11-05,22204.802903
2023-11-06,22189.013271
2023-11-07,22142.082817
2023-11-08,22166.517384
2023-11-09,22077.728661
2023-11-10,22177.102714
2023-11-12,22177.102714
2023-11-13,22118.90297
2023-11-14,22523.008513
2023-11-15,22455.944634
2023-11-16,22463.499773
2023-11-17,22594.805475
2023-11-18,22594.805475
2023-11-19,22580.020604
2023-11-20,22643.139945
2023-11-21,22584.947979
2023-11-22,22533.319848
2023-11-23,22571.659656
2023-11-24,22662.748242
2023-11-25,22662.748242
2023-11-26,22653.300654
2023-11-27,22674.026156
2023-11-28,22758.796792
2023-11-29,22711.347238
2023-11-30,22540.684304
2023-12-01,22545.582023
2023-12-02,22533.309653
2023-12-03,22538.966508
2023-12-04,22426.01781
2023-12-05,22346.119016
2023-12-06,22282.848616
2023-12-07,22344.804001
2023-12-08,22276.373449
2023-12-09,22298.954388
2023-12-10,22269.902044
2023-12-11,22276.261517
2023-12-12,22342.330148
2023-12-13,22506.979484
2023-12-14,22753.790942
2023-12-15,22548.038101
2023-12-16,22576.230721
2023-12-17,22566.966909
2023-12-18,22608.266485
2023-12-19,22728.292629
2023-12-20,22641.531577
2023-12-21,22777.949463
2023-12-22,22790.74078
2023-12-23,22818.997257
2023-12-24,22819.006169
2023-12-25,22783.841225
2023-12-26,22853.788826
2023-12-27,22986.774255
2023-12-28,22903.55261
2023-12-29,22847.59719
2023-12-30,22880.706472
2023-12-31,22880.763795
2024-01-01,22864.376174
2024-01-02,22647.949794
2024-01-03,22603.081754
2024-01-04,22655.780259
2024-01-05,22639.538345
2024-01-06,22674.011637
2024-01-07,22674.01975
2024-01-08,22673.649453
2024-01-09,22616.171602
2024-01-10,22691.546857
2024-01-11,22702.74709
2024-01-12,22673.897835
2024-01-13,22690.076581
2024-01-14,22690.150003
2024-01-15,22665.414305
2024-01-16,22501.473529
2024-01-17,22506.734746
2024-01-18,22485.46288
2024-01-19,22543.37201
2024-01-20,22591.01535
2024-01-21,22591.056238
2024-01-22,22525.840321
2024-01-23,22447.786179
2024-01-24,22535.405277
2024-01-25,22411.448287
2024-01-26,22474.719997
2024-01-27,22485.484733
2024-01-28,22485.472897
2024-01-29,22393.873517
2024-01-30,22447.79418
2024-01-31,22481.203958
2024-02-01,22504.411851
2024-02-02,22341.405446
2024-02-03,22367.722106
2024-02-04,22367.734888
2024-02-05,22227.453491
2024-02-06,22253.603638
2024-02-07,22298.452431
2024-02-08,22302.6598
2024-02-09,22326.353608
2024-02-10,22321.889102
2024-02-11,22321.895248
2024-02-12,22298.337354
2024-02-13,22159.147235
2024-02-14,22205.042087
2024-02-15,22289.327548
2024-02-16,22313.837555
2024-02-17,22307.454519
2024-02-18,22307.473614
2024-02-19,22310.353273
2024-02-20,22372.805196
2024-02-21,22385.755007
2024-02-22,22400.892558
2024-02-23,22399.436562
2024-02-24,22423.456614
2024-02-25,22423.467947
2024-02-26,22448.265861
2024-02-27,22454.970147
2024-02-28,22427.475805
2024-02-29,22365.315725
2024-03-01,22440.474462
2024-03-02,22458.646709
2024-03-03,22458.76189
2024-03-04,22471.30396
2024-03-05,22462.400572
2024-03-06,22563.165047
2024-03-07,22648.71386
2024-03-08,22635.711053
2024-03-09,22652.826978
2024-03-10,22652.978631
2024-03-11,22607.404744
2024-03-12,22606.163154
2024-03-13,22672.54036
2024-03-14,22534.669223
2024-03-15,22539.93508
2024-03-16,22557.867775
2024-03-17,22557.869835
2024-03-18,22496.099125
2024-03-19,22487.058529
2024-03-20,22508.091806
2024-03-21,22477.027531
2024-03-22,22369.172536
2024-03-23,22485.484799
2024-03-24,22485.528435
2024-03-25,22426.989786
2024-03-26,22418.124427
2024-03-27,22394.348264
2024-03-28,22345.991852
2024-03-29,22330.224615
2024-03-30,22353.228212
2024-03-31,22353.232077
2024-04-01,22232.107592
2024-04-02,22285.840095
2024-04-03,22416.788247
2024-04-04,22478.869439
2024-04-05,22426.369784
2024-04-06,22452.645898
2024-04-07,22452.653388
2024-04-08,22471.176532
2024-04-09,22463.499773
2024-04-10,22236.706084
2024-04-11,22184.687865
2024-04-12,22035.311325
2024-04-13,22086.08203
2024-04-14,22086.0851
2024-04-15,22012.342945
2024-04-16,21987.316026
2024-04-17,22048.800788
2024-04-18,22050.679971
2024-04-19,22044.897256
2024-04-20,22077.749793
2024-04-21,22077.749793
2024-04-22,22042.695657
2024-04-23,22145.523127
2024-04-24,22119.847891
2024-04-25,22187.065938
2024-04-26,22129.062774
2024-04-27,22152.268151
2024-04-28,22152.268151
2024-04-29,22188.01731
2024-04-30,22103.427442
2024-05-01,22102.125726
2024-05-02,22158.230804
2024-05-03,22284.527977
2024-05-04,22295.43996
2024-05-05,22295.43996
2024-05-06,22295.691865
2024-05-07,22298.452431
2024-05-08,22256.386711
2024-05-09,22294.731599
2024-05-10,22302.907596
2024-05-11,22326.95026
2024-05-12,22326.95026
2024-05-13,22348.773136
2024-05-14,22390.481186
2024-05-15,22471.434257
2024-05-16,22502.455499
2024-05-17,22502.719606
2024-05-18,22549.175832
2024-05-19,22549.175832
2024-05-20,22483.216516
2024-05-21,22467.888961
2024-05-22,22427.839206
2024-05-23,22405.98325
2024-05-24,22462.037091
2024-05-25,22467.269053
2024-05-26,22467.269053
2024-05-27,22476.054825
2024-05-28,22509.788855
2024-05-29,22374.021673
2024-05-30,22447.048142
2024-05-31,22461.921389
2024-06-01,22470.837931
2024-06-02,22470.837931
2024-06-03,22540.191279
2024-06-04,22514.98229
2024-06-05,22489.25247
2024-06-06,22525.227864
2024-06-07,22364.350455
2024-06-08,22383.355874
2024-06-09,22383.355874
2024-06-10,22244.532102
2024-06-11,22210.6364
2024-06-12,22452.897949
2024-06-13,22276.260883
2024-06-14,22143.025092
2024-06-15,22187.888441
2024-06-16,22187.888441
2024-06-17,22192.65928
2024-06-18,22223.275524
2024-06-19,22233.907897
2024-06-20,22175.066027
2024-06-21,22118.308167
2024-06-22,22154.639278
2024-06-23,22154.639278
2024-06-24,22205.998144
2024-06-25,22146.411096
2024-06-26,22111.350482
2024-06-27,22177.667458
2024-06-28,22161.522067
2024-06-29,22187.888441
2024-06-30,22187.888441
2024-07-01,22222.911228
2024-07-02,22207.174637
2024-07-03,22377.407439
2024-07-04,22367.720665
2024-07-05,22389.017572
2024-07-06,22464.830538
2024-07-07,22464.830538
2024-07-08,22434.436402
2024-07-09,22387.812013
2024-07-10,22408.664013
2024-07-11,22507.338525
2024-07-12,22553.214228
2024-07-13,22603.350742
2024-07-14,22603.350742
2024-07-15,22592.096762
2024-07-16,22522.618874
2024-07-17,22633.617803
2024-07-18,22575.100299
2024-07-19,22527.913382
2024-07-20,22545.58203
2024-07-21,22545.58203
2024-07-22,22510.406377
2024-07-23,22465.581915
2024-07-24,22489.490388
2024-07-25,22442.437506
2024-07-26,22489.253741
2024-07-27,22503.91041
2024-07-28,22503.91041
2024-07-29,22385.761888
2024-07-30,22372.087775
2024-07-31,22438.064576
2024-08-01,22364.469449
2024-08-02,22562.797385
2024-08-03,22603.350742
2024-08-04,22603.350742
2024-08-05,22731.669851
2024-08-06,22608.650399
2024-08-07,22607.149212
2024-08-08,22545.095868
2024-08-09,22610.602688
2024-08-10,22607.144948
2024-08-11,22607.144948
2024-08-12,22613.567859
2024-08-13,22686.447754
2024-08-14,22846.959494
2024-08-15,22676.988943
2024-08-16,22768.060256
2024-08-17,22839.140921
2024-08-18,22839.140921
2024-08-19,22836.883812
2024-08-20,22983.073046
2024-08-21,23016.686162
